delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
753908,102896,39466,25392,18374,27982,11105,9291,-672240,-82772,-654,5778,-2538,16107,10954,61,-751449,-99440,-31468,-19493,-7314,14660,17613,1314,-708002,-42961,-7233,6639,-10262,7614,18675,25551,-699000,-68428,-2046,-15257,-6675,32231,-2982,7769,-79209,43447,9002,-16668,56479,-25467,-30814,24235,5187,-25271,26132,-21896,-4776,-2948,3587,-1447,-7046,24617,6659,1062,-21657,1253,24237,-17782,easy
250083,87512,25881,44519,13705,47155,19945,31178,-130805,-78420,-23043,-39182,-4793,-37686,-12645,-25195,-169687,-42632,-4784,-21928,37851,-8704,24076,-7728,252245,12247,-14918,-24957,-4506,-35812,-10214,-20832,671077,-34346,-20801,-42104,-6988,-41316,-8017,-25393,-38882,421932,418832,35788,54879,-46593,18259,-10134,-5883,17254,-3029,-17147,42644,-42357,-2482,28982,-27108,-5504,36721,-34290,2197,17467,-13104,-4561,difficult
23711,28676,13077,5993,5791,19462,17859,5426,-20519,-17504,-5288,1838,-1818,-1814,-10884,15664,460815,201132,40925,124242,17277,14275,36612,83056,54587,8268,-8828,3311,12823,26443,-3754,13398,6583,16081,-4861,8548,2989,6766,-1777,11870,481334,-406228,-48004,218636,-192864,7813,46213,-49753,3967,122404,-120931,5237,19095,-4454,-9834,16089,12168,-19677,47496,-40366,1977,67392,-69658,-1528,easy
1213497,104339,23329,35689,34816,34002,16717,8101,-1164010,-55066,-14828,-31927,-30633,-15285,-3116,-3822,-843761,13628,1646,-20222,-30312,-11952,-10982,441,-1072687,-39838,-11243,-19060,-1172,42300,-6581,15009,-575879,-16522,-15705,-22970,-18573,-25297,-13457,-1746,320249,-228926,496808,68694,-53466,23316,16474,-12889,-4462,11705,1162,-3910,321,29140,-17401,3333,54252,-67597,-7866,4401,-6876,4263,14568,-16755,difficult
481894,92578,14971,27931,20698,22584,18209,9973,89695,-42154,-6586,-16275,296,17670,1598,24623,-162890,76744,-7865,-14608,1465,47304,1762,14083,-387102,37498,-11376,5898,9926,-8300,9655,1780,76920,-36515,1392,51020,33824,-5554,-5688,1029,-252585,-224212,464022,118898,-39246,-74013,-1279,-3511,12768,1667,20506,45122,1169,8461,23898,29634,-55604,2746,164,7893,-15343,-10540,-12303,-751,easy
403684,295708,65556,27953,40067,47246,19837,24750,379113,-130403,134442,65580,23377,-11809,41713,23684,326070,-242749,-58627,-23274,-31102,-44306,-15715,-19708,161953,-242853,-21060,-18566,-30678,-27875,3599,-11674,1024606,-191545,-18536,-10637,-22235,-34684,-6535,-9433,-53043,-164117,862653,-112346,-104,51308,-193069,37567,2524,-88854,4708,7929,-54479,424,8443,-32497,16431,-6809,-57428,19314,-10134,-43392,8034,2241,difficult
908858,86229,31659,25099,17649,17850,7134,13542,99297,-69996,-27727,-23528,-7327,-11144,-3702,-10672,-819414,-36416,-26258,-19141,-12268,-11949,-1920,-8533,-775241,-70475,-30280,-22662,-10515,-12849,-1908,-8796,-718618,-10047,-28829,-14324,-9429,-11281,10334,-10403,-918711,44173,56623,33580,-34059,60428,1469,-4022,1451,4387,-3521,8338,-4941,1753,1086,-805,-900,1568,1782,12,12242,2139,-263,-1607,easy
65239,23467,5305,2858,9640,8969,5734,4646,-42947,9874,1685,14934,8905,7605,13230,21844,-22671,-17060,-355,3466,-501,22058,32390,1196,-49034,-11220,10297,22302,-2495,23468,10874,7958,-40316,-17531,56,5079,46994,3279,9782,5800,20276,-26363,8718,-26934,5840,-6311,-2040,10652,-10241,-11468,18836,-17223,-9406,-1994,49489,14453,1410,-20189,19160,-21516,-1092,-20648,6762,-2158,difficult
398931,175928,15591,24473,22962,21361,9176,8438,-371079,-150407,-12954,-21969,-11292,16050,-1841,3631,-99606,-156433,-10301,-23090,-19976,-13811,-5278,-5021,-373028,-161896,8152,-17109,-5007,14284,15448,3156,-361710,-168778,-3512,-19618,-11307,-510,10361,-1807,271473,-273422,11318,-6026,-5463,-6882,2653,18453,-11664,-1121,5981,-2509,-8684,14969,-6300,-29861,28095,-14794,-3437,20726,-5087,-8652,8177,-4963,easy
91103,30893,6240,3693,6742,12879,10506,6056,-52769,-16950,2230,-2825,-386,-4306,-2446,-2681,394984,285358,117855,117436,23668,63651,43684,20529,780847,59690,-4377,-2217,-2044,-978,-5900,-3022,1527886,105854,92408,49441,20978,3880,8054,3540,447753,385863,747039,302308,-225668,46164,115625,-122232,96785,120261,-119653,51658,24054,-25712,23022,67957,-64629,4858,46130,-49584,13954,23210,-23551,6562,difficult
236699,118494,16819,13601,8627,29375,38514,9208,360936,72739,24229,-1229,28953,18980,25000,5524,1012487,-71631,-2708,-12369,-5464,-20007,-33743,-3424,401298,-89263,-1439,106,4873,-9364,-28190,-1809,-95637,-51934,-9102,-9469,-4552,-22236,-35500,-2583,651551,-611189,-496935,-144370,-17632,37329,-26937,1269,-7663,-11140,12475,-9575,-34417,10337,-9425,-38987,10643,-12872,-58743,5553,-7310,-8948,1615,-774,easy
370207,157101,9986,18065,9461,16883,14254,10282,-351377,-150622,4250,-7591,-371,12823,44637,1099,-74947,237591,-8179,3320,16774,59870,4082,1305,-297240,-141766,-6916,-12889,-6376,2734,-9799,-8074,-203275,-63506,-5242,-11283,2164,-7727,-10314,-5986,276430,-222293,93965,388213,-379357,78260,-12429,1263,1674,10911,-16209,1606,17145,-23150,8540,47047,-57136,-10461,-40555,-13881,-515,206,-9379,2088,difficult
