delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
735894,112616,82174,56084,36793,53783,-560855,-55202,-70483,-39650,-33606,-42446,-10407,-22706,-73295,-39588,-16831,-28179,153494,9907,139003,-18089,146244,10119,1063431,549624,86459,-37256,136840,67806,361319,18780,-40750,-16617,-13489,-39261,550448,163901,909937,-702112,32496,32613,539717,-530844,-2812,212298,-52544,-127209,62,21499,-19167,20639,16775,163075,-9404,-150329,14267,38298,57687,-107067,easy
632245,31289,7466,9978,3015,8789,812148,241334,11321,13533,29520,49872,-415307,20041,11287,3756,3021,-3070,488904,390356,193723,28125,23997,105158,161890,47011,54859,13728,424,29258,-435074,18711,13201,69,5247,-3198,-1227455,904211,-327014,-596964,-221293,370315,-343345,-28300,-34,182436,-138864,-41658,-9777,24369,-14397,-13659,-26499,20976,-23573,4823,-52942,108228,-75900,-32456,difficult
1265301,176951,58585,49125,50272,36669,-1065012,377358,332596,-28505,-32749,7400,-322166,258308,27786,-13117,3849,-7316,-37330,1440229,93369,176214,1767,36236,120447,10482,50314,26231,-20512,132652,320165,120122,80576,92108,4198,53891,742846,284836,157777,199718,-119050,1181921,-1429747,109640,-304810,65583,-43055,30262,15388,189331,-149983,65877,36598,-2082,-22279,24710,-14716,43552,96416,-78761,easy
1432371,120739,55121,38631,26176,35478,-1106658,-68037,-48054,-35929,-23188,-27502,-1156528,-35011,7936,-1174,-9959,-7600,520634,1162260,258547,16180,4828,73458,475499,-51320,43658,-26647,16089,5393,-192346,252108,-23213,-32954,-10984,-6059,-49870,1677162,-45135,-667845,33026,1197271,-1213580,303428,55990,250611,-214889,-66871,34755,17354,-42827,-6307,13229,14787,11261,-27073,19902,81058,-68065,-11452,difficult
1759670,198709,65720,100122,25468,60225,-800683,-39096,-22220,-91134,27298,-34884,-1612979,-131284,-44937,-91521,-14477,-38822,-1198786,-167710,-49194,-93092,-20448,-52930,-123446,-27670,-18258,-64757,-11300,-38254,-1249074,121559,-23042,-36361,-699,-30792,-812296,414193,1075340,-1125628,-92188,-36426,140040,149229,-22717,-4257,30936,-4784,-387,-1571,28335,28396,-41775,-5971,9148,10601,-3938,-14108,14676,7462,easy
426095,120331,19004,18326,11192,15620,864725,197570,147801,26995,6763,45576,-393538,-93441,-13537,-13893,-8565,-11177,416179,-36470,-12193,5686,-5066,3690,1574045,357059,11030,27581,11293,13243,505486,116929,95045,20127,43249,49841,-1258263,809717,1157866,-1068559,-291011,56971,393529,-240130,-161338,1344,23223,84015,-40888,19579,21895,-7454,-15328,3499,16359,31956,-56753,14867,9553,36598,difficult
887939,90109,27686,24945,43849,31783,-303642,-56556,-12381,-15700,-39648,-21688,-809519,-75466,-18796,-22951,-40009,-23547,-74753,-80464,-16326,-19410,-40710,-22073,-686475,75473,70363,-19750,-37377,11796,-792855,-85846,-20635,-23881,-43093,-30478,-505877,734766,-611722,-106380,-18910,-4998,155937,-161319,-6415,2470,86689,-90998,-7251,3541,-340,-4131,-361,-701,3333,-5716,-1859,1474,33869,-42274,easy
975393,226704,73525,81760,43360,26266,-307391,-75489,-57662,-75970,-30573,12057,-606979,-123278,-57153,-77703,-39947,-18405,-568010,989,2327,-4249,-21081,8417,480510,237272,121799,41956,-8829,50029,431050,168647,-29169,-28557,97183,-4982,-299588,38969,1048520,-49460,-47789,124267,236283,-68625,509,59480,119472,-150968,-1733,73454,46205,-70513,-9374,18866,12252,106012,-30462,26822,41612,-55011,difficult
454521,39505,12770,8850,6299,15356,1044218,37097,17076,15636,15990,12205,-341275,71259,-4576,15659,6644,-6935,708083,149566,-1585,11285,17462,6706,989695,9037,12394,-2069,7683,-5569,299437,-16978,-11329,-6879,4280,-7350,-1385493,1049358,281612,-690258,34162,78307,-140529,-26015,-21652,2991,13979,-23723,23,-4374,-13354,-4810,-9346,10818,-9779,-3403,-19140,13641,-12275,-1781,easy
742079,737640,151667,75252,79993,178245,-348310,-570984,-73405,-27630,-56312,-128312,-361792,-620825,-80136,-51266,-52262,-154546,270108,-433526,-73230,-34126,-41007,-149519,-131878,-705118,-134134,-61805,-75855,-163210,1141844,-371699,-26996,2547,-59977,-109671,-13482,631900,-401986,1273722,-49841,187299,-271592,333419,-6731,6906,-60904,107138,-23636,17140,-27679,64352,4050,11255,-34848,15878,-26234,5027,-13691,53539,difficult
626465,264902,9629,30737,30747,32386,-154951,-49767,29744,1335,7504,-15872,519517,31483,16535,10312,-15016,7610,-602885,-261906,-8133,-28772,-24141,-16116,-65786,-255474,-3837,-5567,-18850,-12647,-379348,-244917,5645,-1484,-24316,-21111,674468,-1122402,537099,-313562,81250,-293389,6432,10557,-13209,-24668,4296,9482,8977,-39084,23205,4083,-22520,-9125,5291,-5466,23482,-23726,3469,-8464,easy
