delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
726843,65446,5453,15353,11072,6862,3150,3408,-294763,31024,16741,-5067,-4226,-1642,-1955,-653,-717821,-62790,-839,-10736,-9979,-1575,-89,-1625,-525619,-44978,-3024,-10322,-8029,-3627,-2178,-1065,easy
1053756,137609,193493,72428,64750,39281,15412,8456,-526082,298953,-136240,-51090,-12296,-19659,-12028,-2197,-1021467,-87842,-172688,-68680,-61438,-34786,-11347,-7232,-895061,-62216,-187702,-71090,-60689,-34852,-12488,-5769,difficult
569862,145379,25990,19672,15963,12632,7880,5559,127313,259088,89068,10170,406,17446,-2474,3825,-511602,-117372,-24918,-10246,-10375,-5759,-5612,-4066,-246946,-95809,9364,-12805,-8339,-5222,-4034,-4410,easy
1050996,223135,117977,130581,45403,21364,11219,19976,230877,-144592,-34929,-104655,-19842,-14969,-5618,-18179,-775174,-169679,-116826,-124718,-41874,-14719,-6073,-16119,-970344,-189959,-109116,-125700,-44321,-18576,-10239,-19452,difficult
694714,167714,7335,24494,13199,18519,9230,10981,482713,-78153,11880,-21834,-7890,-4115,-1559,-4977,-25759,-137345,3106,-17488,-10160,-16037,-8385,-9381,-678913,-150419,682,-8528,-3239,-452,-938,23700,easy
596897,43626,17490,14664,9333,13875,6545,3132,300289,18424,-15592,-4970,-3384,-9160,-3156,-1130,1171076,48486,9744,691,-3574,-2879,-3707,-1772,-534273,-25415,-14651,-13275,-8541,-13165,-5821,-2552,difficult
840679,58200,48484,10577,4113,4364,2879,2764,-718975,41016,-36558,3410,6226,37558,10849,16684,-104290,94488,-12469,13959,8181,12074,22493,13290,-796091,-36003,-47018,-9667,-2618,-3369,-2688,-1889,easy
796919,166793,37670,9747,7602,9302,4170,7315,-209010,71953,-3085,7188,9114,13951,4271,-2674,-764731,-152461,-35640,-5825,-5244,-7803,-3542,-6843,-266611,308569,360781,128026,46078,60696,22490,21000,difficult
294770,151461,38772,21464,10247,15902,6126,6075,-206083,-135743,-38135,-20780,-7080,-11408,-4460,-3604,-288537,-146511,-35671,-17580,-3196,-3066,7889,714,-206430,-144416,-38062,-19910,-9608,-14883,-5393,-5344,easy
569293,267849,30774,28516,17548,14677,9201,7564,-478968,-207374,-14924,-21544,-13295,-7896,-6996,-5302,-480252,-259705,-25209,-25206,-15790,-12953,-8452,-6798,-407339,-250625,-24087,-27851,-13480,-12271,-8353,-6803,difficult
