delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
1068797,107251,27953,15858,14488,49697,-946362,-93474,-20273,-12794,-10610,-49177,522918,240191,-9472,-5421,19117,-34928,189873,-64660,-7977,9973,-756,-33893,1469280,-333045,333665,-304851,10801,1495,7373,15394,29727,-19873,14249,1035,easy
332684,157723,47219,19667,13569,19918,393285,-134081,-42180,-16558,-9384,-15811,-48369,35472,-40925,-4557,7937,-11513,-145764,-125388,-45283,-14249,-9977,-12834,-441654,-97395,169553,-160860,1255,-4358,12001,-9692,17321,-17914,4298,-1321,difficult
121635,53567,16112,6800,5956,10181,-7314,-15356,-10085,647,-872,-5773,229716,67405,-964,3023,-1659,1427,-1974,4223,1397,-3066,-4201,-4988,237030,-231690,82761,-63182,9121,2361,2376,-6089,-787,-2542,7200,-6415,easy
1314787,263330,52454,27072,19902,67472,-620329,-173838,-51871,-17373,-13233,-28133,-1262970,-234175,-46012,-22939,-13250,-59248,-1174271,-229647,-42918,-24894,-13898,-48013,-642641,88699,-60337,4528,5859,3094,-5566,-1955,-17,-648,-31115,11235,difficult
848503,306387,54283,40822,40379,53469,-577883,-300789,-46660,-35963,-39085,-48573,-562756,-224470,-36706,-29930,-36062,-35726,-225749,-278874,-48105,-35808,-37045,-38895,15127,337007,76319,-54404,9954,-11399,6033,-5878,3023,-983,12847,-3169,easy
1375797,148442,43127,39444,14500,38638,-549967,-54951,-34383,-19993,-10071,-22976,-1234391,-138047,-41677,-33647,-8453,-25702,-1360339,-138846,-39394,-38222,-11717,-26053,-684424,-125948,-83096,-799,-7294,2283,-13654,-4575,1618,-3264,-2726,-351,difficult
606203,101964,10339,42873,18866,15227,37737,18095,-7950,-40828,-16153,-7342,-571756,-96349,-6320,-40059,-15077,-10701,-376694,-90138,1710,-39243,-12968,-8618,-609493,195062,-114444,6211,1630,8030,769,816,1076,2109,-3359,2083,easy
640518,108136,7842,19143,6115,27622,-607674,-101957,-6182,-16783,-4109,-26773,429475,-12552,5741,-5137,-1801,-22373,58898,3191,7992,948,991,-19151,1037149,-370577,89405,15743,11923,2251,11646,6085,2308,2792,4400,3222,difficult
459705,86931,8829,11821,7804,19292,-317481,-66757,3167,-1701,-1370,-14330,113697,-4640,-4021,-6916,-2823,-13376,-430821,-81348,-5406,-10543,-6120,-18158,431178,-544518,62117,-76708,-7188,-1385,-5215,-3627,-1453,-3297,954,-4782,easy
128449,74000,13287,15057,5130,16430,155397,-11734,27833,-7272,10668,2547,79424,-16785,-9660,-12123,-1908,-1352,-95517,-25815,-6674,-10111,30,17121,-75973,-174941,-5051,-9030,-37493,2986,-4851,2012,-12576,1938,-3899,18473,difficult
315343,19143,7889,4785,4267,5758,-230785,-14538,-7357,-3707,-3664,-4762,-311339,-11577,-513,3049,2710,16639,-289369,21430,-1209,8399,5825,11881,-80554,21970,2961,33007,6844,-696,6756,5350,6374,3115,21401,-4758,easy
1344705,199129,54490,78028,31914,26887,-1199107,-167393,-54296,-77229,-30913,-24869,199691,14927,34029,-64987,-5163,-3365,1924362,-166839,-26092,-47552,-12465,45368,1398798,1724671,182320,-181766,88325,-60121,12242,17435,25750,-7302,21504,48733,difficult
622761,69560,19757,18358,14019,31655,-449015,3688,851,-1830,10095,-7214,-615981,-61792,-18398,-2459,-11877,-28102,-580422,-53126,-6549,48011,-9536,-17355,-166966,35559,-65480,8666,-19249,11849,-629,50470,-21972,2341,-20888,10747,easy
1288677,224843,28860,20378,12597,42112,-644376,-183421,-23233,-15320,-8463,-16623,-1144777,-215162,-22953,-19050,-11111,-37877,-1174453,-170382,-14438,18313,10879,-10618,-500401,-29676,-31741,44780,280,8515,-3730,37363,-2648,21990,-21254,27259,difficult
435830,198877,17850,7632,8239,10529,1223514,-69278,-68,2015,21931,11553,-413762,-185379,-2619,-1615,338,-5034,-172098,-179470,-8194,2574,-4106,-7386,-1637276,241664,-116101,5909,-2551,-5575,-3630,4189,-21593,-4444,-16587,-2352,easy
606754,119297,16203,7519,6200,8792,-134074,101879,-4003,15341,234,10624,-560081,-102717,-15324,-5987,-5276,-7473,1752397,27844,84240,68579,58536,104175,-426007,2312478,-204596,130561,-11321,99564,-21328,74566,-5510,63812,-18097,111648,difficult
199041,99471,20795,15623,8349,20299,440102,628640,178553,49596,11958,29410,1508776,1036023,130796,4512,12423,47072,685230,92531,4543,-329,4591,-4702,1068674,-823546,407383,-943492,-47757,-126253,-45084,-4841,465,-7832,17662,-51774,easy
392797,44262,14299,23519,3496,12765,31201,47025,-9027,636,3939,12185,318153,-9981,-3637,413,7886,-3067,-356700,-39684,-11259,-14306,331,-8710,286952,-674853,-57006,-29703,5390,-7622,-223,-14719,3947,-7555,-15252,-5643,difficult
336219,50354,17909,7777,8949,41047,-333186,-48927,-17475,-5733,-4736,-30752,-178171,-29670,-16318,24364,-4905,-28293,-301853,-7221,-5353,1462,-5609,-30773,155015,-123682,19257,22449,1157,10965,30097,-22902,-169,-704,2459,-2480,easy
786581,71248,9907,5504,7030,11366,-473501,-52223,-3537,9989,3713,247,-777702,-65470,-7822,-2774,-3917,-5545,-84007,75576,76685,8047,9775,-2061,-304201,693695,-13247,141046,-4285,84507,-12763,10821,-7630,13692,-5792,3484,difficult
617227,103114,42614,50016,26482,10251,1678898,603917,-7386,-30946,7339,14794,130558,9771,-11355,-31499,20351,77540,-104770,-40684,-28185,-19208,3809,7543,-1548340,-235328,-594146,-50455,-3969,-16830,-553,12291,13012,-16542,62746,-69997,easy
386870,101089,32835,32344,10306,23349,-356329,-93853,-25777,-19277,-3293,-1756,-349250,-53106,-29995,-31040,-7922,-20277,-374682,-75187,-13398,-27806,-4300,-12520,7079,-25432,40747,-22081,-4218,16597,-11763,3234,-4629,3622,-18521,7757,difficult
694413,92245,13180,10096,7637,13274,-409053,-33755,-9262,-3538,4572,660,-502377,-56916,-7655,-599,-3233,14974,-572593,-84413,-6169,-8648,-5426,-8747,-93324,-70216,-23161,-27497,1607,1486,2939,-8049,-7805,-2193,14314,-23721,easy
398250,134418,6718,16646,11300,17212,20827,-50583,35776,-6622,3080,-1434,188652,-93105,-2907,-15230,-1567,-2782,-197925,-51113,-4497,-8980,-6941,-13262,167825,-386577,-42522,41992,-38683,-1590,-8608,6250,-4647,-5374,-1348,-10480,difficult
