delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
275002,24924,17887,10097,6912,20277,-266997,-11824,-14682,3208,551,-6513,-147228,106144,6945,-764,3445,4600,-265880,-17649,-5358,7846,-3371,18536,-265496,-7101,-13480,-3365,58,-4065,-260394,-19897,-3930,-4735,1513,10120,119769,-118652,384,5102,117968,-123793,10548,-12796,21627,-12303,-8122,9550,-3972,8610,-11211,-1370,2894,-6816,3429,1455,11113,13936,-22601,14185,easy
176522,30642,11905,13046,13268,17172,-157130,2112,-657,620,-6283,-4311,-166254,-27501,-10845,-11049,3322,829,-173065,-26385,-3209,6438,-10260,878,-170915,-11924,-1831,-1508,-6322,18569,-168056,-19925,-4733,-3660,-6156,3488,-9124,-6811,2150,2859,-29613,1116,14461,-8001,-10188,7636,1378,-2902,-11669,17487,-7946,-2152,9605,-13582,3938,166,5140,49,17691,-15081,difficult
214445,143681,56025,32629,21763,57962,38335,-115774,-55009,-29820,-19947,-54872,200992,166645,-35160,-22053,-15757,-47998,-156172,-122699,-26248,-14831,-12790,1750,-97820,-106302,-55292,-31586,-20559,-53795,554684,-34814,31077,62513,6779,6041,162657,-357164,58352,652504,282419,-289344,16397,71488,19849,8912,-29044,86369,7767,7222,-16755,94099,4190,2967,-7769,27338,6874,49748,-55545,59836,easy
111224,81557,13844,10459,4922,13712,1334157,252553,1759,3010,7528,11911,-102328,-53976,-7068,-289,9906,6919,-96512,-73391,-6018,-6829,645,-2565,9164,-39676,16116,-7813,4751,18228,38457,-74492,-12257,-9672,-4517,-11758,-1436485,5816,105676,29293,-306529,-19415,33715,-34816,-8827,1050,22134,-28373,-3299,-6540,-984,-1859,2378,-9261,4106,-9268,-4992,-9484,20793,-29986,difficult
18811,20669,18705,14264,8744,30440,97633,-10605,-17424,-13088,-6919,-19874,-11083,-141,-3639,-11589,-7512,7257,-16506,-9799,-9025,-6243,-6406,-14016,-16642,-12765,-4924,-8154,1684,-10760,1112522,189855,-11522,16177,19739,-12087,-108716,-5423,-136,1129164,10464,-9658,-2966,202620,13785,-5386,4101,-6598,1499,5346,-1911,24331,-593,1106,8090,18055,27131,-21273,3256,-1327,easy
579237,32516,19951,29635,9484,28787,-551602,-19245,9011,-21261,-2602,19802,-577244,-27216,-19600,-26610,-6848,-21669,-564152,11018,1909,-14611,851,-18406,530143,33528,1650,21476,10119,-4001,-478041,-16158,-19260,-29364,-6734,-18016,-25642,13092,1094295,-1008184,-7971,38234,22510,-49686,-28611,21509,-259,-20910,-5349,11999,36087,-50840,-4246,7699,9268,-16853,-41471,3263,14405,-14015,difficult
93753,38611,5784,2919,4798,6874,269650,-20350,7736,9404,-1217,38519,-58670,-19288,-3491,1458,5938,40766,-92429,-36703,-4331,1840,-3005,-2925,-85230,-22148,31834,4762,-3115,17793,-80038,-35292,12249,1616,4290,7540,-328320,-33759,7199,5192,1062,-17415,14555,-13144,-11227,-840,36165,-19585,-7946,382,2922,-3146,7155,-8943,-110,7405,2247,-43691,20718,-10253,easy
25417,7893,7364,7756,7059,11740,4731,1074,-5262,-6141,-5518,-3818,-24387,1424,-6274,9809,-6026,52026,-18598,-384,2081,-6492,-664,22760,-5293,1003,-4876,-5818,-4568,427,17874,57652,6098,-6546,-1598,22187,-29118,5789,13305,23167,350,-1808,1387,56649,-1012,8355,-6957,10974,15950,-16301,674,-728,-508,5362,-3904,2970,55844,-29266,-22333,21760,difficult
445868,79158,13370,4801,10179,13954,-418276,-70987,302,562,-3760,50521,1204834,8124,-10354,7119,-1436,3642,1204834,8124,-10354,7119,-1436,3642,-424301,-59881,-5583,5386,-7814,38529,-440575,-74375,-12260,-2365,-8165,-10574,1623110,0,-1629135,-16274,79111,0,-68005,-14494,-10656,0,4771,-6677,6557,0,-1733,-7751,2324,0,-6378,-351,-46879,0,34887,-49103,easy
1319637,176868,42296,12193,30219,36156,-1315663,-166939,-40259,-3791,-22061,-10565,-1313088,-169511,-39395,-10852,-24559,48135,-1301887,-153906,-37337,675,-23618,6337,-1249511,-162319,-34386,3070,-28533,-32115,-1282054,-157324,-41344,-2739,-23244,-20010,2575,11201,52376,-32543,-2572,15605,-8413,4995,864,2058,2951,-6958,-7061,11527,2395,-5809,-2498,941,-4915,5289,58700,-41798,-38452,12105,difficult
