delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
315343,19143,7889,4785,4267,5758,12241,3525,-230785,-14538,-7357,-3707,-3664,-4762,-11485,-3167,-311339,-11577,-513,3049,2710,16639,-91,2175,-289369,21430,-1209,8399,5825,11881,-4667,785,-291569,-5524,-6435,-2280,-1425,-554,-6247,32,501132,24439,2512,29308,13371,6258,-4602,4882,-80554,21970,-2200,792701,2961,33007,-26954,29963,6844,-696,-5226,8947,6756,5350,-10679,31588,6374,3115,-7250,14796,21401,-4758,-12435,6812,11394,-4576,-1580,1645,5342,-1390,-753,4850,easy
1344705,199129,54490,78028,31914,26887,40425,37585,-1199107,-167393,-54296,-77229,-30913,-24869,-34090,-36378,199691,14927,34029,-64987,-5163,-3365,16125,-27156,1924362,-166839,-26092,-47552,-12465,45368,-5762,-28494,-82078,-166712,-12775,-71492,-14630,1326,-10717,-23976,-310276,-181686,-44247,-75780,-28132,-17642,-36270,-34015,1398798,1724671,-2006440,-228198,182320,-181766,127,-14974,88325,-60121,13317,-31472,12242,17435,-23940,-4288,25750,-7302,-2165,-13502,21504,48733,-44042,-18968,50215,-21887,-4955,-25553,9222,-1338,4518,-10039,difficult
622761,69560,19757,18358,14019,31655,16185,13058,-449015,3688,851,-1830,10095,-7214,-522,3862,-615981,-61792,-18398,-2459,-11877,-28102,-14586,-12124,-580422,-53126,-6549,48011,-9536,-17355,-9469,-7624,-171352,-46087,1745,-7959,6723,-20382,-10779,-7465,2770905,-6589,17663,5047,-4276,8592,1558,2687,-166966,35559,409070,2942257,-65480,8666,7039,39498,-19249,11849,8294,15918,-629,50470,-55970,13006,-21972,2341,16259,-10999,-20888,10747,-3027,28974,-14064,5117,-1310,12337,-15986,4500,159,10152,easy
1288677,224843,28860,20378,12597,42112,25630,16437,-644376,-183421,-23233,-15320,-8463,-16623,-4599,-13046,-1144777,-215162,-22953,-19050,-11111,-37877,-23661,-14371,-1174453,-170382,-14438,18313,10879,-10618,-12973,-9150,376650,95045,9208,19064,-3103,-1304,4265,-802,409101,183302,18736,25560,21037,27624,86501,33872,-500401,-29676,1551103,32451,-31741,44780,265427,88257,280,8515,23646,9528,-3730,37363,751,6496,-2648,21990,-13982,24140,-21254,27259,9314,28928,-19062,10688,17238,82236,-1325,5221,8348,34674,difficult
435830,198877,17850,7632,8239,10529,8644,4769,1223514,-69278,-68,2015,21931,11553,11131,34238,-413762,-185379,-2619,-1615,338,-5034,-3957,3442,-172098,-179470,-8194,2574,-4106,-7386,-2610,-2299,284435,32516,13540,26041,32443,7932,82095,8794,-292061,-148845,-16022,951,-6357,13107,2318,-2657,-1637276,241664,456533,-576496,-116101,5909,211986,-181361,-2551,-5575,21734,-29562,-3630,4189,23467,-25090,-21593,-4444,36549,-38800,-16587,-2352,15318,5175,-15088,1347,84705,-79777,-30796,-5741,11093,-11451,easy
606754,119297,16203,7519,6200,8792,13908,6567,-134074,101879,-4003,15341,234,10624,-2786,2820,-560081,-102717,-15324,-5987,-5276,-7473,-12553,-5268,1752397,27844,84240,68579,58536,104175,71739,11349,-545477,-10949,1240,7614,1510,359,13490,1445,-5118,-15012,64481,2378,4231,26278,7248,3417,-426007,2312478,-2297874,540359,-204596,130561,-38793,-4063,-11321,99564,-83000,63241,-21328,74566,-60965,-5236,-5510,63812,-57026,2721,-18097,111648,-103816,25919,-9767,84292,-58249,-6242,-8088,16617,-9904,1972,difficult
199041,99471,20795,15623,8349,20299,13338,11992,440102,628640,178553,49596,11958,29410,37875,39851,1508776,1036023,130796,4512,12423,47072,30922,48517,685230,92531,4543,-329,4591,-4702,-3417,-2579,-119439,-81751,7396,-12892,16070,43897,5346,21019,-142108,-65004,-20252,-12461,-7006,-12856,-9278,-10173,1068674,-823546,-804669,-22669,407383,-943492,-174282,16747,-47757,-126253,2853,-27648,-45084,-4841,-12563,431,465,-7832,11479,-23076,17662,-51774,48599,-56753,-6953,-34339,8763,-14624,8666,-51096,23598,-31192,easy
392797,44262,14299,23519,3496,12765,16718,6781,31201,47025,-9027,636,3939,12185,22207,8659,318153,-9981,-3637,413,7886,-3067,-3114,683,-356700,-39684,-11259,-14306,331,-8710,-11471,-2957,-385747,-41497,-13213,-21466,5690,-8704,-12186,-2615,-319602,-36984,-11932,-501,-1025,-7220,-8302,-4365,286952,-674853,-29047,66145,-57006,-29703,-1813,4513,5390,-7622,-1954,1281,-223,-14719,-7160,20965,3947,-7555,5359,-6715,-15252,-5643,6,1484,-25321,-8357,-715,3884,-7976,-3640,342,-1750,difficult
336219,50354,17909,7777,8949,41047,9986,4823,-333186,-48927,-17475,-5733,-4736,-30752,-5128,-2913,-178171,-29670,-16318,24364,-4905,-28293,-6275,-1869,-301853,-7221,-5353,1462,-5609,-30773,-7385,157,1548353,-15908,-5350,751,-4167,-32673,-4243,-300,-191390,55221,-2754,-1896,-7184,-34360,-5718,-2934,155015,-123682,1850206,-1739743,19257,22449,-8687,71129,1157,10965,3,2596,30097,-22902,-711,-2647,-169,-704,1442,-3017,2459,-2480,-1900,-1687,-1147,-1110,3142,-1475,1044,2026,-457,-2634,easy
786581,71248,9907,5504,7030,11366,11141,5916,-473501,-52223,-3537,9989,3713,247,-4923,-3148,-777702,-65470,-7822,-2774,-3917,-5545,-9062,-4506,-84007,75576,76685,8047,9775,-2061,1331,2107,-658681,-68249,-9548,-5029,-5802,-10722,-10583,-5199,-771186,-59653,-6305,157,8006,10272,-6591,409,-304201,693695,-574674,-112505,-13247,141046,-143825,8596,-4285,84507,-86233,3243,-12763,10821,-13076,5186,-7630,13692,-15577,13808,-5792,3484,-8661,20994,-4139,10393,-11914,3992,-1358,6613,-7306,5608,difficult
617227,103114,42614,50016,26482,10251,19637,7480,1678898,603917,-7386,-30946,7339,14794,5933,6225,130558,9771,-11355,-31499,20351,77540,-6186,4236,-104770,-40684,-28185,-19208,3809,7543,-13055,-3626,-32226,-72409,-36350,-45964,-23291,-8709,-18421,-6103,-442192,-84308,-39271,-35789,-22125,-3525,-7276,-1867,-1548340,-235328,72544,-409966,-594146,-50455,-31725,-11899,-3969,-16830,-8165,-2921,-553,12291,-26756,10175,13012,-16542,-27100,1166,62746,-69997,-16252,5184,-12119,-6869,-5366,11145,-1989,-7862,-2477,4236,easy
386870,101089,32835,32344,10306,23349,22750,17945,-356329,-93853,-25777,-19277,-3293,-1756,-15495,-5221,-349250,-53106,-29995,-31040,-7922,-20277,-20421,-15231,-374682,-75187,-13398,-27806,-4300,-12520,-17329,-7137,1351799,-86799,-23861,-31549,-6599,-19632,-19282,-17028,38800,63734,-28235,-29353,3008,-19470,-20437,-16219,7079,-25432,1726481,-1312999,40747,-22081,-11612,150533,-4218,16597,-10463,-4374,-11763,3234,-3743,2196,-4629,3622,-2299,9607,-18521,7757,-7112,162,-4926,3092,-1953,-1155,-10010,8094,-9891,809,difficult
694413,92245,13180,10096,7637,13274,8043,5220,-409053,-33755,-9262,-3538,4572,660,-1015,-1295,-502377,-56916,-7655,-599,-3233,14974,4132,3128,-572593,-84413,-6169,-8648,-5426,-8747,-5440,-3450,495751,-70852,14233,4747,-4095,7652,-1154,4033,-427956,-28376,-9949,-4118,-2483,-3528,6329,1743,-93324,-70216,1068344,-923707,-23161,-27497,13561,42476,1607,1486,20402,-24182,2939,-8049,13395,-8865,-7805,-2193,1331,1612,14314,-23721,16399,-11180,5147,-9572,4286,7483,4423,-6578,7483,-2290,easy
398250,134418,6718,16646,11300,17212,10962,7708,20827,-50583,35776,-6622,3080,-1434,6632,7078,188652,-93105,-2907,-15230,-1567,-2782,-641,9114,-197925,-51113,-4497,-8980,-6941,-13262,-7420,-6706,593707,-88407,69793,-5336,4452,-5559,4684,6081,1579000,45090,13084,19921,48658,19498,35279,-744,167825,-386577,791632,985293,-42522,41992,-37294,133497,-38683,-1590,74290,-56709,-8608,6250,3644,25257,-4647,-5374,11393,44206,-1348,-10480,7703,25057,-7273,-6779,12104,30595,2036,-15820,12787,-6825,difficult
150666,184306,24873,20761,11674,27404,9122,12724,-135199,-169558,-24732,-18645,-10160,-25618,-8065,-10554,87081,-170375,-20184,-18569,-6919,-22805,-6557,-10850,1199674,-56294,58749,-12196,17924,-10870,4441,-872,867221,3788,-22899,-16093,-6307,-16929,-3432,-9631,1634565,-88189,-4346,14059,8933,-16283,-1855,-3651,222280,1112593,-332453,767344,-817,114081,60082,-91977,4548,78933,-81648,18553,76,6373,-3897,30152,3241,24843,-24231,15240,2813,11935,-6059,646,1508,10998,-7873,1577,-296,9978,-8759,5980,easy
837109,260439,62419,32785,15085,23048,51027,21814,-596932,-159980,-23215,-23961,2126,-3907,-40840,-14010,1480682,-194968,-40967,-8964,-11399,-17710,-46104,-20222,-717333,-210890,-53757,-1130,8619,-1293,-38475,-16865,-679656,-208916,-54025,-12926,-11424,-9358,-40102,-16063,-793099,-215401,-60130,-24252,-4843,-13425,-43615,-18291,2077614,-2198015,37677,-113443,-34988,-15922,1974,-6485,-17752,-12790,-268,-6105,14997,7834,-11796,-11326,-13525,20018,-20043,6581,-13803,16417,-8065,-4067,-5264,7629,-1627,-3513,-6212,3357,802,-2228,difficult
