delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
13797,35288,10269,8581,19567,29088,-9027,-2562,139,-825,-6838,-2008,-3048,-22461,-6650,-1039,-6066,-8351,-8630,-31311,-7242,-7784,-17956,-22969,5979,-5582,-19899,-8850,-6789,-592,-214,-6745,772,-11890,-6343,-14618,easy
341239,85492,18365,13547,20349,28096,-296837,-58923,-3784,-9258,-16590,-17000,1232283,247942,39537,17708,165,379,587934,251665,33113,7222,31462,10095,1529120,-644349,306865,3723,43321,-6424,26966,-10486,16755,31297,17379,9716,difficult
790286,73746,32217,33214,19127,31775,-211688,-38702,-18431,-22141,-4329,2440,-764193,-36307,-2722,-15306,-4522,-5980,-706374,2923,-4650,1360,17244,-17075,-552505,57819,2395,39230,15709,-1928,6835,16666,-193,21766,-8420,-11095,easy
1668605,129083,57152,43436,32534,49472,-1500773,-94643,-51795,-36021,-21115,-34590,-1353513,-69287,-49279,-39065,-26507,-46670,-1198501,-59498,-24216,-3365,12487,10389,147260,155012,25356,9789,2516,25063,-3044,35700,-5392,38994,-12080,57059,difficult
273135,102639,14722,13286,6097,19264,1618332,105494,67880,20077,13820,7797,46470,-30368,67860,-1214,3326,-11843,384981,-59131,-4981,-9162,-1781,-4522,-1571862,338511,-135862,-28763,-20,-72841,-21291,-7948,-10494,-5107,-19640,7321,easy
221390,29762,7654,2620,6374,11671,-215591,-10480,9521,4026,17642,30162,-27393,-12254,-6684,-1652,333,-5134,-160675,-3825,10863,3051,1237,-4328,188198,-133282,-1774,8429,-16205,17547,-5678,4703,-17309,904,-35296,806,difficult
22210,17039,15750,4447,7890,13293,125767,24570,6515,1517,-4226,-6872,33833,-10510,-9539,5950,-1555,3380,5849,-8821,-6373,3329,6014,40772,-91934,-27984,-35080,1689,-16054,3166,4433,-2621,2671,7569,10252,37392,easy
540351,62893,13385,12757,7127,14767,-503361,-57921,-5247,-7155,8470,26812,-346110,-9791,-8779,-11200,3342,-5275,-346110,-9791,-8779,-11200,3342,-5275,157251,0,48130,0,-3532,0,-4045,0,-5128,0,-32087,0,difficult
108527,30978,5559,7349,8069,5596,-87044,-16616,-3618,-3814,-226,10541,-31242,-20681,-5224,-7221,-7672,-4247,-65026,39235,7302,-2288,2873,5792,55802,-33784,-4065,59916,-1606,12526,-3407,4933,-7446,10545,-14788,10039,easy
82073,16491,6915,7664,10158,15369,659081,161170,8528,4781,13537,13832,-68978,-10373,-114,3219,-7349,-9912,140819,98799,-1421,55677,2079,-4874,-728059,209797,-171543,109172,-8642,-1307,-1562,52458,-20886,9428,-23744,5038,difficult
