delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
47921,32703,8985,13609,17943,11334,3673,7013,43315,85404,-133,-8680,-12509,7855,3744,-4335,3301,68054,-5497,3308,-13130,-7857,-1078,-5565,-9147,-24520,2149,-11790,-14712,-7524,-3080,-5984,-40014,-12448,-17350,-92574,-5364,7646,11988,-15098,-621,-1582,-15712,333,-4822,-2002,-1230,-419,easy
768215,156797,46863,52875,41664,21761,14599,10376,-723788,-119849,-39122,-49931,-39641,-19914,-10206,-8061,449077,-34296,-29004,-18662,-32219,-14420,-11155,-5322,-377464,-51945,4816,-43219,-33770,-14310,623,-3508,1172865,-826541,85553,-17649,10118,33820,31269,-24557,7422,-1551,5494,110,-949,11778,2739,1814,difficult
212538,31068,12361,7202,9221,5119,4032,1203,-186214,-19435,-11295,4821,298,630,2450,3095,-129017,-20139,7311,357,-8649,-1851,-3349,-39,-201457,-19438,42708,5251,-4801,2174,201,3965,57197,-72440,-704,701,18606,35397,-4464,4894,-8947,3848,-2481,4025,-5799,3550,-3134,4004,easy
1473940,272975,12148,26313,18018,19345,9250,9703,-1221399,-231185,35259,-19592,-14825,232,6837,-4435,-1444221,-253583,-10831,-24938,-16943,-17432,-8960,-9017,-1471916,-260988,28,-17745,-15547,-9324,-5750,-3930,-222822,-27695,-22398,-7405,-46090,10859,-5346,7193,-2118,1396,-17664,8108,-15797,3210,-4582,5087,difficult
458011,62976,24551,13792,7493,12716,7437,4544,-362991,-771,6457,-11042,454,-6145,-5373,-2852,-429463,-26671,-16997,-3361,328,-4406,-2817,974,-229183,25285,-23226,-4004,-2328,-6694,-6541,-2004,-66472,200280,-25900,51956,-23454,-6229,7681,-643,-126,-2656,1739,-2288,2556,-3724,3826,-2978,easy
95448,21282,7531,4523,2638,4737,1523,1985,-37778,410,317,-1119,1898,-2274,-230,-816,89352,-4484,-5165,-1792,2342,-1048,4276,1003,-73335,-806,972,9429,2210,-373,5701,182,127130,-162687,-4894,3678,-5482,6137,-673,11221,444,-132,1226,675,4506,1425,1819,-821,difficult
161040,48753,7924,10117,18736,7104,2509,2903,-65335,-34994,-2380,-8821,-16564,-4080,-1311,-1735,-132665,-35895,-5797,-5940,-12131,-4191,-1367,-1779,-158905,-44289,-4944,-6120,-16723,-6120,-1877,-2397,-67330,-26240,-901,-8394,-3417,853,2881,-180,4433,-4592,-111,-1929,-56,-510,-44,-618,easy
47151,39444,8063,8353,11055,6215,3385,2822,-42880,-38296,-4385,-5773,-10011,-3452,-2343,-1946,-37390,-25861,16672,-873,856,4186,-424,2230,84518,-22645,-3957,-6690,-9435,-4114,-2335,-1886,5490,121908,12435,3216,21057,-20629,4900,-5817,10867,-10291,7638,-8300,1919,-1911,4176,-4116,difficult
688321,90189,17412,21698,8972,9028,8333,6901,-349738,-61024,-5083,-17332,-5491,-2215,-2517,-3578,-625475,-87202,-15932,-20283,-6047,-2461,-6407,-4641,-562861,-74216,-12762,-17222,-7775,-4969,-5235,-5937,-275737,62614,-26178,12986,-10849,3170,-2951,3061,-556,-1728,-246,-2508,-3890,1172,-1063,-1296,easy
164383,69252,12436,7991,3905,4529,1622,1303,93905,-48820,-9189,-4323,-452,1024,197,402,-72833,-58285,-11427,-6921,-2650,-4225,-1374,-1197,-144060,-53352,-5489,-5063,884,-655,-404,-187,-166738,-71227,-9465,4933,-2238,5938,-2598,1858,-2198,3534,-5249,3570,-1571,970,-1599,1010,difficult
