delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
1032709,109639,14103,26462,30818,32029,-1003981,-81185,-732,-22740,-23023,-13974,-521212,-20168,-7501,-12782,-25712,-20500,-1025540,-105100,-12003,-26018,-29052,-19097,-1022040,-101803,-10001,-24986,-29417,-31150,-878957,-80209,-397,-21535,-25284,-24205,482769,-504328,3500,143083,61017,-84932,3297,21594,-6769,-4502,2002,9604,9958,-13236,1032,3451,-2689,-3340,-365,4133,-6526,1403,-12053,6945,easy
335886,210349,17986,19614,27683,21184,1403746,338232,171575,7919,638,25002,706716,-77757,1044,3231,4691,13639,274285,-125952,-7253,18658,-12227,-2112,1278955,-78067,-1163,53065,-3458,-4303,-195782,-171144,-14058,-15451,-26763,-14871,-697030,-432431,1004670,-1474737,-415989,-48195,47885,-93077,-170531,-8297,6090,-12895,-4688,15427,34407,-68516,4053,-16918,8769,-23305,-11363,-15751,-2191,-10568,difficult
471101,89524,36473,11040,17280,18621,-409185,-68256,-35063,-5219,-13586,-12299,1585804,343191,-15677,5788,-10204,4344,262878,-35444,-28321,24020,-12721,37733,-177106,79059,-32627,17368,-13149,-10151,1012830,-7930,-26217,3614,-3654,5875,1994989,-1322926,-439984,1189936,411447,-378635,114503,-86989,19386,-12644,-4306,6410,11007,18232,-6652,-13754,3382,-2517,-428,9495,16643,33389,-47884,16026,easy
529579,91751,39978,32048,21156,22997,931806,-41495,82672,-397,171,42953,2430831,1726995,199527,115879,49086,64599,-463230,16004,-24374,-24135,-16621,-13119,-435166,-54379,-30435,-28057,-17711,-20315,105725,-63506,-37901,-25608,-13671,-14928,1499025,-2894061,28064,540891,1768490,-1710991,-70383,-9127,116855,-223901,-6061,-7466,116276,-140014,-3922,2449,48915,-65707,-1090,4040,21646,-77718,-7196,5387,difficult
1643497,220671,202467,74042,35987,47497,-1490977,-205384,-190812,-72394,-33375,-45755,-1398866,-148258,-171174,-70434,-28572,-36660,-810266,-186962,-190051,-67292,-30901,-41780,-1606792,-215612,-200210,-72832,-34912,-45743,1015747,472393,-164638,-59344,72,-20901,92111,588600,-796526,2622539,57126,-38704,-28650,688005,19638,-18877,-10159,35572,1960,3142,-5540,13488,4803,-2329,-4011,34984,9095,-5120,-3963,24842,easy
1105091,145224,18272,22977,11287,22808,255976,-42870,-4514,7408,-609,-14132,-121466,46095,-5552,-17294,-3190,-7491,-473940,-112368,-6950,-16004,-10425,-20445,87252,392240,-5294,3519,19278,34060,-686735,-38759,3503,-19058,-5737,-2818,-377442,-352474,561192,-773987,88965,-158463,504608,-430999,-1038,-1398,1656,8797,-24702,1290,19523,-22577,-2581,-7235,29703,-25015,6641,-12954,54505,-36878,difficult
530386,22811,3493,11461,2120,9854,-528132,-19010,1073,-5691,1741,499,-292133,4990,15446,3256,4463,-2114,-434880,20462,2563,-10146,164,5076,-493017,34083,2710,-9948,-830,5859,-403031,-6068,-1474,-9427,-877,-8320,235999,-142747,-58137,89986,24000,15472,13621,-40151,14373,-12883,147,-4184,8947,-13402,198,521,2722,-4299,-994,-47,-2613,7190,783,-14179,easy
781839,56236,24263,9809,14618,12597,-582219,153246,-4646,2693,4099,3130,-661525,90765,-12426,4984,-9787,-3046,521028,45901,-11180,50245,23763,4783,-684858,-8803,-15015,-4521,-10799,-4243,-241238,-37462,-22232,-6134,-12838,-10184,-79306,1182553,-1205886,443620,-62481,-44864,-54704,-28659,-7780,1246,-3835,-7217,2291,45261,-54766,-1613,-13886,33550,-34562,-2039,-6176,7829,-9026,-5941,difficult
148447,45372,20228,4975,5943,6178,36043,58989,4889,18718,4925,13591,-51403,-24545,-18753,-4018,-4971,-1756,-84327,-6779,-12447,-1503,-4337,7372,-124977,-106,-15568,-2684,-2258,26225,1732447,78461,-1690,23403,12511,2312,-87446,-32924,-40650,1857424,-83534,17766,6673,78567,-23642,6306,-3121,13878,-22736,2515,-1181,26087,-9896,634,2079,14769,-15347,9128,18853,-23913,easy
1715396,148472,91825,141148,16412,68724,-1595519,-112252,-84711,-134770,-11218,-64569,-1300632,-49336,-86824,-137904,-11003,-66194,-1629336,131270,-81855,-117160,-5488,-32334,-352035,-21997,-57396,-101503,-6281,-59689,-387333,102855,-48183,-120585,-5454,-53801,294887,-328704,1277301,-35298,62916,180606,-153267,124852,-2113,4969,24459,9213,-3134,20744,15657,-19082,215,5515,-793,827,-1625,33860,-27355,5888,difficult
1286897,156027,74791,41915,23742,36357,-1108481,-52358,-3127,-37288,-14259,-24081,-880857,-131984,-72111,-37301,-18955,-27559,-490368,30677,-56389,-35029,-19171,-16159,-902811,-51618,-50520,-38441,-12166,-11739,-617570,-113601,-67684,-41502,-22702,-31993,227624,390489,-412443,285241,-79626,162661,-82295,-61983,-68984,15722,5869,-17164,-13,2272,-3412,-3061,-4696,-216,7005,-10536,-3478,11400,4420,-20254,easy
331871,92193,11243,13122,16204,12814,1205543,309340,108833,61710,39564,49645,397754,-28252,-377,-6621,-7433,-8876,31156,-43082,-4428,-9824,-11988,6167,444261,21706,973,16125,-933,-3252,-53199,-18576,-7687,-3156,-12606,-4655,-807789,-366598,413105,-497460,-337592,-14830,64788,-40282,-109210,-4051,5401,-8660,-68331,-3203,25949,-19281,-46997,-4555,11055,-11673,-58521,15043,-9419,-1403,difficult
413738,123855,19778,22530,39040,33223,58982,-90255,-16003,-15966,-36015,-28171,99058,37466,-1584,-11211,-27810,-12961,-182010,-118523,-17234,-20433,-37826,-31024,484336,-17365,1777,-5800,-25170,-12205,600602,23299,28144,-1427,-9916,19573,40076,-281068,666346,116266,127721,-155989,101158,40664,14419,-15650,19011,26367,4755,-9222,14633,4373,8205,-10016,12656,15254,15210,-18063,18819,31778,easy
444925,74045,16481,11877,4082,7442,-322652,36174,54477,18272,8521,3128,-225205,137797,-518,16122,21854,15651,358694,137855,-438,8043,19168,10681,-422519,-50302,-13486,-10687,-2254,-2555,-170584,278454,25334,12553,13689,18824,97447,583899,-781213,251935,101623,58,-188157,328756,-54995,80,-13048,38820,-2150,-8079,-18730,23240,13333,-2686,-21422,15943,12523,-4970,-13236,21379,difficult
296874,127374,11625,12927,16226,12627,492278,76483,18895,10145,12457,4305,-159746,-107525,370,-9336,-15404,-8307,351245,-36983,28615,-3401,-7244,-1406,-159207,-31335,-4113,-581,-12629,-3944,827901,-99818,18676,-2387,-10032,-4575,-652024,510991,-510452,987108,-184008,70542,5648,-68483,-18525,28245,-32728,22789,-19481,5935,2820,-1806,-27861,8160,-5385,2597,-12612,6901,-2538,-631,easy
608005,65882,38261,7191,9070,8864,447906,73761,-563,21086,8553,30222,-155331,-25757,-2945,-1012,-2186,16259,843735,20138,-20780,3226,-4954,8523,428582,-28546,-3668,29680,52,942,13836,-16114,-26326,-265,-1190,2110,-603237,999066,-415153,-414746,-99518,45895,-48684,12432,-2382,-17835,17112,-22658,-22098,4238,26454,-29945,-10739,-2768,5006,-1242,-13963,-7736,-7581,1168,difficult
1382972,303623,83500,115763,17764,56999,-190495,-114490,-38478,-63213,-8142,-46481,-90512,-240888,-50260,-108109,-14794,-50606,-14310,-288767,-76195,-112639,-6097,-39717,-299200,-202709,-20384,-87179,-2430,-26079,-139315,-4889,-10645,-97661,-6877,2278,99983,76202,-284890,159885,-126398,-47879,86058,197820,-11782,-25935,55811,9739,-44896,-4530,25460,-10482,-6652,8697,3667,-4447,-4125,10889,13638,28357,easy
516490,102177,42646,30886,52223,28911,479659,66520,-4504,-13412,-45412,38419,211693,153595,32852,-12209,-32837,49134,686402,91477,17538,-8220,-27699,12955,1295969,7706,59813,43607,-40325,80272,183789,-11468,-23648,-9714,-44638,-15538,-267966,474709,609567,-1112180,87075,-62118,-83771,-19174,37356,-15314,42275,-83461,1203,3989,51827,-53321,12575,5138,-12626,-4313,10715,-36179,67317,-95810,difficult
1166961,263929,80191,16568,26134,69961,-959975,-198454,-76129,-5265,-21725,-56546,-420167,564343,-6486,10326,-4579,-16111,-926854,-169925,-74065,-5022,-21417,-50560,-669249,-54859,-56600,4756,-10765,-14615,-1049184,-249901,-77930,-13241,-25384,-67961,539808,-506687,257605,-379935,762797,-734268,115066,-195042,69643,-67579,17465,-21330,15591,-15348,9778,-17997,17146,-16838,10652,-14619,40435,-34449,35945,-53346,easy
644085,195765,30453,13877,16033,18347,-366482,-184183,-28090,-11518,-10012,-15713,513273,-106137,-1254,13568,-566,-10759,-370111,-172964,-29666,-10108,-12895,-16302,1191472,131627,212533,64062,15318,40976,-119264,260476,210018,62057,759,23047,879755,-883384,1561583,-1310736,78046,-66827,304591,128849,26836,-28412,242199,-2515,25086,-23676,74170,-2005,9446,-12329,28213,-14559,4954,-5543,57278,-17929,difficult
