delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
448905,60492,9644,16955,15697,7814,5791,3732,-349622,37790,1345,-3359,4233,1420,6082,5199,-31174,-47864,3463,-3018,-1673,-3844,1876,9757,easy
633213,42608,19787,5318,6232,5381,9551,5297,-437224,8093,-2009,15174,-541,843,-3333,-3624,-603796,-26864,-17272,1244,-114,-2822,-8061,-3192,difficult
940611,36566,4071,10839,8781,9912,7860,6522,-156397,423725,52025,34631,8201,28061,827,3262,-692184,38537,40112,-3289,114,-6625,-5815,-3387,easy
343860,49435,20138,12151,8100,12512,8896,4703,-275412,-18261,-15516,-10132,-5575,-10918,-7922,-3973,-80728,252878,21624,10922,1598,-2216,-2671,-195,difficult
645659,75581,16284,9400,22450,14872,13597,11775,-28731,-44966,-10429,-5030,-19144,-12164,-11596,-8873,-516913,-18046,-13074,-7484,-19529,-11957,-12689,-11302,easy
790927,167656,14946,27796,35083,21738,10281,8336,-748090,-125240,-7313,-24528,-31391,-16813,-8681,-7099,-718019,-163398,-12815,-23682,-31307,-19326,-9203,-4990,difficult
694763,180498,47325,20716,15582,17479,10458,6160,-668046,-172919,-45409,-16349,-9060,-15721,-7799,-5109,-659918,-114598,-18132,-15145,6165,-9254,-4664,-3464,easy
76062,42337,2865,2779,4895,3624,2320,1356,47958,25804,23911,4093,4611,2270,91,-553,-62344,28679,17390,16280,14841,14282,10638,10627,difficult
430214,72394,29055,16734,21595,13605,15692,7976,-180920,-29118,-25396,-14995,-19949,-9749,-12161,-5303,-268931,-45915,-24074,-4944,-20362,-10736,-13794,-5265,easy
529886,88419,59816,25291,21770,13010,6560,5084,-274582,-70152,-54584,-25068,-20392,-11503,-4586,-4432,-485455,-69631,-33957,-11158,-14051,-6353,-529,-2684,difficult
