delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
385383,48716,19231,6919,7979,5915,-324672,-43512,-16597,-4570,-6879,-4718,-122517,-40715,-17155,4539,5507,3082,-380534,-38972,-17281,-1115,345,-1314,202155,-258017,2797,1743,-558,-126,9109,-5654,12386,-5162,7800,-4396,easy
434133,76758,18989,20670,15817,23817,-345565,-62051,-13570,-1363,-13370,-20286,-391493,-61232,-14848,-15311,-13776,-16472,472957,40874,18126,5754,5016,-11259,-45928,864450,819,102106,-1278,32974,-13948,21065,-406,18792,3814,5213,difficult
127674,59678,5223,4073,3653,8440,-91961,-41165,1657,-2930,2295,-6125,-109455,-48160,-1300,237,6624,27495,-88907,-26199,31181,16800,1771,13805,-17494,20548,-6995,21961,-2957,32481,3167,16563,4329,-4853,33620,-13690,easy
379839,70437,9265,11165,6163,6342,1014519,154667,15902,-563,39950,3950,-150191,-50777,-4112,-5076,-3844,-5212,1846298,105842,31314,14226,-342,7539,-1164710,1996489,-205444,156619,-20014,35426,-4513,19302,-43794,3502,-9162,12751,difficult
523942,121596,23438,18845,36996,20648,555499,77142,19225,3096,-5987,-954,639092,15262,20961,15884,-2080,-6927,352158,-25753,46585,-1006,-33012,-12235,83593,-286934,-61880,-41015,1736,25624,12788,-16890,3907,-30932,-5973,-5308,easy
62962,14061,17916,6294,7530,5577,-35472,26242,-10451,-3678,-4368,-1950,-44646,-7312,2514,4514,-1609,14398,-20630,7473,-16090,-4474,-5312,-3539,-9174,24016,-33554,14785,12965,-18604,8192,-8988,2759,-3703,16348,-17937,difficult
84563,88560,12590,7207,5608,5090,217346,164375,8077,30665,5562,6680,158045,-48405,-7996,-2372,1801,-2106,34106,-75621,-8334,-2059,-4526,-3236,-59301,-123939,-212780,-27216,-16073,-338,-33037,313,-3761,-6327,-8786,-1130,easy
683104,236979,37128,15872,12987,26716,220789,-148176,-551,50566,42100,-7258,505033,-97556,7365,235,25272,16722,-498842,-159436,-35539,-2526,-9636,-21190,284244,-1003875,50620,-61880,7916,-42904,-50331,-2761,-16828,-34908,23980,-37912,difficult
574273,65510,27391,19422,13179,7857,702962,26484,21141,8343,4110,7724,722244,36055,-552,-8012,3097,4397,-51125,-63121,-27188,-16461,-12952,-7464,19282,-773369,9571,-99176,-21693,-26636,-16355,-8449,-1013,-16049,-3327,-11861,easy
92179,82453,19027,6755,14959,22130,251166,-48251,9197,-897,-6117,11216,1726116,-26872,-6328,16104,18635,14824,-60248,-65297,-12873,-2947,-13950,-19350,1474950,-1786364,21379,-38425,-15525,-6545,17001,-19051,24752,-32585,3608,-34174,difficult
120861,103397,26823,23569,16103,8657,-31426,-60819,-20900,-21553,-14237,-6200,-39249,-58123,-22063,-20779,-12825,-5542,634936,-85919,-16977,-20589,-13892,-7173,-7823,674185,2696,-27796,-1163,5086,774,190,1412,-1067,658,-1631,easy
984256,37976,11871,19864,6741,24000,-908612,70093,-4888,-16877,-4241,-10524,-823452,-27523,-11439,-18497,-4348,-13084,-970833,-23355,1000,-17347,16929,37892,85160,-147381,-97616,4168,-6551,12439,-1620,1150,-107,21277,-2560,50976,difficult
