delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
196421,40225,8727,9412,15207,6979,-34393,-35879,-7265,-9042,-14085,-6183,-189871,-302,5439,-4994,-1642,7107,-149709,22665,11203,-5835,-8102,-3687,-155478,40162,35577,22967,12704,5764,4048,-841,12443,-6460,13290,-10794,easy
442070,40961,43141,25078,21838,11336,285857,17724,35299,-17743,-9810,17263,1047632,403948,36068,48623,23979,41268,-372992,-2507,-1309,-16908,-7457,4974,761775,-1420624,386224,-406455,769,-37377,66366,-65531,33789,-31436,24005,-36294,difficult
1089289,220540,25870,30134,53594,18327,-499614,-193526,-17292,-25975,-49364,-14263,-1064436,-216402,-23037,-28005,-50862,-16834,-957550,-205925,-19983,-27085,-49123,-13880,-564822,106886,-22876,10477,-5745,3054,-2030,920,-1498,1739,-2571,2954,easy
571342,119618,31141,48714,26612,13902,-28888,22620,-18541,50867,71041,-2683,1070588,360630,5533,-1247,11790,18437,-70288,-105416,-19907,-8773,-12412,-8377,1099476,-1140876,338010,-466046,24074,-25440,-52114,-7526,-59251,-24202,21120,-26814,difficult
423495,112682,14046,15315,13449,10828,290660,50142,7076,20665,166,4703,-378883,-102541,-6897,-8025,-6296,-9111,710931,-65691,146,-11461,-847,-5621,-669543,1089814,-152683,36850,-13973,7043,-28690,-3436,-6462,5449,-13814,3490,easy
568734,74404,24169,27741,21760,22232,-429018,-17382,9768,379,3243,1942,-401972,103399,20114,-13011,8596,-10518,714650,-30269,-7694,-13362,-10676,-15307,27046,1116622,120781,-133668,10346,-27808,-13390,-351,5353,-19272,-12460,-4789,difficult
1230761,279418,53249,63173,50602,40173,348199,-114889,-16044,22754,1265,34632,-893175,-251414,-28480,-56714,-40709,-29784,-1065782,-95204,-44464,-34893,-45239,-32124,-1241374,-172607,-136525,156210,-12436,-15984,-79468,21821,-41974,-4530,-64416,-2340,easy
761860,132516,39366,31492,21509,21413,305849,-46083,-11132,13232,40280,-5952,-691330,-97089,-30818,-17539,14567,-5234,892990,182287,-19549,5866,18434,877,-997179,1584320,-51006,279376,-19686,11269,-30771,23405,-25713,3867,718,6111,difficult
580586,158919,30579,19166,23208,15176,-388987,-30212,-3650,2761,1102,-8740,-39812,-40666,44834,27389,13729,38838,629832,97545,55520,18737,14224,3784,349175,669644,-10454,138211,48484,10686,24628,-8652,12627,495,47578,-35054,easy
537812,134643,21062,10231,15438,14769,-459834,-120672,-18615,-7664,-13636,-14040,155125,-127423,-13466,-6793,-9248,-12188,653008,440357,29255,46093,55397,35742,614959,497883,-6751,567780,5149,42721,871,52886,4388,64645,1852,47930,difficult
