delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1068797,107251,27953,15858,14488,49697,40472,36708,-1042661,-90289,-25088,-11584,-11920,-47750,-39486,-34676,-986796,-88055,-27455,-14845,-13071,-49094,-39947,-36616,easy
332684,157723,47219,19667,13569,19918,19080,10217,946631,-145011,-42197,-32,1862,8635,-10858,3239,-259158,-152236,-44539,-18024,-12411,-18295,-18601,-9770,difficult
121635,53567,16112,6800,5956,10181,6398,3553,33950,-37764,-9452,-1492,4171,-3882,5605,-841,262684,21770,-837,-4233,-3591,-8346,-4140,-1825,easy
1314787,263330,52454,27072,19902,67472,59115,48056,-1183299,-203226,-42170,-16378,-12867,-50000,-48679,-43985,-1107063,-236277,-44040,-25092,-16551,-66512,-57686,-47481,difficult
848503,306387,54283,40822,40379,53469,111431,50478,-226279,-218922,-31037,6529,-15605,27122,-84229,-16209,-772158,-206352,-47623,-37229,-30722,-46481,-103486,-39580,easy
1375797,148442,43127,39444,14500,38638,34190,22107,-1342135,-123767,-40073,-27388,-12705,-27319,-29425,-20290,-1279500,-140239,-20092,-35855,-2409,-19559,-17211,-4334,difficult
606203,101964,10339,42873,18866,15227,12253,20302,-529791,-87369,-7177,-40192,-12872,-10768,-6015,-16537,-591265,-99382,-6639,-41835,-14334,-10389,-4794,-16931,easy
640518,108136,7842,19143,6115,27622,16702,15632,-331466,-105879,-7266,-18245,-5564,-26844,-16424,-15384,-103135,-397,24871,-14404,976,-9665,-10541,-8599,difficult
459705,86931,8829,11821,7804,19292,7047,6591,715736,30670,9272,2691,7174,31643,7756,5412,1117463,30719,2478,52381,14241,42961,30572,9218,easy
128449,74000,13287,15057,5130,16430,20108,14164,-12207,-42507,2349,-7950,1706,-7626,-10916,-10631,-55481,-12613,-11438,-11116,-1464,28400,-10872,-7588,difficult
315343,19143,7889,4785,4267,5758,12241,3525,-291569,-5524,-6435,-2280,-1425,-554,-6247,32,501132,24439,2512,29308,13371,6258,-4602,4882,easy
1344705,199129,54490,78028,31914,26887,40425,37585,-82078,-166712,-12775,-71492,-14630,1326,-10717,-23976,-310276,-181686,-44247,-75780,-28132,-17642,-36270,-34015,difficult
