delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
62987,12164,4075,11205,5088,5372,-37591,23190,30129,-2375,4180,12951,-53706,6682,794,-3610,720,1843,5260,252,-850,-4279,-3791,-1225,7318,-9084,3030,6105,-2884,7604,-54508,-7567,6634,-7960,-4205,-4423,-16115,58966,2058,-61826,-16508,-6430,-9336,1517,-29335,-1644,3880,3604,-1235,-669,10384,-14065,-3460,-4511,907,-1321,-11108,-3068,8829,-12027,easy
165923,42645,14137,7351,12689,19804,-157153,-32905,-11035,714,-5982,-5483,-31376,-30925,-9810,-6422,-10823,-18763,-146703,-18304,621,19813,2136,-1177,-163720,-25479,-10768,-344,16567,-3978,-139505,-22800,-10918,464,-4847,-5397,125777,-115327,-17017,24215,1980,12621,-7175,2679,1225,10431,-11389,-150,-7136,26235,-20157,808,-4841,12959,14431,-21414,-13280,17586,-2801,-1419,difficult
58405,31529,6160,21493,8619,7954,71160,21030,-5082,-19991,-6707,-5594,1151958,45025,2954,5622,7180,4028,-46489,-6049,-675,-20198,-1185,-4601,-53218,-29024,-5199,-18334,-7689,-6045,305271,-14041,25420,-14257,-6534,-2607,1080798,-1198447,-6729,358489,23995,-51074,-22975,14983,8036,-3629,-4524,30619,25613,-25820,1864,4077,13887,-8365,-6504,1155,9622,-8629,-1444,3438,easy
68918,12803,3857,5590,6104,8469,114719,52527,2679,6704,-2949,-4417,6973,53025,20093,-369,12658,317,-44224,-2169,569,4485,298,2620,-29901,22902,12181,13585,-853,7035,-22999,-3938,6347,6137,3681,12889,-107746,-51197,14323,6902,498,-55194,25071,-26840,17414,-19524,11612,-5834,-7073,4854,9100,-7448,15607,-12360,-1151,4534,4734,2303,4415,5854,difficult
37710,28219,6216,2294,10633,5082,-6799,-12338,-3441,131,-7053,-1615,-20317,-23778,20024,11748,-5391,16452,-17579,-19569,-1588,7864,4670,4938,-3152,21928,4206,1122,-3574,4186,153217,9725,2396,-156,-6837,-2871,-13518,2738,14427,156369,-11440,4209,41497,-12203,23465,-21612,5794,-1810,11617,-3884,-6742,-1278,1662,10061,-8244,-3263,18067,-11514,-752,-7057,easy
360268,44134,7590,11348,5641,9231,-252709,-20951,-5488,-8516,-2216,-6364,-335597,-28724,-3322,3111,499,-124,-353178,-40618,-652,-2533,1418,4832,-352980,-33339,-3277,-4243,5167,-857,-173872,10001,-2187,-7042,-3169,-5888,-82888,-17581,198,179108,-7773,-11894,7279,43340,2166,2670,-2625,1090,11627,-5644,-1710,-2799,2715,919,3749,-8336,6240,4956,-5689,-5031,difficult
28612,12211,5608,4334,4635,18260,-22188,-8472,-3077,1629,6833,-4996,3159,111677,1425,12511,24682,-7807,-20358,-9459,-4503,-2945,-1326,-16375,166945,17289,1029,2121,-1733,-12261,-11800,13486,5961,2657,5911,-11104,25347,-23517,187303,-178745,120149,-121136,26748,-3803,4502,-5928,5532,4932,10882,-15456,5066,536,17849,-26008,-407,7644,-2811,-8568,4114,1157,easy
204143,37416,9249,4658,10344,9556,-37466,49667,-4061,1906,-5811,-7845,-73099,-27033,-3608,-1297,-6446,-8382,-143196,993,7837,4927,-6126,-2827,-193747,-26705,-4317,-489,-8763,-8194,-187178,-32163,-1469,7149,-59,-3881,-35633,-70097,-50551,6569,-76700,28026,-27698,-5458,453,11445,-12154,2848,-3203,6224,-5416,7638,-635,320,-2637,8704,-537,5555,-5367,4313,difficult
15180,19174,10174,5964,3126,4012,-2170,-6513,-7922,9160,5896,14417,490,-10065,3990,9418,8540,17619,30463,-7765,-7893,-3098,858,-917,-11559,-5839,-6324,-1466,3301,11070,3716,-16693,-8490,-2586,4267,9912,2660,29973,-42022,15275,-3552,2300,1926,-10854,11912,-11883,1569,-2166,258,-12516,1632,-1120,2644,-7682,2443,966,3202,-18536,11987,-1158,easy
251516,31232,7565,12828,23100,11879,-209663,66651,36299,-9684,-17899,-7304,853784,-6583,16909,-4930,-16502,-2542,-239495,-14920,-3002,-10221,28022,-3412,-237832,-7319,761,8372,-4310,-7630,-85123,-1339,-3192,-10014,-20802,-9316,1063447,-1093279,1663,152709,-73234,-8337,7601,5980,-19390,-19911,3763,-3953,4754,-5291,18593,-18386,1397,44524,-32332,-16492,4762,-870,-4218,-1686,difficult
43846,25201,3500,2108,2670,1482,-22797,-19579,-2024,605,-829,-476,-934,-4745,1907,6643,2488,5994,-32959,-9419,-2710,4995,2712,5253,-11642,-14429,5084,5245,-959,-266,272876,256920,41571,30180,18304,6785,21863,-32025,21317,284518,14834,-4674,-5010,271349,3931,-4617,7794,36487,6038,-1648,250,24935,3317,224,-3671,19263,6470,-741,-5519,7051,easy
112790,14504,8353,12751,8429,11707,-47326,46248,-7308,-9560,-6157,-4747,776790,315890,8773,8044,28924,7823,-111391,-9843,-7088,-11361,-7689,-10714,-59380,-5289,-7208,-8220,-4049,-5573,95767,57598,-4523,-6653,-5217,-8021,824116,-888181,52011,155147,269642,-325733,4554,62887,16081,-15861,-120,2685,17604,-19405,3141,1567,35081,-36613,3640,-1168,12570,-18537,5141,-2448,difficult
193122,45269,17232,6595,4263,3919,-186399,-38453,-10359,2957,-1252,1276,-189088,-37642,-12701,-2498,6254,4922,-186202,-40133,-6266,-3956,4659,781,-188823,-36772,-16384,-5188,142,512,-189519,-34650,-12892,12022,-1760,7625,-2689,2886,-2621,-696,811,-2491,3361,2122,-2342,6435,-10118,3492,-5455,-1458,-1232,17210,7506,-1595,-4517,-1902,3646,-4141,-269,7113,easy
91408,44179,2815,3055,5538,3745,-62387,-37631,848,-431,-4101,-1106,133162,170687,15188,22485,11945,7041,89385,-30763,2343,1493,-2956,-1122,-88208,-41510,-1839,53,-2883,-113,9641,92559,9390,13174,-2025,3366,195549,-43777,-177593,97849,208318,-201450,-10747,134069,14340,-12845,-4182,11229,22916,-20992,-1440,13121,16046,-14901,73,858,8147,-8163,1009,3479,difficult
12872,15145,7498,2478,7205,6687,2044,-8038,-2066,320,-2631,-1106,-9439,-8582,-917,4683,594,-2626,-11089,-9511,-6760,2355,-4174,-4077,-6084,-8710,-2734,13819,-418,1596,9131,-5277,-6583,-1129,-6693,-5671,-11483,-1650,5005,15215,-544,-929,801,3433,1149,-5843,4026,-3849,4363,-2328,11464,-14948,3225,-4768,3756,-6275,-1520,-1451,5673,-7267,easy
