delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
994670,85067,24092,18330,7491,5644,1973,2225,276685,151382,10562,46348,7591,17804,11436,5249,-81281,330345,185036,76537,25353,16685,22753,13282,1211086,60344,107907,53128,29657,25053,24555,3393,-622522,-12971,-5829,-5082,2379,-1429,976,352,-357966,1292367,-1833608,178963,-270001,-73315,174474,-77129,-113736,30189,-23409,-58210,17762,4304,-27278,-1119,8368,-26482,11317,1802,-23579,8033,-9889,-3041,easy
1291178,258449,17094,65287,16585,17750,7692,5840,-138862,263739,154592,57865,189750,32080,35845,26912,-1209226,-213920,-4392,-43528,-9473,-13248,-1923,-4539,-33933,-140511,12898,15273,20266,-889,-1434,-2652,-1228969,-177228,-13628,-48045,-10669,-11502,-6368,-4040,-1070364,1175293,-1195036,-477659,73409,-36717,-158984,17290,-26526,-101393,58801,-63318,-199223,29739,-30935,-45328,12359,-10613,-37768,489,-4934,-31451,1887,-1388,difficult
560526,31454,7478,3389,2181,1871,1452,857,2011389,1123097,37127,36222,43565,40260,26911,14961,-458135,12763,769,12482,575,14,-206,-233,-330016,52516,-1620,-1518,-646,-509,-742,-55,-117755,49940,11430,19989,2449,515,1585,750,-2469524,128119,212261,-1110334,39753,-2576,-36358,-2389,13050,-23740,-14000,21507,-42990,-1221,3095,-40246,-523,1024,-27117,-536,2327,-15194,178,805,easy
334453,163832,11661,35768,21500,16900,5709,5998,1215369,69459,84740,-17102,3651,-137,5069,10820,1224189,509134,101604,19514,-633,796,5444,2118,-172082,-126160,-698,-19667,1625,-12711,1218,-3612,409544,5933,38282,-3661,10702,-4394,8579,8649,8820,-1396271,581626,439675,-635294,132093,16864,-102302,38980,36616,-39181,16006,-4284,2258,9077,933,-13507,8317,375,-4226,7361,-8702,-5730,12261,difficult
644996,103626,19129,19834,11607,7460,3905,1861,230439,-71837,24318,751,-4407,1948,170,194,398539,371043,63817,20533,5057,6058,4198,4819,-596621,-92846,-14629,-18749,-10953,-4808,-2380,-700,625612,11680,13540,-4810,-2049,1390,-1484,-131,168100,-995160,1222233,442880,-463889,104526,39499,-78446,28169,19782,-39282,13939,9464,-16010,8904,4110,-10866,6198,4028,-6578,896,4625,-5519,569,easy
408646,95848,9136,18480,8169,5607,2657,1834,422473,142904,36534,85267,3373,33261,5251,3705,-5969,-62156,3810,3819,1399,3667,1695,908,-378974,-75929,-5867,-16126,-5335,-4694,-2241,-1462,172600,-22046,16457,-13265,-2051,-2183,-931,148,-428442,-373005,551574,-205060,-13773,53883,-32724,-9677,22324,-81448,-19945,2861,-1974,-6734,3284,-29594,-8361,2511,-3556,-3936,1310,-2797,-2370,1610,difficult
987236,252508,34629,21314,9519,10013,10359,3366,698520,-186079,-6894,-6626,-5641,-4463,-7644,-2499,-956586,-247406,-33049,-20160,-8449,-8955,-10073,-3025,-824018,-197396,-29928,-19627,-8586,-7536,-8794,-2646,-743595,-193419,-30454,-17826,-5991,-8351,-9227,-2727,-1655106,132568,80423,-61327,50010,3977,-26155,3121,-526,-13534,533,1801,-2808,-137,2595,-4492,1419,-815,-2429,1279,-433,-526,379,-81,easy
917831,105852,110643,79977,41771,24730,22639,8038,-703077,-35724,-102655,-64288,-37891,-21149,-20078,-6188,-725620,-89447,-107980,-76278,-40473,-22338,-21641,-7522,-795728,-62316,-105667,-75362,-26156,-22558,-19572,-5167,-756296,-81241,-98965,-74743,-36385,-22078,-16081,-6317,-22543,-70108,39432,-53723,27131,-18925,-5325,2313,6702,-11990,916,619,-2582,14317,-10229,-1189,-220,480,-1563,2069,3491,-1334,2355,-1150,difficult
715830,66767,32333,22743,14292,7183,5605,4334,-188580,-65,-29184,-13981,-11453,-4370,-4302,-3462,863438,60999,-3432,2881,-2110,7734,-1046,14598,963827,96059,45886,19257,-673,4026,1276,2261,-86182,220041,28470,-18082,-4427,-1540,7765,-1430,1052018,100389,-1050009,61064,35060,123982,25752,49318,-17416,16862,16376,-37339,9343,1437,-3754,12104,-3708,-5566,3256,2322,6489,18060,-12337,-3691,easy
975498,255312,50279,36179,13937,18045,9532,5874,998066,-178558,14016,-14896,15938,8230,-3166,247,683263,-177654,-37407,-4852,-3487,-13855,-7137,-3635,42991,-45661,40541,-19632,16602,-5080,-1047,-3592,-345180,-217580,-19418,-25836,-12202,-15249,-6909,-3856,-314803,-640272,-388171,904,131993,-171919,-51423,77948,-59959,10044,-14780,-6204,-19425,20089,-28804,-22085,8775,-10169,-3971,6090,-5862,-3882,43,-264,difficult
885766,89685,14196,19553,19221,13294,7655,8188,-602002,-65628,-11720,-16894,-8446,-8939,-485,-3972,353933,64647,56757,-3196,-12209,-2501,-1691,-5434,-476095,-71443,3493,-7492,-10976,-7421,-180,-2644,-273819,-80039,-12701,-16684,-16765,-10760,-6551,-6636,955935,-830028,202276,130275,-136090,-8596,68477,-53264,-16194,13698,-4296,-9192,-3763,1233,-5789,6438,-4920,-3339,-1206,1511,-6371,-1462,2790,-3992,easy
954185,589008,50808,133463,23332,23431,7953,7306,467928,-436694,39250,-65429,7456,-9270,6598,-2515,-165007,-376970,-23906,-114753,-289,-7799,1248,16646,-283945,-548963,-36733,-126601,-20983,-18629,-6582,-5529,-725210,-547115,-3922,-117829,-16401,-16566,-6981,-4262,-632935,-118938,-441265,59724,-171993,1848,-63156,-12827,32811,-49324,-11848,8772,-7745,-20694,4582,1471,-10830,2063,-5350,-7830,-399,19161,-22175,1267,difficult
977969,204799,25690,37995,30085,31453,13418,6299,-696378,-153494,-12362,-16439,-24221,-24237,-10164,-686,299476,-92232,-3020,12236,59995,-10656,8922,17523,-559454,-186825,-17271,-5496,-24637,-25788,-9503,-4213,-138778,-156109,-22034,-30839,-7128,-22940,-11823,-4719,995854,-858930,420676,61262,-94593,30716,9342,-14251,-4763,28675,-17732,-25343,84216,-84632,17509,13581,-15132,2848,19086,-18425,-2320,18209,-21736,-506,easy
406339,73798,36532,44502,19102,12111,5360,3018,-84014,29571,23277,29985,18104,10942,11519,6282,-23787,43170,-11534,-6919,-14539,-3735,-1848,-1055,-83217,-5629,-27974,-39811,-12133,-7520,-2970,-658,59042,149246,11782,-10960,7105,-2203,1535,3582,60227,-59430,142259,13599,-48799,154875,-34811,-16440,39756,-36904,-32892,28851,-32643,2406,19238,-14677,-3785,5317,-13367,-1122,4505,-7337,397,4240,difficult
636725,124016,51753,72923,30126,12789,6522,4101,386965,183531,-10676,-52011,6854,8628,3651,3080,1137581,20776,77332,-27164,-11797,-1241,-2046,7508,-529505,-104867,-50478,-69482,-28025,-10404,-5892,-3733,1354828,-27181,-13669,-56560,-19340,4099,1497,848,750616,-1667086,1884333,-162755,-125643,77686,88008,-127810,36809,24847,-42318,12922,-18651,-16228,8685,-9869,-9163,14503,-5697,-3846,7389,4428,-11241,4581,easy
1125276,426498,107439,42379,19187,18712,9441,5909,612413,-124187,6355,54216,40974,49465,14431,13293,-54358,-317597,-48957,1130,-13602,-1792,-1108,5562,-725599,-92374,-60261,-33539,-8308,4317,19657,3041,-249553,-289781,-82866,-37321,-7396,-12968,-2706,-2535,-666771,-671241,476046,-193410,225223,-197407,-55312,-11304,-22605,-53086,-34669,-3782,-54576,5294,912,-51257,6109,-17285,-15539,20765,-22363,-7731,-2521,-5576,difficult
1015541,288527,95459,88237,42767,13409,15393,7896,310708,-120958,-45858,-63022,-12930,-6562,-9918,1724,763977,180669,-24801,-56732,23178,52056,-229,9652,-647654,-266508,-87402,-84835,-40191,-11923,-13616,-6842,349513,-114802,-70456,-60327,-26995,-3182,-13158,-5545,453269,-1411631,997167,301627,-447177,151706,21057,-62601,16946,6290,-28103,24508,36108,-63369,13196,58618,-63979,8741,9689,-13387,458,7928,-16494,1297,easy
761555,333573,32760,27968,15361,9766,5231,4798,-500733,-307720,-24643,-11633,-10243,-7064,-3936,-3208,1240768,84473,143152,124876,9587,35768,30234,15409,-182603,-273272,-21057,-20553,-11419,-5935,-3292,-2435,1144125,-285102,-2643,12320,-12715,12700,-3028,-677,1741501,-1423371,1326728,392193,-357745,-11830,167795,-164209,18414,136509,-145429,32873,19830,-21006,-1296,42832,-41703,18635,34170,-33526,264,18617,-17844,1758,difficult
995890,85013,35203,17084,8189,9496,4507,3239,1006766,408912,256929,382333,71201,23240,25919,11025,-539881,-62561,-29309,-12594,-5903,-4856,-3827,-2682,512743,332882,-18054,-9319,5906,15647,1024,-129,-690997,-67266,-24640,-14206,-1343,-7601,-2533,-89,-1546647,1052624,-1203740,-471473,395443,-400148,-286238,11255,-6586,-394927,3275,-4887,-77104,11809,-7249,-28096,20503,-23248,-29746,4851,-3557,-13707,2553,40,easy
1080950,176577,13426,6471,6142,3629,4160,3159,-734142,-138643,-10031,1034,-1510,-678,-2005,-1363,-679125,-167749,9789,8432,-3712,-1836,-2022,2028,-411651,-24225,111961,22056,8582,8635,1487,5414,-581159,27121,43073,20560,7334,6312,8142,9385,55017,267474,-169508,-29106,143524,51346,19820,102172,-68888,7398,13624,-1496,-2202,12294,-1248,-1158,10471,-2323,-17,3509,6655,3391,3386,3971,difficult
881333,77098,23743,27307,13698,11382,9293,4800,-277876,24860,-5836,-17328,-9174,-4535,-4213,-1455,743785,-26329,-11578,-23116,-10968,-6743,-5926,-3729,709567,-26698,1022,-11580,-3313,-2407,-3220,1440,252600,141421,-8273,-5720,-8681,3853,1733,4166,1021661,-34218,-456967,-51189,-369,168119,-5742,12600,-9295,-5788,11536,5860,-1794,7655,-5368,-2208,4336,6260,-1713,2706,4953,-2274,5169,2726,easy
838456,216464,45711,55666,24792,14892,10167,14186,1455962,241364,110980,94295,-7194,23519,9190,7763,-483712,-89998,-20996,-43244,-13830,-8058,3062,-9561,-302347,-125327,-17713,-38032,-9127,-9812,-5640,-11526,409382,-166427,-25335,-11422,-18393,-6620,-4243,-10195,-1939674,181365,711729,-331362,-35329,-41100,-131976,3283,-7622,-137539,5212,26610,-6636,4703,-9266,-31577,-1754,3192,-6128,-8702,1397,-17324,-1965,1331,difficult
993590,171596,63130,93386,54177,25330,9513,17320,-751725,-141595,-38150,-77390,-51214,-22297,-5966,-15669,-784029,-154683,-52994,-78381,-52122,-20183,-7215,-14923,998784,33275,-30448,-76649,-39622,-1080,-2078,-12730,-611266,169598,-47911,-77686,-43664,-12969,-4410,-12960,-32304,1782813,-1610050,-13088,187958,136323,-14844,22546,-17463,-991,1732,-1037,-908,12500,-4042,2114,19103,-11889,-1249,5137,-2332,746,2193,-230,easy
1351336,206127,25316,24690,30191,9430,7834,4431,161603,162363,102017,-1863,-16030,5510,-4030,-886,-619297,-107589,5576,-10819,-10841,156,-3959,-577,-1042537,162766,24962,4796,-13045,527,-2609,6242,-1088230,-175950,-2979,-20313,-26858,-7425,-6282,-3795,-780900,-423240,-45693,-269952,270355,-338716,-96441,19386,-27941,-8956,15615,-25109,5189,-2204,-13813,-5354,371,-7952,71,1350,-3673,309,6819,-10037,difficult
624464,425007,34076,32524,27418,13198,11918,14349,-415861,-388589,-28166,-30468,-22922,-10039,-10203,-13828,65052,909230,176516,4385,4193,37566,-1512,11591,568828,-345515,-22826,7073,-22569,-5550,-8073,-9524,-200472,-315038,-24554,10771,-20587,981,-8363,-8744,480913,503776,-769300,1297819,-1254745,30477,204682,-199342,-1728,34853,2688,3698,27115,-26762,1982,47605,-43116,6531,8691,-6561,-290,25419,-21115,780,easy
1236212,484644,136757,104842,39142,25074,15261,14550,-643277,-405232,-128032,-98683,-36491,-21604,-11885,-13031,-1154319,-392797,-133422,-93215,-34020,-22429,-13047,-13930,-591356,-121683,-10086,-81970,-28376,-18714,-8562,-11012,256845,-445540,-127303,-38784,-31337,-15043,-11198,-10021,-511042,562963,848201,12435,271114,-323857,-5390,123336,-117217,5468,11245,43186,2471,5644,-2961,-825,3715,3671,-1162,4485,-2636,-899,2918,991,difficult
668752,110618,36190,32476,13117,12591,3550,3158,747806,414561,76551,-10193,-3063,-1301,5443,2496,1986748,-15586,13654,-11862,16507,-8307,567,7423,1072700,942704,-2297,36809,15119,47021,7847,13575,130011,-55013,-14232,6123,-4522,-3095,4469,906,1238942,-914048,-942689,-430147,958290,-997717,-62897,-15951,-11935,-1669,48671,-30686,19570,-1388,-19641,-7006,55328,-50116,-4876,7280,-3378,4927,6152,-12669,easy
896491,82916,59270,22216,16031,17886,10037,10015,-155878,39985,-3944,11398,6960,-4018,-939,-4719,1028716,46102,-42341,30519,-383,-4069,4043,-5350,-716946,-59019,-47227,-20554,-1813,-15811,-8415,-9282,1488086,172491,117413,118588,45724,46043,16239,7644,1184594,-1745662,2205032,6117,-105121,231510,-38397,-4886,164640,19121,-51073,139142,-7343,-1430,47537,-51,-11742,61854,4982,-12458,24654,-631,-3932,16926,difficult
671994,213395,45141,54005,23045,12741,14281,16673,326653,-61993,7557,-38804,19730,22680,-414,-10241,3016402,-14189,-32993,64804,18424,6773,800,-12706,736113,767444,39929,118313,-3087,1643,17231,-12431,1636929,130239,-27700,-19632,12475,10945,-3083,-10423,2689749,-2280289,900816,47804,781633,-637205,-40550,72922,-67629,103608,53509,-137945,-1306,-21511,15562,-15907,-5130,9302,1214,16431,-20314,-2465,275,2008,easy
1005120,74104,14184,27648,5812,8686,3480,4070,935169,220205,124296,91711,68549,41844,22520,7902,-945377,-25242,-8153,-25791,-1681,-5714,-1636,-2604,-820652,-24800,-6665,-24407,-4980,-7062,-2290,-3120,2067352,138570,166962,12589,27918,18480,35097,14745,-1880546,124725,2888004,-245447,442,163370,-132449,1488,173627,-117502,1384,36996,-70230,-3299,32898,-47558,-1348,25542,-24156,-654,37387,-10506,-516,17865,difficult
538915,113801,15656,17652,2758,10430,5500,2579,963301,21931,-12109,-6213,11208,23965,595,3262,847145,-90813,-13435,-12006,-825,-8341,-3047,-998,-338385,-43050,32582,-13340,7114,-5943,-2421,-1233,689002,-61881,36274,-3407,17177,-3907,1978,-876,-116156,-1185530,1027387,-112744,47763,-18831,-1326,46017,3692,-5793,-1334,9933,-12033,7939,10063,-32306,2398,2036,-3642,626,4399,-4260,-235,357,easy
183704,19954,7894,4303,2764,2174,1204,899,93404,144457,36828,27576,6589,10461,2819,9270,430104,20674,23230,-2604,535,-627,266,1742,-39315,32503,874,7746,-1368,3345,212,21,403238,30601,14477,4822,1774,-203,1278,1957,336700,-469419,442553,-123783,11829,-1902,-13598,-22356,13603,-30180,10350,-2924,-6054,-1903,3142,-11088,3972,-3548,-2553,-54,1066,-7528,-1721,1936,difficult
604052,429768,53191,66146,24780,17079,17779,8496,1765263,-340371,-6625,23144,-15205,-4285,-6565,2059,-307425,426327,116128,-15456,4977,7536,-8957,-556,264282,-294495,-23979,-6319,17035,13257,-10397,3657,-534437,-394973,-37682,-57154,-15045,-13642,-16336,-7142,-2072688,571707,-798719,766698,-720822,-100478,122753,-140107,-13703,-38600,9137,-50835,20182,12058,-32080,11821,5721,-26899,-2392,-1440,-5939,-2615,4213,-10799,easy
872902,597101,96011,50977,41617,17821,10663,11483,1172872,-148531,-14485,107199,34971,13343,9947,-916,-43472,-555125,-51036,43120,-35812,-8076,-1163,-7196,-707113,-587645,-92332,-47247,-41112,-17009,-9876,-11336,-518351,-318560,-27886,-3565,-36504,-7437,-4732,-7076,-1216344,-663641,188762,-406594,-32520,269085,-36551,-41296,64446,-64079,-90367,43682,-70783,-5300,4608,-21419,-8933,9572,-11110,-8713,5144,-6280,-4140,4260,difficult
