delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
212900,93387,22795,11691,12609,10659,8698,3114,-6742,-30634,4443,3694,-377,1363,592,-333,-179719,-76329,-18039,-8150,-8069,-9032,-7091,-2650,-97581,-58197,-19835,-10641,-6073,-8434,-7206,-2153,-172977,82138,-45695,18132,-22482,-1796,-11844,-2491,-7692,1996,-10395,598,-7683,-115,-2317,497,easy
858279,240123,41768,24658,18168,16049,13325,12518,94440,164538,51499,33048,10956,-8858,-4257,-437,-221178,330581,117793,-4378,5350,10838,3336,18941,-739096,-223831,-39378,-22735,-16337,-14570,-11723,-11806,-315618,-517918,166043,-554412,66294,-157171,-37426,-18357,-5606,-21687,19696,-25408,7593,-15059,19378,-30747,difficult
128161,56052,23799,8001,9915,8674,4185,3552,7429,179735,17959,17761,1778,1882,-315,-733,-93925,-18609,-18149,1744,6768,-103,-632,-1320,-122289,-27971,-17976,1640,-7480,-6312,2474,-1303,-101354,-28364,-198344,-9362,-36108,173,-16017,-104,4990,-14248,-1985,-6209,-317,3106,-587,17,easy
864882,74060,29230,22627,20035,15110,5492,4780,-634088,-36603,-27524,-19006,-18944,-13022,-4550,-4536,-680757,-36418,-21138,-17233,-18287,-13275,-4813,-3682,-741166,79984,10608,-161,-14927,-3514,9727,-1439,-46669,-60409,185,116402,6386,31746,1773,17072,657,3360,-253,9761,-263,14540,854,2243,difficult
800640,177063,73377,13965,26206,12903,10517,6685,-125015,-62925,-65488,33213,-8345,-52,-2489,8358,976700,330983,-29900,17431,-5278,1212,-1787,3209,-585748,-110730,-55883,-11621,-22666,-11709,-8225,-4914,1101715,-1562448,393908,-441713,35588,-25983,-15782,-29052,3067,-17388,1264,-12921,702,-6438,-5149,-8123,easy
226067,12296,8596,6443,5593,6702,4505,2120,-217733,-9134,-4208,5109,-792,573,2384,489,-9945,14041,1773,10334,1846,-3604,-3059,-1213,-7772,22555,-5830,-4651,-3881,-3858,-2358,-1350,207788,2173,23175,8514,5981,-7603,5225,-14985,2638,-5727,-4177,-254,-5443,701,-1702,-137,difficult
156050,18875,22341,9135,5919,4295,4580,1305,437840,47418,15019,1320,6137,2951,-427,406,1228031,335256,241,-2293,8426,1377,4948,2894,145326,66777,4278,6148,1463,-532,1387,2314,790191,-1082705,287838,-268479,-14778,4037,-3613,8441,2289,-6963,-1574,-1909,5375,-3561,2488,-580,easy
252879,36233,18422,6570,8218,4675,5362,1469,-148885,110310,38385,16564,-2361,3769,1984,1461,-124834,1496,-15773,-5428,-2154,-1235,-3366,-741,-162263,40437,-13361,-5636,-5018,-2855,-4233,-256,24051,-37429,-108814,38941,-54158,2412,-21992,-208,207,-2864,-5004,-1620,-5350,-867,-2202,485,difficult
662479,130782,28987,15587,23966,16646,13325,5471,177260,-46839,3228,-2661,-10180,-10468,-10428,-4214,-545097,-88142,-26710,-2494,-21341,-14670,-10696,-4369,1285972,22514,42443,46605,-17914,-5650,-3446,-2292,-722357,1831069,-41303,110656,-29938,69153,167,49099,-11161,3427,-4202,9020,-268,7250,-155,2077,easy
93853,44962,21330,14417,6918,8094,4001,4054,-36827,-27293,-11494,-4405,3020,-5749,-2033,-1792,164166,224528,-9964,-10249,1238,4752,12880,2300,548446,135065,-3715,-2014,58955,3048,1769,-44,200993,384280,251821,-89463,1530,6249,-5844,8235,-1782,57717,10501,-1704,14913,-11111,4092,-2344,difficult
335090,81149,15320,17910,16812,28149,14508,16849,559586,22309,-9702,-9777,-3878,-20082,-10776,-13340,1002753,-27600,-7815,-16868,-11358,-18386,-10527,-14909,628388,226376,-1207,13089,6169,-2146,-2733,-4960,443167,-374365,-49909,253976,1887,6608,-7091,29957,-7480,17527,1696,16240,249,7794,-1569,9949,easy
231294,60796,13096,10322,17791,9798,3161,4419,3026242,64148,11190,9904,-11057,7618,9453,253,-91427,-46181,-8536,-6714,-12364,-8165,-1520,-3885,-32059,100208,-800,-8863,-7887,-5885,3448,-1416,-3117669,59368,-110329,146389,-19726,7736,-16618,-2149,-1307,4477,-15783,2280,-10973,4968,-4138,2469,difficult
492672,98103,25630,19279,15955,13105,7711,4801,-257937,3606,-8136,1752,-13419,-5928,-4437,-1897,-332252,-80975,-24695,-17605,-14746,-12335,-7114,-4282,-363031,-79548,-18810,-15252,-11685,-10826,-4152,-2236,-74315,-30779,-84581,1427,-16559,5885,-19357,2353,-1327,3061,-6407,1509,-2677,2962,-2385,2046,easy
171937,24097,6421,7341,4432,4097,15577,3339,137951,32485,7626,-2321,-1498,-2441,-11496,-2270,-84827,18250,-4687,-5322,-1698,-2583,-15304,-2842,67431,58447,21356,22049,21284,7352,-10406,402,-222778,152258,-14235,40197,-12313,26043,-3001,27371,-200,22982,-142,9935,-3808,4898,-572,3244,difficult
100046,38567,5244,6748,3725,3552,2395,1802,49457,-25190,-4082,-3444,-2178,-40,-905,-1245,-48097,-28467,-2106,-5117,-1935,-1057,508,-829,-75714,4379,-2864,5261,4671,6416,12467,4992,-97554,-27617,-3277,32846,1976,-758,-1673,10378,243,6606,-1017,7473,1413,11959,416,5821,easy
295074,52475,10400,8808,10341,6893,6329,2242,-58248,-36718,-4491,-6871,-9152,-5859,-5306,-1987,486464,-21102,1750,-5922,-7020,-4224,-4464,-1317,-224615,36291,11378,9982,4082,1009,633,5329,544712,-711079,15616,57393,6241,9628,949,15904,2132,11102,1635,5233,842,5097,670,6646,difficult
180140,65910,23995,17014,11162,8622,5478,3968,-144869,-56248,18010,-8794,-1256,646,1786,-451,93234,-10559,-9908,-13835,-6267,-5714,-4321,-2758,-163951,-50151,-23497,11303,391,-1746,1211,-2634,238103,-257185,45689,-39592,-27918,-13589,-5041,25138,-5011,6658,-6360,3968,-6107,5532,-2307,124,easy
93960,31843,8323,6333,2077,2264,1073,851,334087,84384,-2613,1137,4322,1845,1366,272,535557,72838,17565,13754,18667,3850,7906,2795,66350,37504,7882,8997,5216,3677,3204,9,201470,-469207,-11546,-35334,20178,-9683,12617,-4757,14345,-13451,2005,-173,6540,-4702,2523,-2786,difficult
38483,14985,5723,7111,3060,6944,6929,1486,35794,47502,-3987,-3815,-571,-4743,-5581,-98,222733,31116,-3482,-1653,-606,-4833,-3743,2974,153831,67803,2207,4481,11550,-3042,-4349,-791,186939,-68902,-16386,36687,505,5689,2162,6134,-35,12156,-90,1791,1838,-606,3072,-3765,easy
34630,29344,7631,13334,6444,8672,5783,5489,151632,-5462,-170,-10889,-3863,-7417,-3521,-4515,641840,57209,25212,12900,9981,12155,1584,1423,193768,1693,1152,3310,4905,-5681,645,-2319,490208,-448072,62671,-55516,25382,-24060,23789,-9590,13844,-5076,19572,-17836,5105,-939,5938,-3742,difficult
288068,91099,17017,46278,13118,13880,14126,6342,1653459,31652,-4806,-45488,5987,18598,20631,6615,397133,-47919,155,-40838,-4384,-7043,-6683,-1367,1476784,-6787,-10479,-35430,69070,32329,-1095,6644,-1256326,1079651,-79571,41132,4961,-10634,4650,5408,-10371,73454,-25641,39372,-27314,5588,-7982,8011,easy
766097,83240,50553,12258,12546,12559,10949,8292,-552981,27917,-40757,-9561,-6166,-9311,-10052,-7698,-425087,-74856,-38997,-5976,-12132,-11488,-9213,-7127,-723684,-66301,-46946,9454,-11948,-9493,-9883,-7863,127894,-298597,-102773,8555,1760,-7949,3585,15430,-5966,184,-2177,1995,839,-670,571,-736,difficult
445345,108545,36632,22285,23012,10848,14798,11490,1193166,-40551,46488,22091,17839,7068,-8182,-9739,1334409,-44454,-36317,874,58678,44093,7136,-4762,476884,610751,100610,65937,89339,77407,10888,-5313,141243,-857525,-3903,655205,-82805,136927,-21217,65063,40839,30661,37025,33314,15318,3752,4977,-551,easy
75531,18471,16416,3720,2950,3327,3150,3495,80374,-12818,-14341,3477,-1489,-1954,-1747,-1225,475474,64113,935,6516,22974,7567,8899,7582,34921,899,-12945,-1943,-145,-2544,433,-2528,395100,-440553,76931,-63214,15276,-13880,3039,-8459,24463,-23119,9521,-10111,10646,-8466,8807,-10110,difficult
267125,53607,13121,11907,24161,9658,4448,1471,113078,-31654,5561,-9229,-20453,-8433,-2119,-363,-91323,-31539,-6032,-2783,-17678,-7582,-2776,-416,64589,82732,13359,9446,1862,-3111,-1209,1335,-204401,155912,115,114271,-11593,19391,6446,12229,2775,19540,851,4471,-657,1567,-53,1751,easy
1213135,141815,20861,8761,15760,14269,7731,5660,-422551,-130787,-14806,-2479,-11857,-6380,-5281,-4469,281211,-129808,-5232,-7429,-10939,-11255,-5058,-4393,318178,-75703,-16879,7515,-7719,5232,15240,395,703762,36967,979,54105,9574,-11647,-4950,14944,918,3220,-4875,16487,223,20298,76,4788,difficult
648314,82367,16562,18904,17874,14014,12407,7780,-553210,-44493,-2325,-15169,-16463,-11936,-10602,-7181,-610286,-57453,5266,-16771,-12887,-11289,-7221,3121,-518308,-13264,4356,-10222,-9833,-9633,-6807,-2831,-57076,91978,-12960,44189,7591,-910,-1602,6549,3576,3054,647,1656,3381,414,10302,-5952,easy
151530,90285,4734,9777,29554,9086,9113,5561,-85680,-73270,7767,2035,-20408,3556,-1404,1705,355671,147735,21198,27340,-10787,4794,6887,11190,64135,22264,26913,-3064,-27885,-1317,5720,6594,441351,-291536,221005,-125471,13431,5715,25305,-30404,9621,-17098,1238,-6111,8291,-1167,9485,-4596,difficult
750411,246148,34274,36939,7334,9098,8331,5180,792474,-85362,8810,1866,1263,16775,5603,287,475363,-178614,-24112,-29867,8694,-4979,3149,-1307,-275155,-91698,-15081,-25781,-873,4535,-1975,-917,-317111,-750518,-93252,86916,-32922,9031,-31733,4086,7431,-9567,-21754,9514,-2454,-5124,-1594,390,easy
638853,105548,41863,5206,14117,10304,7641,3257,58725,-10848,-24883,14286,10421,9132,6174,-4,79583,-41565,-29673,2442,-8456,10104,13603,7337,-190135,48084,-19903,4646,3722,-2144,-63,7175,20858,-269718,-30717,89649,-4790,9770,-11844,2204,-18877,12178,972,-12248,7429,-13666,7341,-162,difficult
165161,49553,10127,10594,11547,3480,2301,1470,1332469,389395,5608,3527,6592,16819,19709,5160,639860,185682,14169,11854,8314,14835,13157,8675,2513621,-2594,25815,1654,-3657,22293,24366,7894,-692609,1873761,-203713,-188276,8561,11646,8327,-10200,1722,-11971,-1984,7458,-6552,11209,3515,-781,easy
181974,52435,7582,7060,6342,8716,6148,2073,560577,-38896,-6450,262,-4915,-5756,-3367,334,1354274,-1230,32385,91943,11315,5749,5836,4433,47251,394011,7790,2579,25363,4687,-2314,2950,793697,-1307023,37666,395241,38835,-24595,91681,-89364,16230,14048,11505,-1062,9203,-8150,4099,-1483,difficult
50767,19991,4945,10704,4609,8063,4038,2790,63200,21703,-274,-8114,-1240,-4571,13,-434,384227,199647,910,116,-149,-3685,-468,848,245219,41547,-2147,-7025,2156,-2574,-2728,-460,321027,-139008,177944,-158100,1184,-3057,8230,-7141,1091,2305,886,1111,-481,-2260,1282,-1308,easy
1426420,121573,26355,33910,32169,19551,9017,9134,267365,-79201,1761,9156,-28821,-10153,9277,-4231,-1352517,-83521,-17947,-14579,-26936,-8924,-2761,-4359,-673983,-63885,-23858,-31370,-30176,-17253,-5516,-7390,-1619882,678534,-4320,19636,-19708,-5911,-23735,-16791,1885,-3240,1229,-8329,-12038,-2755,-128,-3031,difficult
773032,84077,12553,31198,23082,21026,14937,9554,118207,-283,-8517,-24922,-3229,-8537,-9302,-7469,1595965,129145,-11149,-22367,-2954,-8122,-3390,2931,-370509,47675,29580,-6222,1634,-13934,-10995,-4170,1477758,-1966474,129428,-81470,-2632,40729,2555,16145,275,4588,415,-5812,5912,-7605,10400,-7101,easy
268422,64827,11367,8968,4981,2552,2705,1808,793878,137161,-2676,4091,5967,11119,8434,11133,-218589,-57337,-7963,-5854,-780,726,80,828,709165,30907,948,8688,19396,2927,7980,4451,-1012467,927754,-194498,88244,-5287,8911,-9945,14542,-6747,20176,-10393,2201,-8354,7900,-10305,3623,difficult
64859,26007,4229,3495,3176,4079,1932,846,255989,18065,15511,2811,-865,-2348,-13,430,94464,-17455,-1099,1458,949,-1524,-557,246,64818,-11802,-2180,-1633,-266,-2525,-1532,-667,-161525,-29646,-35520,5653,-16610,-1081,-1353,-3091,1814,-1215,824,-1001,-544,-975,-184,-913,easy
639989,88010,10765,17499,20915,11647,20905,7321,138391,-75874,11673,-7901,-12275,15671,-10604,-3054,1065771,-749,6853,40423,27126,14055,8753,2876,792575,-3870,88520,-4237,6805,872,-4225,-2249,927380,-273196,75125,-3121,-4820,81667,48324,-44660,39401,-20321,-1616,-13183,19357,-12978,5930,-5125,difficult
833546,388894,47484,36500,12513,35582,47345,16404,-690377,-261711,-36125,-33694,-8945,-24968,-40620,-8706,-63976,-269743,-36560,-25125,4590,-12836,-36252,-5791,-614654,-221945,-43610,-29772,-3766,-28941,-41507,-13416,626401,-550678,-8032,47798,-435,-7050,8569,-4647,13535,-8356,12132,-16105,4368,-5255,2915,-7625,easy
516615,109116,3084,10841,15784,13011,13745,11093,683613,-63615,14974,-9632,-12272,-5744,-4797,-7355,166808,-16058,55365,10612,-1655,4845,-1274,-6331,515441,7226,71432,47176,13212,127393,4176,17509,-516805,348633,47557,23284,40391,16067,20244,36564,10617,14867,10589,122548,3523,5450,1024,23840,difficult
227873,30600,6170,5994,4468,4211,5980,5355,1029020,-16678,4260,10625,4502,3032,1501,-1045,-97725,-5656,-4933,-3949,-2543,-2526,-2308,-4679,-102658,22111,2127,17337,18703,7227,3440,-1929,-1126745,-4933,11022,27767,-9193,7060,-14574,21286,-7045,21246,-5558,9753,-3809,5748,-3634,2750,easy
1174262,124914,32716,46155,13165,35550,17513,8327,-965973,-85026,-28670,-33452,-1459,-27269,-5689,-3386,-649613,-42619,-23232,-40282,-3207,-24155,3024,-4875,-99510,1260104,52264,-27635,153147,92024,9182,4139,316360,550103,42407,1302723,5438,75496,-6830,12647,-1748,156354,3114,116179,8713,6158,-1489,9014,difficult
327586,32790,59095,20386,8502,18068,6175,1815,11856,1806,-28581,7645,12639,2790,6230,2401,1328733,230753,-26369,1233,8550,-7512,4907,4284,-236612,-8250,-49631,-15080,-7014,-13662,-3324,-374,1316877,-1565345,228947,-239003,2212,-23262,-6412,-16313,-4089,-15564,-10302,-6150,-1323,-8231,1883,-4658,easy
678308,169988,34971,15226,10632,9549,4922,4284,-563858,-151753,-26489,-8683,-2552,-6658,-3913,-3766,-563858,-151753,-26489,-8683,-2552,-6658,-3913,-3766,-655377,-166497,-32784,-13563,-9374,-9102,-4362,-3973,0,-91519,0,-14744,0,-6295,0,-4880,0,-6822,0,-2444,0,-449,0,-207,difficult
528995,128886,11849,11338,12467,5148,5561,3125,-320785,-102391,-4307,-7988,-11282,-4293,-5056,-2832,-121568,41616,121552,43260,3211,1794,-2816,1875,9330,-84860,-11266,-10225,-8918,-2245,-4138,-2411,199217,130898,144007,-126476,125859,-132818,51248,-53485,14493,-12129,6087,-4039,2240,-1322,4707,-4286,easy
214747,29537,14142,12079,7948,6070,6279,1516,199017,181724,-7858,-2449,-4703,2977,-2759,271,113003,57891,-6779,-6161,-6409,-4812,-4738,-941,-63492,1646,-8573,-9450,-4168,-3752,-5025,-403,-86014,-176495,-123833,-56245,1079,-1794,-3712,-3289,-1706,2241,-7789,1060,-1979,-287,-1212,538,difficult
434235,143508,18196,19078,17055,7769,6964,5880,1059926,-23139,5499,3003,-2473,13,3439,5128,-347632,-97198,21801,-13963,-7148,10108,-1191,-2081,-258649,46739,12019,20985,3524,149,-427,-1213,-1407558,88983,-74059,143937,16302,-9782,-16966,34948,-4675,10672,10095,-9959,-4630,764,-7209,868,easy
320161,25348,6748,8973,9242,6754,4100,4824,1934715,24226,30846,90,13488,104,1244,-814,-271149,2720,-5856,-7123,-8478,-6054,-3571,-4389,-246645,-7678,-5998,-6744,-7853,-5585,-3200,-3772,-2205864,24504,-21506,-10398,-36702,-142,-7213,379,-21966,625,-6158,469,-4815,371,-3575,617,difficult
116261,118975,33918,13943,14163,9555,9463,4823,35350,-112428,-26238,-11038,-7821,-6205,-7773,-4091,3255827,44620,-9853,-3937,-64,-1236,636,3777,4250,-104602,-27308,-11386,-12916,-7086,-8248,-4265,3220477,-3251577,157048,-149222,16385,-17455,7101,-7449,7757,-12852,4969,-5850,8409,-8884,7868,-8042,easy
503877,143997,28144,40866,19627,28119,7768,4435,2293183,5520,71545,1244,22204,-7279,3429,11733,-614,23488,13689,-2436,17588,-16559,11206,780,-389670,-49294,-18055,9306,4828,-17537,632,6151,-2293797,-389056,17968,-72782,-57856,-31744,-3680,11742,-4616,-12760,-9280,-978,7777,-10574,-10953,5371,difficult
