delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
523502,76000,13569,22350,39956,25067,-510767,-69408,-11427,-16638,-24841,-2396,-166243,27165,-6188,-4021,-35017,-19037,-472410,-66894,-9689,-20932,-36199,-17799,-419457,-57071,-12209,-15777,-22593,23245,121885,-16553,-8957,-9314,-14467,4961,344524,-306167,52953,541342,96573,-94059,9823,40518,5239,-3501,-2520,3252,12617,-16911,5155,6463,-10176,-1182,13606,8126,-16641,1238,41044,-18284,easy
128628,18676,13346,32580,2477,4605,1943952,294502,7420,13496,29040,12523,-43167,3203,3457,-26308,8031,7452,-108686,14352,-11938,-31499,-448,-1985,-57105,-14416,-3858,-22456,465,4490,-109040,-15342,-12364,-31202,-1401,-3272,-1987119,-65519,51581,-51935,-291299,11149,-28768,-926,-3963,-15395,8080,-8506,-39804,-5191,9043,-8746,-21009,-8479,913,-1866,-5071,-9437,6475,-7762,difficult
475241,92292,10726,8477,11528,21174,1512968,48204,42638,20150,21693,-12287,-449643,-70986,-4867,-2382,-10280,-18785,-238717,-59931,-5068,-4692,-9526,-18271,-383704,-67419,-8456,-5029,-8941,-19048,-381259,-66308,-82,1315,-8180,-18295,-1962611,210926,-144987,2445,-119190,11055,-7488,1111,-47505,-201,-3388,8374,-22532,-2310,-337,6344,-31973,754,585,761,-6498,514,-777,753,easy
30827,13360,5917,6851,4039,6137,68739,98920,-2262,-1463,3189,-3484,34988,1428,-644,-1860,2087,-2515,-11982,1603,2216,145,9867,14961,-28944,-2295,-203,22778,6343,19599,-17188,-1923,4271,-2775,15715,28864,-33751,-46970,-16962,11756,-97492,175,-3898,372,1618,2860,-2419,4474,-397,2005,22633,-25553,-1102,7780,-3524,9372,969,17476,4638,9265,difficult
663866,106456,41220,29908,16973,22892,-200093,-37270,-36670,-24781,-3831,-14635,-370097,-90587,-30950,-28588,-9611,-15747,708478,-32679,-30022,9981,-9687,4022,-594109,-54336,-32310,-21413,182,-18007,-146700,-44344,-39990,-5461,5590,3365,-170004,1078575,-1302587,447409,-53317,57908,-21657,9992,5720,928,-2288,-7680,-3807,38569,-31394,15952,-5780,-76,9869,5408,-1112,19769,-22029,21372,easy
153369,85711,26814,21394,25184,20621,-126377,-68548,-23549,-18353,12773,11072,-132104,-73033,-21255,-18903,-18768,-1706,-140569,-52299,-16602,-14039,-12485,-10355,-123365,-82404,-26105,-18843,-21865,-15706,-115289,-69592,-12204,-10257,-15390,-11489,-5727,-8465,17204,8076,-4485,20734,-30105,12812,2294,4653,-9503,13901,-550,4864,-4804,8586,-31541,6283,-9380,6475,-12778,-8649,-5351,4217,difficult
840080,95180,14611,9992,24207,17260,-627668,31743,-6633,21953,-4489,10211,51707,-51962,-776,-4662,-16309,-12535,-808267,-75064,-9940,-2099,-18398,-13158,-830114,-91366,-7836,2030,-16890,-6735,-675615,-76518,-12072,-6406,-10267,-1979,679375,-859974,-21847,154499,-83705,-23102,-16302,14848,5857,-9164,2104,-4236,-26615,2563,4129,-8436,-11820,-2089,1508,6623,-22746,-623,6423,4756,easy
54524,27245,19009,8277,8431,16064,-24173,-20552,-12454,-3509,-2609,-12335,-30369,-18322,-7299,-3110,-2703,2189,861326,15879,1064,320,27,6418,-39882,-8728,-13355,-6077,-2037,-1440,-46459,-18629,3213,3429,-2601,3099,-6196,891695,-901208,-6577,2230,34201,-24607,-9901,5155,8363,-14419,16568,399,3430,-6397,9506,-94,2730,-2064,-564,14524,4229,-7858,4539,difficult
148984,54340,13841,17982,21089,30601,-141046,-46631,-11043,-5904,965,48496,-143944,-50571,3338,-9531,-15201,-11623,-142168,-34469,24978,-10392,-9614,5749,-64875,-44722,-10206,-17157,-19980,-26251,-133000,-51003,-776,-9689,-13757,-12216,-2898,1776,77293,-68125,-3940,16102,-10253,-6281,14381,21640,-35184,9430,-3627,-861,-6765,7468,-16166,5587,-10366,6223,-60119,17372,-32000,14035,easy
386325,197653,13954,19727,17384,13090,-344391,-183727,-10283,-13962,-9545,-10941,-382785,-176245,6094,5293,-6276,-5809,-380379,-191173,4198,-14158,-5464,-1999,-381989,-190175,2623,1710,-2621,-7760,604268,-91878,-2157,18495,7804,26926,-38394,2406,-1610,986257,7482,-14928,998,98297,16377,-1896,-1575,-4780,19255,-19451,15868,16785,3269,812,2843,10425,5132,3810,-5761,34686,difficult
