delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
62987,12164,4075,11205,5088,5372,-37591,23190,30129,-2375,4180,12951,-53706,6682,794,-3610,720,1843,5260,252,-850,-4279,-3791,-1225,-16115,58966,-16508,-6430,-29335,-1644,-1235,-669,-3460,-4511,-11108,-3068,easy
165923,42645,14137,7351,12689,19804,-157153,-32905,-11035,714,-5982,-5483,-31376,-30925,-9810,-6422,-10823,-18763,-146703,-18304,621,19813,2136,-1177,125777,-115327,1980,12621,1225,10431,-7136,26235,-4841,12959,-13280,17586,difficult
58405,31529,6160,21493,8619,7954,71160,21030,-5082,-19991,-6707,-5594,1151958,45025,2954,5622,7180,4028,-46489,-6049,-675,-20198,-1185,-4601,1080798,-1198447,23995,-51074,8036,-3629,25613,-25820,13887,-8365,9622,-8629,easy
68918,12803,3857,5590,6104,8469,114719,52527,2679,6704,-2949,-4417,6973,53025,20093,-369,12658,317,-44224,-2169,569,4485,298,2620,-107746,-51197,498,-55194,17414,-19524,-7073,4854,15607,-12360,4734,2303,difficult
37710,28219,6216,2294,10633,5082,-6799,-12338,-3441,131,-7053,-1615,-20317,-23778,20024,11748,-5391,16452,-17579,-19569,-1588,7864,4670,4938,-13518,2738,-11440,4209,23465,-21612,11617,-3884,1662,10061,18067,-11514,easy
360268,44134,7590,11348,5641,9231,-252709,-20951,-5488,-8516,-2216,-6364,-335597,-28724,-3322,3111,499,-124,-353178,-40618,-652,-2533,1418,4832,-82888,-17581,-7773,-11894,2166,2670,11627,-5644,2715,919,6240,4956,difficult
28612,12211,5608,4334,4635,18260,-22188,-8472,-3077,1629,6833,-4996,3159,111677,1425,12511,24682,-7807,-20358,-9459,-4503,-2945,-1326,-16375,25347,-23517,120149,-121136,4502,-5928,10882,-15456,17849,-26008,-2811,-8568,easy
204143,37416,9249,4658,10344,9556,-37466,49667,-4061,1906,-5811,-7845,-73099,-27033,-3608,-1297,-6446,-8382,-143196,993,7837,4927,-6126,-2827,-35633,-70097,-76700,28026,453,11445,-3203,6224,-635,320,-537,5555,difficult
15180,19174,10174,5964,3126,4012,-2170,-6513,-7922,9160,5896,14417,490,-10065,3990,9418,8540,17619,30463,-7765,-7893,-3098,858,-917,2660,29973,-3552,2300,11912,-11883,258,-12516,2644,-7682,3202,-18536,easy
251516,31232,7565,12828,23100,11879,-209663,66651,36299,-9684,-17899,-7304,853784,-6583,16909,-4930,-16502,-2542,-239495,-14920,-3002,-10221,28022,-3412,1063447,-1093279,-73234,-8337,-19390,-19911,4754,-5291,1397,44524,4762,-870,difficult
43846,25201,3500,2108,2670,1482,-22797,-19579,-2024,605,-829,-476,-934,-4745,1907,6643,2488,5994,-32959,-9419,-2710,4995,2712,5253,21863,-32025,14834,-4674,3931,-4617,6038,-1648,3317,224,6470,-741,easy
112790,14504,8353,12751,8429,11707,-47326,46248,-7308,-9560,-6157,-4747,776790,315890,8773,8044,28924,7823,-111391,-9843,-7088,-11361,-7689,-10714,824116,-888181,269642,-325733,16081,-15861,17604,-19405,35081,-36613,12570,-18537,difficult
193122,45269,17232,6595,4263,3919,-186399,-38453,-10359,2957,-1252,1276,-189088,-37642,-12701,-2498,6254,4922,-186202,-40133,-6266,-3956,4659,781,-2689,2886,811,-2491,-2342,6435,-5455,-1458,7506,-1595,3646,-4141,easy
91408,44179,2815,3055,5538,3745,-62387,-37631,848,-431,-4101,-1106,133162,170687,15188,22485,11945,7041,89385,-30763,2343,1493,-2956,-1122,195549,-43777,208318,-201450,14340,-12845,22916,-20992,16046,-14901,8147,-8163,difficult
12872,15145,7498,2478,7205,6687,2044,-8038,-2066,320,-2631,-1106,-9439,-8582,-917,4683,594,-2626,-11089,-9511,-6760,2355,-4174,-4077,-11483,-1650,-544,-929,1149,-5843,4363,-2328,3225,-4768,-1520,-1451,easy
11212,16011,9363,35711,9847,11292,91164,38326,13284,13068,4819,8207,142664,17465,14610,-12728,1415,-53,1122,-14809,-8763,-35539,-9237,-9438,51500,-141542,-20861,-32274,1326,-23373,-25796,-22811,-3404,-10652,-8260,-9385,difficult
54818,16440,5038,4522,2611,1973,101476,-5264,-2793,-2612,-1052,-1586,11107,7475,4796,-2096,-529,-650,-44568,-12261,11664,-2095,2012,3177,-90369,-55675,12739,-19736,7589,6868,516,1,523,2541,936,3827,easy
334536,148621,24207,31785,15724,9499,364884,-60946,-14554,28658,1302,4521,406768,98781,-14241,-2950,17737,-3249,-320722,-141208,-22727,-22751,9086,14605,41884,-727490,159727,-239989,313,-8486,-31608,-19801,16435,-8651,-7770,17854,difficult
46227,18221,6946,19463,13727,9459,-9998,-1863,2812,-3986,3256,4463,52389,45063,1964,-11148,-8866,3330,-7457,-16020,-2943,-3615,-8949,9189,62387,-59846,46926,-61083,-848,-4907,-7162,7533,-12122,-83,-1133,5859,easy
50271,11983,7622,12535,6359,5258,595459,177199,9544,-2459,-2895,4493,19388,-3089,8081,4330,14746,5626,173692,13910,-3582,-10276,-2532,-3203,-576071,154304,-180288,16999,-1463,-11663,6789,-14606,17641,-17278,1133,-8829,difficult
