delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
786581,71248,9907,5504,7030,11366,11141,5916,-473501,-52223,-3537,9989,3713,247,-4923,-3148,-777702,-65470,-7822,-2774,-3917,-5545,-9062,-4506,-84007,75576,76685,8047,9775,-2061,1331,2107,-658681,-68249,-9548,-5029,-5802,-10722,-10583,-5199,difficult
617227,103114,42614,50016,26482,10251,19637,7480,1678898,603917,-7386,-30946,7339,14794,5933,6225,130558,9771,-11355,-31499,20351,77540,-6186,4236,-104770,-40684,-28185,-19208,3809,7543,-13055,-3626,-32226,-72409,-36350,-45964,-23291,-8709,-18421,-6103,easy
386870,101089,32835,32344,10306,23349,22750,17945,-356329,-93853,-25777,-19277,-3293,-1756,-15495,-5221,-349250,-53106,-29995,-31040,-7922,-20277,-20421,-15231,-374682,-75187,-13398,-27806,-4300,-12520,-17329,-7137,1351799,-86799,-23861,-31549,-6599,-19632,-19282,-17028,difficult
694413,92245,13180,10096,7637,13274,8043,5220,-409053,-33755,-9262,-3538,4572,660,-1015,-1295,-502377,-56916,-7655,-599,-3233,14974,4132,3128,-572593,-84413,-6169,-8648,-5426,-8747,-5440,-3450,495751,-70852,14233,4747,-4095,7652,-1154,4033,easy
398250,134418,6718,16646,11300,17212,10962,7708,20827,-50583,35776,-6622,3080,-1434,6632,7078,188652,-93105,-2907,-15230,-1567,-2782,-641,9114,-197925,-51113,-4497,-8980,-6941,-13262,-7420,-6706,593707,-88407,69793,-5336,4452,-5559,4684,6081,difficult
150666,184306,24873,20761,11674,27404,9122,12724,-135199,-169558,-24732,-18645,-10160,-25618,-8065,-10554,87081,-170375,-20184,-18569,-6919,-22805,-6557,-10850,1199674,-56294,58749,-12196,17924,-10870,4441,-872,867221,3788,-22899,-16093,-6307,-16929,-3432,-9631,easy
837109,260439,62419,32785,15085,23048,51027,21814,-596932,-159980,-23215,-23961,2126,-3907,-40840,-14010,1480682,-194968,-40967,-8964,-11399,-17710,-46104,-20222,-717333,-210890,-53757,-1130,8619,-1293,-38475,-16865,-679656,-208916,-54025,-12926,-11424,-9358,-40102,-16063,difficult
59870,54413,10119,5262,2756,5770,4443,3309,282042,84715,-5785,13296,16895,23356,9117,11713,113280,-43720,-6426,-1455,8861,-2292,-1362,-2800,-34633,-13433,53,5137,16385,12253,1629,2070,2151450,884169,155665,121162,77822,110230,185452,43236,easy
864965,189524,15979,11553,5498,17330,10069,7226,879197,-20802,-8513,13105,-642,12736,-2381,10605,-233937,-124088,-15222,-5721,4405,-11984,-4459,-216,-774304,-134612,-865,41621,12197,-3445,-3399,-4335,-847321,-183019,-14836,34728,1956,-2654,-2927,-5483,difficult
742346,80025,14086,26969,7748,23548,10650,7696,-545359,-68295,-12660,-26314,-6107,-21941,-7883,-6429,-249008,58531,33770,-10485,630,-8801,-2542,-2582,789418,2414,11765,-8579,3844,12097,-5368,-1782,-450975,-72386,-11746,-25768,-7375,-21972,-9122,-7014,easy
159370,55682,10422,5003,4679,12984,6187,4334,496084,-46201,8233,-723,3913,-4719,-2214,-873,743787,333254,21705,43100,14946,23824,1884,8345,-25044,-31262,-7125,-3776,-2759,-723,3881,-2503,-66648,-16872,-10259,-3889,-2840,-9145,-2126,-383,difficult
844300,52081,18718,17700,14903,15824,6678,8279,-774062,-41590,-18442,-15999,-13592,-14797,-5859,-7759,-704140,23903,29891,-9304,-4238,12875,1399,-2209,-682069,115239,43536,-15189,-1233,25800,11793,4556,-800457,-50170,-16974,-14968,-13236,-11021,-4351,-6578,easy
916070,48453,7976,4771,13804,14959,16845,6642,-826983,-24282,-2624,-3093,-13485,-12378,-12222,-4257,-692877,-25652,-4961,-3431,-12066,-8621,-11858,-5580,-404928,74968,62910,30687,642,8136,62910,5724,2837235,1503634,101152,81272,22289,96663,139907,34240,difficult
156091,26776,12581,9306,6217,10427,4307,3167,233146,97975,-8608,-3671,3995,4409,2480,3198,-106917,38141,11651,-6609,-662,-2269,12,3565,1777539,73703,68074,41340,-2193,25093,7513,15885,-130675,-9716,-6225,-372,3559,-5752,597,-145,easy
1034323,76778,37925,38936,23350,12842,63041,13879,-183459,-57703,-33916,-35908,-19249,-5094,-57485,-8427,-845500,-3712,-29266,-33165,-20410,-2969,-58743,-11022,-929108,-27887,-26305,-35499,-20230,-3772,-59198,-11638,1558522,15164,46961,2664,-16115,10229,-39797,-7808,difficult
299896,75447,35819,23514,18731,24507,28286,17193,70182,-37664,-26759,-19539,-15528,-11459,-22172,-10487,349244,572192,30556,-7577,21783,18142,11516,10049,260274,-65177,-30058,-19907,-15743,-11256,-21473,-13784,-287030,-48311,-32095,-15646,-4706,-4237,-19260,-6601,easy
547628,279231,56747,32896,14753,33874,64625,23416,1153470,-153546,-14291,-13511,-6838,-25160,-56869,-18309,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,1114425,2651,-26249,-20051,1909,36843,-47407,-866,difficult
598423,114620,29018,26555,29427,27950,25450,14485,-339439,-106104,-27344,-23708,-23197,-26794,-20899,-12535,-567231,-77591,-20505,-5983,10210,-15247,-18069,-7749,-590513,-97891,-12506,-1518,-23999,-18939,-14331,-10172,-547720,-86663,-16804,30,-18201,-23433,-21302,-9242,easy
324881,276455,22441,13661,11571,35268,32135,24369,-54288,-239882,-22153,-11085,-8932,-32998,-30261,-22690,100812,-256866,-13234,-12635,-10021,-32482,-29127,-22985,-248666,-251422,-12650,-8743,-5113,-18988,-26920,-20488,1348277,-15798,3771,-2099,33629,19902,51383,48628,difficult
68935,32162,8908,9392,9912,17658,12207,13591,-15362,-19119,2148,8243,-5471,-10301,-1839,-1202,2094323,437180,158883,81550,13632,5623,75787,4734,41483,13944,11830,32039,-2056,20365,15201,11569,-47161,-5218,-1322,1860,5568,-2069,30325,228,easy
