delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
58014,37288,8328,3830,3780,8966,4626,3606,-56604,-16559,-6724,-1577,527,11420,10413,3344,1093693,20221,2700,19742,10409,13083,2800,1099,easy
56989,21109,2990,3260,3192,5355,2005,1426,768938,151261,28432,31756,16675,11638,8832,7936,578055,315676,41901,33089,21647,1896,2636,415,difficult
140259,19129,3622,2411,5327,4392,4598,2535,-29674,2853,-1562,1979,-1661,-659,-2723,-597,1821246,155821,7796,13116,-251,4238,318,-775,easy
306062,38137,18469,3085,3624,3750,2563,1272,-262980,-21079,-2260,1984,16593,3546,2744,6442,-226083,24285,-10374,5619,3588,3847,4373,4408,difficult
314756,25651,17374,13015,7359,10260,4861,4294,-177152,78311,-16108,-11752,-1420,-4690,-3034,-3016,-162075,-12819,-14503,-11008,-6407,-8931,-4206,-3985,easy
75907,13250,4166,2977,3942,2582,1412,1906,-21590,7582,-1861,331,10492,4979,5417,2815,792265,226068,-244,5987,6663,2768,4353,1831,difficult
118241,26265,5762,5827,4810,2677,2156,949,402485,174525,-1768,98339,3630,7384,8436,1792,-115672,-20485,-4318,-4982,-3809,-55,-782,619,easy
82418,34168,6694,4800,8355,4126,2519,2131,1610176,205200,66143,51797,26463,26089,3760,785,-53726,-18237,10130,1784,930,8983,1819,1157,difficult
58542,39330,5488,3366,3080,7431,5797,2585,281369,39116,-1043,5017,648,-4616,5059,6215,132491,-25999,6434,-279,-1650,-4734,-3463,-2135,easy
1180182,118743,18322,18470,14047,6860,2825,2966,-908424,-98531,-7651,8682,-7078,288,1159,1032,-1025977,-87701,11035,23775,999,7717,390,-1377,difficult
330344,52003,3834,3072,5321,4567,2621,2885,-44552,-27097,-1969,-298,-2744,-3163,150,-2077,-318430,9523,30813,6900,10833,1836,5190,344,easy
370247,29393,8325,8296,6673,12339,2629,1587,-314527,4902,1659,5133,5141,-832,291,520,-362875,-23229,-7485,-6477,-4191,-10622,-1300,-567,difficult
808354,80331,45261,18613,34338,26036,20755,21242,-722386,68532,31933,17138,-14217,-16351,-13187,-14621,-526492,15316,-41554,-7619,-30641,-22110,-18260,-19973,easy
165807,34717,6046,6959,5990,3610,2480,1772,187297,17211,1755,-1885,-4077,-1850,-2100,-814,-145135,-27544,-3115,-5260,-3428,-2462,-2120,-1352,difficult
86493,40084,6130,4176,1403,2933,1495,854,-55633,-13197,4191,1919,3035,3575,2801,2602,210192,-1404,-3796,-880,3397,154,-380,57,easy
143507,26026,1461,4385,2618,3215,1241,1280,37889,-21975,64,-3762,-1677,-2722,-929,-1103,162697,-3427,5769,-556,-364,-1978,-177,-179,difficult
49570,5140,1269,3525,2876,6671,6900,2228,31509,18127,8285,419,-1050,-3817,-5941,-696,-47419,-1335,84,-3078,-2285,-5560,-6546,-941,easy
86731,28851,6261,5808,2736,2642,1153,873,3385,-18920,3293,-2780,-545,993,610,-88,-72533,-1722,1924,-2355,9788,2726,7026,3364,difficult
162572,17515,10198,4790,3783,9640,4291,2792,-25291,92340,5752,-2492,-1685,-3589,-2075,-796,-94528,-13020,-7941,-2883,-2327,-8531,-3486,-2386,easy
26311,18904,3474,2063,2034,2856,1975,1511,107324,5113,647,2030,-38,-690,163,-237,26667,16835,4213,-344,400,-570,59,-744,difficult
757150,173916,35994,20572,15298,13795,4867,4052,-748194,-153061,-23158,-12641,-545,1105,-1534,4089,-511810,-108601,-30464,-13092,-11468,-11506,-3217,-3233,easy
137576,36209,4999,3418,2223,1467,864,879,-118741,-24708,10557,5736,4616,5568,4672,4520,-26107,-17645,-3174,-1908,345,1734,2316,979,difficult
343029,35029,23635,12064,18705,11050,2556,880,-134673,45107,-13806,-2117,-8574,-2327,-728,-239,-313859,-18707,-15190,-4179,-12939,-6704,-1503,-600,easy
44400,35228,19255,7319,4665,4513,4479,3026,56300,32593,-1546,-3820,-750,2023,-1180,-1962,10708,7237,-14448,-2701,-2011,-3002,-3692,-2392,difficult
141643,21886,7770,5117,9231,11761,4982,3062,-57067,14808,11666,50227,5391,1272,-2086,149,-126750,-15406,-3017,27536,-8356,-6079,-4553,-2394,easy
76631,22129,8614,5423,5103,4212,2598,2851,75995,7656,-674,1208,1175,-899,-97,-1051,145748,20211,-7460,-1136,-1388,751,145,-707,difficult
132857,24356,15376,13927,4758,2514,982,947,-118948,-9396,64685,34737,6645,5073,700,1305,-89435,-18086,5048,-6458,-1791,886,-120,-554,easy
120725,30919,10649,2854,15756,5641,8204,7432,-63906,-4939,2846,1249,-12874,1510,-125,-3791,-45745,-5667,-9687,-1606,-14958,-1236,-5446,-4640,difficult
70360,17453,26079,34041,7700,5950,2352,1578,851428,11993,-25397,-17726,-6065,-3186,-1494,-613,66735,-13472,-24459,-32783,-7067,-5345,-2074,-1323,easy
95545,24368,5587,4431,3345,4281,3195,1516,-10824,-18828,-5427,-3701,-2998,-3562,-2622,-1328,-56931,-3062,699,-3159,-691,-3149,-2304,-1150,difficult
374138,38350,6710,3303,3689,1727,1486,1285,1007678,47473,21948,4722,-162,2701,1101,164,-287767,6978,26506,13154,4487,5492,2714,2945,easy
121749,26813,3618,8168,5981,7993,4215,4641,41851,-11184,-3404,-3497,-4476,-6508,-3636,-4144,-110633,-15125,379,205,-2451,10602,2747,4138,difficult
144639,79743,14195,6270,8124,8702,7752,3150,1269626,-66063,-4142,1416,-1016,-5484,-6408,-2554,464373,16655,63290,14037,7585,7455,959,3897,easy
328403,61960,12120,5813,6173,5062,2170,3137,-243992,14114,-7371,-5278,-5587,-1286,-634,-2399,-123353,-3648,-9819,-3559,-2653,-1920,-929,-2456,difficult
75368,47417,6587,3487,3767,5793,4216,2023,-9372,-3900,27552,5734,4760,5296,4486,5781,17833,-32808,-3572,-1618,-1043,-3227,-3291,-1226,easy
1095051,149622,24742,21279,10704,4157,3934,1165,-919658,-141406,-20932,-18967,-8771,-3370,-3050,-963,-870745,-116923,-9529,-19010,-6141,-900,-3374,-540,difficult
456672,134260,25909,21779,14226,24691,27095,18973,402999,14612,4518,14173,-6614,-16720,-21139,-15447,-448148,-103284,-11048,488,65,-17640,-18628,-15825,easy
30937,28502,2337,7362,12722,8096,4421,3331,40576,-19272,1277,-5923,-9686,-3070,-3009,-2265,214662,-21363,6127,-5554,-10959,-6067,-3157,-2785,difficult
65430,64387,7575,7459,4917,6055,3652,1919,-55006,-47846,-6024,-4643,-3068,-2048,-1024,-1047,116167,-44210,-6390,-6213,-3598,-5060,-3371,-1666,easy
103693,7455,982,864,1110,1020,555,315,-20002,-1769,-85,-387,618,-54,-318,-98,-80036,3564,2447,3028,4062,5386,3854,3166,difficult
592273,27947,5309,5750,3314,2932,1916,1407,-529785,10467,-1557,3184,423,2637,3269,954,65854,45442,15121,7292,10626,10122,2386,2634,easy
147524,17325,5617,1435,1389,1170,579,812,20056,-10101,-4519,-106,120,-725,-210,-568,464570,35410,1534,2862,3803,254,1118,-23,difficult
336884,58164,23891,9238,25032,9542,8587,7485,-253642,-30487,-20461,-2291,-22268,-7275,-7709,-6830,-107825,-42842,-20973,-6934,-22322,-8955,-8015,-6979,easy
382626,42836,5105,8982,6602,6263,4679,2223,-39245,31324,27003,13232,19083,29632,16153,8771,64079,-19460,109,-2397,-1160,-246,-607,2281,difficult
