delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
753908,102896,39466,25392,18374,27982,-672240,-82772,-654,5778,-2538,16107,-751449,-99440,-31468,-19493,-7314,14660,-708002,-42961,-7233,6639,-10262,7614,-79209,43447,-16668,56479,-30814,24235,-25271,26132,-4776,-2948,-1447,-7046,easy
250083,87512,25881,44519,13705,47155,-130805,-78420,-23043,-39182,-4793,-37686,-169687,-42632,-4784,-21928,37851,-8704,252245,12247,-14918,-24957,-4506,-35812,-38882,421932,35788,54879,18259,-10134,17254,-3029,42644,-42357,28982,-27108,difficult
23711,28676,13077,5993,5791,19462,-20519,-17504,-5288,1838,-1818,-1814,460815,201132,40925,124242,17277,14275,54587,8268,-8828,3311,12823,26443,481334,-406228,218636,-192864,46213,-49753,122404,-120931,19095,-4454,16089,12168,easy
1213497,104339,23329,35689,34816,34002,-1164010,-55066,-14828,-31927,-30633,-15285,-843761,13628,1646,-20222,-30312,-11952,-1072687,-39838,-11243,-19060,-1172,42300,320249,-228926,68694,-53466,16474,-12889,11705,1162,321,29140,3333,54252,difficult
481894,92578,14971,27931,20698,22584,89695,-42154,-6586,-16275,296,17670,-162890,76744,-7865,-14608,1465,47304,-387102,37498,-11376,5898,9926,-8300,-252585,-224212,118898,-39246,-1279,-3511,1667,20506,1169,8461,29634,-55604,easy
403684,295708,65556,27953,40067,47246,379113,-130403,134442,65580,23377,-11809,326070,-242749,-58627,-23274,-31102,-44306,161953,-242853,-21060,-18566,-30678,-27875,-53043,-164117,-112346,-104,-193069,37567,-88854,4708,-54479,424,-32497,16431,difficult
908858,86229,31659,25099,17649,17850,99297,-69996,-27727,-23528,-7327,-11144,-819414,-36416,-26258,-19141,-12268,-11949,-775241,-70475,-30280,-22662,-10515,-12849,-918711,44173,33580,-34059,1469,-4022,4387,-3521,-4941,1753,-805,-900,easy
65239,23467,5305,2858,9640,8969,-42947,9874,1685,14934,8905,7605,-22671,-17060,-355,3466,-501,22058,-49034,-11220,10297,22302,-2495,23468,20276,-26363,-26934,5840,-2040,10652,-11468,18836,-9406,-1994,14453,1410,difficult
398931,175928,15591,24473,22962,21361,-371079,-150407,-12954,-21969,-11292,16050,-99606,-156433,-10301,-23090,-19976,-13811,-373028,-161896,8152,-17109,-5007,14284,271473,-273422,-6026,-5463,2653,18453,-1121,5981,-8684,14969,-29861,28095,easy
91103,30893,6240,3693,6742,12879,-52769,-16950,2230,-2825,-386,-4306,394984,285358,117855,117436,23668,63651,780847,59690,-4377,-2217,-2044,-978,447753,385863,302308,-225668,115625,-122232,120261,-119653,24054,-25712,67957,-64629,difficult
