delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
385383,48716,19231,6919,7979,5915,4309,1559,-324672,-43512,-16597,-4570,-6879,-4718,-3515,-1138,-122517,-40715,-17155,4539,5507,3082,516,215,-380534,-38972,-17281,-1115,345,-1314,-854,1051,202155,-258017,2797,1743,-558,-126,9109,-5654,12386,-5162,7800,-4396,4031,-1370,1353,836,easy
434133,76758,18989,20670,15817,23817,7841,9940,-345565,-62051,-13570,-1363,-13370,-20286,-6199,-7418,-391493,-61232,-14848,-15311,-13776,-16472,-6367,-5070,472957,40874,18126,5754,5016,-11259,35587,-1685,-45928,864450,819,102106,-1278,32974,-13948,21065,-406,18792,3814,5213,-168,41954,2348,3385,difficult
127674,59678,5223,4073,3653,8440,1979,1751,-91961,-41165,1657,-2930,2295,-6125,-343,-829,-109455,-48160,-1300,237,6624,27495,1703,3397,-88907,-26199,31181,16800,1771,13805,8036,545,-17494,20548,-6995,21961,-2957,32481,3167,16563,4329,-4853,33620,-13690,2046,6333,4226,-2852,easy
379839,70437,9265,11165,6163,6342,3084,1837,1014519,154667,15902,-563,39950,3950,11541,4151,-150191,-50777,-4112,-5076,-3844,-5212,-2612,-1565,1846298,105842,31314,14226,-342,7539,2602,3587,-1164710,1996489,-205444,156619,-20014,35426,-4513,19302,-43794,3502,-9162,12751,-14153,5214,-5716,5152,difficult
523942,121596,23438,18845,36996,20648,9184,4292,555499,77142,19225,3096,-5987,-954,-2043,6223,639092,15262,20961,15884,-2080,-6927,-6965,-2270,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,83593,-286934,-61880,-41015,1736,25624,12788,-16890,3907,-30932,-5973,-5308,-4922,-434,-8493,-573,easy
62962,14061,17916,6294,7530,5577,1949,1149,-35472,26242,-10451,-3678,-4368,-1950,-702,-418,-44646,-7312,2514,4514,-1609,14398,7045,1322,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,-9174,24016,-33554,14785,12965,-18604,8192,-8988,2759,-3703,16348,-17937,7747,-7429,1740,-1769,difficult
84563,88560,12590,7207,5608,5090,1872,970,217346,164375,8077,30665,5562,6680,3667,2692,158045,-48405,-7996,-2372,1801,-2106,-281,-43,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,-59301,-123939,-212780,-27216,-16073,-338,-33037,313,-3761,-6327,-8786,-1130,-3948,-474,-2735,-464,easy
683104,236979,37128,15872,12987,26716,10665,5952,220789,-148176,-551,50566,42100,-7258,7702,1709,505033,-97556,7365,235,25272,16722,9701,3035,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,284244,-1003875,50620,-61880,7916,-42904,-50331,-2761,-16828,-34908,23980,-37912,1999,-17403,1326,-4481,difficult
574273,65510,27391,19422,13179,7857,2462,1181,702962,26484,21141,8343,4110,7724,2403,-585,722244,36055,-552,-8012,3097,4397,2327,-348,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,19282,-773369,9571,-99176,-21693,-26636,-16355,-8449,-1013,-16049,-3327,-11861,-76,-4627,237,-723,easy
92179,82453,19027,6755,14959,22130,23208,11999,251166,-48251,9197,-897,-6117,11216,2095,-1393,1726116,-26872,-6328,16104,18635,14824,5987,87,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,1474950,-1786364,21379,-38425,-15525,-6545,17001,-19051,24752,-32585,3608,-34174,3892,-25224,1480,-9039,difficult
120861,103397,26823,23569,16103,8657,3970,2143,-31426,-60819,-20900,-21553,-14237,-6200,-3361,-1611,-39249,-58123,-22063,-20779,-12825,-5542,-3087,-1288,634936,-85919,-16977,-20589,-13892,-7173,-3306,-1716,-7823,674185,2696,-27796,-1163,5086,774,190,1412,-1067,658,-1631,274,-219,323,-428,easy
984256,37976,11871,19864,6741,24000,13830,7260,-908612,70093,-4888,-16877,-4241,-10524,-8805,-4204,-823452,-27523,-11439,-18497,-4348,-13084,5949,-5804,-970833,-23355,1000,-17347,16929,37892,9734,6214,85160,-147381,-97616,4168,-6551,12439,-1620,1150,-107,21277,-2560,50976,14754,3785,-1600,12018,difficult
650534,232711,29137,16790,18942,20443,8264,3751,-267089,-152020,-17633,-7841,-13576,-17907,-7041,-3349,214960,-158479,-25539,-13769,-6280,-10620,-4167,-584,-376981,-169519,-16749,-4384,-13231,-16945,-4483,-2336,482049,-591941,-6459,-11040,-7906,8790,-5928,9385,7296,-6951,7287,-6325,2874,-316,2765,-1752,easy
681295,178435,32177,8141,10205,12312,22565,2532,-621221,-168077,-29381,-5038,-7670,-9484,-18007,-1539,-608868,-165711,-22005,-6384,-6802,-9331,-9772,-158,273981,-12245,-1911,15255,3604,25356,15850,4532,12353,882849,2366,153466,7376,20094,-1346,21639,868,10406,153,34687,8235,25622,1381,4690,difficult
717820,249934,69336,15656,10502,11978,5222,3961,1230787,331467,-38917,3627,-4267,20801,4826,9962,-232706,-2415,-52198,27982,31863,6161,12385,1908,-231569,-221007,-62277,-13033,-8021,-7193,-2087,-2497,-1463493,1137,-333882,-218592,-13281,-10079,24355,-41015,36130,-39884,-14640,-13354,7559,-14472,-8054,-4405,easy
395566,30128,42014,14015,3946,8120,7957,4216,-319814,10593,-38531,-3758,-3114,-6515,-7393,-3228,581945,208776,-18768,115192,49837,50568,2561,-1800,-308072,58440,-41626,12129,12984,-1180,-4057,-2724,901759,-890017,198183,-150336,19763,-22858,118950,-103063,52951,-36853,57083,-51748,9954,-6618,1428,-924,difficult
512395,207911,50680,32808,11034,15703,6395,4145,231783,-184242,-42697,-13658,-7576,-13741,-3351,-2641,-324342,-103686,-28738,-27596,-7390,-13001,-5022,-3275,-51833,402040,204,24615,6648,-1603,2279,10211,-556125,272509,80556,505726,13959,28942,-13938,52211,186,14038,740,11398,-1671,7301,-634,13486,easy
184340,54983,7711,23031,7080,17756,6844,3919,-53245,-29514,11853,-19355,1494,-6356,-2383,-2128,289832,-25218,1280,-6331,14080,11876,5914,4930,281316,52616,2071,2261,9781,59508,14996,21439,343077,-8516,4296,77834,-10573,791,13024,8592,12586,-4299,18232,47632,8297,9082,7058,16509,difficult
599755,172670,48858,45544,20311,15372,11460,5807,-551694,-61640,-32495,-21938,-8978,-10074,-2159,-1286,-565133,-104126,-8178,-9954,2344,-4840,-5967,971,-542336,-142991,-44655,-42546,-19500,-14409,-10659,-4980,-13439,22797,-42486,-38865,24317,-36477,11984,-32592,11322,-21844,5234,-9569,-3808,-4692,2257,-5951,easy
383908,134602,22840,12778,6165,5300,3748,3614,877692,52809,-14317,8650,5796,-705,-839,-2145,1119048,-37784,-10181,-5102,2149,392,-1383,-591,119631,39532,-3041,-4397,-1567,1438,-686,-2892,241356,-999417,-90593,77316,4136,7140,-13752,705,-3647,-3716,1097,1046,-544,697,1554,-2301,difficult
788604,168655,15461,9987,13356,16553,4617,3609,370020,20603,21681,37433,-10249,-10054,-1553,-58,-241044,-153530,-13824,-7863,-12384,-11492,-3334,-2792,-732779,-149748,-8560,-9473,-11148,-15116,-4184,-3330,-611064,-491735,-174133,3782,-35505,5264,-45296,-1610,-2135,1236,-1438,-3624,-1781,-850,-2734,-538,easy
340438,33074,7908,7251,5294,9290,2356,2201,-239905,10324,-1139,-5284,-3562,-4624,-1475,-341,-30611,-1907,5389,-4709,9,-6228,730,-1394,-57504,22016,9207,-2972,-2286,-4843,-822,-321,209294,-26893,-12231,23923,6528,3818,575,1737,3571,-2295,-1604,1385,2205,-1552,-1053,1073,difficult
1176776,247224,25982,29558,15268,12115,9332,5335,510610,766200,-4542,29262,22760,42638,75,4514,178443,-171169,-4544,-18850,1109,-7426,-3418,-3135,-652602,2307,-6581,14516,11014,13455,6451,910,-332167,-831045,-937369,173476,-2,-2037,-48112,33366,-21651,9905,-50064,20881,-3493,9869,-7649,4045,easy
61914,19435,4889,6372,2147,3443,1167,563,45465,10879,27569,12704,5058,8603,1880,4393,21922,-9642,-1427,-3175,-732,311,216,-28,-56099,1702,8074,-67,1397,9226,2790,552,-23543,-78021,-20521,11344,-28996,9501,-15879,3108,-5790,2129,-8292,8915,-1664,2574,-4421,580,difficult
306509,48967,11960,8550,12294,4295,1971,2482,590867,108420,-5672,48323,3893,16736,9974,2272,143125,20742,-4832,8268,-4113,2535,1012,-919,-37074,9250,2171,5138,-2109,-2095,316,-975,-447742,-180199,-87678,-11492,840,7003,-40055,-3130,-8006,2004,-14201,-4630,-8962,-696,-3191,-56,easy
979616,125388,46680,35955,83908,42203,11334,9586,301758,420179,104690,-11843,-60198,-27555,-7184,-5156,-314304,486,-42700,12135,-51719,-14502,6954,3801,443564,208794,165029,77847,79782,85286,78014,1742,-616062,757868,-419693,208308,-147390,207729,23978,65712,8479,131501,13053,99788,14138,71060,8957,-2059,difficult
457517,167815,17308,8366,12165,12167,2817,3471,-373080,-103350,-12514,-5064,-9427,-10912,-1499,-3018,185673,-87000,1474,-3718,-7600,-8861,1410,-987,1843484,607055,310317,28281,15717,2252,24695,8337,558753,1657811,16350,694055,13988,308843,1346,31999,1827,23317,2051,11113,2909,23285,2031,9324,easy
231968,39245,2131,9216,5172,2149,1093,1114,48411,97873,33144,10046,3363,8109,1680,2941,561843,629678,127968,122634,43692,33833,15157,8626,-158946,15364,905,-618,-3108,-483,177,-273,513432,-720789,531805,-614314,94824,-127063,112588,-123252,40329,-46800,25724,-34316,13477,-14980,5685,-8899,difficult
113741,55539,9652,4593,3180,3669,2219,1135,-14741,-35592,-4252,-4053,-1988,-2460,-1782,-795,93342,-25319,-7079,2879,2967,856,1861,1938,-54860,-47437,-7582,-1855,-1845,-1466,-1579,-814,108083,-148202,10273,-22118,-2827,-503,6932,-4734,4955,-4812,3316,-2322,3643,-3440,2733,-2752,easy
642526,69286,35625,22089,10808,25029,4372,4797,-332403,147788,23204,15554,9178,-3022,3337,1417,-260062,88641,28700,13863,-784,-11095,207,59,1342572,-2788,-5184,-3345,-4766,-8556,3982,2601,72341,1602634,-59147,-91429,5496,-33884,-1691,-17208,-9962,-3982,-8073,2539,-3130,3775,-1358,2542,difficult
37388,20846,11418,7448,9117,15375,5599,2200,-33246,-14431,-9668,-3615,-7736,-9209,-3278,540,235141,-7206,-11087,-1175,-2331,-12260,-2820,158,444261,61956,21199,26330,43655,8161,11658,10434,268387,209120,7225,69162,-1419,32286,2440,27505,5405,45986,-3051,20421,458,14478,-382,10276,easy
332769,101712,33116,15616,12976,15401,9172,10622,-202732,-38522,-20397,-8238,-11130,-6156,-4602,-5078,-300579,-96962,-31641,-15406,-11975,-13998,-7685,-9987,-275813,-96700,-32394,-10941,-10392,-6439,-2041,-8625,-97847,24766,-58440,262,-11244,-753,-7168,4465,-845,1583,-7842,7559,-3083,5644,-4909,1362,difficult
155724,27312,6091,8494,7978,12709,5328,4657,-81351,24990,8238,6728,5407,-9679,1804,-4103,1973865,61174,13206,37969,8883,7388,19312,2680,1426872,68546,-4260,16366,3355,6390,4144,4725,2055216,-546993,36184,7372,4968,-17466,31241,-21603,3476,-5528,17067,-998,17508,-15168,6783,2045,easy
