delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
564718,83597,54716,13188,8986,16773,226770,21686,-46116,67735,-669,5501,39673,6105,-33482,4409,9695,8732,850713,-19904,4921,14573,14144,2197,-474662,-47359,-14140,3850,-451,-10010,-187097,811040,-1325375,-15581,-26009,-27455,12634,38403,-19061,-63326,10164,-10723,10364,4449,-14595,3231,-6535,-12207,easy
1014466,134687,53887,16988,24774,12244,-856616,94892,-10787,9971,-4341,19423,-480739,109832,-20221,1120,7276,25612,-737530,14627,72856,21608,14975,11279,-1000133,-73587,4358,22497,7263,14445,375877,-256791,-262603,14940,-95205,-88214,-9434,93077,-68498,-8851,20488,889,11617,7699,-7712,6189,-14333,3166,difficult
1374613,69613,12792,21867,7649,7256,-697606,35607,-11381,-11503,10700,8838,-1066731,122432,60936,46322,12276,17732,-1032896,20972,33128,-17273,-2512,-303,-1321512,-63176,-11829,-19134,-4701,-4626,-369125,33835,-288616,86825,-101460,-84148,72317,-27808,-44957,57825,-63595,-1861,1576,-14788,-2189,8894,-18035,-4323,easy
97401,32913,14209,21921,10941,5835,-79949,-28287,37605,-8119,7582,18397,446054,29726,-8602,-9223,16966,28129,-43925,-3454,9383,20603,-1899,13201,51849,-22515,-9020,-16252,-4534,-656,526003,-489979,95774,58013,-33180,-19061,-46207,17985,-18403,-1104,29826,-36855,9384,-18865,-2635,9732,-14928,-13857,difficult
1143853,122181,55837,35092,12341,12908,-910715,-81987,-41090,-26893,-7161,-802,-1124885,-108991,-42998,-31817,16364,8435,103856,-66295,-37814,-14647,30271,3748,-1123300,-108686,-38650,-22012,20868,1643,-214170,1228741,-1227156,-27004,42696,-42391,-1908,5184,-836,-4924,17170,-7365,23525,13907,-9403,9237,-4687,-2105,easy
374276,87796,7365,9291,7904,5074,2127734,123337,13785,23750,25084,17177,6665,52644,92168,5801,18975,36505,-347649,-44230,7343,9196,17201,3184,427587,52570,24647,16626,18942,18657,-2121069,-354314,775236,-70693,-96874,96800,78383,-84825,17304,-17949,3395,7430,-6109,-1774,1741,19328,-33321,15473,difficult
1220555,103060,19256,18481,20524,17788,-839077,-30770,-7344,-3744,-2550,-9534,-486701,-79773,-1715,-6562,-9001,-8018,-1037196,-86338,-6726,-17289,-16615,-14513,-1111436,-90047,-9871,-8985,-18669,-11060,352376,-550495,-74240,-49003,-6565,-3709,5629,-5011,-3145,-2818,-10727,8304,-6451,-7614,-2054,1516,-6495,3453,easy
296947,66802,16971,21699,7150,8317,9673,-33713,-16573,-19650,-3103,-2912,-254223,-47109,-14691,-18647,-3227,-3790,-263692,-54454,3057,-1857,18201,14273,-198485,-40626,-12840,-13834,-1255,-2868,-263896,-9469,65207,-13396,-7345,13828,1882,17748,-15897,1003,16790,-11977,-124,21428,-19456,-878,18063,-17141,difficult
739170,164117,73062,39548,72437,61135,68311,344054,2887,83756,41077,15035,-169188,-72959,-56653,-15889,-44279,-38657,-648350,-127025,-65311,-24639,-60586,-47640,-572782,-123520,-56228,-25475,-44500,-43011,-237499,-479162,75568,-417013,-54066,3505,-59540,-8658,9083,-99645,-8750,-836,-85356,-16307,16086,-53692,-8983,4629,easy
295656,49292,7648,2501,7714,6907,-90698,7330,17638,19805,2965,-2196,441357,35447,47085,11727,12548,25176,-173292,-34609,-3542,7612,-1835,-194,170943,9944,-3613,25855,5203,40043,532055,-614649,344235,28117,-70056,44553,29447,-50627,-71,-8078,-4115,18243,9583,-14383,7038,27372,-25370,40237,difficult
809293,102232,14987,13016,16845,15974,-680177,-90166,-14258,-4976,-15087,-12151,1579682,703999,63048,2490,51099,13713,77094,27804,-8837,-4646,-6137,-5366,496717,58677,11058,19177,18383,4147,2259859,-1502588,419623,794165,-676195,30873,77306,-71885,19895,7466,-7136,23823,66186,-57236,24520,25864,-19079,9513,easy
321700,87947,24397,29906,12661,13853,-285744,-65453,-22677,-23497,-10861,-8543,-309945,-64232,-18889,-19442,2074,-1509,-313777,-75787,-17813,-20117,2102,-909,38634,-72970,-19475,-22271,-9054,-9239,-24201,-3832,352411,1221,-11555,2817,3788,1076,-1662,4055,-675,-2154,12935,28,-11156,7034,600,-8330,difficult
674713,163234,87963,49817,68206,51683,-366503,-58527,-66572,-37405,-55404,-37609,733947,155316,-21296,57796,88471,46652,-468903,-8234,-69284,-27060,-57097,-44297,998055,-12058,-54973,-12907,-25443,-19190,1100450,-1202850,1466958,213843,-163550,-3824,45276,-47988,14311,95201,-84856,14153,143875,-145568,31654,84261,-90949,25107,easy
769864,159788,59393,44236,10734,20362,1387269,-10657,-42716,-23780,46563,-1044,-574690,-106750,-53735,-40797,-2510,-12400,-735698,-111471,-34914,-19215,20661,-10802,-519129,-130141,-56590,-41363,-2347,-16872,-1961959,-161008,216569,-96093,-4721,-18670,-11019,18821,-21676,-17017,21582,-22148,-49073,23171,-23008,-11356,1598,-6070,difficult
21042,22702,8486,7020,7513,8655,2092554,254227,71635,19707,17102,33894,252550,45457,1069,-1851,-1891,1064,1239426,23637,-635,-752,-6234,2076,543181,42988,23964,43343,18109,17379,-1840004,986876,-696245,-208770,-21820,19351,-70566,-1704,24599,-21558,1099,44095,-18993,-4343,24343,-32830,1012,15303,easy
1915221,362487,57599,21510,22862,31443,-1657633,-352928,-45087,-3276,-16969,-25310,-1236027,-298571,-50342,43358,-6434,-15945,-885485,-211619,-29576,-9652,-1643,-579,1487830,-149615,-31209,39752,43335,8906,421606,350542,2373315,54357,86952,62004,-5255,20766,-1633,46634,-53010,49404,10535,4791,44978,9365,15366,9485,difficult
371574,115277,12506,17706,29873,10529,-240380,-75342,64310,-7918,-16965,-1292,832212,85203,95388,55185,34572,31123,333279,-44724,50382,34023,38949,4513,-361294,-100610,8436,7470,-17033,-1056,1072592,-498933,-694573,160545,-129927,-55886,31078,-45006,-41946,63103,-21162,-26553,51537,4377,-55982,32415,-26610,-5569,easy
