delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1068797,107251,27953,15858,14488,49697,40472,36708,522918,240191,-9472,-5421,19117,-34928,-24195,-34257,189873,-64660,-7977,9973,-756,-33893,-36523,-29975,-1042661,-90289,-25088,-11584,-11920,-47750,-39486,-34676,-986796,-88055,-27455,-14845,-13071,-49094,-39947,-36616,easy
332684,157723,47219,19667,13569,19918,19080,10217,-48369,35472,-40925,-4557,7937,-11513,-9596,-8086,-145764,-125388,-45283,-14249,-9977,-12834,-15032,-7499,946631,-145011,-42197,-32,1862,8635,-10858,3239,-259158,-152236,-44539,-18024,-12411,-18295,-18601,-9770,difficult
121635,53567,16112,6800,5956,10181,6398,3553,229716,67405,-964,3023,-1659,1427,-1262,1117,-1974,4223,1397,-3066,-4201,-4988,-4783,60,33950,-37764,-9452,-1492,4171,-3882,5605,-841,262684,21770,-837,-4233,-3591,-8346,-4140,-1825,easy
1314787,263330,52454,27072,19902,67472,59115,48056,-1262970,-234175,-46012,-22939,-13250,-59248,-47131,-43238,-1174271,-229647,-42918,-24894,-13898,-48013,-54533,-34959,-1183299,-203226,-42170,-16378,-12867,-50000,-48679,-43985,-1107063,-236277,-44040,-25092,-16551,-66512,-57686,-47481,difficult
848503,306387,54283,40822,40379,53469,111431,50478,-562756,-224470,-36706,-29930,-36062,-35726,-104183,-44373,-225749,-278874,-48105,-35808,-37045,-38895,-103509,-44175,-226279,-218922,-31037,6529,-15605,27122,-84229,-16209,-772158,-206352,-47623,-37229,-30722,-46481,-103486,-39580,easy
1375797,148442,43127,39444,14500,38638,34190,22107,-1234391,-138047,-41677,-33647,-8453,-25702,-24788,-18030,-1360339,-138846,-39394,-38222,-11717,-26053,-26707,-21373,-1342135,-123767,-40073,-27388,-12705,-27319,-29425,-20290,-1279500,-140239,-20092,-35855,-2409,-19559,-17211,-4334,difficult
606203,101964,10339,42873,18866,15227,12253,20302,-571756,-96349,-6320,-40059,-15077,-10701,-9099,-17836,-376694,-90138,1710,-39243,-12968,-8618,-8231,-18539,-529791,-87369,-7177,-40192,-12872,-10768,-6015,-16537,-591265,-99382,-6639,-41835,-14334,-10389,-4794,-16931,easy
640518,108136,7842,19143,6115,27622,16702,15632,429475,-12552,5741,-5137,-1801,-22373,-13582,-13911,58898,3191,7992,948,991,-19151,-10083,-13173,-331466,-105879,-7266,-18245,-5564,-26844,-16424,-15384,-103135,-397,24871,-14404,976,-9665,-10541,-8599,difficult
459705,86931,8829,11821,7804,19292,7047,6591,113697,-4640,-4021,-6916,-2823,-13376,-4010,-4389,-430821,-81348,-5406,-10543,-6120,-18158,-5829,-5893,715736,30670,9272,2691,7174,31643,7756,5412,1117463,30719,2478,52381,14241,42961,30572,9218,easy
128449,74000,13287,15057,5130,16430,20108,14164,79424,-16785,-9660,-12123,-1908,-1352,-6078,-9817,-95517,-25815,-6674,-10111,30,17121,-8249,-11692,-12207,-42507,2349,-7950,1706,-7626,-10916,-10631,-55481,-12613,-11438,-11116,-1464,28400,-10872,-7588,difficult
