delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
196421,40225,8727,9412,15207,6979,3123,3614,-189871,-302,5439,-4994,-1642,7107,8127,1702,-149709,22665,11203,-5835,-8102,-3687,-1696,-1593,-181482,-30113,4426,-7834,-13539,-6182,-2800,-3141,easy
442070,40961,43141,25078,21838,11336,6339,9350,1047632,403948,36068,48623,23979,41268,27987,-3386,-372992,-2507,-1309,-16908,-7457,4974,7192,-5895,-320419,-21585,-35679,-12108,-17257,-9001,-5056,-8642,difficult
1089289,220540,25870,30134,53594,18327,10011,8519,-1064436,-216402,-23037,-28005,-50862,-16834,-9449,-8173,-957550,-205925,-19983,-27085,-49123,-13880,-9118,-7269,-878020,-142946,-15201,-13810,-23273,5483,5491,-80,easy
571342,119618,31141,48714,26612,13902,10991,7843,1070588,360630,5533,-1247,11790,18437,8024,187,-70288,-105416,-19907,-8773,-12412,-8377,-7837,-5928,144261,-35530,-22889,-38737,-16104,-10230,-8829,-5988,difficult
423495,112682,14046,15315,13449,10828,3387,2884,-378883,-102541,-6897,-8025,-6296,-9111,-2749,-2160,710931,-65691,146,-11461,-847,-5621,77,-142,-368548,-67857,36321,-342,-3563,-511,-976,1635,easy
568734,74404,24169,27741,21760,22232,5715,3186,-401972,103399,20114,-13011,8596,-10518,993,5794,714650,-30269,-7694,-13362,-10676,-15307,-3574,-1618,-424686,151079,102798,15037,13102,-6201,1980,5364,difficult
1230761,279418,53249,63173,50602,40173,19330,8051,-893175,-251414,-28480,-56714,-40709,-29784,-11118,-5675,-1065782,-95204,-44464,-34893,-45239,-32124,-15778,-6150,-883046,-233283,-3004,-28349,-41997,-33589,-15300,-6168,easy
761860,132516,39366,31492,21509,21413,21963,8021,-691330,-97089,-30818,-17539,14567,-5234,-14184,-4688,892990,182287,-19549,5866,18434,877,-9486,-3249,-484352,-69233,-30757,-22119,-11369,-16816,-18538,-4743,difficult
580586,158919,30579,19166,23208,15176,9709,3743,-39812,-40666,44834,27389,13729,38838,2156,6430,629832,97545,55520,18737,14224,3784,1925,4056,-281615,-83666,-23952,-10826,-6924,-9753,-7481,730,easy
537812,134643,21062,10231,15438,14769,10834,5053,155125,-127423,-13466,-6793,-9248,-12188,-9877,-3879,653008,440357,29255,46093,55397,35742,7457,21644,-305818,-63208,-15107,26864,9941,344,3701,1621,difficult
1355115,246148,25550,41935,21726,29169,14151,8462,-1341710,-227415,-18510,-31535,-12846,-17405,-3903,-1726,-1274208,-220269,-20942,-36590,-17621,-24447,-12887,-7542,-1235084,-200295,-17336,-38809,-20274,-27849,-13683,-8107,easy
297129,507266,26588,42612,40141,15115,10100,8108,-68162,-469726,-12534,-36518,-36365,-12653,-8825,-7462,-220539,-478609,-23710,-41129,-39040,-13654,-9478,-7672,950810,682579,89198,-3461,31238,9771,10837,112,difficult
985973,265589,75626,28287,40489,14939,9018,5392,-935358,-215339,-35492,-22933,-2283,-10482,-5731,-3099,-857223,-237413,-72670,-24419,-38040,-12767,-8194,-4866,-570021,-223018,-74932,-25028,-30623,-9313,-5673,-3782,easy
695092,256792,17877,30239,22010,16379,6786,3519,-461796,-152251,-10302,-15574,-17114,-14227,-5727,-2814,580161,338344,13641,41021,42527,9033,4369,6188,-482021,-242996,-5485,-27051,-19018,-15045,-6068,-3162,difficult
279713,37959,11022,15173,7926,9104,2590,2012,-122831,50563,19762,29977,10050,-4073,471,4743,616614,10826,-7186,-1495,-3004,-5454,-942,-778,-158941,25477,68234,5688,21631,1886,5830,1424,easy
