delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
218581,189830,29588,31897,12782,36886,36672,7915,-215085,-188454,-27927,-28982,-11243,-32668,-35195,-4972,-98062,-169447,5874,-871,-6126,-25527,-25468,-2326,-9516,-97530,-14747,-18121,-10385,-34114,-34086,-6081,618285,-102669,-21546,-17113,160,-27907,-24571,-2596,-110081,-156547,-20264,-20575,-7284,-26808,-30650,-2129,117023,88546,627801,-728366,19007,71917,-5139,-53878,33801,-20621,-6799,1282,28111,-17250,1008,-3462,5117,-4259,10545,-7444,7141,-8587,6207,1099,9727,-8618,9515,-6079,2646,-3755,3485,467,easy
443319,53498,15431,9486,9241,16912,9241,7733,-168164,3444,-8533,889,5978,-2090,1576,-765,44854,70315,-8182,7316,592,-8608,-3325,-2122,354224,-8344,-10157,-5845,-4889,-11530,-3271,-5989,926563,285789,10613,72888,15326,256,24824,6622,-362875,-17496,12244,-1152,-4134,-10990,-1819,-6733,213018,309370,572339,-1289438,66871,-78659,294133,-303285,351,-1975,20770,1631,6427,-13161,78733,-74040,-5386,-5481,20215,-19460,-6518,-2922,11786,-11246,-4901,54,28095,-26643,-1357,-3867,12611,-13355,difficult
174206,76255,3257,11416,18149,11591,15600,9744,2000048,371572,26182,5659,2814,-1483,-979,-3983,86673,-63890,-1969,182,-13415,-9335,-11976,-8423,401002,-49751,10827,-3391,-7076,-5273,-8253,-5564,404817,-48120,13826,-8302,-15283,-7084,-12281,-7065,-135392,-41445,12656,1491,-4485,-1076,-7353,-5316,-1913375,314329,3815,-540209,-435462,14139,1631,6675,-28151,12796,2999,-1170,-5477,-3573,-4911,9793,-16229,6339,-8207,10798,-7852,4062,-1811,6008,-10997,3723,-4028,4928,-4440,2859,-1501,1749,easy
288903,134740,12633,12553,18116,13202,7777,9965,-257256,-88694,7832,-2999,-14873,-11286,-6295,-9070,-287675,-129550,-11200,-11223,-16794,-11377,-6826,-9349,-277576,-96380,-5168,-8396,-14618,-5699,-1883,-4737,-153268,-100881,-783,-7704,-15824,-11596,-6506,-9444,1264031,-31868,25994,-7268,-8654,11771,9970,1066,-30419,10099,124308,1417299,-40856,33170,-4501,69013,-19032,6032,4385,26777,-8224,2827,692,436,-1921,2176,-1206,7170,-91,5678,-5897,23367,-531,4943,-4623,16476,-279,4612,-4707,10510,difficult
113373,30414,7243,5241,2425,2792,1985,1486,-67625,-11282,3896,114,-294,-1307,348,153,-61033,-11862,-2844,-1837,954,268,113,283,-93277,-26675,-3629,4641,58,4602,561,2892,-68552,-16296,-4747,-2255,-1503,-757,-1417,-567,-103286,-18487,2499,2664,197,3143,1840,2811,6592,-32244,24725,-34734,-580,-14813,10379,-2191,-6740,-785,-1118,7246,-1951,6478,-6896,4919,1248,-896,-1561,1700,1575,4334,-5359,3900,-235,448,-1978,3257,130,2609,-3459,3378,easy
331463,28161,11812,8410,4593,4191,1093,1094,-211005,60974,11566,9097,15166,10406,12361,10838,-91294,82687,16079,4845,23,1133,1978,1427,632732,20138,3773,915,-1885,108,-418,1403,-206453,24710,-9922,-1456,-2621,-2192,1539,224,45038,85694,7574,9147,5758,5043,10747,3854,119711,724026,-839185,251491,21713,-62549,4572,60984,4513,-12306,-13695,17496,-4252,-3930,-2371,10603,-15143,-1908,-736,8379,-9273,-1025,-2300,7235,-10383,-2396,1957,9208,-9411,-24,-1179,3630,difficult
27699,25064,9285,5049,6934,7739,4044,5053,-14473,-8766,-5942,-1181,-2761,-423,4147,-1756,25254,3751,-2147,481,-3358,-5250,-3122,-4046,-25967,-21493,-3774,1328,1499,-152,2736,-1690,-1579,-886,10354,2137,-5799,-5023,-2398,-3836,118714,-7330,-77,4478,-639,-5243,-2036,-3990,39727,-51221,24388,120293,12517,-25244,20607,-6444,3795,-1627,14128,-10431,1662,847,809,2341,-597,4857,-7298,5160,-4827,5098,-4871,-220,-7269,5858,-5134,362,-2290,2356,-2146,-154,easy
576456,95797,31271,8293,7649,12428,7730,4291,131664,-80726,-11920,-4285,-2870,-2971,-2562,7408,-568296,-61941,-24600,-3435,-6050,-8003,-3914,-3085,-359976,-38628,14848,3322,7708,-862,5067,-1217,-510533,-89576,-28968,-6833,-7100,-11752,-6948,-4098,-569981,-79850,-20875,-3434,416,-8472,-6325,-1312,-699960,208320,-150557,-59448,18785,23313,-50948,9726,-12680,39448,-43816,8093,850,6757,-10155,3399,-3180,13758,-14808,7516,-5032,7141,-10890,3280,-1352,8981,-12015,623,-10493,1868,-2881,2786,difficult
354644,44968,17083,16743,16568,13469,7211,5812,1997563,370712,212096,216969,67594,69939,13840,51178,-91321,130409,9916,81049,10955,14040,10977,6551,-239711,-26051,-4388,-14302,-13520,-9704,-6203,-4770,-317563,-35737,-15838,-13658,-10784,-11652,-6876,-5237,-328453,39150,7876,-5893,4526,-3028,907,4269,-2088884,-148390,-77852,-10890,-240303,-156460,-9686,74887,-202180,-14304,-11450,23714,-135920,-95351,644,7765,-56639,-24475,2736,15310,-55899,-23744,-1948,8624,-2863,-17180,-673,7783,-44627,-11321,-467,9506,easy
436042,54044,11560,9511,7062,6489,5134,2930,322535,135606,-2804,3439,3452,2413,-794,-1256,-425973,-41909,-4950,3862,-1677,-2742,-2088,-1035,-414809,-35166,4105,-3290,-1470,-4836,-3388,-1799,-358701,-29194,-9866,-9207,-5513,-4295,-3978,-2106,-225744,-43213,-5915,-6632,-3067,-4529,-4448,-2337,-748508,11164,56108,132957,-177515,6743,5972,-14019,-2146,9055,-13971,3951,423,-7152,-5917,2575,-5129,207,-4043,2446,-5155,-2094,541,-234,-1294,-1300,-590,-470,221,-764,-307,-231,difficult
