delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
219077,15790,8712,10792,15509,20321,16981,10144,-31978,20589,61321,22301,11090,43709,1298,10761,-203639,-5337,-4966,-3610,-146,8457,773,-5708,-203741,-5940,-2404,-6172,-10434,16206,25638,1400,-171661,-102,-25926,-603,-66287,2562,-25911,-2562,-11236,-10288,-35252,7749,-525,24865,-16469,7108,easy
847954,92388,11402,21619,3335,25277,10099,9389,-721738,-84774,-10083,-15142,-2287,-21998,-7556,-8193,-844257,-66551,-7695,-8726,13692,24311,19881,952,-844317,-73768,-1842,-5053,3603,-3451,4720,9,-122519,-60,18223,-7217,2388,5853,6416,3673,15979,-10089,46309,-27762,27437,-15161,9145,-943,difficult
718792,100426,21852,15324,9092,45313,41833,14376,543407,30153,22695,-13264,9968,-32760,-14921,-1743,448594,-57285,-3437,-4919,-2905,-31415,-40048,-12562,-607285,-90902,-20574,-14939,-8194,-41305,-40476,-13594,-94813,-1055879,-87438,-33617,-26132,-17137,8345,-10020,-12873,-5289,1345,-9890,-25127,-428,-10819,-1032,easy
231327,32488,6009,6773,3958,6328,6958,4693,484462,225194,74495,37807,39089,29604,54655,26927,28265,-21094,-3361,-5989,-2678,-1154,-2308,-3223,-156480,4333,-1028,-3920,-1154,2772,6818,2000,-456197,-184745,-246288,25427,-77856,2333,-43796,2069,-41767,1524,-30758,3926,-56963,9126,-30150,5223,difficult
460382,48958,22749,21060,16536,32005,9322,8611,-402834,-17041,-14643,-19833,-9725,-23671,-5968,-829,-443860,-37623,-18750,-3243,9077,-10903,5590,6167,-414488,-26748,-9002,12002,16713,-8963,8829,9398,-41026,29372,-20582,10875,-4107,9748,16590,15245,18802,7636,12768,1940,11558,3239,6996,3231,easy
780196,76074,20360,17974,7740,31441,29309,22804,-536452,23205,-860,473,4969,-20984,-18661,-17285,-28452,37301,-3951,4865,20605,9083,120,4588,-729881,-56973,-2637,-5065,9559,-15184,-19987,-14009,508000,-701429,14096,-94274,-3091,1314,4392,-9930,15636,-11046,30067,-24267,18781,-20107,21873,-18597,difficult
12886,16756,4942,3981,13086,20029,17549,6187,98365,249,-820,809,-10465,-1749,22642,-3785,-6065,-1382,-3179,2859,-2023,9421,51245,29608,112138,2504,-2892,-2385,-11823,-9778,-6180,1455,-104430,118203,-1631,3886,-2359,287,2050,-5244,8442,-9800,11170,-19199,28603,-57425,33393,-28153,easy
419995,63023,7981,8943,4414,6168,4166,2967,888937,350929,44351,-4007,45417,27300,37535,15084,-348191,-57969,4773,-994,-3348,2797,2392,8965,-415711,-45869,3744,1303,18680,35929,28193,11779,-1237128,-67520,-408898,12100,-39578,-1029,3013,2297,-48765,22028,-24503,33132,-35143,25801,-6119,2814,difficult
309590,39481,14379,13419,13049,15801,10102,4897,-43254,9931,-10813,-5978,-11073,-6844,-605,2438,-267931,-13385,248,-10113,-7512,-5298,1721,-2256,93817,154452,-7168,13042,2380,12778,47093,13811,-224677,361748,-23316,167837,11061,-7416,-4135,23155,3561,9892,1546,18076,2326,45372,-4694,16067,easy
160385,22975,7903,4218,6274,11325,6263,5972,-136613,-18927,-2493,13675,2106,33825,22503,19804,-137198,-21051,-5074,-2876,-2470,1937,-3562,-2251,1202022,282090,54375,12791,24718,46368,18249,15796,-585,1339220,-2124,303141,-2581,59449,-16551,15667,-4576,27188,-31888,44431,-26065,21811,-22055,18047,difficult
169076,29766,7975,8327,12059,16703,6566,4121,-66889,-4616,10664,-16,-7881,-11411,3050,-103,1230712,112927,15112,18207,45273,8957,5134,8960,-161581,-7920,-3420,-5783,-6007,-861,9349,3795,1297601,-1392293,117543,-120847,4448,-18532,18223,-23990,53154,-51280,20368,-9818,2084,4215,9063,-5165,easy
107630,24202,7227,7504,14448,21984,14526,9572,-100226,-12371,-3064,2305,-6242,46709,509,-224,-101016,-21900,-1253,7606,-9103,15079,20124,6993,-102541,-15684,171,10754,-5505,17952,17288,5292,-790,-1525,-9529,6216,1811,1424,5301,3148,-2861,3598,-31630,2873,19615,-2836,7217,-1701,difficult
879645,34081,7421,18852,8528,13007,9360,4644,-92685,234902,9219,1511,7164,73488,41923,22932,-228984,126085,73228,926,2745,29800,10146,7294,778157,121443,9247,2263,7164,34317,17276,24499,-136299,1007141,-108817,-4642,64009,-63981,-585,1337,-4419,4419,-43688,4517,-31777,7130,-15638,17205,easy
208941,126941,37049,4167,5757,18928,7108,3903,1749984,6451,18698,79193,46014,53136,29941,11466,-163745,-92501,-34023,-3155,-4071,-16158,-3935,-2631,1608888,-77640,2969,37648,27391,30447,30826,30061,-1913729,1772633,-98952,14861,-52721,36992,-82348,40803,-50085,31462,-69294,46605,-33876,34761,-14097,32692,difficult
630361,42773,3293,7465,3647,9661,10647,3754,-347604,-3664,36214,-4308,7725,4493,-3656,1611,-527027,-28297,1736,3980,-327,616,-6880,4821,-613506,-7893,19576,14718,18768,35938,15341,7538,-179423,-86479,-24633,20404,-34478,17840,8288,10738,-8052,19095,-3877,35322,-3224,22221,3210,2717,easy
718617,34846,23818,20430,12049,14302,11988,6218,-563386,37505,5069,-4578,1954,89508,39038,40481,-673521,714,-22821,-15958,-9959,-711,-8550,-1269,-710023,-24682,-21657,-19169,-8663,-7242,-8702,-2605,-110135,-36502,-36791,-25396,-27890,1164,-11380,-3211,-11913,1296,-90219,-6531,-47588,-152,-41750,-1336,difficult
572125,50220,14848,15090,5926,7397,6685,4053,-558011,-48424,-11890,-13689,-5127,23634,668,1184,-562622,-38871,-12478,-11590,9261,33457,7086,12657,-470187,-26420,-12541,-14237,-3700,2694,-4436,368,-4611,92435,9553,12451,-588,-63,2099,-2647,14388,-12961,9823,-30763,6418,-11522,11473,-12289,easy
312064,32688,9511,6876,10276,9271,6571,5352,112632,172481,107567,-2276,22815,34444,52666,24579,2854519,407984,-9,18647,8848,5297,60610,16250,-301587,-21839,-5578,-4567,-3837,3053,-1727,-2318,2741887,-3156106,235503,-429823,-107576,-5569,20923,-23214,-13967,-12685,-29147,-2244,7944,-62337,-8329,-18568,difficult
570472,41406,20132,12873,9142,17415,16153,17493,-549589,-3562,-4559,-4918,16813,65810,13202,367,-478458,-7548,-15275,13298,-2637,31504,71838,11052,-541685,-35537,-18857,-10461,-7952,469,-10118,-14869,71131,-63227,-3986,-27989,-10716,-3582,18216,-23759,-19450,-5315,-34306,-31035,58636,-81956,10685,-25921,easy
709194,207860,57378,33442,15542,22557,12751,9858,-2033,-96309,-53889,-23767,2693,9614,13540,13985,-619764,-194850,-53456,-29490,-12611,-12800,-1355,-7357,308346,-168443,-47572,-29752,-574,-7187,-4307,-5246,-617731,928110,-98541,26407,433,5884,-5723,-262,-15304,12037,-22414,5613,-14895,-2952,-21342,2111,difficult
858631,155863,48501,35811,18978,27306,32469,23154,-657387,-49178,-21619,-14724,-1775,15886,-14897,23874,906423,-110826,-32099,-23915,-8828,-18001,-17506,-18718,-658365,-143251,31129,34231,44056,21668,2828,1295,1563810,-1564788,-61648,-32425,-10480,63228,-9191,58146,-7053,52884,-33887,39669,-2609,20334,-42592,20013,easy
489975,126011,12314,12615,15361,10270,9476,5190,-285317,-101657,-11939,11678,28523,135617,58377,13383,306326,-105647,15684,-6019,-12487,866,3263,980,-471528,-109935,-8452,-11705,-11232,4340,-686,-609,591643,-777854,-3990,-4288,27623,-24136,-17697,-5686,-41010,1255,-134751,3474,-55114,-3949,-12403,-1589,difficult
419886,50040,17604,3433,4258,10050,12717,5938,-410332,-45224,-9411,-1467,-1133,-1642,-9317,-1962,-328749,-39508,-9833,-862,5793,-3075,-4884,-1428,190655,-36455,-7184,5477,7561,14830,-4667,-89,81583,519404,5716,3053,-422,2649,605,6339,6926,1768,-1433,17905,4433,217,534,1339,easy
99544,102063,5759,3849,8499,25705,19659,6532,406206,-78730,3418,13931,5397,11238,56134,13013,69571,-3651,51256,8455,-262,7388,37478,15586,-89663,-79985,9348,25133,12004,712,12458,13732,-336635,-159234,75079,-76334,47838,-41908,-5476,16678,-5659,12266,-3850,-6676,-18656,-25020,2573,-1854,difficult
1431443,199945,26140,28678,29111,45742,62234,17085,-961456,147666,-4464,1869,7681,29657,22162,8470,-1419035,-196493,-24969,-24002,-20040,-4828,-25519,-2267,-108009,68660,-7060,8505,5371,-19434,-48984,-9980,-457579,1311026,-344159,265153,-20505,17909,-25871,32507,-27721,25411,-34485,-14606,-47681,-23465,-10737,-7713,easy
771995,98973,34910,28035,2912,12111,6624,6547,-769831,-93887,-31625,-23205,10600,22928,9234,6312,-765150,-72952,-21092,-26078,5514,-6095,-4294,-3568,-742752,-80601,-33446,-16879,2256,-8041,-5346,-3826,4681,22398,20935,-7649,10533,-12354,-2873,9199,-5086,-3258,-29023,-1946,-13528,-1052,-9880,-258,difficult
776186,170358,40380,39093,26905,40835,24121,15794,-480835,-92662,-13622,-32975,-22157,-29977,-18261,-13456,-767812,-155236,-34144,-20519,-18664,-15917,-11712,-4884,-675215,-158259,-38286,-35010,-21648,-33262,-15374,-12003,-286977,92597,-62574,-3023,-20522,-4142,12456,-14491,3493,-2984,14060,-17345,6549,-3662,8572,-7119,easy
143262,141467,20179,17707,20158,21936,18190,7111,178938,75224,8656,11748,-11859,-12311,-9471,-2898,1912216,85537,-1867,45654,25006,6207,19389,5395,206328,-123810,-18907,-13927,-14641,13520,5932,29304,1733278,-1705888,10313,-209347,-10523,-17040,33906,-59581,36865,-39647,18518,7313,28860,-13457,8293,23909,difficult
