delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
88590,18799,5420,2807,4840,4244,189564,16706,13833,156,-3608,-2802,259124,39234,7378,15605,309,15581,-88086,-10752,1977,895,5137,932,21917,-3061,5523,1532,-928,-2654,69560,-347210,110003,22528,-49986,7691,-6455,-5401,3546,15449,-14710,637,3917,4828,-6065,18383,-14649,-3586,easy
113496,48849,12546,6795,10495,14973,-45161,1062,-11916,1005,-8570,-12516,-82022,-36761,-11553,-2228,-3778,-3129,-63964,-38512,-10542,-3916,-6650,-11430,-101676,-39080,-10819,2131,-4349,3032,-36861,18058,-37712,-37823,-1751,-568,363,1011,-277,-3233,-1688,6047,4792,-2872,2301,9387,-8301,14462,difficult
144867,41773,11493,10179,4499,3287,-120953,-31959,-7233,-5570,3000,6962,-16219,5651,1549,-4058,-17,-1392,-10258,-32041,-9761,-9287,-4064,-2521,-107295,-32027,-9153,-6284,-2666,-1552,104734,5961,-97037,37610,-37692,14,8782,-11310,608,1512,-5229,3003,-3017,-4047,1398,-8354,-1129,969,easy
114914,24976,8848,7061,8856,11606,-103345,-21480,-8523,1019,4149,2421,718988,54385,1458,-5192,-5973,-8611,428490,690954,332354,30875,29527,37964,327510,-16202,-2621,-3065,-3498,-6441,822333,-290498,-100980,75865,636569,-707156,9981,330896,-334975,-6211,36067,-33940,-10122,35500,-33025,-11032,46575,-44405,difficult
270762,54909,5624,7019,4351,3886,-244543,-50374,-2459,-5202,-3362,-3058,-262947,-46882,1351,-2572,-1030,-288,-263487,-43634,-2074,-2828,-2382,-865,297209,27153,-2651,25,-2513,-2119,-18404,-540,560696,3492,3248,70787,3810,-3425,-577,2630,-256,2853,2332,-1352,-131,2770,-577,-1254,easy
184713,57199,10962,8680,8585,10209,863595,-18161,34841,46450,19124,6466,2085866,165791,7105,37951,10211,30307,-177898,-34911,-10670,-3093,3635,7087,-84242,-17545,-10896,-4307,-3740,2441,1222271,-2263764,93656,183952,-200702,17366,-27736,-17775,-226,-8499,-41044,-1214,-8913,-6576,-7375,23841,-23220,-4646,difficult
255310,60871,14602,8893,18843,11557,-188027,-7451,1530,366,-15267,-6495,1860400,51307,-1127,8923,-8924,13945,-246812,-58007,-5162,1180,-428,17601,-196302,-44875,-13972,-8172,-17961,-10068,2048427,-2107212,50510,58758,-109314,13132,-2657,-4035,-8810,8557,-7743,-9352,6343,8496,-17533,20440,3656,-27669,easy
260087,106526,10921,9943,9690,7599,-62123,-95480,12559,-3621,-7793,-1203,-121067,-99459,-7070,-9304,-6846,8267,-242818,-85248,-8723,-5506,-5279,3949,-227955,-83342,-9056,-8722,-5546,713,-58944,-121751,14863,-3979,14211,1906,-19629,-1653,-333,-5683,3798,-3216,947,1567,-267,9470,-4318,-3236,difficult
595713,42138,11775,12407,7098,11186,-91168,105820,20384,41943,38557,28153,1064886,157646,46347,-33,10489,1380,-589710,-30654,-8855,-9906,1081,-5533,-592455,-40578,-65,-8080,3854,-1382,1156054,-1654596,-2745,51826,-188300,-9924,25963,-55202,8790,-41976,-9873,1826,-28068,-9408,2773,-26773,-6913,4151,easy
1022756,130825,35480,9602,12288,24918,-944284,-107473,-28614,-5381,-8424,-23383,-906473,-114049,-22824,-6031,-4847,-19502,-1012145,-124785,-30943,-5161,-8587,-18382,-924802,-79025,-34078,-8196,-7828,-12482,37811,-105672,87343,-6576,-10736,45760,5790,-8119,-3135,-650,870,-3035,3577,-3740,759,3881,1120,5900,difficult
144707,50376,13157,21663,12313,19191,169887,40967,-10543,-14367,3957,-1719,-80768,-48903,-12929,-19212,-2538,-13833,51133,-18305,-4817,-21025,-9097,-14807,-122818,-39251,-6594,-17356,-7954,2828,-250655,131901,-173951,-89870,30598,-20946,-2386,8112,-1777,-4845,-1813,3669,-6495,-6559,1143,-12114,-974,17635,easy
85288,22912,4556,4781,4968,6947,-57276,-17500,2189,742,-3605,-3796,-70711,-16362,2011,3046,-1134,3203,12459,1439,34250,40197,14386,18745,-68498,-6853,432,-3336,-3332,-5623,-13435,83170,-80957,1138,17801,-8292,-178,32239,-33818,2304,37151,-43533,2471,15520,-17718,6999,15542,-24368,difficult
