delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
47921,32703,8985,13609,17943,11334,3673,7013,3301,68054,-5497,3308,-13130,-7857,-1078,-5565,-9147,-24520,2149,-11790,-14712,-7524,-3080,-5984,-46696,-6378,2264,19163,-6517,-6537,3452,-2674,33827,-4903,-723,-11998,-15348,-9019,-2823,-6506,easy
768215,156797,46863,52875,41664,21761,14599,10376,449077,-34296,-29004,-18662,-32219,-14420,-11155,-5322,-377464,-51945,4816,-43219,-33770,-14310,623,-3508,-731461,-101868,-36692,-36190,-30109,-18959,-12769,-8150,-264522,-124507,38235,-37820,-19806,5596,1022,-4718,difficult
212538,31068,12361,7202,9221,5119,4032,1203,-129017,-20139,7311,357,-8649,-1851,-3349,-39,-201457,-19438,42708,5251,-4801,2174,201,3965,-99330,3948,-6461,-5106,-6734,-3282,-2966,-546,-206595,-24468,-7707,-6469,-7290,-2992,-3409,-656,easy
1473940,272975,12148,26313,18018,19345,9250,9703,-1444221,-253583,-10831,-24938,-16943,-17432,-8960,-9017,-1471916,-260988,28,-17745,-15547,-9324,-5750,-3930,-1257684,-248355,19238,-18768,-9545,-7090,-5276,-3708,-1367724,-246141,-6950,-23016,-13699,-15457,-5592,-9070,difficult
458011,62976,24551,13792,7493,12716,7437,4544,-429463,-26671,-16997,-3361,328,-4406,-2817,974,-229183,25285,-23226,-4004,-2328,-6694,-6541,-2004,-326051,-13314,-16262,-3619,-1335,-9216,-6488,-724,635578,527821,9454,699,10031,6530,5045,6788,easy
95448,21282,7531,4523,2638,4737,1523,1985,89352,-4484,-5165,-1792,2342,-1048,4276,1003,-73335,-806,972,9429,2210,-373,5701,182,-45933,-6606,-4919,-1564,-882,-2072,-609,-1607,-86569,-16137,-4347,-1369,-218,-3198,-490,-984,difficult
161040,48753,7924,10117,18736,7104,2509,2903,-132665,-35895,-5797,-5940,-12131,-4191,-1367,-1779,-158905,-44289,-4944,-6120,-16723,-6120,-1877,-2397,-138677,-32875,1844,-7207,-16128,-5264,-387,-1279,436526,67515,35690,535,-12798,-1278,-423,-1061,easy
47151,39444,8063,8353,11055,6215,3385,2822,-37390,-25861,16672,-873,856,4186,-424,2230,84518,-22645,-3957,-6690,-9435,-4114,-2335,-1886,-30235,-37652,-6613,-7171,-9225,-4063,-1314,-2041,-26569,-31850,43398,-4053,-5919,1405,2343,32,difficult
688321,90189,17412,21698,8972,9028,8333,6901,-625475,-87202,-15932,-20283,-6047,-2461,-6407,-4641,-562861,-74216,-12762,-17222,-7775,-4969,-5235,-5937,-655915,-60467,-12968,-11099,-7770,-7211,-5376,-3637,-628506,-70985,-8623,-16429,-7657,-6605,-5061,-4241,easy
164383,69252,12436,7991,3905,4529,1622,1303,-72833,-58285,-11427,-6921,-2650,-4225,-1374,-1197,-144060,-53352,-5489,-5063,884,-655,-404,-187,-81577,-7630,-5723,-7040,5223,-1970,-622,-238,-138527,-56509,-4630,16196,1517,14251,1129,3384,difficult
272695,109689,60589,8354,15456,13088,13034,7313,-83771,-99410,-58141,-8005,-14557,-12056,-12516,-6833,-121407,-97419,-53602,-3046,-13264,-6655,-12215,-6474,20842,-51208,-55301,89,-13539,-9457,-11414,-6033,-90570,-56339,-57004,7140,-11250,-10093,-11380,-5466,easy
64361,18026,6969,8422,4516,6943,1883,2084,5383,-2438,-5267,-6011,-3639,-5915,-1672,-1941,143565,-3101,-930,4199,-3540,-5102,-1320,-1017,-57231,1555,19393,4542,1976,1446,795,2188,-61923,-1026,32654,-6309,2698,-1678,594,295,difficult
184684,30433,8376,8925,4085,3792,1741,2014,-177630,-22095,-5085,-4377,-693,-1589,-579,-625,235747,1069,-4881,-5713,-1765,-1917,-1476,-1697,-143618,8119,24491,500,-776,8067,3125,3487,-118478,4026,11787,-6934,-93,-2502,-263,-1525,easy
413843,87946,20574,8568,12526,7426,2981,4090,-402313,-77595,38132,3436,-1988,4991,-70,3355,-193602,-72987,-12884,-3707,-7096,-4644,374,-1903,-408548,-81787,-17833,-7248,-9891,-3694,-2255,-3365,-296772,-73673,-19473,-6905,-12211,-6601,-2723,-3868,difficult
273425,54215,10700,19653,11611,6831,1786,3948,-18597,-14754,-215,-15935,-8919,-4449,-915,-3042,-257284,-44666,2827,-15936,-9681,-5623,-1166,-2751,-150766,12254,80,-12614,-5957,-5222,-870,-2939,-57011,30986,11499,10116,7432,17477,3,215,easy
371212,56556,21357,6997,7041,12405,3514,3106,-215670,-41303,-916,-790,-3725,-3581,-1269,-283,-207641,-32370,-11011,1579,-5547,-6191,-2624,-1879,-227096,-14879,-13101,-3130,-2788,-6681,-1172,-2728,-312630,-53533,-17837,-5442,-5130,-9646,-3031,-2368,difficult
50259,19195,7876,4982,5333,6729,3134,3458,-44324,-13992,-380,25626,-1177,1792,-458,-1927,-48044,-10801,19431,6665,-249,1071,-828,-1893,-41565,-5087,11761,6788,-2429,-1965,-1636,-872,-9965,-11818,-7293,-4090,-4124,-4192,-1560,-2824,easy
