delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
310703,26306,8535,9268,4051,5767,2708,1880,183366,77389,12293,32480,15204,33756,24607,12403,-260009,759,6301,-5873,1544,1467,-238,244,2086445,60952,11785,5459,12850,19071,17260,12379,-161056,-11728,974,-7284,-1263,2481,2387,680,-443375,2346454,-2247501,-76630,60193,-72680,-5992,5484,-10811,-38353,11332,-12743,-13660,11306,-14113,-32289,17604,-16590,-24845,17498,-14873,-12159,12135,-11699,easy
1103641,300494,44847,56389,31479,25579,57328,42279,-1034569,-233167,-42205,-51389,-31173,-19257,-52440,-40413,-299234,240880,10167,1674,-3153,53130,23853,15941,-603646,-230194,-39581,-48207,-23686,-21699,-51688,-37969,808623,242375,29061,-46555,38578,33469,29502,-4261,735335,-304412,1412269,474047,-471074,472569,52372,-49748,68642,53063,-49881,1652,28020,-20533,62264,72387,-74829,55168,76293,-75541,81190,56354,-53910,33708,difficult
556077,169010,37628,19980,13587,35486,15434,11126,-175267,-95990,10750,-14813,-7411,5925,-2256,-2106,170386,-88807,-13296,12743,-5886,15842,13268,12004,-293867,-135844,-29743,-530,36896,-6563,19448,8862,-470437,-154519,-35386,-12888,-11865,-20031,-9930,-4735,345653,-464253,-176570,7183,-47037,-18675,-24046,-16447,-5643,27556,-13273,-12358,1525,42782,-48761,9917,-22405,-13468,15524,6180,-29378,14110,-3142,-13597,easy
1160949,59893,30909,12775,18425,23174,11840,10734,-994898,-10320,-13386,-10536,-11498,-11853,-8378,-7132,27819,32998,-24931,493,-13817,19985,23271,12302,-1147900,-56819,-30133,13084,-10860,2055,12682,11787,-966514,-54392,-27689,-9905,-12301,29405,17877,2758,1022717,-1175719,181386,43318,-89817,2427,-11545,-5202,2444,11029,12591,-22989,-2319,2957,-1441,31838,-17930,27350,31649,-10589,5195,19434,-515,-9029,difficult
96630,19153,4402,1371,2972,2793,1888,2153,66177,-6525,-1352,944,-2105,553,-838,-1291,62256,4609,12967,2821,-1208,822,670,2084,-51014,-677,-296,1279,884,839,25,-895,-26020,42247,4023,9282,1171,242,779,9,-3921,-113270,24994,11134,-5286,42924,14319,-13263,4319,1877,-1542,8003,897,2092,287,269,17,-597,1508,-645,754,3375,-2979,904,easy
892466,251208,35445,42587,25498,34957,78980,23258,-787475,-225447,-32942,-35542,-22722,-18962,-72215,-17831,-873159,-237411,-33963,-36574,-18777,-18654,-65383,-16910,-699113,-217191,-32403,-34531,-22993,-32557,-76943,-22052,-836889,-248429,-30890,-36707,-20517,-20587,-71100,-13176,-85684,174046,-137776,-11964,20220,-31238,-1021,1560,1513,-1032,2043,-2176,3945,-4216,2476,308,-13903,11970,6832,-11560,5843,921,-5142,8876,difficult
1128732,95126,12109,21314,15931,18550,7690,6974,-433618,112067,4502,-12196,405,-3574,-2270,-2251,-1115638,-61961,-7247,-17898,-13444,-15542,-6003,-3703,-425800,121863,43430,2232,-4713,-8540,-1607,1893,-839087,-47170,-8393,-15601,-10904,-14620,-2842,-5858,-682020,689838,-413287,-174028,183824,-169033,-11749,50677,-51823,-5702,20130,-17833,-13849,8731,-6191,-11968,7002,-6080,-3733,4396,-1235,-1452,5596,-7751,easy
748315,152929,30816,29961,8454,22985,61152,8790,-235545,-26137,-19460,-24339,10387,-638,-38109,4488,1249870,104766,17637,-23030,6646,86609,2858,25792,-494842,-147996,-28098,-28841,-7414,-19323,-58577,-7434,-643245,-136908,-21478,-28863,-6852,-21518,-58551,-8065,1485415,-1744712,-148403,130903,-252762,11088,37097,-45735,6620,1309,-5811,-22,-3741,-14060,562,87247,-105932,-2195,40967,-61435,26,21304,-33226,-631,difficult
289621,94497,31035,17733,5959,30538,10291,17581,-287655,-88820,-30699,-14034,-1736,-14568,16858,-13249,-85988,-81169,-30106,-16321,-3080,-27202,-7217,-16398,2041646,208285,-328,6582,9201,18154,13813,-1672,-258037,-60230,-21811,-7264,257,-2018,16333,-7608,201667,2127634,-2299683,7651,289454,-268515,593,29778,-21483,-2287,22903,-13846,-1344,12281,-8944,-12634,45356,-20172,-24075,21030,2520,-3149,14726,-5936,easy
106678,18579,7301,7123,8256,20991,7805,6205,758501,116188,-2639,-264,26001,9602,766,10706,-61280,-11071,-6542,-3412,-6961,-16833,-5720,-2161,-84448,-10780,-6482,-4213,-5932,-12929,-1852,-2687,847402,670156,28695,54307,3685,57782,36174,14765,-819781,-23168,931850,-127259,291,680936,-3903,60,35177,-3148,-801,58520,-32962,1029,9617,-26435,3904,70711,-6486,3868,38026,-12867,-526,17452,difficult
