delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
196421,40225,8727,9412,15207,6979,3123,3614,-34393,-35879,-7265,-9042,-14085,-6183,-2771,-3349,-189871,-302,5439,-4994,-1642,7107,8127,1702,easy
442070,40961,43141,25078,21838,11336,6339,9350,285857,17724,35299,-17743,-9810,17263,-622,-4504,1047632,403948,36068,48623,23979,41268,27987,-3386,difficult
1089289,220540,25870,30134,53594,18327,10011,8519,-499614,-193526,-17292,-25975,-49364,-14263,-6904,-3122,-1064436,-216402,-23037,-28005,-50862,-16834,-9449,-8173,easy
571342,119618,31141,48714,26612,13902,10991,7843,-28888,22620,-18541,50867,71041,-2683,1640,1828,1070588,360630,5533,-1247,11790,18437,8024,187,difficult
423495,112682,14046,15315,13449,10828,3387,2884,290660,50142,7076,20665,166,4703,3776,3637,-378883,-102541,-6897,-8025,-6296,-9111,-2749,-2160,easy
568734,74404,24169,27741,21760,22232,5715,3186,-429018,-17382,9768,379,3243,1942,20092,8700,-401972,103399,20114,-13011,8596,-10518,993,5794,difficult
1230761,279418,53249,63173,50602,40173,19330,8051,348199,-114889,-16044,22754,1265,34632,-10678,-5169,-893175,-251414,-28480,-56714,-40709,-29784,-11118,-5675,easy
761860,132516,39366,31492,21509,21413,21963,8021,305849,-46083,-11132,13232,40280,-5952,-8243,1497,-691330,-97089,-30818,-17539,14567,-5234,-14184,-4688,difficult
580586,158919,30579,19166,23208,15176,9709,3743,-388987,-30212,-3650,2761,1102,-8740,-900,-500,-39812,-40666,44834,27389,13729,38838,2156,6430,easy
537812,134643,21062,10231,15438,14769,10834,5053,-459834,-120672,-18615,-7664,-13636,-14040,-10418,-4744,155125,-127423,-13466,-6793,-9248,-12188,-9877,-3879,difficult
1355115,246148,25550,41935,21726,29169,14151,8462,-1263586,-215533,-18200,-40176,-16897,-23695,-12529,-3988,-1341710,-227415,-18510,-31535,-12846,-17405,-3903,-1726,easy
297129,507266,26588,42612,40141,15115,10100,8108,370917,-366085,6589,-27413,-14674,-866,-3547,1548,-68162,-469726,-12534,-36518,-36365,-12653,-8825,-7462,difficult
985973,265589,75626,28287,40489,14939,9018,5392,-673808,-196379,-47433,-19166,-29623,-11615,-5289,-3706,-935358,-215339,-35492,-22933,-2283,-10482,-5731,-3099,easy
695092,256792,17877,30239,22010,16379,6786,3519,11822,-54954,73918,-9504,110823,23020,30889,14937,-461796,-152251,-10302,-15574,-17114,-14227,-5727,-2814,difficult
279713,37959,11022,15173,7926,9104,2590,2012,-123391,-579,-6789,-9122,-172,-6781,-1573,-1639,-122831,50563,19762,29977,10050,-4073,471,4743,easy
1138124,150913,32823,60327,18582,27478,10953,9481,-96433,-87331,-16863,-47953,-12988,-21365,-5320,-5140,-1092917,-75518,-19990,-56405,-11620,-20649,-7466,-6332,difficult
240574,33934,9523,10943,9171,6673,2704,1670,-101512,41404,39345,15901,19408,1817,11647,4084,189685,380466,6205,10127,12709,18348,7288,4862,easy
179329,25075,16637,6916,10406,7081,5599,2986,-87177,34033,-4297,20308,10836,2554,11890,8665,2044088,204090,16033,22129,31235,39372,12858,12283,difficult
207848,32429,4904,7640,4486,3609,2050,2856,401951,42164,13459,12098,799,18365,1651,3335,-127869,19239,13364,2413,-207,583,-741,-1820,easy
211975,69165,51816,22753,8576,15305,5260,3429,-32952,-34036,-35459,-18514,-974,-10209,2456,1582,-171248,28573,-4367,-14850,2259,-5297,2468,1240,difficult
982264,197456,71885,20801,25771,24200,13979,7598,-693102,-173263,-69212,-17765,-23073,-21436,-13201,-6906,-756543,-177835,-69531,-16792,-23750,-20961,-11861,-6384,easy
925297,94286,82281,16022,41248,28261,7253,6517,1773929,1661242,-5166,58175,74033,61915,7865,4683,-775933,-1922,-61113,3290,-35375,-21043,-4175,-4746,difficult
235404,50018,7588,11225,8301,7652,1842,1032,408834,228217,4292,4253,1878,1022,3626,4262,-165581,6763,5790,10251,-1045,2613,3654,1799,easy
331063,97496,37249,23696,15895,13317,8924,7291,1805783,26474,-790,-10230,-8193,10139,-2912,-2109,715984,-20097,-15880,-10522,-10124,-6908,-5870,-3943,difficult
395502,110304,39389,20315,21273,10750,3753,3163,-273022,-60056,-19278,-11083,-13597,-6495,-1557,-2158,-238730,-75081,-18421,3481,-6405,-6876,948,-2174,easy
819521,204221,28689,35318,10308,12380,7646,7286,-183173,7234,28181,31676,38843,56665,6021,-1084,-304882,-166760,-14398,-31016,-4994,-7262,-6783,-5825,difficult
265209,37319,19396,16499,22306,23931,11903,2507,23624,8128,-9488,-11549,-8606,-18532,-9313,-801,233550,26417,-6562,-3699,-12597,-21822,-9600,-1314,easy
197022,76466,10358,16698,12982,10929,4302,4154,-140870,-13823,15825,-13699,-3431,-4137,-365,-3167,-60400,987,-914,-4750,-6068,4167,-685,-212,difficult
300789,36314,16667,13941,15536,11370,2698,1899,-287525,-26384,-5931,37656,10385,7658,709,-435,-146571,-10173,6523,-9989,-9021,-8512,-2356,-1336,easy
233424,54242,26440,15877,15718,5727,3241,2555,511531,98490,13071,10065,-853,2229,3549,4010,-144613,-36506,-25630,-13772,-15069,-3131,-2181,-2291,difficult
253464,65074,26709,13538,21273,13934,8114,6071,1376626,1533,-7465,-5767,-1444,-2905,2784,-2875,1353256,117576,3417,7610,-8316,-529,-3380,-3618,easy
116729,62438,15077,20674,8594,6852,2839,3252,99420,7747,905,-11344,-3949,-3117,1382,-2064,-94189,-17413,-5990,-12582,-2086,-3859,-2141,-2134,difficult
355299,83040,58793,14172,8836,9749,7922,3565,-238949,-45815,-30779,-1486,-4080,-4941,-3402,-1506,-138608,203042,-56190,-3324,3352,10220,-55,1214,easy
304958,55471,15785,8927,5993,5885,2234,970,-270280,-51534,-8121,-6639,-3123,-4491,-1013,-673,-100501,-23986,-7044,-4780,1200,-2204,140,409,difficult
73165,126636,14979,9833,20386,19319,5835,5165,-55276,-112058,-11679,19400,-11641,-7508,-1790,-3804,671245,-33372,-4206,28698,12401,-7267,2944,-3321,easy
491248,218585,29130,13977,20617,23007,14743,11041,227956,-153779,43342,85535,41732,-13709,-8168,-8031,2157632,46962,35130,73164,86167,53694,45037,-1439,difficult
1033767,131608,80196,55155,47440,49755,25147,11210,13607,485931,8548,-29396,26245,-16323,-9428,17608,-967360,-108265,-73683,-52292,-46118,-48122,-24690,-10789,easy
293219,51075,7908,10775,10632,9327,2902,1327,-250388,-32883,29542,7143,-3023,-1939,-266,45,-71169,-19344,8208,-9531,-3015,-7505,-1773,-913,difficult
123468,26303,7279,5907,6366,3892,1997,2427,1487837,304391,56735,11699,2662,8412,4154,3424,149113,-12385,-3263,6266,7683,2516,39,-431,easy
293579,71810,24594,23006,13627,12773,4916,2419,-249564,-62042,-17684,-22479,-12552,-10904,-4398,-2148,36490,95867,15226,6689,9847,9338,1669,4065,difficult
258177,45129,12805,5412,6543,5370,4619,2048,-118489,-5504,8983,6408,589,3876,11876,3450,-109868,19937,-4291,3165,-495,11097,-560,-161,easy
374273,21547,36863,9370,4730,5222,3753,1676,-367069,-16516,6121,10769,5203,4684,-2434,1170,-368713,-10994,-21016,-6482,3506,2323,-2419,6,difficult
325902,74306,25517,13408,29512,24105,8412,7698,-199530,21239,13875,-7261,-24145,-19955,-5389,-5009,-199632,23021,35705,2824,-20153,-18415,-5488,-5257,easy
340537,31960,17787,6372,3936,8877,2062,1450,1598195,196693,13907,40737,26386,12011,5120,3508,-21279,10866,20257,63866,10338,7359,6533,3320,difficult
35233,21575,3335,2112,3143,2133,845,588,2395801,751143,55081,50164,19886,8317,17078,9787,113317,6488,33418,7458,25434,13673,6639,5528,easy
1038344,125738,53463,22627,17513,30428,11211,4417,-179221,-45917,-51576,4513,-11581,-26415,-4706,-959,-1010165,-113833,-48575,-20011,-16539,-29112,-10448,-3960,difficult
516249,56214,27996,12906,14435,13055,9140,6715,-296931,-38462,-26417,-5708,-7776,-9390,-7717,-6114,-470362,-37796,-20955,-6781,-11532,-8369,-4943,-4867,easy
140013,104293,21272,22064,11333,13050,11683,8853,-44597,-61543,-6679,-13428,-4785,-6667,-9440,-5900,532614,123175,13047,30218,10337,6021,-2410,-3824,difficult
800066,120019,69252,58983,44715,26220,12965,5376,791441,5767,-46253,6335,32022,-3058,-10476,-2928,573982,-81486,-58650,-45938,-41123,-20829,-12204,-4456,easy
94182,26806,8509,7683,5601,3268,1058,876,83608,6729,19354,9063,-1626,8715,9587,3857,-41742,-16331,-5157,-7484,-4464,-2556,-364,-694,difficult
818893,492993,78316,58233,54588,28528,23825,16712,859629,240733,-31076,52551,-4152,11223,5255,-4109,-382100,-453628,-40533,-49333,-50376,-24771,-22415,-14200,easy
42451,34251,22421,16720,20193,18942,4914,2811,1102276,253962,2435,12603,-3554,-7457,-880,3035,15635,-28155,-18584,-9548,-16125,-16707,-4333,-2395,difficult
706555,301368,95356,76853,120396,55986,21233,13032,140509,-232467,-69264,12471,-86349,-42560,-12449,-8114,-526014,-255759,-81820,-68506,-114805,-53202,-18108,-11516,easy
239239,53859,10145,5516,8660,2316,2153,1300,-39710,-20956,-606,5536,-1041,1076,1283,2184,623146,291415,62365,35367,16773,8309,17815,12668,difficult
675511,81111,30827,19409,26934,13866,5425,5582,-576513,74264,-1355,76641,33094,16344,8872,3124,602993,39776,3388,-2651,39927,17781,1540,-1177,easy
107264,34508,19682,9196,5616,6915,2718,4896,1434504,264815,44758,60050,25749,27082,7452,229,180870,-9161,-13624,-7383,-1920,-4181,-93,-3030,difficult
302458,96523,7636,4501,14328,10872,8723,3029,-28560,-23799,5424,37849,17595,472,3376,4882,-218204,-69357,22360,14261,2347,-3343,-5288,-1429,easy
379024,92234,27621,28498,13281,6900,5565,6781,-237349,-60089,-13696,-25928,-8579,3068,-4453,-4580,-328352,-80519,-24755,-26261,-11660,-5965,-5126,-6035,difficult
212462,67001,6967,4890,6272,2506,2061,834,468301,17660,53147,18575,12542,30221,-328,1928,1286117,25872,25690,23999,29197,26086,4502,5966,easy
231357,62820,41425,10864,16591,13728,1912,2893,-179827,-43732,-34057,5768,-14645,-9555,824,632,339285,96757,-4512,18530,14953,19368,15778,354,difficult
251946,107925,12076,10292,13400,5577,2149,1991,157846,-18334,7739,9140,2554,7128,12409,4601,9231,113570,34340,26405,856,12169,5762,1869,easy
187946,166876,35329,25609,21789,9814,5449,5013,777487,5589,40510,11761,62108,18991,5838,6101,1586074,140660,6267,63867,33184,-2824,8985,442,difficult
1118733,190196,76775,91990,52790,80983,25270,11676,77876,-114962,-49073,-84576,-27326,-71965,-19926,-7018,-77368,366238,60015,-35266,156742,-41398,-2921,-2079,easy
573955,202294,70772,18870,36236,21966,10611,4590,379235,-89313,-49098,13971,-30458,-10983,3692,-1539,-516369,-157831,-66244,-16050,-30380,-19264,-7953,-3474,difficult
336173,90502,20935,11918,11634,17683,6776,5595,483527,167916,14728,-954,12734,3354,1573,6631,1185406,414760,15349,7633,9679,-3407,8892,2361,easy
