delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
385383,48716,19231,6919,7979,5915,4309,1559,-324672,-43512,-16597,-4570,-6879,-4718,-3515,-1138,-122517,-40715,-17155,4539,5507,3082,516,215,-380534,-38972,-17281,-1115,345,-1314,-854,1051,easy
434133,76758,18989,20670,15817,23817,7841,9940,-345565,-62051,-13570,-1363,-13370,-20286,-6199,-7418,-391493,-61232,-14848,-15311,-13776,-16472,-6367,-5070,472957,40874,18126,5754,5016,-11259,35587,-1685,difficult
127674,59678,5223,4073,3653,8440,1979,1751,-91961,-41165,1657,-2930,2295,-6125,-343,-829,-109455,-48160,-1300,237,6624,27495,1703,3397,-88907,-26199,31181,16800,1771,13805,8036,545,easy
379839,70437,9265,11165,6163,6342,3084,1837,1014519,154667,15902,-563,39950,3950,11541,4151,-150191,-50777,-4112,-5076,-3844,-5212,-2612,-1565,1846298,105842,31314,14226,-342,7539,2602,3587,difficult
523942,121596,23438,18845,36996,20648,9184,4292,555499,77142,19225,3096,-5987,-954,-2043,6223,639092,15262,20961,15884,-2080,-6927,-6965,-2270,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,easy
62962,14061,17916,6294,7530,5577,1949,1149,-35472,26242,-10451,-3678,-4368,-1950,-702,-418,-44646,-7312,2514,4514,-1609,14398,7045,1322,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,difficult
84563,88560,12590,7207,5608,5090,1872,970,217346,164375,8077,30665,5562,6680,3667,2692,158045,-48405,-7996,-2372,1801,-2106,-281,-43,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,easy
683104,236979,37128,15872,12987,26716,10665,5952,220789,-148176,-551,50566,42100,-7258,7702,1709,505033,-97556,7365,235,25272,16722,9701,3035,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,difficult
574273,65510,27391,19422,13179,7857,2462,1181,702962,26484,21141,8343,4110,7724,2403,-585,722244,36055,-552,-8012,3097,4397,2327,-348,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,easy
92179,82453,19027,6755,14959,22130,23208,11999,251166,-48251,9197,-897,-6117,11216,2095,-1393,1726116,-26872,-6328,16104,18635,14824,5987,87,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,difficult
120861,103397,26823,23569,16103,8657,3970,2143,-31426,-60819,-20900,-21553,-14237,-6200,-3361,-1611,-39249,-58123,-22063,-20779,-12825,-5542,-3087,-1288,634936,-85919,-16977,-20589,-13892,-7173,-3306,-1716,easy
984256,37976,11871,19864,6741,24000,13830,7260,-908612,70093,-4888,-16877,-4241,-10524,-8805,-4204,-823452,-27523,-11439,-18497,-4348,-13084,5949,-5804,-970833,-23355,1000,-17347,16929,37892,9734,6214,difficult
650534,232711,29137,16790,18942,20443,8264,3751,-267089,-152020,-17633,-7841,-13576,-17907,-7041,-3349,214960,-158479,-25539,-13769,-6280,-10620,-4167,-584,-376981,-169519,-16749,-4384,-13231,-16945,-4483,-2336,easy
