delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
88590,18799,5420,2807,4840,4244,2497,2507,189564,16706,13833,156,-3608,-2802,-1479,-1270,259124,39234,7378,15605,309,15581,1905,96,-88086,-10752,1977,895,5137,932,3009,-1102,69560,-347210,22528,-49986,-6455,-5401,15449,-14710,3917,4828,18383,-14649,3384,1104,1366,-1198,easy
113496,48849,12546,6795,10495,14973,9724,8332,-45161,1062,-11916,1005,-8570,-12516,-5353,-7005,-82022,-36761,-11553,-2228,-3778,-3129,671,-4966,-63964,-38512,-10542,-3916,-6650,-11430,-5440,-7373,-36861,18058,-37823,-1751,363,1011,-3233,-1688,4792,-2872,9387,-8301,6024,-6111,2039,-2407,difficult
144867,41773,11493,10179,4499,3287,1896,1134,-120953,-31959,-7233,-5570,3000,6962,7365,2911,-16219,5651,1549,-4058,-17,-1392,-614,-450,-10258,-32041,-9761,-9287,-4064,-2521,-1690,-1067,104734,5961,37610,-37692,8782,-11310,1512,-5229,-3017,-4047,-8354,-1129,-7979,-1076,-3361,-617,easy
114914,24976,8848,7061,8856,11606,2300,3532,-103345,-21480,-8523,1019,4149,2421,11422,-1638,718988,54385,1458,-5192,-5973,-8611,-427,-1198,428490,690954,332354,30875,29527,37964,71748,32177,822333,-290498,75865,636569,9981,330896,-6211,36067,-10122,35500,-11032,46575,-11849,72175,440,33375,difficult
270762,54909,5624,7019,4351,3886,3836,1741,-244543,-50374,-2459,-5202,-3362,-3058,-2117,-694,-262947,-46882,1351,-2572,-1030,-288,-2401,2501,-263487,-43634,-2074,-2828,-2382,-865,-2929,-1060,-18404,-540,3492,3248,3810,-3425,2630,-256,2332,-1352,2770,-577,-284,-528,3195,-3561,easy
184713,57199,10962,8680,8585,10209,5094,4507,863595,-18161,34841,46450,19124,6466,30903,6567,2085866,165791,7105,37951,10211,30307,36252,23811,-177898,-34911,-10670,-3093,3635,7087,47103,23083,1222271,-2263764,183952,-200702,-27736,-17775,-8499,-41044,-8913,-6576,23841,-23220,5349,10851,17244,-728,difficult
255310,60871,14602,8893,18843,11557,11591,8391,-188027,-7451,1530,366,-15267,-6495,-7765,-5059,1860400,51307,-1127,8923,-8924,13945,11854,2253,-246812,-58007,-5162,1180,-428,17601,661,19048,2048427,-2107212,58758,-109314,-2657,-4035,8557,-7743,6343,8496,20440,3656,19619,-11193,7312,16795,easy
260087,106526,10921,9943,9690,7599,6936,5075,-62123,-95480,12559,-3621,-7793,-1203,-2536,-2487,-121067,-99459,-7070,-9304,-6846,8267,-4826,-1668,-242818,-85248,-8723,-5506,-5279,3949,-6039,413,-58944,-121751,-3979,14211,-19629,-1653,-5683,3798,947,1567,9470,-4318,-2290,-1213,819,2081,difficult
595713,42138,11775,12407,7098,11186,6181,2857,-91168,105820,20384,41943,38557,28153,18354,7637,1064886,157646,46347,-33,10489,1380,4037,7450,-589710,-30654,-8855,-9906,1081,-5533,-1775,644,1156054,-1654596,51826,-188300,25963,-55202,-41976,-9873,-28068,-9408,-26773,-6913,-14317,-5812,-187,-6806,easy
1022756,130825,35480,9602,12288,24918,11912,9626,-944284,-107473,-28614,-5381,-8424,-23383,-8591,-8438,-906473,-114049,-22824,-6031,-4847,-19502,-8520,-6379,-1012145,-124785,-30943,-5161,-8587,-18382,-7461,-6455,37811,-105672,-6576,-10736,5790,-8119,-650,870,3577,-3740,3881,1120,71,1059,2059,-76,difficult
