delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
650534,232711,29137,16790,18942,20443,8264,3751,-267089,-152020,-17633,-7841,-13576,-17907,-7041,-3349,214960,-158479,-25539,-13769,-6280,-10620,-4167,-584,-376981,-169519,-16749,-4384,-13231,-16945,-4483,-2336,357198,7883,-4194,-9917,-10946,-12057,-4155,-2017,482049,-591941,734179,-6459,-11040,177402,-7906,8790,12555,-5928,9385,-5533,7296,-6951,2285,7287,-6325,4888,2874,-316,328,2765,-1752,319,easy
681295,178435,32177,8141,10205,12312,22565,2532,-621221,-168077,-29381,-5038,-7670,-9484,-18007,-1539,-608868,-165711,-22005,-6384,-6802,-9331,-9772,-158,273981,-12245,-1911,15255,3604,25356,15850,4532,-653211,-143407,-24650,3619,-4722,-1618,-11226,6263,12353,882849,-927192,2366,153466,-131162,7376,20094,-22739,-1346,21639,-11636,868,10406,-8326,153,34687,-26974,8235,25622,-27076,1381,4690,1731,difficult
717820,249934,69336,15656,10502,11978,5222,3961,1230787,331467,-38917,3627,-4267,20801,4826,9962,-232706,-2415,-52198,27982,31863,6161,12385,1908,-231569,-221007,-62277,-13033,-8021,-7193,-2087,-2497,748883,-89,-48809,7501,-5143,4147,1054,1744,-1463493,1137,980452,-333882,-218592,220918,-13281,-10079,13468,24355,-41015,20534,36130,-39884,2878,-14640,-13354,11340,7559,-14472,3141,-8054,-4405,4241,easy
395566,30128,42014,14015,3946,8120,7957,4216,-319814,10593,-38531,-3758,-3114,-6515,-7393,-3228,581945,208776,-18768,115192,49837,50568,2561,-1800,-308072,58440,-41626,12129,12984,-1180,-4057,-2724,-316120,-4313,-38372,-6994,9901,1564,-6421,-3294,901759,-890017,-8048,198183,-150336,-62753,19763,-22858,3254,118950,-103063,-19123,52951,-36853,-3083,57083,-51748,2744,9954,-6618,-2364,1428,-924,-570,difficult
512395,207911,50680,32808,11034,15703,6395,4145,231783,-184242,-42697,-13658,-7576,-13741,-3351,-2641,-324342,-103686,-28738,-27596,-7390,-13001,-5022,-3275,-51833,402040,204,24615,6648,-1603,2279,10211,-456382,10874,12891,-23391,-8571,-10917,-3291,-2497,-556125,272509,-404549,80556,505726,-391166,13959,28942,12687,-13938,52211,-48006,186,14038,-15219,740,11398,-9314,-1671,7301,-5570,-634,13486,-12708,easy
184340,54983,7711,23031,7080,17756,6844,3919,-53245,-29514,11853,-19355,1494,-6356,-2383,-2128,289832,-25218,1280,-6331,14080,11876,5914,4930,281316,52616,2071,2261,9781,59508,14996,21439,-121913,-49847,-4982,-10277,-3640,-4865,-4062,-2551,343077,-8516,-403229,4296,77834,-102463,-10573,791,-7053,13024,8592,-12538,12586,-4299,-13421,18232,47632,-64373,8297,9082,-19058,7058,16509,-23990,difficult
599755,172670,48858,45544,20311,15372,11460,5807,-551694,-61640,-32495,-21938,-8978,-10074,-2159,-1286,-565133,-104126,-8178,-9954,2344,-4840,-5967,971,-542336,-142991,-44655,-42546,-19500,-14409,-10659,-4980,1219227,360048,13486,-8864,38250,7015,12004,11017,-13439,22797,1761563,-42486,-38865,503039,24317,-36477,58141,11984,-32592,33682,11322,-21844,57750,5234,-9569,21424,-3808,-4692,22663,2257,-5951,15997,easy
383908,134602,22840,12778,6165,5300,3748,3614,877692,52809,-14317,8650,5796,-705,-839,-2145,1119048,-37784,-10181,-5102,2149,392,-1383,-591,119631,39532,-3041,-4397,-1567,1438,-686,-2892,155401,129817,-14330,-912,-1599,942,-1491,-1923,241356,-999417,35770,-90593,77316,90285,4136,7140,-11289,-13752,705,3485,-3647,-3716,-32,1097,1046,-496,-544,697,-805,1554,-2301,969,difficult
788604,168655,15461,9987,13356,16553,4617,3609,370020,20603,21681,37433,-10249,-10054,-1553,-58,-241044,-153530,-13824,-7863,-12384,-11492,-3334,-2792,-732779,-149748,-8560,-9473,-11148,-15116,-4184,-3330,50804,-10283,14955,630,6487,2230,763,1470,-611064,-491735,783583,-174133,3782,139465,-35505,5264,23515,-45296,-1610,10103,-2135,1236,17635,-1438,-3624,17346,-1781,-850,4947,-2734,-538,4800,easy
340438,33074,7908,7251,5294,9290,2356,2201,-239905,10324,-1139,-5284,-3562,-4624,-1475,-341,-30611,-1907,5389,-4709,9,-6228,730,-1394,-57504,22016,9207,-2972,-2286,-4843,-822,-321,-81591,14263,-3645,-3126,-2927,-1311,-314,-1753,209294,-26893,-24087,-12231,23923,-7753,6528,3818,-12852,575,1737,-154,3571,-2295,-641,-1604,1385,3532,2205,-1552,508,-1053,1073,-1432,difficult
1176776,247224,25982,29558,15268,12115,9332,5335,510610,766200,-4542,29262,22760,42638,75,4514,178443,-171169,-4544,-18850,1109,-7426,-3418,-3135,-652602,2307,-6581,14516,11014,13455,6451,910,-804815,-228178,4683,-18257,-10353,-4723,-7203,-3167,-332167,-831045,-152213,-937369,173476,-230485,-2,-2037,11264,-48112,33366,-32773,-21651,9905,-21367,-50064,20881,-18178,-3493,9869,-13654,-7649,4045,-4077,easy
61914,19435,4889,6372,2147,3443,1167,563,45465,10879,27569,12704,5058,8603,1880,4393,21922,-9642,-1427,-3175,-732,311,216,-28,-56099,1702,8074,-67,1397,9226,2790,552,-56964,-14403,2022,1759,6863,4447,3896,2368,-23543,-78021,-865,-20521,11344,-16105,-28996,9501,-6052,-15879,3108,1826,-5790,2129,5466,-8292,8915,-4779,-1664,2574,1106,-4421,580,1816,difficult
306509,48967,11960,8550,12294,4295,1971,2482,590867,108420,-5672,48323,3893,16736,9974,2272,143125,20742,-4832,8268,-4113,2535,1012,-919,-37074,9250,2171,5138,-2109,-2095,316,-975,-270342,-35363,-7475,-6693,-10747,-3533,-1667,-2088,-447742,-180199,-233268,-87678,-11492,-44613,840,7003,-9646,-40055,-3130,-11831,-8006,2004,-8638,-14201,-4630,-1438,-8962,-696,-1983,-3191,-56,-1113,easy
979616,125388,46680,35955,83908,42203,11334,9586,301758,420179,104690,-11843,-60198,-27555,-7184,-5156,-314304,486,-42700,12135,-51719,-14502,6954,3801,443564,208794,165029,77847,79782,85286,78014,1742,-483552,-57726,-40813,7412,-30034,-29920,-463,-5983,-616062,757868,-927116,-419693,208308,-266520,-147390,207729,-205842,23978,65712,-70435,8479,131501,-109816,13053,99788,-115206,14138,71060,-78477,8957,-2059,-7725,difficult
457517,167815,17308,8366,12165,12167,2817,3471,-373080,-103350,-12514,-5064,-9427,-10912,-1499,-3018,185673,-87000,1474,-3718,-7600,-8861,1410,-987,1843484,607055,310317,28281,15717,2252,24695,8337,378185,-5493,33629,6842,-6205,-6577,3063,-810,558753,1657811,-1465299,16350,694055,-612548,13988,308843,-276688,1346,31999,-21439,1827,23317,-21922,2051,11113,-8829,2909,23285,-21632,2031,9324,-9147,easy
231968,39245,2131,9216,5172,2149,1093,1114,48411,97873,33144,10046,3363,8109,1680,2941,561843,629678,127968,122634,43692,33833,15157,8626,-158946,15364,905,-618,-3108,-483,177,-273,94052,-23813,544,-3204,587,-827,-551,-471,513432,-720789,252998,531805,-614314,-39177,94824,-127063,-361,112588,-123252,-2586,40329,-46800,3695,25724,-34316,-344,13477,-14980,-728,5685,-8899,-198,difficult
113741,55539,9652,4593,3180,3669,2219,1135,-14741,-35592,-4252,-4053,-1988,-2460,-1782,-795,93342,-25319,-7079,2879,2967,856,1861,1938,-54860,-47437,-7582,-1855,-1845,-1466,-1579,-814,574600,124034,35886,36764,29656,10096,8545,3645,108083,-148202,629460,10273,-22118,171471,-2827,-503,43468,6932,-4734,38619,4955,-4812,31501,3316,-2322,11562,3643,-3440,10124,2733,-2752,4459,easy
642526,69286,35625,22089,10808,25029,4372,4797,-332403,147788,23204,15554,9178,-3022,3337,1417,-260062,88641,28700,13863,-784,-11095,207,59,1342572,-2788,-5184,-3345,-4766,-8556,3982,2601,-620307,27459,-19899,-5448,-6607,-10622,3257,-643,72341,1602634,-1962879,-59147,-91429,30247,5496,-33884,-14715,-1691,-17208,-2103,-9962,-3982,-1841,-8073,2539,-2066,-3130,3775,-725,-1358,2542,-3244,difficult
37388,20846,11418,7448,9117,15375,5599,2200,-33246,-14431,-9668,-3615,-7736,-9209,-3278,540,235141,-7206,-11087,-1175,-2331,-12260,-2820,158,444261,61956,21199,26330,43655,8161,11658,10434,83545,-5462,-10274,-1810,-8275,-4623,809,1134,268387,209120,-360716,7225,69162,-67418,-1419,32286,-31473,2440,27505,-28140,5405,45986,-51930,-3051,20421,-12784,458,14478,-10849,-382,10276,-9300,easy
332769,101712,33116,15616,12976,15401,9172,10622,-202732,-38522,-20397,-8238,-11130,-6156,-4602,-5078,-300579,-96962,-31641,-15406,-11975,-13998,-7685,-9987,-275813,-96700,-32394,-10941,-10392,-6439,-2041,-8625,-255658,-86713,-28106,-12077,-11204,-9657,-3273,-8950,-97847,24766,20155,-58440,262,9987,-11244,-753,4288,-7168,4465,-1136,-845,1583,-812,-7842,7559,-3218,-3083,5644,-1232,-4909,1362,-325,difficult
155724,27312,6091,8494,7978,12709,5328,4657,-81351,24990,8238,6728,5407,-9679,1804,-4103,1973865,61174,13206,37969,8883,7388,19312,2680,1426872,68546,-4260,16366,3355,6390,4144,4725,-93591,40237,60479,12082,31,15898,5953,3959,2055216,-546993,-1520463,36184,7372,-28309,4968,-17466,64739,31241,-21603,-4284,3476,-5528,-3324,17067,-998,9508,17508,-15168,1809,6783,2045,-766,easy
365913,51775,19394,8740,6131,8937,2977,1839,-281956,-12035,-6847,-6237,-4271,-6761,-2051,-629,-53887,171759,-16866,24378,23196,23642,1961,141,-323964,-32493,-18186,-4931,-4984,-7850,-2342,-1663,-360951,-46359,-17376,-4584,-639,-5983,-2461,-1174,228069,-270077,-36987,183794,-204252,-13866,-10019,-1320,810,30615,-29309,347,27467,-28180,4345,30403,-31492,1867,4012,-4303,-119,770,-1804,489,difficult
