delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
284039,96773,12188,18856,4816,6043,3694,3954,229040,-11896,24666,11392,11217,4249,-1312,-2498,-52101,-51760,-5723,-17308,-2682,-348,-2673,-2693,1075212,103958,15177,10322,44897,57375,19735,2315,1459196,84149,4195,-4733,5146,11420,12175,-419,easy
964441,85690,53690,64764,22582,29540,46953,24513,1010697,170844,-42153,-24656,-14764,38956,-1911,3360,-872738,-69537,-50910,-63411,-20734,-25714,-42704,-23282,-943549,-51904,-39559,-61461,-6438,17656,17479,2165,-943549,-51904,-39559,-61461,-6438,17656,17479,2165,difficult
414190,42821,20815,6560,9983,6889,10810,3762,459909,-21223,-8919,2361,7366,7313,-9381,-1231,3335177,405818,60580,15082,51105,20073,661,1346,3335177,405818,60580,15082,51105,20073,661,1346,295195,649041,20881,18400,-295,2925,1255,-1604,easy
678701,415145,31449,53765,29122,24331,19166,11752,50499,-341459,-16961,-47835,-18660,-7723,-2838,-6138,-544294,-318492,-19007,-49233,-26234,-22295,-14415,-9898,-602956,-394332,-15677,-52542,-26026,-23454,-15837,-9270,-292392,-391430,-24155,-50076,-25920,-21739,-16475,-11098,difficult
778004,122346,28882,40255,19872,17083,15124,4769,-457162,-115453,-23985,-36943,-13253,-16363,-12950,-3469,91830,-49414,-2572,-32276,-2824,-5064,16577,-1350,278190,-71594,-8909,-26344,-12736,-8010,-449,5404,1276906,-1780,57397,-27923,-7049,2518,3751,-1724,easy
592245,92759,8442,16669,15497,25320,53736,11277,-365721,112203,25018,-2912,24720,4477,-26819,7427,-404708,-71908,13296,-7024,-3627,-10471,63560,1413,-458324,-74594,2427,-13497,-13992,-17442,-45677,-7491,-341626,-85938,-5912,-11212,-11041,-19939,-47195,-7969,difficult
151714,24143,27553,12202,13815,10125,6306,2671,66076,-1772,-20420,-8380,-11485,-7565,-3080,502,1328204,71021,-7529,18833,29003,47637,12444,6304,571295,151193,3196,-6903,6480,6055,7369,2049,-65623,13192,-16308,-9744,-8111,-6037,-1967,-1684,easy
1133282,437279,28535,20864,17520,25315,28867,18804,70697,-254424,-10872,-10468,-12546,-19238,-20690,-11728,-941235,-422955,-19942,-18626,-16680,-23549,-21961,-17327,-460589,-374802,-11844,-17978,-13509,-19144,-8317,-15197,842675,-263931,6547,32651,-583,17886,103,-6022,difficult
725318,99170,8319,11447,12725,16444,24183,11078,-672873,-53407,-4095,-10612,-6306,-9425,-17287,-8764,-499087,140092,117309,20292,30767,8114,11058,-3303,-541405,-64026,-7232,-3043,-5827,-3244,-3438,-4839,-633973,-86987,-4703,-8935,-11602,-10087,-14017,-9433,easy
629675,536646,29841,28304,18915,43099,17777,19304,272696,-330342,460,-13112,-8549,-36991,-13253,-13716,-64972,-494751,-10396,-751,-5541,-586,-1194,-11247,-152291,-488652,-22514,-15085,-3856,7595,-6499,-884,297713,-388043,-2615,-14403,5099,5214,13551,5602,difficult
