delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
994670,85067,24092,18330,7491,5644,276685,151382,10562,46348,7591,17804,-81281,330345,185036,76537,25353,16685,1211086,60344,107907,53128,29657,25053,-622522,-12971,-5829,-5082,2379,-1429,-357966,1292367,-1833608,178963,-270001,-73315,174474,-77129,-113736,30189,-23409,-58210,17762,4304,-27278,-1119,8368,-26482,easy
1291178,258449,17094,65287,16585,17750,-138862,263739,154592,57865,189750,32080,-1209226,-213920,-4392,-43528,-9473,-13248,-33933,-140511,12898,15273,20266,-889,-1228969,-177228,-13628,-48045,-10669,-11502,-1070364,1175293,-1195036,-477659,73409,-36717,-158984,17290,-26526,-101393,58801,-63318,-199223,29739,-30935,-45328,12359,-10613,difficult
560526,31454,7478,3389,2181,1871,2011389,1123097,37127,36222,43565,40260,-458135,12763,769,12482,575,14,-330016,52516,-1620,-1518,-646,-509,-117755,49940,11430,19989,2449,515,-2469524,128119,212261,-1110334,39753,-2576,-36358,-2389,13050,-23740,-14000,21507,-42990,-1221,3095,-40246,-523,1024,easy
334453,163832,11661,35768,21500,16900,1215369,69459,84740,-17102,3651,-137,1224189,509134,101604,19514,-633,796,-172082,-126160,-698,-19667,1625,-12711,409544,5933,38282,-3661,10702,-4394,8820,-1396271,581626,439675,-635294,132093,16864,-102302,38980,36616,-39181,16006,-4284,2258,9077,933,-13507,8317,difficult
644996,103626,19129,19834,11607,7460,230439,-71837,24318,751,-4407,1948,398539,371043,63817,20533,5057,6058,-596621,-92846,-14629,-18749,-10953,-4808,625612,11680,13540,-4810,-2049,1390,168100,-995160,1222233,442880,-463889,104526,39499,-78446,28169,19782,-39282,13939,9464,-16010,8904,4110,-10866,6198,easy
408646,95848,9136,18480,8169,5607,422473,142904,36534,85267,3373,33261,-5969,-62156,3810,3819,1399,3667,-378974,-75929,-5867,-16126,-5335,-4694,172600,-22046,16457,-13265,-2051,-2183,-428442,-373005,551574,-205060,-13773,53883,-32724,-9677,22324,-81448,-19945,2861,-1974,-6734,3284,-29594,-8361,2511,difficult
987236,252508,34629,21314,9519,10013,698520,-186079,-6894,-6626,-5641,-4463,-956586,-247406,-33049,-20160,-8449,-8955,-824018,-197396,-29928,-19627,-8586,-7536,-743595,-193419,-30454,-17826,-5991,-8351,-1655106,132568,80423,-61327,50010,3977,-26155,3121,-526,-13534,533,1801,-2808,-137,2595,-4492,1419,-815,easy
917831,105852,110643,79977,41771,24730,-703077,-35724,-102655,-64288,-37891,-21149,-725620,-89447,-107980,-76278,-40473,-22338,-795728,-62316,-105667,-75362,-26156,-22558,-756296,-81241,-98965,-74743,-36385,-22078,-22543,-70108,39432,-53723,27131,-18925,-5325,2313,6702,-11990,916,619,-2582,14317,-10229,-1189,-220,480,difficult
715830,66767,32333,22743,14292,7183,-188580,-65,-29184,-13981,-11453,-4370,863438,60999,-3432,2881,-2110,7734,963827,96059,45886,19257,-673,4026,-86182,220041,28470,-18082,-4427,-1540,1052018,100389,-1050009,61064,35060,123982,25752,49318,-17416,16862,16376,-37339,9343,1437,-3754,12104,-3708,-5566,easy
975498,255312,50279,36179,13937,18045,998066,-178558,14016,-14896,15938,8230,683263,-177654,-37407,-4852,-3487,-13855,42991,-45661,40541,-19632,16602,-5080,-345180,-217580,-19418,-25836,-12202,-15249,-314803,-640272,-388171,904,131993,-171919,-51423,77948,-59959,10044,-14780,-6204,-19425,20089,-28804,-22085,8775,-10169,difficult
885766,89685,14196,19553,19221,13294,-602002,-65628,-11720,-16894,-8446,-8939,353933,64647,56757,-3196,-12209,-2501,-476095,-71443,3493,-7492,-10976,-7421,-273819,-80039,-12701,-16684,-16765,-10760,955935,-830028,202276,130275,-136090,-8596,68477,-53264,-16194,13698,-4296,-9192,-3763,1233,-5789,6438,-4920,-3339,easy
954185,589008,50808,133463,23332,23431,467928,-436694,39250,-65429,7456,-9270,-165007,-376970,-23906,-114753,-289,-7799,-283945,-548963,-36733,-126601,-20983,-18629,-725210,-547115,-3922,-117829,-16401,-16566,-632935,-118938,-441265,59724,-171993,1848,-63156,-12827,32811,-49324,-11848,8772,-7745,-20694,4582,1471,-10830,2063,difficult
977969,204799,25690,37995,30085,31453,-696378,-153494,-12362,-16439,-24221,-24237,299476,-92232,-3020,12236,59995,-10656,-559454,-186825,-17271,-5496,-24637,-25788,-138778,-156109,-22034,-30839,-7128,-22940,995854,-858930,420676,61262,-94593,30716,9342,-14251,-4763,28675,-17732,-25343,84216,-84632,17509,13581,-15132,2848,easy
406339,73798,36532,44502,19102,12111,-84014,29571,23277,29985,18104,10942,-23787,43170,-11534,-6919,-14539,-3735,-83217,-5629,-27974,-39811,-12133,-7520,59042,149246,11782,-10960,7105,-2203,60227,-59430,142259,13599,-48799,154875,-34811,-16440,39756,-36904,-32892,28851,-32643,2406,19238,-14677,-3785,5317,difficult
636725,124016,51753,72923,30126,12789,386965,183531,-10676,-52011,6854,8628,1137581,20776,77332,-27164,-11797,-1241,-529505,-104867,-50478,-69482,-28025,-10404,1354828,-27181,-13669,-56560,-19340,4099,750616,-1667086,1884333,-162755,-125643,77686,88008,-127810,36809,24847,-42318,12922,-18651,-16228,8685,-9869,-9163,14503,easy
1125276,426498,107439,42379,19187,18712,612413,-124187,6355,54216,40974,49465,-54358,-317597,-48957,1130,-13602,-1792,-725599,-92374,-60261,-33539,-8308,4317,-249553,-289781,-82866,-37321,-7396,-12968,-666771,-671241,476046,-193410,225223,-197407,-55312,-11304,-22605,-53086,-34669,-3782,-54576,5294,912,-51257,6109,-17285,difficult
1015541,288527,95459,88237,42767,13409,310708,-120958,-45858,-63022,-12930,-6562,763977,180669,-24801,-56732,23178,52056,-647654,-266508,-87402,-84835,-40191,-11923,349513,-114802,-70456,-60327,-26995,-3182,453269,-1411631,997167,301627,-447177,151706,21057,-62601,16946,6290,-28103,24508,36108,-63369,13196,58618,-63979,8741,easy
761555,333573,32760,27968,15361,9766,-500733,-307720,-24643,-11633,-10243,-7064,1240768,84473,143152,124876,9587,35768,-182603,-273272,-21057,-20553,-11419,-5935,1144125,-285102,-2643,12320,-12715,12700,1741501,-1423371,1326728,392193,-357745,-11830,167795,-164209,18414,136509,-145429,32873,19830,-21006,-1296,42832,-41703,18635,difficult
995890,85013,35203,17084,8189,9496,1006766,408912,256929,382333,71201,23240,-539881,-62561,-29309,-12594,-5903,-4856,512743,332882,-18054,-9319,5906,15647,-690997,-67266,-24640,-14206,-1343,-7601,-1546647,1052624,-1203740,-471473,395443,-400148,-286238,11255,-6586,-394927,3275,-4887,-77104,11809,-7249,-28096,20503,-23248,easy
1080950,176577,13426,6471,6142,3629,-734142,-138643,-10031,1034,-1510,-678,-679125,-167749,9789,8432,-3712,-1836,-411651,-24225,111961,22056,8582,8635,-581159,27121,43073,20560,7334,6312,55017,267474,-169508,-29106,143524,51346,19820,102172,-68888,7398,13624,-1496,-2202,12294,-1248,-1158,10471,-2323,difficult
881333,77098,23743,27307,13698,11382,-277876,24860,-5836,-17328,-9174,-4535,743785,-26329,-11578,-23116,-10968,-6743,709567,-26698,1022,-11580,-3313,-2407,252600,141421,-8273,-5720,-8681,3853,1021661,-34218,-456967,-51189,-369,168119,-5742,12600,-9295,-5788,11536,5860,-1794,7655,-5368,-2208,4336,6260,easy
838456,216464,45711,55666,24792,14892,1455962,241364,110980,94295,-7194,23519,-483712,-89998,-20996,-43244,-13830,-8058,-302347,-125327,-17713,-38032,-9127,-9812,409382,-166427,-25335,-11422,-18393,-6620,-1939674,181365,711729,-331362,-35329,-41100,-131976,3283,-7622,-137539,5212,26610,-6636,4703,-9266,-31577,-1754,3192,difficult
993590,171596,63130,93386,54177,25330,-751725,-141595,-38150,-77390,-51214,-22297,-784029,-154683,-52994,-78381,-52122,-20183,998784,33275,-30448,-76649,-39622,-1080,-611266,169598,-47911,-77686,-43664,-12969,-32304,1782813,-1610050,-13088,187958,136323,-14844,22546,-17463,-991,1732,-1037,-908,12500,-4042,2114,19103,-11889,easy
1351336,206127,25316,24690,30191,9430,161603,162363,102017,-1863,-16030,5510,-619297,-107589,5576,-10819,-10841,156,-1042537,162766,24962,4796,-13045,527,-1088230,-175950,-2979,-20313,-26858,-7425,-780900,-423240,-45693,-269952,270355,-338716,-96441,19386,-27941,-8956,15615,-25109,5189,-2204,-13813,-5354,371,-7952,difficult
624464,425007,34076,32524,27418,13198,-415861,-388589,-28166,-30468,-22922,-10039,65052,909230,176516,4385,4193,37566,568828,-345515,-22826,7073,-22569,-5550,-200472,-315038,-24554,10771,-20587,981,480913,503776,-769300,1297819,-1254745,30477,204682,-199342,-1728,34853,2688,3698,27115,-26762,1982,47605,-43116,6531,easy
1236212,484644,136757,104842,39142,25074,-643277,-405232,-128032,-98683,-36491,-21604,-1154319,-392797,-133422,-93215,-34020,-22429,-591356,-121683,-10086,-81970,-28376,-18714,256845,-445540,-127303,-38784,-31337,-15043,-511042,562963,848201,12435,271114,-323857,-5390,123336,-117217,5468,11245,43186,2471,5644,-2961,-825,3715,3671,difficult
668752,110618,36190,32476,13117,12591,747806,414561,76551,-10193,-3063,-1301,1986748,-15586,13654,-11862,16507,-8307,1072700,942704,-2297,36809,15119,47021,130011,-55013,-14232,6123,-4522,-3095,1238942,-914048,-942689,-430147,958290,-997717,-62897,-15951,-11935,-1669,48671,-30686,19570,-1388,-19641,-7006,55328,-50116,easy
