delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
523502,76000,13569,22350,39956,25067,25117,21221,-510767,-69408,-11427,-16638,-24841,-2396,-5969,-15697,-166243,27165,-6188,-4021,-35017,-19037,-20707,-20103,-472410,-66894,-9689,-20932,-36199,-17799,-22952,-19787,-419457,-57071,-12209,-15777,-22593,23245,-10692,-5647,121885,-16553,-8957,-9314,-14467,4961,-17292,-17284,easy
128628,18676,13346,32580,2477,4605,2262,2156,1943952,294502,7420,13496,29040,12523,33570,11464,-43167,3203,3457,-26308,8031,7452,4797,5778,-108686,14352,-11938,-31499,-448,-1985,-1242,-1198,-57105,-14416,-3858,-22456,465,4490,2389,2004,-109040,-15342,-12364,-31202,-1401,-3272,-1003,-441,difficult
475241,92292,10726,8477,11528,21174,9305,6592,1512968,48204,42638,20150,21693,-12287,-1539,-1240,-449643,-70986,-4867,-2382,-10280,-18785,-6820,-5692,-238717,-59931,-5068,-4692,-9526,-18271,-7685,-4535,-383704,-67419,-8456,-5029,-8941,-19048,-7040,-3742,-381259,-66308,-82,1315,-8180,-18295,-6824,-4462,easy
30827,13360,5917,6851,4039,6137,4270,2805,68739,98920,-2262,-1463,3189,-3484,766,-676,34988,1428,-644,-1860,2087,-2515,-3017,-633,-11982,1603,2216,145,9867,14961,6125,2303,-28944,-2295,-203,22778,6343,19599,4734,3384,-17188,-1923,4271,-2775,15715,28864,6882,10729,difficult
663866,106456,41220,29908,16973,22892,18345,8284,-200093,-37270,-36670,-24781,-3831,-14635,-12382,-6461,-370097,-90587,-30950,-28588,-9611,-15747,-14133,-5299,708478,-32679,-30022,9981,-9687,4022,-4353,5267,-594109,-54336,-32310,-21413,182,-18007,-13818,-6935,-146700,-44344,-39990,-5461,5590,3365,-5394,2267,easy
153369,85711,26814,21394,25184,20621,9844,6527,-126377,-68548,-23549,-18353,12773,11072,-1700,5378,-132104,-73033,-21255,-18903,-18768,-1706,34447,588,-140569,-52299,-16602,-14039,-12485,-10355,5644,308,-123365,-82404,-26105,-18843,-21865,-15706,-8749,-4039,-115289,-69592,-12204,-10257,-15390,-11489,10259,-1588,difficult
840080,95180,14611,9992,24207,17260,29581,15848,-627668,31743,-6633,21953,-4489,10211,-5438,-5761,51707,-51962,-776,-4662,-16309,-12535,-27576,-14745,-808267,-75064,-9940,-2099,-18398,-13158,-28527,-14460,-830114,-91366,-7836,2030,-16890,-6735,-24538,-11280,-675615,-76518,-12072,-6406,-10267,-1979,-24050,-10285,easy
54524,27245,19009,8277,8431,16064,6953,7395,-24173,-20552,-12454,-3509,-2609,-12335,-4438,-3547,-30369,-18322,-7299,-3110,-2703,2189,2820,-577,861326,15879,1064,320,27,6418,2598,-4040,-39882,-8728,-13355,-6077,-2037,-1440,-3519,-2802,-46459,-18629,3213,3429,-2601,3099,7500,2059,difficult
148984,54340,13841,17982,21089,30601,13909,14062,-141046,-46631,-11043,-5904,965,48496,-5454,-1338,-143944,-50571,3338,-9531,-15201,-11623,-337,-7306,-142168,-34469,24978,-10392,-9614,5749,-5192,-9361,-64875,-44722,-10206,-17157,-19980,-26251,-10463,-11683,-133000,-51003,-776,-9689,-13757,-12216,9596,-7294,easy
386325,197653,13954,19727,17384,13090,13635,3946,-344391,-183727,-10283,-13962,-9545,-10941,-12107,-2945,-382785,-176245,6094,5293,-6276,-5809,-7881,-1925,-380379,-191173,4198,-14158,-5464,-1999,-1935,12509,-381989,-190175,2623,1710,-2621,-7760,-6618,-1270,604268,-91878,-2157,18495,7804,26926,-3273,888,difficult
