delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
828106,54153,56123,52174,11354,20347,1901250,97046,-43397,-9861,915,-5196,-804480,25346,-42803,-49884,-7748,-14788,-687046,-872,-46861,-45766,-7231,-17023,-2705730,117434,-71700,-26218,594,-4058,-40023,4118,-8663,517,-9592,-2235,easy
1128974,242873,50331,45091,32084,32088,-527392,-156175,-42947,-34040,-13281,-12663,-876698,-158997,-12605,-40403,-16960,-23876,-764254,-144799,-30784,-27411,-21390,-21617,-349306,112444,-2822,14198,30342,-18179,-6363,12992,-3679,-4430,-11213,2259,difficult
526449,92660,17713,12591,8616,7865,-334252,-9048,-12694,9535,-3917,5417,-339023,-41445,21865,26425,-5522,-190,-386653,-86988,-10455,-9501,-4139,-6242,-4771,-47630,-32397,-45543,34559,-32320,16890,-35926,-1605,1383,-5607,-6052,easy
1253461,175604,22905,35122,19008,10567,-803797,-123954,-13958,-17183,-14588,-6888,-1057360,-135951,-11153,-33313,-17520,-8761,-947914,43181,-4121,46613,-8713,-5969,-253563,109446,-11997,179132,2805,7032,-16130,79926,-2932,8807,-1873,2792,difficult
1333844,98407,56969,22225,22617,19719,547548,273695,-36082,49253,-1780,3673,-797598,-8468,44202,-3836,51095,188,-966292,-47647,-44908,-14874,-17370,-9975,-1345146,-168694,-282163,-39179,80284,-89110,-53089,-11038,52875,-68465,-3485,-10163,easy
734617,373117,113975,34810,23133,15313,2348253,254255,32362,367676,309522,215549,-698272,-355639,-113091,-26420,13651,43573,-723464,-355674,-110191,-33411,-12754,-2565,-3046525,-25192,-609894,-35,-145453,2900,-394096,-6991,-295871,-26405,-171976,-46138,difficult
1274456,301585,88890,62846,48434,21213,-201573,-228478,-86002,19250,-45272,6843,-870596,-246281,-82532,-30346,-38174,27401,330856,-136370,-32287,19183,-14679,53979,-669023,1201452,-17803,109911,3470,50245,-49596,49529,7098,23495,20558,26578,easy
663644,72055,18599,10407,13864,10733,-340553,-55355,-6135,-8858,-11408,-7208,-341762,-46038,-14337,-2892,-11235,23578,100181,-48102,-9138,3008,-11458,-6756,-1209,441943,9317,-2064,-8202,5199,5966,5900,173,-223,30786,-30334,difficult
390717,102005,21947,10513,8173,13770,-189186,-93656,-20568,-9280,-5523,-10368,-388630,-98720,-18458,-1664,277,-4481,-296366,-17403,-19001,-4332,-5463,-9096,-199444,92264,-5064,81317,2110,-543,7616,-2668,5800,-5740,5887,-4615,easy
471704,56683,19855,11363,5608,5527,578835,99572,71677,13875,16089,17542,-437470,-46252,-17294,-7003,-4797,-810,-432601,-43247,-14714,-4669,1907,664,-1016305,4869,-145824,3005,-88971,2580,-20878,2334,-20886,6704,-18352,1474,difficult
1179014,62223,14897,8585,11423,13726,-513198,35180,-6301,-4939,-767,-5609,-1043735,-49614,-10450,-6515,-10862,-4372,-854163,-21341,1400,-1673,-6618,-1496,-530537,189572,-84794,28273,-4149,11850,-1576,4842,-10095,4244,1237,2876,easy
655792,106942,17417,23296,13827,11630,-650172,-88023,-10144,-16305,-8028,-1313,-651257,-98749,-14076,-11223,-10069,-5637,-641943,-94224,-2710,8073,-9320,-3258,-1085,9314,-10726,4525,-3932,11366,5082,19296,-2041,749,-4324,2379,difficult
1224866,173694,68255,89099,37362,23722,229490,7563,-40926,-80972,-7877,-14666,-597200,-130784,-46762,-70942,-28472,-13324,-569073,208364,260417,-62249,-8739,-3037,-826690,28127,-138347,339148,-5836,307179,10030,8693,-20595,19733,1342,10287,easy
523046,94602,36876,16162,17236,13968,1075325,167830,130244,79982,60269,22178,345314,-44522,7592,13195,-5993,-1876,272886,247380,33623,147625,57392,33911,-730011,-72428,-212352,291902,-122652,26031,-66787,134430,-66262,63385,-24054,35787,difficult
897268,167418,26146,58891,24901,61043,-743292,-162829,-24435,-56476,-23304,-59736,-867119,-166328,-24243,-57791,-20163,-53024,-882831,-141124,-18124,-48624,-16527,-45604,-123827,-15712,-3499,25204,192,6119,-1315,9167,3141,3636,6712,7420,easy
561727,80868,13492,14526,8839,5527,171870,939664,9257,66161,42851,16562,7082,-25327,397,-6655,19273,8631,83581,55747,2862,-7941,8038,1774,-164788,76499,-964991,81074,-8860,2465,-72816,-1286,-23578,-11235,-7931,-6857,difficult
783054,57505,34968,19849,7299,6423,-398226,25569,-27124,-1700,-1933,-1690,-677296,-54363,-32884,-18202,-4577,-4258,-754827,-35963,-22742,-6925,4731,-3027,-279070,-77531,-79932,18400,-5760,10142,-16502,11277,-2644,9308,-2568,1231,easy
1599038,178671,72264,47491,34530,20921,1043041,-103742,-62129,-25033,-21957,-14925,1043041,-103742,-62129,-25033,-21957,-14925,1032751,148750,14083,38184,249,21041,0,-10290,0,252492,0,76212,0,63217,0,22206,0,35966,difficult
424930,521512,58910,32498,24527,18062,348446,-411900,-47268,-22265,-6481,-4235,278454,-498863,-38674,-14585,-21628,-14470,-292780,-274142,36664,-18245,-9797,-4511,-69992,-571234,-86963,224721,8594,75338,7680,-3660,-15147,11831,-10235,9959,easy
305400,80683,1643,8007,5288,9081,837095,-60265,922,4917,9640,17800,-224904,-75364,115,-7075,-3031,-5967,-298289,-74118,16231,-3784,2547,8738,-1061999,-73385,-15099,1246,-807,16116,-11992,3291,-12671,5578,-23767,14705,difficult
425664,67943,18316,15641,9673,7147,1779581,209061,14993,14259,10085,8050,783440,120989,-6335,31808,19285,4271,-33287,-18130,-16229,-10002,7103,-2716,-996141,-816727,-88072,-139119,-21328,-9894,17549,-41810,9200,-12182,-3779,-6987,easy
564903,102561,47473,46808,12642,37661,-210832,-59667,-44594,-45567,-10169,-35642,-466542,-96842,-38363,-42683,-11118,-34550,-560721,-98311,-45397,-38031,-3172,-22665,-255710,-94179,-37175,-1469,6231,-7034,2884,4652,-949,7946,1092,11885,difficult
1181418,166602,87755,32512,24161,18062,494598,86113,-24220,48995,76561,14098,-1082851,-141721,-77566,-10019,-11529,-10184,-505647,-105179,-78649,-11027,-12131,-11261,-1577449,577204,-227834,36542,-53346,-1083,-59014,-1008,-88090,-602,-24282,-1077,easy
369785,24788,10873,9244,6944,13286,1411413,260973,57526,22655,3318,597,-337277,-16232,-1587,-5262,907,2859,-309095,-13680,-9792,-7122,-6191,-6913,-1748690,28182,-277205,2552,-59113,-8205,-27917,-1860,-2411,-7098,2262,-9772,difficult
1330922,356997,213707,272250,100861,57541,-253510,-309369,-206530,-242664,-78034,-45634,860983,-271641,-182629,-246575,-93453,-45573,95043,-227338,-157820,-168974,-41969,-19833,1114493,-765940,37728,44303,23901,24809,-3911,77601,-15419,51484,61,25740,easy
751096,59327,17992,21639,8801,24292,-745381,-35872,-4150,-19917,-3555,-17648,-739903,-51387,-13980,-12959,-1284,-17876,-744702,-52990,-1408,-16596,254,-15425,5478,-4799,-15515,-1603,-9830,12572,6958,-3637,2271,1538,-228,2451,difficult
