delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
123146,41115,14483,4041,4322,5464,120202,98284,-8902,-388,1618,1458,-114199,-38298,-14109,-3385,-3298,-4435,-80954,-14400,-2693,5235,-1758,-585,-234401,33245,-136582,23898,-5207,11416,-2997,8620,-4916,1540,-5893,3850,easy
121294,24933,8120,3257,4409,3922,-92660,17371,-6004,466,-1318,-188,-105364,-11350,-6,2047,437,18871,213925,-7763,-3304,-2160,556,-1822,-12704,319289,-28721,3587,5998,-3298,1581,-4207,1755,119,19059,-20693,difficult
998741,137464,69907,28980,25127,16025,-26009,201562,-55990,-2912,17736,1880,-195043,36652,-55276,-4517,-9449,5231,-914619,-105467,-63683,-24981,-22773,-14707,-169034,-719576,-164910,-142119,714,-8407,-1605,-20464,-27185,-13324,3351,-19938,easy
91721,38153,15579,1810,3409,4992,519769,-18764,954,919,574,-1233,-6352,-8924,-1542,1179,-148,404,190485,-10528,-13297,-338,-1441,-2367,-526121,196837,9840,-1604,-2496,-11755,260,-1517,-722,-1293,1637,-2771,difficult
540400,120005,47399,16594,11950,10022,-478653,-99171,-41759,-13990,-9174,-5745,-448116,-84624,-30539,-7718,16391,11157,-163786,-125,-16225,-5657,-2190,-7392,30537,284330,14547,84499,11220,14314,6272,2061,25565,-18581,16902,-18549,easy
55165,45245,6326,4177,2805,3346,35440,3323,15732,3016,4841,-555,10143,-30231,2789,-861,1085,-1349,-37574,-16966,24395,12001,17488,29790,-25297,-47717,-33554,13265,-12943,21606,-3877,12862,-3756,16403,-794,31139,difficult
236546,113318,23415,5203,17820,9030,-194181,-57749,-20582,-1793,-15082,-5745,365578,-36548,-18254,-1690,-16160,-8084,-189641,-57712,39,8571,-8948,-5067,559759,-555219,21201,-21164,2328,18293,103,10261,-1078,7212,-2339,3017,easy
1451178,238101,23556,11890,12795,17339,-331720,279256,62735,49093,28060,-3947,-1197709,-219353,-18971,-6003,-10811,-14212,-1430092,-235835,-23255,-11464,-11591,-13884,-865989,-232383,-498609,-16482,-81706,-4284,-55096,-5461,-38871,-780,-10265,328,difficult
400083,666875,39151,36382,28184,13646,-278553,-615142,-33559,-28790,-16873,-9804,-384239,-659539,-35632,-34718,-26376,-11583,-363746,-644616,-29242,-32037,-26134,-9741,-105686,20493,-44397,14923,-2073,6390,-5928,2681,-9503,242,-1779,1842,easy
98453,36892,11146,3188,4316,3716,125889,191827,62922,131340,52352,60810,512344,193301,-8360,1135,44357,18517,283382,-25729,4085,5948,-1381,-671,386455,-228962,1474,-219030,-71282,12445,-130205,4813,-7995,-45738,-42293,-19188,difficult
374519,97945,17876,11173,8338,9478,305005,38904,-3970,6551,-3933,-2150,-343623,-89286,-16057,-10729,-6521,-4671,-307802,-28020,-6292,-3551,4606,-1389,-648628,35821,-128190,61266,-12087,9765,-17280,7178,-2588,11127,-2521,3282,easy
482185,136942,9155,3602,6483,6315,2592903,14562,111163,50821,5251,22680,-479260,-133021,1669,1888,-4194,6680,-478728,-132701,-4493,49,-2776,3394,-3072163,532,-147583,320,-109494,-6162,-48933,-1839,-9445,1418,-16000,-3286,difficult
514999,193334,39123,15020,10061,18112,-508101,-173618,55249,43846,98742,-2754,1223036,-15586,-20489,120230,28184,11670,-499651,-191960,-35471,-13159,-3768,-15604,1731137,-1722687,158032,-176374,-75738,-14982,76384,-133389,-70558,-31952,14424,-27274,easy
234944,168059,33504,14432,7833,8705,-157552,-156010,-20580,-13731,-1211,-5553,196189,-150423,-30434,-4686,-4568,-4719,-78946,-107636,-27003,-13507,-2167,-4098,353741,-275135,5587,42787,-9854,3431,9045,-8821,-3357,2401,834,621,difficult
145964,71279,27792,7531,7645,11612,-76789,-28935,-24970,-2335,-947,-3144,94336,-33963,-23057,16415,3693,808,195537,95131,-4315,20996,5668,4952,171125,101201,-5028,129094,1913,18742,18750,4581,4640,1975,3952,4144,easy
718370,172279,42744,27532,20661,11585,-588588,-43258,-21301,-21356,-14989,-9604,-687333,-150637,-39497,-24210,-17522,-8338,-648277,-158147,-39589,-26017,-18212,-10862,-98745,39056,-107379,-7510,-18196,-92,-2854,-1807,-2533,-690,1266,-2524,difficult
438175,222518,40967,31383,25092,12763,725129,-144723,12872,1542,-14514,-4591,341207,329180,59298,50875,11871,6616,67710,-160017,-34474,-22464,-23454,-8350,-383922,-273497,473903,-489197,46426,-93772,49333,-73339,26385,-35325,11207,-14966,easy
255343,198359,17838,6122,6657,11546,-225358,-166985,-16203,-4365,-3840,-10663,-141533,-131907,-3193,5317,10727,6675,386843,150003,-14172,2254,706,11949,83825,528376,35078,281910,13010,-10979,9682,-3063,14567,-10021,17338,5274,difficult
79717,45553,5934,3381,8249,4164,140137,-34123,-3882,-896,-4917,-1386,-47501,-35499,-1673,2618,-7261,1195,48916,20236,16761,3081,-685,13966,-187638,96417,-1376,55735,2209,18434,3514,463,-2344,6576,2581,12771,easy
193547,39628,4471,6939,4218,3756,-133821,-21013,-210,-4394,-2193,-3148,-176536,-30116,9828,4565,9714,3522,-140916,8703,12815,-4674,-2614,362,-42715,35620,-9103,38819,10038,2987,8959,-9239,11907,-12328,6670,-3160,difficult
194180,70913,31394,9156,6904,10366,239061,-2788,-15257,-4965,-3436,1261,-7999,-64346,-27883,-7966,-6055,-8991,-58550,-63535,-30525,-6807,-5408,-9574,-247060,-50551,-61558,811,-12626,-2642,-3001,1159,-2619,647,-10252,-583,easy
