delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
264560,80759,16676,20736,12225,15412,-212274,-61109,-7012,-18477,-7760,-13056,-249116,-52878,845,-18987,-5773,-11300,-146697,-34558,558,2615,5798,5246,-261770,-70872,-12155,-16853,-10091,-10830,-36842,102419,-115073,8231,18320,-36314,7857,-287,-12713,-510,21602,-19468,1987,11571,-15889,1756,16546,-16076,easy
173116,25309,15568,8100,7020,3315,-172858,1466,-12322,-3085,-2965,1278,68736,-12947,-9174,-2919,-3715,-1339,-119442,644,-12053,-1196,6097,10099,147107,13981,19091,-4095,-6180,890,241594,-188178,266549,-14413,13591,13337,3148,-2879,31144,166,1723,-2899,-750,9812,-12277,-2617,11438,-9209,difficult
92877,66270,13279,8361,6267,4566,-55671,-54545,-4946,-7574,-2976,-321,-89239,-55446,-3470,-5797,-4548,-1678,200804,69682,41581,3630,5452,8018,65466,-36161,12902,25012,51037,14636,-33568,290043,-135338,-901,125128,-105843,1476,45051,-28679,1777,9427,21382,-1572,10000,45585,-1357,9696,6618,easy
101312,48698,6197,23224,9133,19005,-61124,-30978,-5385,-21485,-7197,-16515,175382,-36901,-4607,-20140,-8157,-15850,-48657,-37955,-3146,-21378,-8022,-18476,-45175,-27060,-2622,-20107,-4421,-17441,236506,-224039,3482,-5923,-1054,10895,778,1461,524,1345,-1238,1271,-960,135,3601,665,-2626,1035,difficult
94526,38219,10313,12899,6782,4649,-74705,5547,3556,-7883,-2260,554,-74763,-23744,-8813,-10830,-5056,-1912,48953,-3864,-7060,-10933,-1368,-2798,-18888,107267,-8749,-6043,2257,-1745,-58,123716,-67841,-29291,19880,111131,-12369,1753,-1689,-2947,-103,4890,-2796,3688,3625,-2466,-886,1053,easy
48104,18195,4658,5443,14810,4499,472353,130294,20144,3616,-10085,-2262,356270,38780,25851,11330,-3311,-1444,1314149,89119,43933,33477,11,7730,225468,18517,-176,-1184,-11019,-1079,-116083,957879,-1088681,-91514,50339,-70602,5707,18082,-44109,7714,22147,-34661,6774,3322,-11030,818,9174,-8809,difficult
64685,54716,14869,5606,3523,4019,3736,-22068,-2333,-3493,2237,-738,-19536,-47542,7496,5968,8336,12914,222514,-12020,54283,16850,13362,32601,31520,-49693,-9271,-3547,-1100,-2437,-23272,242050,-190994,-25474,35522,-37673,9829,46787,-63554,9461,10882,-20397,6099,5026,-14462,13652,19687,-35038,easy
64845,22249,3370,6797,4288,7143,106152,154345,4635,6124,7087,927,111673,18775,2967,155,5700,-2632,71941,21536,2773,1579,-2363,-3596,14445,61365,10259,3219,-990,-455,5521,-39732,-57496,-135570,2761,39829,-1668,-194,7486,-5969,1424,1640,-1387,-8063,1373,-3559,-964,3141,difficult
299053,31016,18583,6559,5550,3773,301184,432396,43461,46027,17058,5984,-65746,1374,-12890,-4071,2746,-1080,540675,135475,48336,21697,9027,7368,169888,83465,5412,32732,10214,12989,-366930,606421,-370787,-431022,134101,-52010,-56351,61226,-42924,-50098,25768,11035,-14312,6281,1187,-7064,8448,5621,easy
94256,14253,3578,7158,5056,5875,-42263,9734,11005,-5485,-4145,-3605,32518,-6368,-436,-5150,-497,-4120,-31564,-6245,-1239,-6170,-4133,-5301,267873,3594,-1885,-3566,-3672,-1962,74781,-64082,299437,-16102,123,9839,-11441,-803,-646,335,-1020,2604,3648,-3636,461,-515,-1181,3339,difficult
