delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
852605,130557,28552,19465,21338,36976,17515,8079,-323213,-72329,-21096,-14120,-4615,-31749,-14672,-5334,-788094,-115117,-25782,-13470,-14982,-30708,-13627,-6497,-288276,-47686,25465,-4123,20806,-14614,7460,4930,difficult
713162,162300,23003,11892,12398,19869,19934,9056,-600640,-98708,-16943,-8094,-6458,-2704,-8319,-4195,959512,128104,13448,2148,-5610,45514,33271,22682,-699614,-132760,-16570,4530,18460,40237,-3516,23454,easy
465007,75232,8626,18616,11067,19187,8272,5482,1983364,159994,96715,14565,49825,20647,3249,5681,-175238,-44031,20402,-11654,1240,-9170,-5218,-3791,-24605,21358,28532,4273,378,-2890,-2280,-2280,difficult
523202,27345,10117,3434,8285,15489,11835,3982,234759,82870,62552,23305,21460,35994,7288,30008,149725,147812,36036,57934,44883,21781,14924,11671,132216,236517,-1682,6761,44336,36106,13358,18941,easy
752579,209530,61621,23221,19338,33646,84965,11025,1424514,521889,120012,9312,29724,37804,-48130,3234,-707395,-180341,-58783,-17217,-3154,-26375,-79965,-8329,-633636,-187520,-59307,-21804,-10397,-25421,-78356,-6646,difficult
147143,43825,4639,5721,5124,13383,5997,5662,383420,32974,39703,-3940,6292,3941,15323,-1698,-139082,-35516,1733,2528,18619,14674,29054,12950,-142982,-21389,12898,3068,23117,33793,11460,13298,easy
445458,231835,12401,31886,31515,41266,34332,22150,421065,-146723,-3700,-23712,-26418,-30069,-23041,-19730,-315283,-177360,13727,-21351,2661,4084,-3039,8280,-237089,-53732,-7770,-9068,-9823,6067,-4121,-15670,difficult
202648,51542,4778,5239,3276,7462,8962,5478,-90440,2924,4106,8607,-184,4817,-1087,14990,200695,421224,25503,31704,11659,41819,20313,15851,57633,115906,4157,3373,8243,80651,29140,2859,easy
1119171,78334,54217,14175,24145,31936,19641,15895,326586,-6309,-25074,-2299,9276,2077,35137,20397,-646458,16537,-2498,3288,4838,8083,8097,6180,-812388,-17283,-51683,-6883,-12524,-20751,-9871,-12343,difficult
482600,86012,27496,22967,20471,47060,36757,18757,-356426,-48765,-23043,-17256,-19332,-39269,-34047,-17344,215996,-29301,-10207,-17494,-2366,-18326,-32101,-7581,-206273,48739,-20090,-15431,-9232,-36419,-21738,-11636,easy
253981,94201,20912,13790,4868,24127,13367,12679,-160165,21653,-17802,5853,19436,4620,6687,5213,800767,-75020,-17614,-8757,203,-5394,-1278,-6869,244203,-76684,-10235,-9014,16369,31811,32173,13392,difficult
828245,271765,61080,51392,18472,48505,95016,27702,1202285,181619,291183,-8308,4516,44117,-10599,-7429,-631237,-254911,-48948,-48099,-17500,-45219,-92761,-25616,-416253,-150333,-29635,-47346,-2251,-22828,-82364,-18136,easy
405433,336670,81695,39700,30772,53074,38037,30567,-273029,-268141,-81181,-14911,-17761,-5060,-20778,-17874,-199219,-299690,-64882,-25244,7434,-28449,9556,-13103,-369930,-317540,-47702,-34769,-3980,-27819,-14557,-21985,difficult
811745,349066,34572,55875,28026,69664,78216,26495,1100846,53601,-1611,-6220,10176,-10246,15029,21117,-142410,110608,21352,-23755,12727,-28412,-25330,-7785,-320544,-238595,23681,-19437,-23524,-56127,-54999,-13360,easy
886520,259165,34272,34910,28591,34494,17223,12329,761770,139401,-7853,11443,-4676,-18641,4108,-6290,-806973,-183358,-22491,-28390,-3784,-19464,-10954,-9792,-850462,-212351,-20184,-28972,-18046,-28082,-11791,-9759,difficult
1527178,409481,99434,65135,41336,70650,78206,38673,-666108,-145836,-39991,-54939,-13571,-60391,-60297,-27221,-1430828,-390377,-98114,-60979,-39520,-64773,-73675,-35808,-1405793,-399981,-98662,-61159,-40167,-66829,-75165,-37532,easy
373524,25430,16487,7093,15411,24810,17523,11398,-365356,8395,-12680,-1478,1027,7429,-3710,34037,-280664,18714,7718,15295,-5806,79866,3786,6022,-351371,37341,-2434,19287,34191,-651,21903,5342,difficult
578758,213256,39361,22554,7746,24195,31755,17258,-509044,-142294,-36421,-14503,3097,-18304,-24513,-9260,474968,742263,239670,83939,63956,43430,55188,41145,814695,1995095,-1194,11334,87744,111243,14862,19480,easy
789885,179747,20368,36723,13963,53804,17294,18161,-371626,-4499,52490,-15088,4446,-7919,30906,8142,-739916,-136598,-4302,-23543,-7288,84794,18708,1686,-199796,86092,-9359,7235,8471,72262,5901,21038,difficult
968792,307557,103571,31128,46820,66857,28796,34462,484432,64538,-49094,-8705,-9305,-25936,2939,-20530,-714764,-280070,-97644,-24705,-41097,-57857,-10456,-22826,-588933,-252100,-67510,9971,-38291,-9897,4626,-7685,easy
634694,51242,17929,16960,8114,18399,13132,6207,-534519,-23075,-17536,-13626,3067,-13557,-9302,-2202,-210278,25040,-4426,-5233,6768,17581,14966,25558,-118303,225041,28319,-4772,18437,36058,16293,11893,difficult
822624,88498,32237,15483,14672,16745,12387,7954,-737311,-26144,-18895,-6033,-4284,53129,25311,21695,-778671,-36435,-14380,-4229,601,10577,5230,10892,-168106,10266,-22389,-12111,-7564,2120,5266,1971,easy
1071968,132029,66240,16966,21505,69476,31679,17166,-1024061,-125550,-62046,-9408,-10466,-31215,-17108,278,-577944,-17007,-61542,-1429,4197,10572,28384,-2261,-856935,-71513,-57417,-12249,-14762,-45002,-23513,-10651,difficult
1223564,142650,37541,57753,21191,28643,36264,19040,-811955,-70289,-6048,-45884,-13055,-9348,-23478,-10439,-925541,-115893,-19907,-55047,-19006,-17219,-33398,-16683,-796601,-67679,-22770,-32819,-14282,-21254,-29237,-17115,easy
1139955,349072,38559,28156,22380,63655,23246,17000,-922845,-249724,-22202,-21758,-11777,-52276,-15395,-13880,-1023204,-284512,477,-13644,-13973,-56212,-10657,-12816,-473732,-336198,-28864,-16289,2692,-44010,-17346,-14940,difficult
211657,42317,24425,13338,17280,34456,11833,15564,1017290,734545,9569,99385,49021,25422,91104,25738,1158742,254717,-1048,-543,13016,19001,17510,27924,-133435,52318,-13297,-8523,-6541,-17554,-1505,-8653,easy
494551,52764,13292,14947,27839,22306,13293,8714,115984,81219,130505,22617,13197,64412,51397,1762,183385,27031,-4189,28094,-8157,5814,2659,5306,-486966,-50537,1938,-12643,-810,6851,-3266,6164,difficult
330857,86214,28012,13755,12387,21643,15044,8345,440511,123456,236,-3585,-3041,7169,-4835,-1156,341525,73776,-1234,3611,26952,-11686,-10644,-950,302007,46038,-17596,1935,17124,-345,1321,-2747,easy
35345,31922,11509,7313,27137,15540,22128,8738,155930,-1228,-6826,2798,-9602,-4588,-18125,-5985,1429667,49257,26866,5815,-11008,10462,-11481,-1626,52658,111475,-2157,7157,4411,20967,6087,-2427,difficult
816001,62407,38493,5599,7098,10044,12040,3899,1171675,314491,38624,49755,16154,25535,20746,6793,-451698,-52252,-21972,33372,8039,2496,-4610,21,372467,1388121,58656,113067,195088,26106,16167,5662,easy
603335,200453,44336,57895,25398,30010,13307,11151,265602,-114325,-5164,-9775,-2435,-13297,-7005,-7666,-478844,-165310,-21322,-42991,-18280,-24706,-9925,-7679,-8024,-163347,-34967,-43695,-20479,-22412,-10645,-9748,difficult
384822,162286,48476,14594,11557,18009,17609,6565,-224461,-135920,-2174,-9967,1556,-10163,-13045,-5187,408302,90496,-20726,33567,53197,5518,6465,14449,10898,-82871,-27899,13219,11158,-2559,-10250,-2340,easy
441715,52626,2758,15408,11509,28748,14084,8510,150623,-20110,11191,-9708,1823,12769,16488,-275,-335691,-33956,716,-8415,-7852,-4643,-2049,-2521,-438513,-40834,-1087,-9191,-354,8516,23947,12193,difficult
563012,95094,60853,60321,32409,25583,44042,15995,-324474,373813,22255,-30328,12423,915,-4364,298,1636317,513902,32501,3040,19965,35536,7271,24284,61246,-66707,-55470,-30080,-26198,-14620,-31308,-12254,easy
745431,218561,13011,10265,11059,40502,22194,15903,-694777,-185318,-11105,-8036,-7962,-37022,-20643,-15106,-681190,-175345,-1819,-4190,-957,-27418,-9305,-9304,-737762,-215489,-4181,-4188,35557,16950,11726,799,difficult
859411,35782,27629,20190,24579,30645,22906,9935,111069,1530,-26466,-15305,-20694,-24481,-17238,-6883,-688990,302994,35554,17238,568,-3824,46640,15801,-575031,74870,-13787,-4128,-10631,-10093,7523,9866,easy
