delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
9132,29158,13291,7034,15722,13282,3037,1085,-6968,5492,-7637,209,-7732,-1933,2588,85,2919,10903,-10398,-334,-3560,-5919,-1700,864,757,-10967,-2322,42922,-3587,1371,-747,482,14261,-1973,-2178,19839,-9309,-4874,-1408,678,70202,27442,-1511,18126,-5746,-7076,1179,846,9887,-2162,13504,55941,5411,-21870,8994,29415,-2761,8076,144,667,-543,43256,-23083,-1713,4172,-27,-5722,3563,-3986,7290,-6245,-2202,-4288,953,-661,2587,779,-382,196,168,easy
35890,14959,6258,15329,8594,43732,5634,6358,-3141,24314,-5148,-9310,-4621,-34516,-3121,-3575,105835,33873,21859,116558,4985,-29144,6332,-773,-27687,-10510,11257,61358,14767,20602,-2410,904,96583,24266,16803,-1172,-2398,-37497,-3700,-3235,2405214,9991,10081,31778,4137,-18101,9174,-945,108976,-133522,124270,2308631,9559,-44383,34776,-14275,27007,-10602,5546,-6722,125868,-55200,-62530,32950,9606,9782,-17165,6535,5372,49746,-58099,19396,9453,-8742,-1290,12874,2802,1677,-4139,2290,difficult
56179,40980,5352,9877,2982,6361,3338,3162,-42539,-29444,6567,130,4460,-314,-669,3905,-52673,-23181,7735,5873,3807,3072,-1386,1075,-46514,-12054,6701,20126,48599,6784,-1338,-1063,-23897,-18737,13650,16152,20280,1409,3829,330,20542,40065,9239,4984,2731,2993,550,-1298,-10134,6159,22617,44439,6263,11127,-6683,58802,1168,-1034,6949,-4411,5743,14253,-3974,-11168,-653,44792,-28319,-17549,3386,3712,-5375,1584,-717,48,5167,-3279,-2830,-2138,1393,-1628,easy
410563,150345,26683,40345,18409,49687,18686,13524,-273260,-121571,-18992,-29757,-15150,-42156,-15457,-9904,-362604,-143689,-24809,-36931,-17011,-45079,-17451,-11660,-379724,-142931,-16792,-22914,3290,-8936,-12893,-3959,-408600,-149801,-25349,-39363,-15352,-34645,-16171,-11936,-393793,-143159,-18404,-25067,-6613,-19185,-13925,-10465,-89344,-17120,-28876,14807,-22118,758,-6870,6642,-5817,8017,-8557,6945,-7174,14017,-16449,14296,-1861,20301,-18642,8739,-2923,36143,-25709,15460,-1994,4558,-3278,2246,-1756,7701,-7977,1471,difficult
51499,20615,6056,5597,5832,7832,2227,1916,-25615,42341,-155,-418,4515,9823,1191,1673,59065,5681,-2730,1370,-1468,-4732,-751,-1490,-25282,-15184,3706,41553,45432,4147,3803,2195,-4283,33304,-4053,-2151,-410,-469,-677,-948,18551,-13576,-2082,-4496,-4981,-4941,-1616,-1175,84680,-84347,20999,22834,-36660,-20865,48488,-46880,-2575,6436,-7759,1971,1788,40183,-43704,-2345,-5983,46900,-45842,-4571,-14555,8879,-4616,-4472,-1942,4554,-4480,-939,-3163,3685,-3143,-227,easy
19865,24632,13249,4320,5390,12087,3231,6429,9,3810,-2753,25418,-476,21129,34086,9358,-14181,-19280,-787,7341,3250,12136,4273,1980,109172,20854,-8939,-1646,-2924,-6558,1633,-4531,-16534,-9762,-11463,-145,-2975,45543,5523,28,8700,-9633,-7413,13929,2446,11467,9309,1415,-14190,123353,-125706,25234,-23090,40134,-30616,129,1966,-8152,-2524,4050,-18077,-8987,1501,14074,3726,-6174,-51,5421,-8993,-18694,52101,-34076,-29813,-2640,3890,3786,-7378,-6511,4559,1387,difficult
944691,454784,202624,54457,137779,78956,14521,20690,-766051,-389567,-151060,-50687,-99119,-71505,-10766,-18676,-313216,-130132,-175828,14477,-91837,-52024,13821,-15401,-751199,-309698,-180849,-9944,-132973,-73444,-10622,-17957,100683,-55086,-171585,77492,-110851,-48178,26474,-16015,-135580,954631,-174141,121107,45046,46146,48309,901,452835,-437983,851882,-236263,259435,-179566,254612,1009717,-24768,-5021,9264,-2556,65164,-24421,87436,43615,7282,-41136,22122,155897,19481,-21420,25266,94324,24587,-24443,37096,21835,3275,-2556,1942,16916,easy
355376,40346,10863,6356,7713,19596,4132,4064,-349162,-35507,-1255,6707,-5463,-12448,-3287,-2218,-315685,6166,18826,-3043,6880,10061,16348,-393,-348739,-38898,-2506,5414,-1782,17534,3134,3694,-342342,-20510,-1517,6554,11069,-1155,2569,1206,-343850,-20863,-1869,10609,-2793,-1683,-1052,1049,33477,-33054,6397,-1508,41673,-45064,18388,-353,20081,-21332,989,-352,-9750,8457,1140,4055,12343,-8662,12851,-13862,22509,7473,-18689,-528,19635,-13214,-565,-3621,1825,4087,-2488,-157,difficult
12459,15660,11044,7411,4897,11366,2088,1602,-321,8598,-9893,-4002,10488,-7607,2125,-862,35803,71723,-8277,-451,-114,-6399,-669,-320,-286,-2133,10996,15558,7649,-3866,5349,-328,-8509,-1203,4932,12641,8929,4836,1273,-450,21314,9004,-5121,-2586,-2968,-7933,-534,-1094,36124,-36089,-8223,29823,63125,-73856,930,10207,1616,19273,-6064,-10053,3551,16009,-2917,-15227,-10602,7763,1280,-11897,1208,2533,8702,-12769,-2794,6018,-4076,-1807,542,-8,-122,-644,easy
17429,11965,5556,4831,3394,12428,4779,2608,-1306,11844,11161,8032,2041,8725,1693,8768,1175778,154179,64895,2614,2544,10244,2089,4430,-6616,8943,-3201,2432,1778,4070,1677,2929,-7863,-1452,-4626,-2407,4400,2519,-1028,5959,-8805,-4114,-4890,2163,-618,4988,-601,4098,1177084,-1182394,-1247,-942,142335,-145236,-10395,-2662,53734,-68096,-1425,-264,-5418,-182,-4839,4570,503,-766,2622,-5018,1519,-6174,-1551,2469,396,-412,-2705,427,-4338,-1501,3030,-1861,difficult
