delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
244949,74278,19004,20396,16920,20909,-219137,-67979,-18153,-5576,-9937,29081,-242849,-67925,-9649,-18873,827,20685,-235052,-69302,-14007,-12859,-13318,-4772,42603,-66658,-17763,-17069,-13149,-9304,-23712,7797,277655,54,-1377,2644,8504,-4358,-3756,-13297,6014,-4210,10764,-14145,169,-8396,-25457,-4532,easy
46893,15100,2885,24263,4552,8350,-43633,-12246,308,-19218,4482,37510,-34865,-9633,4656,-21693,-1259,23615,75444,-3420,-352,-19757,-1789,-2318,-41554,-702,-920,-14169,-789,20051,8768,110309,-116998,2613,6213,2718,4348,-5008,-568,-2475,1936,5588,-5741,-530,1000,-13895,-25933,22369,difficult
61159,21168,4392,2658,1965,4310,105094,181520,16666,21764,2915,2237,-30293,10327,15139,5724,6412,41889,-51880,-5401,4511,3776,3870,5798,78199,-8888,961,8224,1480,3181,-135387,-21587,130079,-171193,-15728,-3487,-1527,-10628,-3550,-16040,-1948,4448,3497,-2542,-2390,39652,-36091,-2617,easy
934171,184366,105538,20924,25041,17570,272867,34081,-76550,-1789,-14952,60175,-886345,-176414,-99627,-10092,-17759,1840,-918310,-150843,-101472,-8600,-18408,6847,-928720,-172555,-100434,-14794,-21702,2320,-1159212,-31965,-10410,-210495,25571,-21712,-23077,-1845,1038,-8303,1492,-6194,-2807,-649,-3294,-58335,5007,-4527,difficult
413517,40721,28349,13088,6723,9332,-332147,-26556,-14681,4400,5980,25374,-408009,-28251,-372,1811,1720,23137,-383309,-10167,-19380,-9850,-849,11876,-380388,-22040,-26926,-3056,-45,35569,-75862,24700,2921,-1695,18084,-11873,14309,-19008,-7546,-2589,-11661,6794,-4260,-2569,804,-2237,-11261,23693,easy
859886,113557,13497,8071,9326,21882,-796207,-78224,9764,-118,-3753,25644,-851790,-84153,734,4095,-4234,16607,-855406,-102305,-10598,5540,-2327,500,-849683,-105828,-7788,6835,4192,12922,-55583,-3616,5723,-5929,-18152,-3523,-9030,-11332,2810,4213,1445,1295,-481,1907,6519,-9037,-16107,12422,difficult
1144395,94893,60046,20369,21971,19413,-1130396,-88137,-55368,-19093,-13297,32036,-1128889,-82235,-57291,10946,-13764,-6598,-1129198,-67552,-56289,-14788,-20114,2714,-1136939,-77020,-57833,-11126,-17302,-6314,1507,-309,-7741,5902,14683,-9468,-1923,1002,-1544,30039,-25734,3662,-467,-6350,2812,-38634,9312,-9028,easy
204485,40595,3214,5810,6071,28372,-199757,-37282,-1809,-4958,-5657,-13596,-202002,-33465,1066,-2956,-2988,67552,-199919,-33358,-1669,-458,651,-10790,-200701,-33017,-990,-4519,110,-9843,-2245,2083,-782,3817,107,341,2875,-2735,679,2002,2498,-4061,2669,3639,-541,81148,-78342,947,difficult
179802,30972,7213,3182,2570,1631,-169644,-15996,3936,11654,2119,40503,-174901,-20540,7477,21258,6269,11396,-172150,-20922,5133,3192,5947,34081,-55718,23145,-4537,1289,622,3914,-5257,2751,116432,-4544,-382,44067,3541,-2344,-9670,9604,-18066,-1903,4150,-322,-5325,-29107,22685,-30167,easy
968830,99278,51447,56325,88926,28506,-896275,-84971,-41084,-35054,-85878,-10399,-906598,-77638,-24164,-45835,-84428,-18793,-940225,-79011,-50903,-46838,-81989,2831,-958071,-86955,-48444,-4109,-85631,-14650,-10323,-33627,-17846,7333,-1373,-7944,16920,-26739,2459,-10781,-1003,42729,1450,2439,-3642,-8394,21624,-17481,difficult
