delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
366625,28355,18930,5950,6021,11311,174637,73859,10193,2509,4958,11081,-236049,-15101,-16141,-4719,-4148,-10535,-216570,-33,-11316,2942,-2759,2200,1080855,29713,16102,57109,1448,27555,-410686,19479,1297425,-88960,15068,29746,-26334,4825,27418,-7228,7661,54167,-9106,1389,4207,-21616,12735,25355,easy
783122,198129,25936,19180,26083,58420,-415632,-176898,-16641,1244,-12932,-50883,-619563,-149554,-24732,-12448,-18261,-37048,-479762,45966,-10161,22153,-4261,-32942,-19801,-50611,-9517,21349,-3043,-28142,-203931,139801,459961,27344,195520,-96577,-8091,14571,644,-13692,34601,-804,-5329,14000,1218,13835,4106,4800,difficult
777741,648665,73252,42302,32824,60363,-660016,-589532,-63540,-40007,-29875,-55637,-109366,-531989,-41454,12784,-2398,68641,2188792,-511141,212109,106435,18377,19194,-597845,-594771,-64689,-33799,-7943,-36122,550650,2298158,-2786637,57543,20848,-83630,22086,253563,-276798,52791,93651,-140234,27477,20775,-26320,124278,-49447,-55316,easy
717752,170851,28342,32070,23094,27907,-488391,-135627,-24325,-29551,-21205,-24413,661490,86528,125039,9890,9808,137536,1190212,-79621,-22758,-25927,-17962,-8998,2203339,150444,29195,25187,20278,65848,1149881,528722,1013127,222155,-166149,230065,149364,-147797,51953,39441,-35817,51114,31013,-27770,38240,161949,-146534,74846,difficult
645846,86211,32343,11447,8397,17629,-316731,-61366,-18047,25525,19524,32981,-331116,7706,-21618,26856,25659,43173,-640579,-74168,-27704,507,33876,1846,-627744,-65526,-24271,250,5893,29192,-14385,-309463,12835,69072,-81874,8642,-3571,-6086,3433,1331,-26349,-257,6135,8217,-27983,10192,-41327,27346,easy
896403,107211,62605,42015,23275,28384,-172601,-35746,-22680,-23975,25343,-2227,-603767,-99150,-61057,-32480,-16365,-13193,-307374,-11330,-47824,-8124,333,22953,-828251,38698,-53921,-39325,-16939,-23601,-431166,296393,-520877,-63404,87820,50028,-38377,13233,-6097,-8505,24356,-31201,-41708,16698,-17272,-10966,36146,-46554,difficult
263970,154775,5587,5996,14161,52667,299749,369059,109400,13144,26241,28130,-254736,-153766,-4826,-4353,-7882,-35842,-98337,-69263,9080,14396,-10620,-40886,1096604,137666,42678,7516,17337,17043,-554485,156399,1194941,-522825,84503,206929,-114226,13906,33598,-17497,18749,-6880,-34123,-2738,27957,-63972,-5044,57929,easy
1300727,98921,15212,37537,23969,33675,-1268988,-91438,-6830,-30127,273,11652,1015087,13808,-6682,-10011,-6162,-2498,-1287034,-86388,26755,-14127,-13890,20769,-1293568,-89491,-9437,-26527,-11418,-8739,2284075,-2302121,-6534,105246,-100196,-3103,148,33437,-36192,20116,-4116,-12400,-6435,-7728,2472,-14150,23267,-29508,difficult
1092883,280846,27229,20132,13864,34222,-962766,-262230,-26377,-18804,-11996,-29599,-944097,-105680,45410,39845,14034,20625,-163280,14880,39471,4087,7953,41845,488213,-112965,35074,14485,28296,8993,18669,780817,651493,156550,120560,-127845,71787,-5939,-4397,58649,-35758,10398,26030,-6081,20343,50224,21220,-32852,easy
1482450,110466,21989,19502,6530,37598,-1399727,-99778,-18230,-18320,-3204,-34220,-1369963,-83448,-18088,-16767,1645,-26646,-1312780,-83774,13080,32235,13334,-9909,-1411435,-93894,-11908,-5941,26895,-3101,29764,57183,-98655,16330,-326,-10120,142,31168,-24988,1553,49002,-38176,4849,11689,13561,7574,16737,6808,difficult
