delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
196421,40225,8727,9412,15207,6979,-34393,-35879,-7265,-9042,-14085,-6183,-189871,-302,5439,-4994,-1642,7107,-149709,22665,11203,-5835,-8102,-3687,-181482,-30113,4426,-7834,-13539,-6182,-155478,40162,-31773,35577,22967,-52778,12704,5764,-6777,4048,-841,-1999,12443,-6460,-5437,13290,-10794,-2495,easy
442070,40961,43141,25078,21838,11336,285857,17724,35299,-17743,-9810,17263,1047632,403948,36068,48623,23979,41268,-372992,-2507,-1309,-16908,-7457,4974,-320419,-21585,-35679,-12108,-17257,-9001,761775,-1420624,52573,386224,-406455,-19078,769,-37377,-34370,66366,-65531,4800,33789,-31436,-9800,24005,-36294,-13975,difficult
1089289,220540,25870,30134,53594,18327,-499614,-193526,-17292,-25975,-49364,-14263,-1064436,-216402,-23037,-28005,-50862,-16834,-957550,-205925,-19983,-27085,-49123,-13880,-878020,-142946,-15201,-13810,-23273,5483,-564822,106886,79530,-22876,10477,62979,-5745,3054,4782,-2030,920,13275,-1498,1739,25850,-2571,2954,19363,easy
571342,119618,31141,48714,26612,13902,-28888,22620,-18541,50867,71041,-2683,1070588,360630,5533,-1247,11790,18437,-70288,-105416,-19907,-8773,-12412,-8377,144261,-35530,-22889,-38737,-16104,-10230,1099476,-1140876,214549,338010,-466046,69886,24074,-25440,-2982,-52114,-7526,-29964,-59251,-24202,-3692,21120,-26814,-1853,difficult
423495,112682,14046,15315,13449,10828,290660,50142,7076,20665,166,4703,-378883,-102541,-6897,-8025,-6296,-9111,710931,-65691,146,-11461,-847,-5621,-368548,-67857,36321,-342,-3563,-511,-669543,1089814,-1079479,-152683,36850,-2166,-13973,7043,36175,-28690,-3436,11119,-6462,5449,-2716,-13814,3490,5110,easy
568734,74404,24169,27741,21760,22232,-429018,-17382,9768,379,3243,1942,-401972,103399,20114,-13011,8596,-10518,714650,-30269,-7694,-13362,-10676,-15307,-424686,151079,102798,15037,13102,-6201,27046,1116622,-1139336,120781,-133668,181348,10346,-27808,110492,-13390,-351,28399,5353,-19272,23778,-12460,-4789,9106,difficult
1230761,279418,53249,63173,50602,40173,348199,-114889,-16044,22754,1265,34632,-893175,-251414,-28480,-56714,-40709,-29784,-1065782,-95204,-44464,-34893,-45239,-32124,-883046,-233283,-3004,-28349,-41997,-33589,-1241374,-172607,182736,-136525,156210,-138079,-12436,-15984,41460,-79468,21821,6544,-41974,-4530,3242,-64416,-2340,-1465,easy
761860,132516,39366,31492,21509,21413,305849,-46083,-11132,13232,40280,-5952,-691330,-97089,-30818,-17539,14567,-5234,892990,182287,-19549,5866,18434,877,-484352,-69233,-30757,-22119,-11369,-16816,-997179,1584320,-1377342,-51006,279376,-251520,-19686,11269,-11208,-30771,23405,-27985,-25713,3867,-29803,718,6111,-17693,difficult
580586,158919,30579,19166,23208,15176,-388987,-30212,-3650,2761,1102,-8740,-39812,-40666,44834,27389,13729,38838,629832,97545,55520,18737,14224,3784,-281615,-83666,-23952,-10826,-6924,-9753,349175,669644,-911447,-10454,138211,-181211,48484,10686,-79472,24628,-8652,-29563,12627,495,-21148,47578,-35054,-13537,easy
537812,134643,21062,10231,15438,14769,-459834,-120672,-18615,-7664,-13636,-14040,155125,-127423,-13466,-6793,-9248,-12188,653008,440357,29255,46093,55397,35742,-305818,-63208,-15107,26864,9941,344,614959,497883,-958826,-6751,567780,-503565,5149,42721,-44362,871,52886,-19229,4388,64645,-45456,1852,47930,-35398,difficult
1355115,246148,25550,41935,21726,29169,-1263586,-215533,-18200,-40176,-16897,-23695,-1341710,-227415,-18510,-31535,-12846,-17405,-1274208,-220269,-20942,-36590,-17621,-24447,-1235084,-200295,-17336,-38809,-20274,-27849,-78124,67502,39124,-11882,7146,19974,-310,-2432,3606,8641,-5055,-2219,4051,-4775,-2653,6290,-7042,-3402,easy
297129,507266,26588,42612,40141,15115,370917,-366085,6589,-27413,-14674,-866,-68162,-469726,-12534,-36518,-36365,-12653,-220539,-478609,-23710,-41129,-39040,-13654,950810,682579,89198,-3461,31238,9771,-439079,-152377,1171349,-103641,-8883,1161188,-19123,-11176,112908,-9105,-4611,37668,-21691,-2675,70278,-11787,-1001,23425,difficult
985973,265589,75626,28287,40489,14939,-673808,-196379,-47433,-19166,-29623,-11615,-935358,-215339,-35492,-22933,-2283,-10482,-857223,-237413,-72670,-24419,-38040,-12767,-570021,-223018,-74932,-25028,-30623,-9313,-261550,78135,287202,-18960,-22074,14395,11941,-37178,-2262,-3767,-1486,-609,27340,-35757,7417,1133,-2285,3454,easy
695092,256792,17877,30239,22010,16379,11822,-54954,73918,-9504,110823,23020,-461796,-152251,-10302,-15574,-17114,-14227,580161,338344,13641,41021,42527,9033,-482021,-242996,-5485,-27051,-19018,-15045,-473618,1041957,-1062182,-97297,490595,-581340,-84220,23943,-19126,-6070,56595,-68072,-127937,59641,-61545,-37247,23260,-24078,difficult
279713,37959,11022,15173,7926,9104,-123391,-579,-6789,-9122,-172,-6781,-122831,50563,19762,29977,10050,-4073,616614,10826,-7186,-1495,-3004,-5454,-158941,25477,68234,5688,21631,1886,560,739445,-775555,51142,-39737,14651,26551,-26948,75420,39099,-31472,7183,10222,-13054,24635,2708,-1381,7340,easy
1138124,150913,32823,60327,18582,27478,-96433,-87331,-16863,-47953,-12988,-21365,-1092917,-75518,-19990,-56405,-11620,-20649,-65486,-97897,-17906,-42564,18036,-9144,-1019092,-121737,-29890,-56733,-10078,-23643,-996484,1027431,-953606,11813,-22379,-23840,-3127,2084,-11984,-8452,13841,-14169,1368,29656,-28114,716,11505,-14499,difficult
240574,33934,9523,10943,9171,6673,-101512,41404,39345,15901,19408,1817,189685,380466,6205,10127,12709,18348,3637597,464121,38542,110585,206069,122218,-135099,281,-9136,-2828,-6636,-4705,291197,3447912,-3772696,339062,83655,-463840,-33140,32337,-47678,-5774,100458,-113413,-6699,193360,-212705,16531,103870,-126923,easy
