delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
735894,112616,82174,56084,36793,53783,47399,30861,-10407,-22706,-73295,-39588,-16831,-28179,-35293,-17500,153494,9907,139003,-18089,146244,10119,35710,15400,easy
632245,31289,7466,9978,3015,8789,7451,4932,-415307,20041,11287,3756,3021,-3070,1925,2170,488904,390356,193723,28125,23997,105158,23054,26865,difficult
1265301,176951,58585,49125,50272,36669,47069,15315,-322166,258308,27786,-13117,3849,-7316,16392,29826,-37330,1440229,93369,176214,1767,36236,108748,70036,easy
1432371,120739,55121,38631,26176,35478,70714,32843,-1156528,-35011,7936,-1174,-9959,-7600,-40589,-9898,520634,1162260,258547,16180,4828,73458,-23898,49256,difficult
1759670,198709,65720,100122,25468,60225,30336,42206,-1612979,-131284,-44937,-91521,-14477,-38822,-19469,-37580,-1198786,-167710,-49194,-93092,-20448,-52930,-16595,-32136,easy
426095,120331,19004,18326,11192,15620,21868,9179,-393538,-93441,-13537,-13893,-8565,-11177,-15426,-5887,416179,-36470,-12193,5686,-5066,3690,-4843,46,difficult
887939,90109,27686,24945,43849,31783,21818,18299,-809519,-75466,-18796,-22951,-40009,-23547,-12998,-14889,-74753,-80464,-16326,-19410,-40710,-22073,-16733,-14337,easy
975393,226704,73525,81760,43360,26266,15116,14309,-606979,-123278,-57153,-77703,-39947,-18405,-12343,-11167,-568010,989,2327,-4249,-21081,8417,7437,-2182,difficult
454521,39505,12770,8850,6299,15356,10836,5456,-341275,71259,-4576,15659,6644,-6935,9091,10245,708083,149566,-1585,11285,17462,6706,3958,13666,easy
742079,737640,151667,75252,79993,178245,108463,58210,-361792,-620825,-80136,-51266,-52262,-154546,-81551,-9999,270108,-433526,-73230,-34126,-41007,-149519,-87176,-42963,difficult
626465,264902,9629,30737,30747,32386,42899,39147,519517,31483,16535,10312,-15016,7610,-15779,-32048,-602885,-261906,-8133,-28772,-24141,-16116,-18479,-34028,easy
1472866,338520,22206,50235,75977,90293,85935,48711,-1328450,-279050,-6894,-46291,-72770,-81528,-79299,-46572,-1119203,-277637,-20137,-45431,-73935,-77358,-78629,-46370,difficult
