delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
1003001,78594,42906,55853,28750,16812,-247821,-17643,-24397,-34904,-19988,-9392,-448578,23989,11587,-54058,-21660,-8594,-7635,-21773,-21606,-50579,-24613,-8650,-584343,440823,40616,-11144,31836,4077,-200757,440943,-576708,41632,-45762,462596,35984,-33193,62222,-19154,3479,39435,-1672,-2953,56449,798,-56,12727,easy
601436,374210,107450,85217,19551,19247,-355636,-339197,-105100,-84883,-17768,-18397,244566,100681,-421,-63072,-4077,10093,462382,-152687,7830,-60215,12777,16566,-139755,-29029,119494,-64830,22432,-5215,600202,217816,-602137,439878,-253368,123658,104679,8251,111664,21811,2857,-4615,13691,16854,9655,28490,6473,-21781,difficult
1174786,507094,145748,150070,88549,59330,139271,107520,-32861,-111667,-37349,-35741,-267701,-440063,-136451,-132364,-69486,-52245,35074,-350410,-112863,-112448,-42543,-17341,389637,43154,722477,-71701,89519,81231,-406972,302775,354563,-547583,89653,393564,-103590,23588,835340,-20697,19916,40747,-32137,26943,132062,-16504,34904,98572,easy
206927,79019,17918,13847,6136,4687,131919,88704,-12195,-7289,5268,3478,424492,115923,28185,24619,42263,6699,1117364,218929,2029,6449,11404,5349,1686884,223758,41504,12454,8847,10150,292573,692872,569520,27219,103006,4829,40380,-26156,39475,31908,-18170,6005,36995,-30859,-2557,3221,-1350,4801,difficult
1546044,295466,97994,119731,63186,35104,-1297570,-267704,-95992,-116172,-55414,-26963,-181129,-104552,962,-39711,-47678,-26679,-1394007,-166299,-62605,2170,-39404,-22749,-335992,-215516,32013,-68062,-44155,-17616,1116441,-1212878,1058015,163152,-61747,-49217,96954,-63567,94618,76461,41881,-70232,7736,8274,-4751,284,3930,5133,easy
879139,64167,17401,11350,23733,12133,487732,701613,69042,3395,27119,9258,43889,100521,10579,11833,-15460,-8302,-806072,-12139,-1037,-996,-20572,-9916,-553677,93781,116435,4626,-344,6259,-443843,-849961,252395,-601092,-112660,105920,-58463,-11616,117472,8438,-12829,5622,-42579,-5112,20228,-17560,-1614,16175,difficult
1534959,226246,70219,117375,42195,43154,-110736,-88332,-45603,-91797,34498,-24055,-730012,-21894,28696,-23122,-2813,-21580,-312178,-88044,-55228,-34720,-9202,-16757,-877135,-162352,-54900,-88502,-35292,-35530,-619276,417834,-564957,66438,-66150,-74308,74299,-83924,328,68675,-11598,-53782,-37311,-6389,-26090,2475,4823,-18773,easy
951513,197537,32076,28237,16309,11277,-910241,-181293,-29113,-27556,-14544,-10035,-805321,-166814,-28338,-25076,-15092,-9707,-621520,-90366,-26022,-21061,-14997,-7330,-478977,-73988,-12024,-24605,1074,-3546,104920,183801,142543,14479,76448,16378,775,2316,13998,2480,4015,-3544,-548,95,16071,328,2377,3784,difficult
372829,151168,17372,12165,11765,8526,260565,-148459,-11166,-7128,-10837,-7658,553243,68752,45480,4985,-6639,769,1422339,42008,83287,-2751,5418,4764,837450,246676,-14863,28593,-6581,-1830,292678,869096,-584889,217211,-26744,204668,56646,37807,-98150,12113,-7736,31344,4198,12057,-11999,8427,3995,-6594,easy
167780,41745,14442,7245,3197,4252,279298,16040,-8315,3240,8407,-2733,555554,19446,-9484,21460,4280,6746,-31117,-28409,-13494,120,-1264,-2821,73039,402186,25013,46989,19795,31453,276256,-586671,104156,3406,-47855,430595,-1169,-4010,38507,18220,-21340,46869,-4127,-5544,21059,9479,-9567,34274,difficult
1245445,150574,8610,16739,6878,9455,-1201100,-116830,-240,-12217,-4082,-6992,-1008202,-123288,-4608,-9299,-5138,-6941,618001,446666,129791,47925,12039,28580,204571,26897,32794,-6224,11319,5211,192898,1626203,-413430,-6458,569954,-419769,-4368,134399,-96997,2918,57224,-54149,-1056,17177,-720,51,35521,-23369,easy
1245487,126036,25153,19755,16952,10541,320129,129989,-14507,-11624,6338,13819,-432279,-17035,-17439,-12533,-15357,-8633,-295573,-85843,18130,-6746,-1955,18842,1152075,-91247,-8256,9835,6317,-2497,-752408,136706,1447648,-147024,-68808,-5404,-2932,35569,-26386,-909,5787,16581,-21695,13402,8272,-22452,27475,-21339,difficult
963101,152619,71220,84089,12376,13889,-552836,-93507,-69919,-43650,-10000,-8883,613624,271621,-33232,-65615,7082,-614,1818259,274384,76732,231980,32426,151265,-403373,-84599,-61866,-73750,-10388,-4086,1166460,1204635,-2221632,365128,2763,-358983,36687,109964,-138598,-21965,297595,-305730,17082,25344,-42814,8269,151879,-155351,easy
1604429,444236,185349,78933,65494,69376,-1443553,-421286,-181753,-77052,-61396,-62688,-1414937,-381166,-140036,-54041,-34434,-55918,-920464,-415923,-179895,-74768,-64188,-64206,198687,217968,-26688,62944,219142,-28784,28616,494473,1119151,40120,-34757,633891,41717,-39859,153207,23011,-20727,137712,26962,-29754,283330,6770,-8288,35422,difficult
215109,34748,7277,8649,4513,3405,779324,30951,79674,-3320,5186,4541,-39467,282,-4077,4775,-805,398,1081205,1150092,112739,237083,84932,60449,747097,44280,13092,5848,4991,11170,-818791,1120672,-334108,-30669,1149810,-1105812,-83751,116816,-99647,8095,232308,-231235,-5991,85737,-79941,-4143,60051,-49279,easy
990702,112660,46773,56846,15780,14544,-359550,123285,58478,15124,13889,6839,314863,742763,344674,392993,55520,155502,220482,34088,5824,24449,-5731,-4341,683998,119636,56661,-47514,-6032,6093,674413,-94381,463516,619478,-708675,85548,286196,-338850,50837,377869,-368544,-71963,41631,-61251,-301,148663,-159843,10434,difficult
816223,166627,36335,16873,9548,8020,701679,-119621,-33153,-14334,-7405,-5656,1152798,499532,291717,111057,42499,15253,-359764,56499,-24200,5963,-809,8480,-130796,-100473,-8354,1920,24143,3179,451119,-1512562,228968,619153,-443033,-156972,324870,-315917,15846,125391,-105094,-4043,49904,-43308,24952,20909,-6773,-5301,easy
1083433,146777,53969,54101,47779,33143,432489,2052081,459465,29441,159510,65909,-806153,-61363,-45668,-34930,-13917,-23647,218747,865848,5425,-34908,6000,15256,-265683,-24529,6409,28903,-28275,3998,-1238642,1024900,-484430,-2113444,927211,-890377,-505133,51093,984,-64371,22,63811,-173427,19917,-34275,-89556,38903,-11258,difficult
1117763,156973,30783,10026,28650,16565,-1054863,-126834,-20423,1256,-24383,-15004,-132297,131050,-7060,35030,-16922,3850,-106557,-77178,10135,1748,-22601,-11891,-932113,-137169,-26687,-6687,-24274,-14062,922566,25740,-825556,257884,-208228,-59991,13363,17195,-36822,33774,-33282,-8435,7461,-5679,-1673,18854,-15741,-2171,easy
916252,238018,38246,49154,26009,61942,538099,307684,535959,153200,263691,133928,-655420,164142,38038,38615,20836,-21578,15324,-1153,-6969,-27496,16865,-36698,-838219,-127353,-35858,-44979,-19438,-56592,-1193519,670744,-853543,-143542,-165295,-126200,-497921,-45007,-28889,-114585,-66111,-17483,-242855,-3971,-36303,-155506,-15120,-19894,difficult
1426716,159421,127976,23782,15405,21343,-361832,-15144,-96390,-14020,-4941,-1166,-1143495,-56026,-6833,1485,7247,4103,144245,-78610,-115569,-15962,-10941,-13269,-950974,-137972,-124428,-20875,-14035,-20289,-781663,1287740,-1095219,-40882,-22584,-59362,89557,-108736,-8859,15505,-17447,-4913,12188,-18188,-3094,5269,-17372,-7020,easy
679246,119766,25568,19435,17793,9420,1197450,116431,21589,-1255,371,3948,333017,258018,37478,20642,10992,12347,19805,53041,4972,4792,26,-4587,1104680,1280006,66509,105857,40582,73233,-864433,-313212,1084875,141587,-204977,1226965,15889,-32506,61537,21897,-15850,101065,10621,-10966,40556,8399,-16934,77820,difficult
899072,325884,30830,22985,10463,19619,669520,-39464,58286,14094,14111,26695,1506120,172560,36745,-831,50773,52173,-172424,-128868,3567,-2342,15374,-7813,-631609,223576,-3811,3623,13011,-4504,836600,-1678544,-459185,212024,-301428,352444,-21541,-33178,-7378,-14925,-1511,5965,36662,-35399,-2363,25478,-59986,3309,easy
590528,74283,13497,4962,7671,5726,1007041,-40235,29987,-419,-1492,4813,-512825,106680,-96,-748,-709,-781,-241808,50804,23267,5467,-883,11092,-281190,-58267,10693,6140,-4487,-1763,-1519866,271017,-39382,146915,-55876,-109071,-30083,23363,-12574,-329,6215,673,783,-174,-3604,-5594,11873,-12855,difficult
1270477,218519,26368,35938,14806,22407,-498316,-2740,6643,-24912,-8995,-6110,768670,-95413,44209,-13703,11326,-11951,-468597,-56680,-14204,-15747,-3625,-2118,1581743,376980,225107,135872,98947,19608,1266986,-1237267,2050340,-92673,38733,433660,37566,-58413,239311,11209,-2044,151619,20321,-14951,102572,-5841,9833,21726,easy
1478983,382270,74357,135184,76375,25046,1067176,189316,591399,-12304,40064,-3450,-729299,-139319,85145,-116163,-46799,-14727,133379,223436,182643,-22348,22455,-4572,379384,-28329,17790,-71472,-67656,-4858,-1796475,862678,246005,-328635,362755,-251765,-506254,97498,-164853,-103859,93815,-49124,-86863,69254,-90111,-11277,10155,-286,difficult
769162,279436,32607,45607,22558,10298,-523881,-200110,-22119,-42824,-18545,-2824,-728944,-243860,-29986,-43878,-21360,-8337,-607438,-212874,-4688,-41652,-13113,2129,2011006,432566,51210,38543,39903,58956,-205063,121506,2618444,-43750,30986,645440,-7867,25298,55898,-1054,2226,80195,-2815,8247,53016,-5513,10466,56827,easy
517294,190054,13702,22310,9555,5717,1758087,259898,70318,14199,37561,18497,165161,-154610,-9318,-15547,-7324,-4079,641939,-97842,11832,898,-4291,4580,1427278,-131368,-10767,6051,-6418,3529,-1592926,476778,785339,-414508,56768,-33526,-79636,21150,-22599,-29746,16445,5153,-44885,3033,-2127,-22576,8659,-1051,difficult
656236,431385,25187,30126,15072,12913,-539065,-403901,-19026,-28651,-8831,-8319,49812,-361722,-10790,-11770,22867,-45,980204,172729,-7934,54792,17817,21411,-297398,-409638,-11938,-29302,-8398,-7719,588877,930392,-1277602,42179,534451,-582367,8236,2856,-4004,16881,66562,-84094,31698,-5050,-26215,8274,21456,-29130,easy
1401346,391286,139047,74232,36819,53793,448353,-289167,-123695,-49961,-8037,-29278,-617104,-292288,-106490,-39583,-27150,-47682,240665,-208311,41796,-59540,-20655,7244,-745348,-349705,-45697,-64862,-26656,-47790,-1065457,857769,-986013,-3121,83977,-141394,17205,148286,-87493,10378,-19957,-5322,-19113,6495,-6001,-18404,54926,-55034,difficult
585815,119939,33888,19917,25081,16002,541330,-64418,-17899,-12991,-13606,11743,296026,-29696,8700,-10364,-9436,313,-288566,-50377,-23412,-14774,-21648,-13366,-291500,-66783,-24105,-12035,-16668,-7106,-245304,-584592,-2934,34722,-20681,-16406,26599,-32112,-693,2627,-4410,2739,4170,-12212,4980,-11430,-13679,6260,easy
788874,472899,182676,94387,58744,33351,202787,134215,-99061,-87169,52757,133,617729,542974,-89839,-71654,39991,27377,-211497,-268544,-141392,-84844,-46085,-24293,1189336,324500,23860,-68845,51254,-1399,414942,-829226,1400833,408759,-811518,593044,9222,-51553,165252,15515,-13190,15999,-12766,-86076,97339,27244,-51670,22894,difficult
1183119,472244,80152,73765,75411,39186,-279862,-432505,46945,-64331,-40183,14592,-132332,-351511,-66136,-48582,-69939,-28687,787091,-318453,-66862,-20243,-52946,-4450,825428,1145067,78737,74490,45664,57512,147530,919423,38337,80994,33058,1463520,-113081,-726,145599,15749,28339,94733,-29756,16993,98610,-43279,24237,61962,easy
1269963,262135,26784,22531,15554,7564,-146116,-191425,5835,13578,-2484,13996,-480460,-199218,6189,-8898,-9459,-1947,-1045241,-140185,-15002,-6600,2340,3063,-1044060,-208791,-19497,-20334,-13083,-4628,-334344,-564781,1181,-7793,59033,-68606,354,-21191,-4495,-22476,2298,-13734,-6975,11799,-15423,-15943,5010,-7691,difficult
889964,272426,217244,54932,53633,64737,-270957,-76957,-113676,-6838,13982,1335,254449,955095,38041,59066,336,4503,-141404,-199286,-211726,-37416,-19284,-40523,-855293,-264995,-210816,-52238,-52582,-62030,525406,-395853,-713889,1032052,-1154381,-65709,151717,-249767,910,65904,-96482,-14822,-13646,-19620,-33298,3168,-45026,-21507,easy
1493006,130464,18898,20207,14204,15714,605529,-27970,-4952,6029,-8088,-8462,-1360278,-85369,-11484,-14738,-10998,-7606,-583225,154505,24077,-12542,-2468,-4555,-246247,350832,142892,35664,63433,10101,-1965807,777053,336978,-57399,239874,196327,-6532,35561,118815,-20767,2196,48206,-2910,8530,65901,856,3051,14656,difficult
848300,194480,25665,51459,29863,19842,246151,118384,14838,-38977,-5793,3529,-164984,-7542,6679,-45790,-21442,-9341,-787777,-133605,-19804,-48983,-25241,-11882,311258,35739,16917,42364,42687,19718,-411135,-622793,1099035,-125926,-126063,169344,-8159,-26483,36721,-6813,-3193,91347,-15649,-3799,67928,-12870,-2541,31600,easy
521423,142177,16122,9377,13546,6706,1130,-30420,97967,20853,20048,106592,483031,-63653,-10553,5051,-11570,-3441,167329,88452,-11831,43157,6124,10211,212009,-10932,77451,6135,10673,8617,481901,-315702,44680,-33233,152105,-99384,-108520,-1278,89282,-15802,38106,-37022,-31618,17694,4549,-110033,13652,-1594,difficult
347474,147938,16668,14298,22321,23064,8710,-53065,-15582,-10640,-13257,-15468,-238423,-91679,-7321,-3509,-16281,-11088,74987,262334,71893,-5580,14929,9466,1931516,1661499,93731,64081,152998,109608,-247133,313410,1856529,-38614,354013,1399165,8261,79214,21838,7131,-2071,69661,-3024,31210,138069,4380,20554,100142,easy
1867119,216416,72744,52680,42981,15064,-247234,-120829,9576,-28192,-12909,-1199,-680403,-27673,6347,-6434,-17659,5755,-1707111,-168403,-53049,-46397,-33376,-11824,-276182,-164373,-56236,-12617,-30954,-3995,-433169,-1026708,1430929,93156,-140730,4030,-3229,-59396,-3187,21758,-39963,33780,-4750,-15717,2422,6954,-17579,7829,difficult
615460,594666,117706,127041,85680,105431,380695,-391446,-96366,-83912,-72404,-93549,1488707,-512133,-112214,-115582,-75810,-102174,10553,-541515,-55076,-107223,-68771,-95460,462740,-413421,-60617,-111503,-76672,-90521,1108012,-1478154,452187,-120687,-29382,128094,-15848,57138,-5541,-31670,8359,-4280,-3406,7039,-7901,-8625,6714,4939,easy
1641625,84066,26652,35071,16847,8068,-462675,38398,52542,-4372,-3481,-2195,-152693,33836,13233,-13878,-8482,2117,-1541046,-33849,-16497,-30839,-14297,-5862,-94372,43784,-3669,51271,-9115,1648,309982,-1388353,1446674,-4562,-67685,77633,-39309,-29730,12828,-9506,-16961,82110,-5001,-5815,5182,4312,-7979,7510,difficult
1175079,253454,55978,31217,39918,18332,-302890,-44199,-16201,-12783,-33872,-1794,-972747,-192524,-46656,-29119,-36383,-16081,-389223,-200170,-43536,-25649,-32655,-6991,-211307,-164323,32457,55656,-9196,4829,-669857,583524,177916,-148325,-7646,35847,-30455,3120,75993,-16336,3470,81305,-2511,3728,23459,-14287,9090,11820,easy
