delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
564718,83597,54716,13188,8986,16773,8654,6916,226770,21686,-46116,67735,-669,5501,7075,-87,39673,6105,-33482,4409,9695,8732,11338,5654,850713,-19904,4921,14573,14144,2197,10073,16136,easy
1014466,134687,53887,16988,24774,12244,24212,10006,-856616,94892,-10787,9971,-4341,19423,-1509,24197,-480739,109832,-20221,1120,7276,25612,-5909,9235,-737530,14627,72856,21608,14975,11279,-12248,5243,difficult
1374613,69613,12792,21867,7649,7256,6947,5641,-697606,35607,-11381,-11503,10700,8838,6775,16520,-1066731,122432,60936,46322,12276,17732,13293,7217,-1032896,20972,33128,-17273,-2512,-303,4857,7576,easy
97401,32913,14209,21921,10941,5835,10459,7822,-79949,-28287,37605,-8119,7582,18397,16001,3138,446054,29726,-8602,-9223,16966,28129,9936,9342,-43925,-3454,9383,20603,-1899,13201,-57,7499,difficult
1143853,122181,55837,35092,12341,12908,24970,14396,-910715,-81987,-41090,-26893,-7161,-802,-20240,-12179,-1124885,-108991,-42998,-31817,16364,8435,-12201,1287,103856,-66295,-37814,-14647,30271,3748,-5296,2659,easy
374276,87796,7365,9291,7904,5074,5668,3882,2127734,123337,13785,23750,25084,17177,21248,35315,6665,52644,92168,5801,18975,36505,19133,15985,-347649,-44230,7343,9196,17201,3184,18192,14244,difficult
1220555,103060,19256,18481,20524,17788,11582,11115,-839077,-30770,-7344,-3744,-2550,-9534,3854,-3185,-486701,-79773,-1715,-6562,-9001,-8018,-5683,-6286,-1037196,-86338,-6726,-17289,-16615,-14513,-5543,-10186,easy
296947,66802,16971,21699,7150,8317,10864,4012,9673,-33713,-16573,-19650,-3103,-2912,-3092,-1243,-254223,-47109,-14691,-18647,-3227,-3790,-7976,-2103,-263692,-54454,3057,-1857,18201,14273,4383,14257,difficult
739170,164117,73062,39548,72437,61135,24546,21350,68311,344054,2887,83756,41077,15035,-4595,-8303,-169188,-72959,-56653,-15889,-44279,-38657,-7560,-14002,-648350,-127025,-65311,-24639,-60586,-47640,-18217,-15952,easy
295656,49292,7648,2501,7714,6907,5700,3586,-90698,7330,17638,19805,2965,-2196,3901,5883,441357,35447,47085,11727,12548,25176,20940,25784,-173292,-34609,-3542,7612,-1835,-194,-1202,4021,difficult
809293,102232,14987,13016,16845,15974,13839,26051,-680177,-90166,-14258,-4976,-15087,-12151,-9969,-23891,1579682,703999,63048,2490,51099,13713,19963,-4128,77094,27804,-8837,-4646,-6137,-5366,-469,-18102,easy
321700,87947,24397,29906,12661,13853,15398,15042,-285744,-65453,-22677,-23497,-10861,-8543,-11455,-11689,-309945,-64232,-18889,-19442,2074,-1509,-7194,-8805,-313777,-75787,-17813,-20117,2102,-909,2282,-11250,difficult
674713,163234,87963,49817,68206,51683,18254,11859,-366503,-58527,-66572,-37405,-55404,-37609,-12407,3828,733947,155316,-21296,57796,88471,46652,38236,14234,-468903,-8234,-69284,-27060,-57097,-44297,-10262,-8056,easy
769864,159788,59393,44236,10734,20362,12678,16653,1387269,-10657,-42716,-23780,46563,-1044,9066,-6492,-574690,-106750,-53735,-40797,-2510,-12400,442,-9841,-735698,-111471,-34914,-19215,20661,-10802,10083,-3533,difficult
21042,22702,8486,7020,7513,8655,8387,4872,2092554,254227,71635,19707,17102,33894,27570,18818,252550,45457,1069,-1851,-1891,1064,-3261,505,1239426,23637,-635,-752,-6234,2076,2301,9081,easy
1915221,362487,57599,21510,22862,31443,22971,19516,-1657633,-352928,-45087,-3276,-16969,-25310,-13608,-10021,-1236027,-298571,-50342,43358,-6434,-15945,-16933,-13042,-885485,-211619,-29576,-9652,-1643,-579,12745,2292,difficult
371574,115277,12506,17706,29873,10529,12156,10835,-240380,-75342,64310,-7918,-16965,-1292,-4955,-5421,832212,85203,95388,55185,34572,31123,16300,159,333279,-44724,50382,34023,38949,4513,-1374,-4685,easy
406253,340844,74651,19450,21628,40138,18914,12952,43479,-215399,-14060,-6771,24045,-14053,10643,2273,-290392,-291604,-73637,9892,-11031,-18517,-10577,-1970,-379717,-323042,-51126,-9348,-18523,-29467,-2624,-950,difficult
182432,37686,5164,7566,10466,13983,7845,10680,25907,-11372,-2248,-2391,-5593,-6925,-3167,-6938,-119732,-32834,-4826,-635,-6292,-4980,820,-6552,-156817,10697,-1418,-6230,-7860,-12218,-7059,-10178,easy
221660,25346,11675,23564,10344,16045,6627,2396,714306,137595,2966,-688,-5322,1162,5690,13076,-103324,4273,-7470,-19925,-7863,-6483,-3783,5711,429168,93793,20921,-3068,5838,-317,8837,7444,difficult
473269,64423,9775,6362,6518,10968,4540,3351,731957,-2411,10301,34546,8405,5638,15505,7803,-417061,-29610,-5367,-4447,-4103,-6117,-793,-2198,-428836,21621,1046,2082,-1033,9357,11978,14337,easy
357383,277608,30169,29647,52169,35515,30451,21102,-69073,-111224,35675,-24413,-20646,-10025,-5416,-4445,870394,407707,42752,724,-19766,697,-4353,673,-238927,-203124,2800,-17779,-28387,-19154,-7194,-9860,difficult
869265,68993,18490,24869,19920,9258,16577,9684,-857307,-55018,-9785,-17072,-8079,177,-444,-1270,-847669,-50436,-16513,-6073,-10663,6808,-599,265,-858492,-55538,-11320,8826,-10495,1357,-12288,-3299,easy
258110,134700,3232,18458,11840,11301,10618,7681,-126679,-106235,22999,-4878,-8340,-6385,-2582,378,302711,-74837,59197,-11345,32378,5454,11651,11906,-166602,-80392,21781,949,5160,6093,19438,2940,difficult
264524,82454,19510,5726,14263,13291,4248,2998,879516,149437,200527,117840,130983,72778,50891,14159,121650,775349,106599,158327,223359,191483,40895,18721,295889,-46330,-16366,-4194,-12155,-11202,-2807,-2203,easy
213520,136663,102757,10526,15641,18577,22236,11715,-59434,-90519,-81785,-777,-11912,-13665,-15255,-9272,2987961,-38217,-81730,52022,10881,15017,7582,6418,273587,-117708,-98842,-4621,-7159,-15146,-17770,-7333,difficult
462571,389426,36476,84835,66549,51408,23059,22092,1368547,381077,232115,81050,13812,83643,16968,525,-250563,-319714,-25517,-76238,-48227,-41449,-18143,-18656,1234289,-365266,-5404,-9450,24867,-27392,5954,3020,easy
819707,58684,48702,24181,17396,10606,6495,10823,-544680,126401,-9810,-18537,-7050,6236,1311,421,441955,145216,-42477,1798,5603,1703,13969,1692,-600307,-38515,-40274,-23273,-10002,-7680,-5281,-9003,difficult
205019,31419,7163,17767,8711,12260,8853,8303,-181223,-15751,1869,-9452,7493,-873,-3918,4558,-192273,16916,-1357,10676,-2380,-3182,-4037,3055,337047,184482,1691,-10743,21393,3152,409,-2100,easy
1810592,389422,288138,71921,51148,80609,107922,44796,-1457191,-269240,-262418,-44329,-38668,-40697,-83688,-28459,187349,73460,168484,142021,1053,-20686,-57718,14745,-1741649,-370098,-284692,-67904,-48930,-79245,-106417,-43935,difficult
1402498,76249,52842,43206,9591,14157,11455,13101,-423580,48717,18680,-27639,22710,30346,34802,17059,-870861,-23073,-32106,-33375,-2412,-2637,-3288,-10377,-1382718,-49408,-42670,-36106,-6929,-6860,-5020,-10682,easy
937642,107871,19969,14479,12503,31398,22131,8620,1069965,1546478,55806,10359,60555,141211,72397,46186,219523,36322,33579,-436,15906,-24548,2459,3462,-518288,-70943,23121,20703,21480,-10168,17729,4275,difficult
758782,175087,43724,11077,12812,12310,12202,7038,1055438,108189,-16242,35062,12933,33379,17618,15055,-630885,-98148,2434,-3245,2718,2057,-4708,6885,-728649,-155113,10616,36228,-8948,-5304,-6054,-720,easy
1961116,373672,57286,32985,25025,38734,41431,28741,-689293,-294871,-51327,-27701,-18754,-23900,-34208,-21705,-1022593,-194949,-16195,-15118,-19130,-27569,-30097,-22446,-511622,-288156,-12271,4622,17701,-15081,-22698,6354,difficult
787231,233521,24088,20522,15386,15896,11329,19846,-143855,-165686,-3881,-5078,-4801,-4592,-5648,-10155,1131419,255964,108655,54721,10732,34949,11665,10962,1160587,-69489,58295,6376,-1420,12695,11079,27927,easy
1380526,300330,30204,30063,63596,51923,28102,31078,-697141,-284243,-19590,-16288,-42629,-39938,-17833,-22733,-47197,-245444,-21030,-20490,-55614,-38871,-19073,-26345,-1192492,-246067,-9971,-9169,-48386,-22069,3175,35053,difficult
916842,109277,12263,17241,7501,6640,12079,7089,138587,148426,-6302,-3599,33473,6663,-2312,5323,-323390,-68735,-11967,-4528,-4734,-785,-4642,-4609,666648,472175,112199,29919,56219,23455,33682,13283,easy
681573,447410,135257,132330,102159,98251,29228,20511,993138,-399231,-47423,-18279,-7922,-82330,-22762,-14666,-294669,-270186,-77787,-84908,-75440,-85436,-18706,-8710,-638974,-440042,-132493,-131614,-100261,-97153,-28553,-19627,difficult
599661,139602,75467,40757,34545,23200,34196,14155,-40256,-85781,-33302,-34278,-21814,-10995,-15139,366,398716,-15178,-66180,-30233,-7801,43552,-7085,4344,-440502,-92734,-73369,-28190,-25721,-15121,-28229,-8917,easy
579683,89278,79719,120886,85572,46952,35211,13542,312598,-54592,-60023,-114219,-77956,-40599,-33495,-11811,290527,326289,46210,123869,-8139,169782,300,-6023,-568810,-76842,-79039,-106165,-61642,-33292,-29431,-3877,difficult
1277268,356868,143543,33839,37315,21145,42668,27021,-997453,-154821,-126144,-15996,-30712,-3535,-11662,-6392,-1228217,-330030,-125818,-16242,-14723,11452,-21138,-17820,205100,-156837,-101214,16759,-17222,2414,-28736,-7836,easy
1016061,32107,9111,12967,8671,15961,6202,3043,-255179,14615,13601,13979,19338,10924,5241,3289,-915416,47164,-5338,-9360,-3866,-13764,-3423,-1382,-163925,7086,7533,3077,-2765,-7453,-1272,2496,difficult
1423730,284518,56002,45224,21426,32917,28831,21118,975582,179073,76448,-31251,1171,-3357,31452,11048,695298,-2775,-34819,12716,-3871,1258,7785,23141,-1076692,-188179,12459,-10315,-6710,-20792,9504,-1160,easy
922470,168819,45553,59143,71779,47044,21413,16268,688095,-123922,-41280,-55674,-69067,-38279,-17642,-10863,1160513,938789,343861,176550,343197,298498,141036,43283,-594957,-51610,-41493,-48871,-61581,-29369,-5014,-10636,difficult
759115,105663,21034,18086,10834,10928,5848,7265,324071,-80394,-10801,1298,-1148,2715,1705,-5644,279637,2238,6950,-12325,16021,4150,6280,3710,-454504,-54050,-18065,-6356,-6951,-946,-510,-5640,easy
1339453,103149,53583,45213,28887,26486,14377,7512,-1070355,2349,-42296,-26016,-21216,-15478,-8756,-1070,-335733,17985,-31558,-32856,-24979,-14289,-11171,-4932,760432,182263,-39999,-33781,-166,-10186,-6373,-2403,difficult
1040289,284191,82331,33083,27868,26872,33441,21999,-225650,-246710,-78381,-14086,-20631,-6934,-26423,-14055,-199955,-204592,-48716,-28828,6372,-2141,-27352,-14866,1094140,-248602,-72959,-12958,-18869,-14614,-23424,-18454,easy
1072203,348885,33402,20108,22968,35719,26207,14289,-313999,-259844,-4721,-3622,-16016,-21730,-17201,-9656,-146864,534334,13017,28448,43503,98127,41817,16332,-873615,-269385,-24724,-1790,-11018,-21764,-13547,-8758,difficult
486752,145505,34150,23217,29181,24596,18210,11371,-406584,-119630,-28652,-4120,1327,-9668,25252,-4939,-405808,-56800,19265,7092,-13537,-12258,-4400,1092,2449921,31629,21275,45529,-4568,45386,40083,52526,easy
1590162,753330,90007,61787,117014,72274,33813,57978,-1301081,-499907,55201,265757,125296,108420,106783,36942,-1492898,-737414,-85483,-44685,-103121,-54863,-23014,-49767,132776,-143803,-33145,-13088,-98768,-22271,6531,-43981,difficult
36482,12623,2701,6344,14442,20757,10184,10987,2173035,122627,-1230,20927,3008,3615,-3082,-203,37406,54457,9481,18105,844,-9002,3472,-6943,2143,12881,-1477,8455,-1281,1791,-280,-1697,easy
1463041,331211,56357,55383,25025,32363,31815,35346,-295428,-305367,-49673,-48788,-21227,-27945,-27032,-32711,221502,-41934,26301,-25729,21169,2630,-17169,-22445,-1050484,-295656,-43172,-42556,-20018,-23500,-22712,-32670,difficult
884743,218998,54862,70949,15172,21092,16859,9836,58209,-27163,-48969,-52382,47531,5713,12571,8943,1156529,1491287,202060,4665,100417,84916,60952,26434,-710709,-205776,-51700,-67720,-14279,-20304,-15836,-9487,easy
477815,108768,46302,51494,18114,25727,21144,7424,187473,-82491,-45502,-46802,-15677,-21346,-17217,-3936,341076,-29525,3697,-12673,-11913,-13902,3410,-496,579476,56687,-35621,-47249,-13721,-10844,-1950,12651,difficult
910272,284841,21242,34892,27795,17334,22723,13057,759149,-236210,-17263,-24696,-20976,-9760,-14747,-5753,-849643,-264349,-15040,-30491,-14031,-10222,-15358,-8553,-775970,-274787,-380,-28884,-22475,-8907,-16079,-8950,easy
368783,181048,176673,89185,43949,44671,36359,9612,-202112,-176159,-171970,-86927,-40506,-42701,-32951,-8845,218410,-114189,-155745,-61870,-7610,-18519,-20062,-6488,545333,-144855,-152346,-73373,-26133,-27063,-29220,-6345,difficult
796514,398855,34373,17235,17747,11990,10637,9654,-152913,-375727,-26471,-8755,-13953,-411,-8302,-4795,511361,-254442,-16949,50208,-11860,14199,41584,14897,-631816,-285194,-9261,7050,3656,15451,2991,2887,easy
618676,141771,30362,27327,18460,16246,7951,4964,-515899,-133943,-27407,-23123,-13268,-14832,-6824,-3382,2326229,802643,39913,62881,31241,136187,23838,32965,1823313,256702,114385,44160,-4496,51064,31010,8876,difficult
1527866,672421,45689,66180,34743,61147,26268,27496,-319962,-16968,-20373,-7971,19916,-27863,1293,-1197,-1015207,-425784,92584,21779,-6510,-47487,-7212,-9030,-1089394,903398,-9389,27480,43922,-16370,10455,-14439,easy
1418211,843621,66422,71291,53518,63285,42247,30348,-811648,-434983,-31077,-62722,-30562,-1892,-8752,-8613,-548377,-787885,1678,-45626,-44012,-48552,-20636,-23820,-771624,-778977,-61211,-62665,-37392,-50518,-31571,-21495,difficult
407461,235176,56632,14433,20872,8336,13516,9130,990506,-120731,-22258,18726,1596,29233,-2471,5337,-303692,-216480,-53870,7358,-17641,-4418,-10260,-4111,294955,-86000,35125,-1163,-12626,20983,20480,40562,easy
379126,51455,13952,7153,2847,5559,5698,3346,287961,122886,27170,1907,8000,10622,16298,9716,2551313,433876,20934,23132,21582,13781,6140,6716,181699,115166,2242,5060,17109,2862,18418,6954,difficult
660263,149486,45521,61499,38264,38697,24007,36494,153197,-30847,-26543,-46144,-19857,-25044,-14854,-32563,236182,-62638,-31955,-50384,-18819,-24627,-15011,-29761,-307080,-133258,-44783,-50504,-23527,-31887,-21600,-33849,easy
812698,172503,66415,44259,24816,23644,16826,28080,-658475,-154388,-60207,-19722,-10436,3888,-918,-12888,-731035,-148784,-47540,-32612,-15778,-12190,-11474,-18159,-787108,-128034,-62560,-33246,-14391,-15974,-13521,-23747,difficult
1333878,162561,31782,13221,22011,13266,7892,5659,-514474,54713,94609,-3131,79333,40312,51651,15618,-1193064,-85642,-30652,2664,-8973,-5416,3289,3258,-1212957,-133823,-17446,-11533,-21075,-11283,-5138,-4157,easy
484856,116048,22134,19137,10544,12802,22654,9991,745565,-33715,8542,-10005,2808,2668,-12156,3198,869565,241191,81209,38011,33613,33014,69043,12997,-316528,80808,-21028,-15688,-2848,-5282,-18716,9701,difficult
1073954,126603,54314,17445,13319,10755,19153,13868,77668,-12723,-35072,-4290,-331,-6092,-12994,-8602,486167,1256,-44498,-12533,34193,11014,21707,19446,1398902,-14981,31830,7517,7377,12011,10627,9883,easy
1030658,138440,60362,50745,33781,42101,29451,35169,-236058,-101336,-53397,-37270,-30107,-35307,-24512,-30080,-766844,-121674,-53757,-50368,-30405,-38769,-19708,-32282,973111,36269,-52181,-34484,-9820,-32708,-18108,-11212,difficult
785996,77580,41936,30000,21534,22746,16659,11529,-312893,-64596,-30707,-18399,-18843,-18273,-10211,-8772,-102885,-39671,-32849,-23361,-12221,-17404,-11871,-7628,-293186,5043,-27786,-4408,4070,-12135,-8652,-6512,easy
1244226,638944,58925,49674,75384,118836,50157,71818,-799785,-551950,-12157,-25676,-60101,-91613,-38180,-51393,222225,-304764,-748,-34038,-31187,-52202,-603,-52082,312222,-421089,26361,19933,-36666,-91559,-37496,-45936,difficult
677882,132255,30659,14482,32966,16086,17797,10350,-24343,2631,28603,-3387,-16658,8853,-9549,-3579,-463941,-113661,-27139,-10035,-26871,-13713,-14297,-7955,-308630,-76019,38858,14894,-25796,-244,5985,-1850,easy
387841,96077,62987,41034,24159,27991,17945,14352,363937,-54138,-30986,-31972,-4194,-15689,-6083,-9788,-285267,-63823,-57547,-27293,14401,-1025,3355,-657,-367293,-69323,-42730,-28115,-12329,-10361,-9348,-8611,difficult
837405,184908,43337,12673,21308,36170,25940,12801,252867,100709,-10686,65793,45506,33849,7455,20264,-770846,-179699,-32897,-6133,-18601,-34487,-24347,-11136,916482,507812,168124,235566,90858,109685,132492,96613,easy
1083951,111263,13806,22978,15358,10372,12294,9144,920150,382955,10974,-1928,3116,47867,40897,50590,596982,559574,42862,43811,9370,31347,37564,50575,-553532,71740,43636,22241,-8200,32723,5860,7278,difficult
1367158,247507,43255,54691,22051,28057,22542,28329,-941166,-135559,1369,-29626,-12430,-19693,-12839,-21509,729379,962893,41469,88191,38061,51442,37783,92145,-1189120,-167749,-37838,-42259,-12620,-21741,-9646,-14900,easy
987102,162102,30009,76432,55139,41189,25101,23945,-892244,-149401,-22424,-73271,-50471,-39028,-20559,-22596,968495,77679,117245,-73968,-17474,-20551,-13604,-12798,-443834,-109357,-3420,-54477,-34584,-21256,-16599,-19740,difficult
379673,134741,25893,24174,34688,18142,13897,13318,-337966,-129134,-15800,-20247,-33220,-16451,-12477,-11279,419034,-29148,-14056,-22452,-30575,-11108,-9463,-8198,-272653,-63810,17925,2533,-26008,-4612,119,10492,easy
397289,38880,16303,10854,7425,8766,6683,7171,297190,68169,39725,56265,10516,9428,-2416,-3557,-29939,-25591,-9990,-5628,-4540,-6716,-5343,-5801,2940570,302374,137274,87951,76146,90799,17960,12263,difficult
702762,164930,28484,31846,35360,40687,26393,11740,-597350,-151121,-24169,-22192,-18987,-35707,-23708,-10088,-562788,-148592,-9633,-15395,-31011,-35077,-22828,-10040,-276624,-58008,-7059,-13981,-25423,-26602,-17906,-6516,easy
928991,320969,43545,17133,13079,13935,13322,12647,1319398,-255563,-38384,14908,9312,5545,-3101,-7784,-463515,111153,-22614,65448,15370,7844,-4458,2182,552713,-237350,19222,35768,17182,18097,388,-8062,difficult
417996,40406,7518,15114,11113,10085,14937,7654,161336,8622,15764,3967,-3015,-3439,-6881,2609,156995,141687,1728,41812,-4267,40749,12725,1537,552973,249418,10123,3472,13816,20510,3066,16050,easy
1090178,163313,13267,34205,16958,14668,12284,10103,-471916,-42277,-7949,-32196,-14431,-8228,596,-4966,-46830,54937,97124,-13547,34361,37521,58086,17343,1232662,1192288,53356,52286,53637,62913,35822,11372,difficult
578112,124524,78997,24565,8947,33310,10056,13653,-209350,-98408,-69826,-22242,-4695,-21724,-6168,-6974,-201283,-79931,-73544,2564,25246,-1951,17557,9670,-386147,-72969,-61038,-12057,32253,-14094,23432,-1152,easy
530082,191373,27270,47485,22868,40774,35738,23546,-256505,-111058,-5703,-36217,-17648,-30862,-25772,-14568,284144,-70962,-3975,-45474,-4109,-36764,-29778,-13170,-161286,-71090,-7284,-40907,-19331,-33782,-17673,-18157,difficult
1187115,529142,138971,113894,121228,50404,54190,49713,122704,-294368,-125736,-83935,-110069,-36560,-45828,-25760,-443050,-462822,-110178,-103136,-110025,-44209,-45056,-42690,1891204,-444588,-127001,-88043,-106886,-39375,-45991,-36104,easy
601080,121676,38068,18739,24730,24819,25128,21091,-167775,-61166,-12995,12839,-10832,16913,21080,8814,-350628,-25471,-15884,-16214,-11109,-17255,-14646,-15478,187257,-46675,-30642,1241,-16738,-19812,-17218,-17621,difficult
132772,13938,4663,3572,13631,12923,6544,7614,-121116,-2807,4181,5737,-4976,9280,6300,646,-102882,40641,37574,6344,-1049,7273,-1431,11682,315473,106701,8758,25576,-10284,462,1609,-1244,easy
191350,176114,40573,32516,44802,26334,21004,17141,1601119,140153,10794,-5675,-23207,20719,2564,7714,312040,-48150,-39272,-28361,-35079,-17340,-13991,-9952,2384175,353619,1062014,34640,36960,237696,78418,76310,difficult
1361943,203226,109900,105249,97570,66989,50929,23329,-222009,-59733,-27639,8739,-58703,22033,-33871,-5471,-792328,-191890,-99758,-97313,-95755,-63919,-49455,-21341,2000823,324860,142815,-44416,-11588,-24994,13768,12009,easy
387762,102710,18825,17970,10125,7786,11666,7218,1442164,349624,83821,218702,56086,57595,44287,34577,566898,-10891,8770,2511,7150,61367,20820,30544,1024533,145277,-13691,31836,6560,31063,38708,28832,difficult
