delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
481997-59689-904107-408444-145380-316548-1995588-1239190,60957-136114-217193-30255-33909-260088-356318-113742,18017-13051-63502-11762-17373-35924-333179-116248,10444-4199-53974-7243-9800-3569-15753-26803,4656-3768-12586-4752-3091-17419-131398-27893,8850-4719-30014-10987-28362-16965-28669-39638,6263-6315-14613-8754-6840-14271-75682-57049,4455-4887-20280-10367-9381-12682-57739-33195,easy
59689-904107-408444-145380-316548-1995588-1239190-2243108,136114-217193-30255-33909-260088-356318-113742-445395,13051-63502-11762-17373-35924-333179-116248-437138,4199-53974-7243-9800-3569-15753-26803-423963,3768-12586-4752-3091-17419-131398-27893-546695,4719-30014-10987-28362-16965-28669-39638-388575,6315-14613-8754-6840-14271-75682-57049-251268,4887-20280-10367-9381-12682-57739-33195-214752,easy
904107-408444-145380-316548-1995588-1239190-2243108-1155728,217193-30255-33909-260088-356318-113742-445395-481595,63502-11762-17373-35924-333179-116248-437138-68388,53974-7243-9800-3569-15753-26803-423963-57929,12586-4752-3091-17419-131398-27893-546695-60818,30014-10987-28362-16965-28669-39638-388575-54837,14613-8754-6840-14271-75682-57049-251268-54718,20280-10367-9381-12682-57739-33195-214752-32479,easy
408444-145380-316548-1995588-1239190-2243108-1155728-1020567,30255-33909-260088-356318-113742-445395-481595-138340,11762-17373-35924-333179-116248-437138-68388-7450,7243-9800-3569-15753-26803-423963-57929-4848,4752-3091-17419-131398-27893-546695-60818-23153,10987-28362-16965-28669-39638-388575-54837-8310,8754-6840-14271-75682-57049-251268-54718-6933,10367-9381-12682-57739-33195-214752-32479-6968,easy
145380-316548-1995588-1239190-2243108-1155728-1020567-1086612,33909-260088-356318-113742-445395-481595-138340-107175,17373-35924-333179-116248-437138-68388-7450-18937,9800-3569-15753-26803-423963-57929-4848-24255,3091-17419-131398-27893-546695-60818-23153-4608,28362-16965-28669-39638-388575-54837-8310-22253,6840-14271-75682-57049-251268-54718-6933-24962,9381-12682-57739-33195-214752-32479-6968-10786,easy
316548-1995588-1239190-2243108-1155728-1020567-1086612-270334,260088-356318-113742-445395-481595-138340-107175-128230,35924-333179-116248-437138-68388-7450-18937-17481,3569-15753-26803-423963-57929-4848-24255-5723,17419-131398-27893-546695-60818-23153-4608-22861,16965-28669-39638-388575-54837-8310-22253-19303,14271-75682-57049-251268-54718-6933-24962-20105,12682-57739-33195-214752-32479-6968-10786-8398,easy
1995588-1239190-2243108-1155728-1020567-1086612-270334-945824,356318-113742-445395-481595-138340-107175-128230-269628,333179-116248-437138-68388-7450-18937-17481-91370,15753-26803-423963-57929-4848-24255-5723-24667,131398-27893-546695-60818-23153-4608-22861-59970,28669-39638-388575-54837-8310-22253-19303-30846,75682-57049-251268-54718-6933-24962-20105-32778,57739-33195-214752-32479-6968-10786-8398-14478,easy
1239190-2243108-1155728-1020567-1086612-270334-945824-1835916,113742-445395-481595-138340-107175-128230-269628-131188,116248-437138-68388-7450-18937-17481-91370-164754,26803-423963-57929-4848-24255-5723-24667-41364,27893-546695-60818-23153-4608-22861-59970-65660,39638-388575-54837-8310-22253-19303-30846-75278,57049-251268-54718-6933-24962-20105-32778-58556,33195-214752-32479-6968-10786-8398-14478-19333,easy
2243108-1155728-1020567-1086612-270334-945824-1835916-1781215,445395-481595-138340-107175-128230-269628-131188-700955,437138-68388-7450-18937-17481-91370-164754-123775,423963-57929-4848-24255-5723-24667-41364-26631,546695-60818-23153-4608-22861-59970-65660-32782,388575-54837-8310-22253-19303-30846-75278-52334,251268-54718-6933-24962-20105-32778-58556-46783,214752-32479-6968-10786-8398-14478-19333-26683,easy
1155728-1020567-1086612-270334-945824-1835916-1781215-748602,481595-138340-107175-128230-269628-131188-700955-162993,68388-7450-18937-17481-91370-164754-123775-1805,57929-4848-24255-5723-24667-41364-26631-45887,60818-23153-4608-22861-59970-65660-32782-18218,54837-8310-22253-19303-30846-75278-52334-28540,54718-6933-24962-20105-32778-58556-46783-23399,32479-6968-10786-8398-14478-19333-26683-20279,easy
