delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
1296072,878128,113415,112263,149280,71167,84279,15573,613569,93155,28821,8178,10098,10256,7749,544,659342,29506,5936,25847,35083,5359,8805,825,2504410,273195,11841,166881,25643,31215,38242,9019,901309,34280,39357,7864,8120,11800,5465,1192,660682,75627,32026,6815,14230,8965,14100,3294,1105897,230648,38566,54641,40409,23127,26440,5074,hard
111788,35060,37380,19307,6262,5548,6144,3578,125540,64829,40930,3942,4441,5193,1558,519,139444,39869,1416,1751,3490,1082,316,207,723112,37783,30090,12756,7803,9167,5224,2671,124318,102296,20364,21132,13978,5401,7051,1605,68775,87640,23544,8128,3670,5208,3242,833,215496,61246,25620,11169,6607,5266,3922,1568,easy
1442693,363701,320609,35001,62765,32658,7614,8299,154901,56461,14217,3106,928,4489,616,3233,51605,12532,1986,3349,4722,2488,1476,1170,10518,4621,19925,4923,4606,7667,6659,4574,185444,92784,2711,6627,3773,3136,2970,1555,345489,142433,66877,17905,11924,22229,8569,1506,365108,112088,71054,11818,14786,12111,4650,3389,easy
34314,7452,3292,5862,2168,3339,858,1218,48910,2934,5265,1140,682,747,444,183,440828,303825,9216,20790,15440,7399,2491,2408,27097,22129,2662,3427,3347,2305,847,2136,608223,369877,239495,53791,35135,18138,4851,3799,1633710,53215,15183,12423,4702,3755,2546,1435,465513,126572,45852,16238,10245,5947,2006,1863,easy
12264,3188,7948,6002,8064,6596,1271,817,400970,129789,26165,12668,10180,8070,3435,866,141896,80407,1004,4845,2152,1786,1935,2499,12019,53589,9155,5816,7692,6792,2859,10695,379625,209417,40522,42351,32319,24333,10767,10261,538771,83903,20501,20640,12835,12311,7247,5999,247590,93382,17549,15387,12207,9981,4585,5189,easy
93381,33219,4017,13779,7360,28805,4136,2254,1739624,85964,39367,5852,6504,5816,2752,1269,36708,46088,4123,2181,3201,2660,1749,550,1495939,172024,40593,5735,6164,3407,3356,2195,329956,19623,21548,9419,3202,4958,727,1637,25347,6875,5163,1735,521,504,163,544,620159,60632,19135,6450,4492,7691,2147,1408,hard
3829,3821,3208,653,1830,1610,1579,504,153316,110339,30147,8923,10594,2472,1049,926,656267,130300,5802,2163,2338,2793,1127,1021,209393,156568,3073,13784,5340,3026,1095,584,720867,33358,11064,28737,10370,15723,3108,5436,174214,35715,1806,5542,3361,1224,2080,315,319647,78350,9183,9967,5638,4474,1673,1464,hard
19499,9542,13068,24706,16661,4109,1874,2049,453529,56061,5509,5054,5741,5172,293,923,1372917,274008,265912,23719,17184,13959,10270,2780,13194,9213,1955,2234,1424,2000,576,308,464709,121434,23981,10280,8937,11043,8320,2414,183222,56959,4678,2459,2917,6572,1318,600,417845,87869,52517,11408,8810,7142,3775,1512,easy
100159,76099,15459,3224,1266,4667,1132,650,9251,11569,2428,313,1274,792,180,256,9227,2686,896,1212,1505,1365,723,456,93872,43169,12153,1490,1251,2294,940,1194,45542,48270,12736,5006,6028,8229,1260,1174,8735,4918,15243,18362,9307,6691,1432,1181,44464,31118,9819,4934,3438,4006,944,818,easy
360424,50450,19789,3413,7061,1306,812,529,117084,9234,1859,1673,3938,3340,198,310,390212,60028,5668,33183,22668,3262,3419,2026,208671,97823,66863,7762,9921,6603,5249,4936,15346,24476,7313,5882,5244,7306,1333,3046,14238,9612,4582,12574,3532,3718,1242,1856,184329,41937,17679,10747,8727,4255,2042,2117,easy
316083,32078,23029,6852,19633,10180,4377,1147,178930,41325,14558,9007,2415,2775,2455,818,10194,3743,415,2817,5301,1353,585,646,418391,101627,21479,37393,7841,5990,2903,4274,2393418,365198,59397,47029,17719,17227,4410,5326,57011,4751,1284,3887,1226,1888,928,781,562337,91453,20027,17830,9022,6568,2609,2165,easy
8168,23610,16434,14066,3741,4232,2614,2772,352355,63618,6182,2502,5552,2693,1969,969,52471,32076,605,2016,2852,2189,896,811,277886,136028,39298,8307,10209,18379,1600,2366,47173,44331,23071,7612,5220,5697,1910,477,363784,36341,4521,7021,11012,9413,3800,5144,183639,56000,15018,6920,6431,7100,2131,2089,easy
67519,120062,51806,18198,12383,15908,6918,3783,67742,109837,11871,2439,5208,3089,957,551,1794526,379384,93316,36073,11021,65996,6837,8873,74015,21557,6982,1531,3370,1110,1118,451,93973,63036,17826,3460,6648,6766,1483,1313,364728,25433,4026,2842,2877,2628,1909,866,410417,119884,30971,10757,6917,15916,3203,2639,hard
