delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
286165-108013-1711787-107611-322427-27686-380197-1102019,44076-51998-113776-3503-39318-23240-144753-91616,11361-14005-7414-4404-10766-6327-9853-12008,8535-17322-32831-2031-83829-29409-35881-84877,6197-17561-14150-7220-10386-12764-11519-38569,4581-14059-24492-3693-10133-28657-16323-21180,4507-15735-11495-4228-8692-4650-16233-24950,3652-7321-22540-1984-11915-3560-7567-12702,easy
108013-1711787-107611-322427-27686-380197-1102019-270047,51998-113776-3503-39318-23240-144753-91616-225452,14005-7414-4404-10766-6327-9853-12008-21578,17322-32831-2031-83829-29409-35881-84877-50302,17561-14150-7220-10386-12764-11519-38569-24425,14059-24492-3693-10133-28657-16323-21180-27591,15735-11495-4228-8692-4650-16233-24950-14687,7321-22540-1984-11915-3560-7567-12702-7570,easy
1711787-107611-322427-27686-380197-1102019-270047-189298,113776-3503-39318-23240-144753-91616-225452-88335,7414-4404-10766-6327-9853-12008-21578-24251,32831-2031-83829-29409-35881-84877-50302-34552,14150-7220-10386-12764-11519-38569-24425-15492,24492-3693-10133-28657-16323-21180-27591-34077,11495-4228-8692-4650-16233-24950-14687-7777,22540-1984-11915-3560-7567-12702-7570-23940,easy
107611-322427-27686-380197-1102019-270047-189298-25449,3503-39318-23240-144753-91616-225452-88335-7508,4404-10766-6327-9853-12008-21578-24251-637,2031-83829-29409-35881-84877-50302-34552-1343,7220-10386-12764-11519-38569-24425-15492-2046,3693-10133-28657-16323-21180-27591-34077-747,4228-8692-4650-16233-24950-14687-7777-855,1984-11915-3560-7567-12702-7570-23940-1222,easy
322427-27686-380197-1102019-270047-189298-25449-114462,39318-23240-144753-91616-225452-88335-7508-12693,10766-6327-9853-12008-21578-24251-637-24611,83829-29409-35881-84877-50302-34552-1343-16259,10386-12764-11519-38569-24425-15492-2046-6360,10133-28657-16323-21180-27591-34077-747-13989,8692-4650-16233-24950-14687-7777-855-8719,11915-3560-7567-12702-7570-23940-1222-5812,easy
27686-380197-1102019-270047-189298-25449-114462-403319,23240-144753-91616-225452-88335-7508-12693-73273,6327-9853-12008-21578-24251-637-24611-8122,29409-35881-84877-50302-34552-1343-16259-25379,12764-11519-38569-24425-15492-2046-6360-11280,28657-16323-21180-27591-34077-747-13989-8244,4650-16233-24950-14687-7777-855-8719-6079,3560-7567-12702-7570-23940-1222-5812-5640,easy
380197-1102019-270047-189298-25449-114462-403319-25367,144753-91616-225452-88335-7508-12693-73273-42278,9853-12008-21578-24251-637-24611-8122-24336,35881-84877-50302-34552-1343-16259-25379-9227,11519-38569-24425-15492-2046-6360-11280-8063,16323-21180-27591-34077-747-13989-8244-16018,16233-24950-14687-7777-855-8719-6079-16445,7567-12702-7570-23940-1222-5812-5640-16593,easy
1102019-270047-189298-25449-114462-403319-25367-23299,91616-225452-88335-7508-12693-73273-42278-14673,12008-21578-24251-637-24611-8122-24336-10987,84877-50302-34552-1343-16259-25379-9227-55815,38569-24425-15492-2046-6360-11280-8063-4361,21180-27591-34077-747-13989-8244-16018-10411,24950-14687-7777-855-8719-6079-16445-4977,12702-7570-23940-1222-5812-5640-16593-7577,easy
270047-189298-25449-114462-403319-25367-23299-83622,225452-88335-7508-12693-73273-42278-14673-73423,21578-24251-637-24611-8122-24336-10987-7285,50302-34552-1343-16259-25379-9227-55815-15616,24425-15492-2046-6360-11280-8063-4361-4202,27591-34077-747-13989-8244-16018-10411-3868,14687-7777-855-8719-6079-16445-4977-1460,7570-23940-1222-5812-5640-16593-7577-9000,easy
189298-25449-114462-403319-25367-23299-83622-724133,88335-7508-12693-73273-42278-14673-73423-161018,24251-637-24611-8122-24336-10987-7285-13219,34552-1343-16259-25379-9227-55815-15616-79989,15492-2046-6360-11280-8063-4361-4202-7836,34077-747-13989-8244-16018-10411-3868-10489,7777-855-8719-6079-16445-4977-1460-11204,23940-1222-5812-5640-16593-7577-9000-6761,easy
