delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
21139-9109-26799-11456-26968-10043-8856-15331,6708-13023-27527-21417-18909-25498-14079-4843,18325-8057-5237-16067-18849-21843-11899-9901,5539-11249-4794-9353-9112-23273-16397-3037,9076-7686-25789-9079-10439-5961-11519-3812,3397-4685-5069-5926-7769-6628-10240-7286,10003-3325-3510-1184-3012-1836-1779-4866,2306-1451-1884-1303-2163-2328-3391-1770,easy
9109-26799-11456-26968-10043-8856-15331-243183,13023-27527-21417-18909-25498-14079-4843-21792,8057-5237-16067-18849-21843-11899-9901-14875,11249-4794-9353-9112-23273-16397-3037-12126,7686-25789-9079-10439-5961-11519-3812-5238,4685-5069-5926-7769-6628-10240-7286-13167,3325-3510-1184-3012-1836-1779-4866-6868,1451-1884-1303-2163-2328-3391-1770-2273,easy
26799-11456-26968-10043-8856-15331-243183-26090,27527-21417-18909-25498-14079-4843-21792-24509,5237-16067-18849-21843-11899-9901-14875-1133,4794-9353-9112-23273-16397-3037-12126-3655,25789-9079-10439-5961-11519-3812-5238-2835,5069-5926-7769-6628-10240-7286-13167-1519,3510-1184-3012-1836-1779-4866-6868-1325,1884-1303-2163-2328-3391-1770-2273-1119,easy
11456-26968-10043-8856-15331-243183-26090-9019,21417-18909-25498-14079-4843-21792-24509-2457,16067-18849-21843-11899-9901-14875-1133-3377,9353-9112-23273-16397-3037-12126-3655-2636,9079-10439-5961-11519-3812-5238-2835-1607,5926-7769-6628-10240-7286-13167-1519-1553,1184-3012-1836-1779-4866-6868-1325-1851,1303-2163-2328-3391-1770-2273-1119-374,easy
26968-10043-8856-15331-243183-26090-9019-419698,18909-25498-14079-4843-21792-24509-2457-79313,18849-21843-11899-9901-14875-1133-3377-3285,9112-23273-16397-3037-12126-3655-2636-12808,10439-5961-11519-3812-5238-2835-1607-12959,7769-6628-10240-7286-13167-1519-1553-7123,3012-1836-1779-4866-6868-1325-1851-4056,2163-2328-3391-1770-2273-1119-374-2747,easy
10043-8856-15331-243183-26090-9019-419698-38106,25498-14079-4843-21792-24509-2457-79313-49820,21843-11899-9901-14875-1133-3377-3285-27448,23273-16397-3037-12126-3655-2636-12808-7358,5961-11519-3812-5238-2835-1607-12959-7583,6628-10240-7286-13167-1519-1553-7123-11040,1836-1779-4866-6868-1325-1851-4056-3847,2328-3391-1770-2273-1119-374-2747-1991,easy
8856-15331-243183-26090-9019-419698-38106-190631,14079-4843-21792-24509-2457-79313-49820-22209,11899-9901-14875-1133-3377-3285-27448-10599,16397-3037-12126-3655-2636-12808-7358-5578,11519-3812-5238-2835-1607-12959-7583-17836,10240-7286-13167-1519-1553-7123-11040-5164,1779-4866-6868-1325-1851-4056-3847-2917,3391-1770-2273-1119-374-2747-1991-2302,easy
15331-243183-26090-9019-419698-38106-190631-15069,4843-21792-24509-2457-79313-49820-22209-30053,9901-14875-1133-3377-3285-27448-10599-8249,3037-12126-3655-2636-12808-7358-5578-9302,3812-5238-2835-1607-12959-7583-17836-2457,7286-13167-1519-1553-7123-11040-5164-16903,4866-6868-1325-1851-4056-3847-2917-5535,1770-2273-1119-374-2747-1991-2302-1682,easy
243183-26090-9019-419698-38106-190631-15069-103824,21792-24509-2457-79313-49820-22209-30053-14184,14875-1133-3377-3285-27448-10599-8249-3687,12126-3655-2636-12808-7358-5578-9302-22455,5238-2835-1607-12959-7583-17836-2457-8029,13167-1519-1553-7123-11040-5164-16903-26270,6868-1325-1851-4056-3847-2917-5535-5449,2273-1119-374-2747-1991-2302-1682-6486,easy
26090-9019-419698-38106-190631-15069-103824-17869,24509-2457-79313-49820-22209-30053-14184-4763,1133-3377-3285-27448-10599-8249-3687-4664,3655-2636-12808-7358-5578-9302-22455-10085,2835-1607-12959-7583-17836-2457-8029-1791,1519-1553-7123-11040-5164-16903-26270-2843,1325-1851-4056-3847-2917-5535-5449-1119,1119-374-2747-1991-2302-1682-6486-283,easy
