delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
257256,281433,121382,22862,54474,57822,29081,36883,79931,37562,6651,5173,780,4215,2530,1825,0
1323767,126980,18612,14687,23392,27665,23320,12975,63570,9209,1743,5718,4093,6154,9937,3226,0
2108310,302639,212254,82402,60501,190857,105259,57293,453985,191932,24631,60282,40390,49555,28034,33138,0
1003180,139383,7348,13101,10013,56719,20156,18794,6298,4927,1165,3258,2336,6292,11031,8322,1
794706,112182,28466,15370,16561,20351,12670,10490,119036,48231,2126,6184,2160,4217,4096,1915,1
1282056,405072,194155,68885,21570,65712,37043,47422,364983,53431,9174,5479,8627,9773,10417,9108,0
1293589,104177,23859,55914,11324,35133,38577,10909,68164,63085,999,5545,7076,3727,3578,5831,1
1208263,402176,62178,34507,32619,62219,169192,43622,128805,22008,5121,5160,1162,5016,3921,1297,1
1199373,195658,102354,17799,43754,62336,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
1317516,94444,80112,10581,20397,17899,20743,17708,116910,17820,8102,3957,2206,2909,1751,1371,1
1663993,1292544,315067,78663,72248,132322,82378,129020,286962,104958,23797,25736,17042,23822,26190,10903,0
1677578,414678,268209,97656,55016,157673,117029,70237,382587,81966,20415,30422,14572,8738,9953,11510,1
1521903,542967,71840,140096,91465,97199,72660,92489,191856,33090,14378,3615,5992,11372,14296,1989,0
2294070,269643,45412,36211,32713,164231,86897,25657,148318,18837,9732,1659,763,10054,9057,3510,0
3242523,269657,29127,14254,54061,100945,116580,43849,82632,32766,7153,2397,2554,7205,3258,1320,0
2822957,273811,35545,25795,18162,42132,46153,21623,583564,33804,20668,10994,6813,15662,7427,9000,0
1615663,138840,18664,42533,21607,53232,44187,40576,521329,62410,7598,5489,1380,15813,7779,11202,1
1008209,190970,96305,8951,12634,22400,5248,14698,151318,18307,1618,1370,3639,3193,2333,978,0
1114101,238477,148533,56892,83746,162752,42969,57012,543300,79642,22188,13762,20962,23686,16446,4974,1
1088618,392634,15988,12792,26068,140008,59207,28601,114095,15587,1215,2138,5106,6881,4756,2606,1
2241701,725591,70392,39333,65045,96777,76410,60932,703670,48467,7188,12056,6093,31285,10375,8549,0
1074987,155582,33479,10141,20114,21219,35279,12639,131421,41657,1365,2647,2807,4001,4073,6928,1
1820337,532601,166326,11815,113201,42733,34964,26138,393484,34385,1375,5836,10997,7100,13558,8337,0
1145378,259655,49306,12699,12425,28867,50269,20557,428554,123906,10546,5684,10763,22394,23929,7631,1
2010144,281942,174813,108190,15888,58943,92361,23954,1281412,125912,31312,14095,11001,14049,18165,11239,1
1676518,158940,105719,93126,10629,83202,58034,65777,84142,26075,7628,882,2184,3728,5059,1807,1
95596,12194,8954,33716,53520,33560,18831,13945,5728,3893,2452,5579,2946,6113,5880,4290,1
2469685,220881,36485,35820,38562,18547,28540,18523,761433,30085,17146,11922,17009,10791,17412,6608,1
1286550,230293,13509,31626,58715,65671,47640,27204,50643,65363,7149,2012,1376,4710,1909,1572,0
1633334,647127,85542,50297,56650,104542,115855,50963,697753,249214,7740,22904,22661,57885,35090,30440,1
1290456,224874,22169,26549,29126,62550,48037,26775,125229,80758,20521,6919,11031,29012,30413,17591,1
798615,72482,37131,6101,15738,20140,23842,13504,384105,47765,4720,3718,2835,7017,7907,4463,0
1325132,65298,41862,27263,41701,16784,19539,18306,67492,15089,2657,668,1639,3588,2016,1520,0
1556926,267669,154490,84733,43958,84831,150618,89549,361162,28330,5322,8155,2493,7908,8902,5716,1
1187722,91000,46875,5029,9019,22447,23428,8953,606278,2281,2644,2303,2580,5509,4077,2691,0
2855119,184055,42015,27033,19270,37954,66340,9635,119599,97950,17279,3440,4437,10105,3470,2626,0
1576177,259827,58567,45576,35160,44627,29160,31556,64629,74407,6203,12150,9704,22709,13575,9795,1
2317883,664392,103445,65312,40401,103274,57263,50341,253624,39733,5282,5031,3897,3995,1846,1500,1
