delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
-158023,-180848,-11690,12187,-4507,-14103,-32893,-2777,158023,180848,11691,-12186,4507,14103,32893,2777,1088348,-54078,-6201,-13265,-18063,-8805,-12152,273,-157872,-183281,25828,-15621,-21874,-19403,-32586,1935,-122434,-130508,20695,-18295,-11998,-24107,-37743,16514,264681,-102221,2793,-8703,-30095,-23668,-39981,-5911,996143,-183029,-16290,-24917,-34717,-37480,-42325,-11770,162859,-72477,24433,-2093,-11586,23913,-441,6266,0
-34450,-10030,-896,611,-614,-2447,-3761,985,34451,10031,896,-610,615,2447,3762,-984,914123,628905,50986,29753,27333,34827,51350,8476,45691,94681,15810,2324,7108,806,-2830,803,2151484,84469,17287,11361,23104,65663,35692,11614,1668220,12963,4351,43573,10384,20892,15891,18644,1660342,78228,75488,42714,34769,19333,19203,8972,765185,13847,6636,9806,35070,29736,14620,20630,1
-43182,14075,-2972,-687,100,-1875,-4133,-6454,43183,-14075,2972,687,-100,1875,4133,6455,557156,5966,-316,29938,15541,17704,18632,10042,-125273,-3832,4277,22978,4252,29035,16730,8901,268193,18284,20519,17394,6692,23220,12862,10234,268193,18284,20519,17394,6692,23220,12862,10234,-37172,-10366,20129,8416,7187,22252,18081,7070,-45169,15099,5201,1143,-2647,1371,-1313,-2502,0
116217,53500,10722,-2894,-2330,-352,2221,-1458,-116216,-53499,-10721,2895,2331,352,-2221,1458,-77966,-79835,-31971,-6153,-1613,-15819,-17891,-6320,-141867,-99083,-32480,-7209,-2363,-19819,-17608,-5678,-174144,-70831,-30455,2996,-5570,-14806,-6991,-3033,517060,38823,-23723,-6954,5193,-15884,-13054,-4938,-173725,-40821,-26957,13224,-784,-2852,-13775,-3361,-14577,-86598,-27813,-12209,-10257,-24695,-18829,-7099,0
-101522,-4774,9562,-2375,-10199,-5926,3437,1462,101523,4775,-9561,2375,10200,5927,-3437,-1462,561617,439795,50248,55463,42962,59384,19417,27376,948976,286000,8897,29931,9645,1154,10580,2835,-619767,-36759,-5741,-9902,10537,331,-4482,-667,-663256,-65752,-3434,-10484,-3725,-8287,-5319,-634,-128341,-92849,-7265,2149,459,-7310,-8563,372,-553220,-96247,-12210,-13286,-8866,-11330,-4159,-914,1
-122225,-210478,-25675,-3321,-49184,-11251,-9333,-12944,122225,210479,25675,3322,49185,11251,9333,12944,-26476,-60813,-38570,8101,-52854,7046,365,-5950,279765,370507,-10049,-9146,-32123,169,-7149,-9671,-191679,-239833,-34174,-8664,-52940,-9776,1495,-12079,-315701,-65240,-30564,3224,-47312,37482,3519,-105,-417705,-232780,-39128,-4954,-55738,-8949,-1880,-13863,-454885,-227122,-37411,-9438,-52070,-6565,-7199,-10601,1
29125,-8716,-7050,-4234,-14528,-14121,-11219,-5755,-29124,8717,7051,4235,14529,14121,11219,5756,1353063,120438,9766,28259,36551,19958,514,6523,567005,121365,133761,32037,25381,71065,51568,3937,634406,67177,-933,37514,4027,12467,2830,7481,-35945,-10391,5194,-3223,11374,13504,-3095,8339,-24186,16707,1434,-3592,26073,22910,15503,5160,-6960,34826,-4271,10514,-2624,10708,6287,14483,1
-640747,-123819,-10618,-2180,-2071,-14551,5427,1569,640747,123819,10619,2180,2072,14551,-5427,-1569,603512,280265,-16162,27124,-16698,-22802,-2377,12117,-721674,-156302,-27589,-12717,-17343,-59877,-16187,-9841,-822033,-191090,-4910,-4603,-19539,-63813,-11449,-8777,-272561,-242776,-34251,-7248,-2874,-51611,-18138,-10901,-773473,-197488,-38628,-7023,-16277,-60004,-21244,-9486,625833,-175962,188178,-1135,54679,-8263,-5112,-895,1
443232,-11156,-6644,-13705,-9317,-29597,-21086,-11479,-443231,11156,6644,13705,9317,29597,21087,11480,-496527,-84649,-14485,-19306,-14731,-36208,-33076,-15349,548304,-17649,21066,-13507,-2472,-13823,-16430,23352,96323,8234,21709,-4908,-6349,-20684,-7322,-6222,-470940,-85136,-3420,-14137,-13267,-32366,-30743,-13583,-460226,-57436,-9160,-16785,-12466,-27188,-29223,-14877,-478445,-75418,-13884,-9433,-5846,-3890,-25355,-11649,1
-106170,-25410,-7240,-11548,-11211,-12188,-12634,-9664,106171,25411,7240,11549,11211,12189,12634,9665,254997,5666,1725,-11337,-9643,-11791,-11638,-9094,-107790,-10667,-7072,-7208,-5459,-12982,-14514,-8156,1692554,139782,4659,-3578,7067,967,-5842,-2430,-60491,-3538,902,7269,-11484,-14667,-16095,-9527,635958,92280,1967,2435,-8744,-10972,-12695,-4594,42297,16125,-3613,8226,5040,-7754,-10429,-6870,0
572035,109849,8332,22546,2857,8778,7964,5174,-572034,-109848,-8332,-22546,-2856,-8777,-7963,-5173,-967204,-152002,-9120,-21999,-5680,-18570,-7659,-5967,902878,771754,2093,-6251,14531,31278,1823,19542,-644264,-138312,-6241,-2018,34524,-16884,-5464,29396,-1068848,-169266,-3890,-21402,10971,-9373,3242,9173,-945686,-173372,-1407,-21850,-5817,-15918,-10814,-7170,-1015035,-91267,-1538,6594,44901,-8681,15257,17412,0
46372,138070,7394,5851,5216,4306,17660,2267,-46371,-138070,-7394,-5851,-5216,-4305,-17660,-2266,-556079,309772,127875,5585,13641,116724,44747,14563,1212811,-66212,18143,8313,20156,17421,-13571,4118,-795445,-147667,-7305,-4970,-5422,-16302,-20001,-3549,-704232,-80021,25108,10456,6880,13702,-11181,13221,-734259,-131510,-7082,-5435,647,-5858,-17515,-1456,-185755,91633,42121,22507,2167,17503,37043,2571,0
-536906,99656,9765,-5293,2813,-3721,-4168,827,536906,-99656,-9764,5294,-2813,3721,4168,-826,-1261177,-182058,-38191,-6794,-13295,-35579,-15427,-3087,-743605,-133015,-33826,-16384,-9047,-43609,-19814,-6363,-1208486,-175803,-38512,-15734,-19414,-42568,-18769,-7526,-708668,-108372,12735,-6387,16374,-26474,2318,3901,-969802,-100691,-10207,4297,-17676,26832,-3261,4146,-1165437,-172874,-38804,-19883,-23348,-46355,-20389,-8233,1
143640,-13774,-1488,-842,-305,230,311,-31,-143640,13775,1489,842,305,-229,-311,31,783299,44013,13421,15682,5969,2863,1249,165,952098,65421,4312,13826,33005,17762,6171,2831,-132139,-12183,-2157,-649,-1896,-66,602,-159,318578,18296,6552,20393,4017,14142,6254,956,-159853,-10455,1663,3381,1088,4192,1204,2017,597509,185149,94787,49866,38804,41258,50573,48692,0
419141,-80666,-24393,17633,-29282,-13913,-20216,-20475,-419141,80666,24394,-17632,29282,13913,20216,20475,-1012790,-236425,-37975,-50063,-41397,-50895,-42894,-24959,658632,46302,-18851,-19321,-25679,-23557,-7482,31432,-664244,-186917,9938,-48228,9243,23075,-11627,-1828,-1032414,-198929,-29994,-28026,-34694,10120,-1943,-12919,-495871,-23709,-21989,42183,71279,51851,7015,16283,-338351,-206303,-33596,-39104,-36548,-44563,-40311,-21835,1
-285323,-18692,-8528,-16301,-11179,-9031,-10331,-6471,285324,18693,8528,16302,11180,9032,10332,6472,-567013,6416,20626,5746,9564,29724,131,-2655,-621744,-35784,-15124,-3436,9167,19569,10771,-1365,-539996,-2893,-10560,-16055,-12997,19951,-18288,-8508,-114896,-13449,16225,-13997,-3761,24991,12513,10173,720193,53568,18008,-5046,-15931,-1758,-16073,-4862,-329905,96002,30737,-13634,-18483,-6851,-12845,-3297,0
-304618,258029,57086,16483,518,23342,31117,13967,304619,-258028,-57086,-16482,-518,-23341,-31116,-13966,-461536,-197521,-11745,-358,-8713,-12187,-29253,-11490,325749,532754,64177,7262,98663,23909,11605,2219,-444844,-238745,-27234,4825,547,-11961,-12818,-1990,-660770,-314484,-62014,-9518,849,-3876,-5107,-14061,-681250,-277166,-47289,-17967,9912,21557,-28749,-10231,280319,31761,-3860,29349,9511,44417,-239,-13106,0
