delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
240077,-120678,68339,-30063,17790,44547,11711,-25219,-240077,120678,-68339,30063,-17790,-44547,-11711,25220,-1259142,-189039,-136621,-43356,-59045,-81643,-27466,-42550,64718,1525,-94634,-23157,-28987,-53150,-6216,-34713,-1134478,-343083,-143184,-39157,-60779,-85071,-19611,-37009,-1008647,-315113,-113050,-4481,-57973,-37111,-4529,-21868,-1275722,-361236,-146300,-43564,-64365,-92307,-33691,-47073,-1063904,-215654,-141659,-23551,-40072,-36883,-13162,-34278,0
-10510,-58475,-417,-30636,-23962,-6928,-15736,-15355,10511,58476,418,30637,23963,6928,15737,15355,-1043740,-33191,11572,-43251,-9025,4839,59,11791,-1616901,-102501,-2972,-44544,-2735,13265,6917,-6085,667174,2745,-2824,-24428,-9170,-885,8984,12877,-1634947,-97451,30613,-28544,-16898,22382,5232,-12197,-1641481,-100554,-5579,-40944,-14426,-7126,-1381,-5572,-1643331,-97866,-203,-46848,-16773,16768,-12495,-8382,1
322642,54692,-6964,15081,3093,1260,-8279,1527,-322641,-54692,6964,-15081,-3092,-1259,8279,-1526,-1045625,-82500,-43809,-19266,-8148,7791,-8451,1755,-1085852,-53644,-33498,-12455,-7000,55726,22494,22280,-1127212,-63935,-28983,-10651,-2115,13174,2413,11477,-516647,-17234,-36992,-18533,-10280,4717,2449,2556,174464,-73721,-33354,-17325,-7385,11204,840,29916,-1140743,-104283,-42428,10793,-5695,14905,-1856,419,0
922837,38242,5565,25062,7966,14306,28898,16710,-922836,-38241,-5564,-25061,-7966,-14306,-28898,-16709,626270,145020,55278,84146,-6252,24250,-10351,-6950,-603198,-21949,12378,-17835,-15139,-1265,-26928,-12755,-716784,-67553,-1481,-26998,-21090,-9136,-36848,-18999,-587844,-19339,-4344,-4770,-16366,-13171,-32687,-19431,-456174,-45071,889,-15888,-7634,-4324,-24169,-7173,-648882,199216,27178,20045,-17477,4646,-25220,-8076,0
157945,20597,12252,6589,12983,42841,12571,20454,-157945,-20596,-12251,-6588,-12983,-42840,-12570,-20454,-85116,48266,36224,15098,11433,-30328,-3950,-15528,988918,750634,21644,104418,52832,15313,89788,20562,1130370,270806,11027,4490,16827,8892,16194,22748,-161807,68407,-1222,-3490,-2730,-27663,-2821,-13829,-195161,9305,-179,-7971,-8412,-35692,269,-13653,181515,253231,79266,44955,15822,20254,16500,18552,0
-113539,8290,-30179,-49024,-9273,-7600,10199,820,113540,-8290,30179,49024,9273,7600,-10199,-820,-1343204,-257291,-83271,-80328,-20603,-17590,-13794,-2590,-1790950,-274528,-83928,-93684,-39279,-46022,-27788,-29700,-1181446,-260606,-72055,17585,13291,-28911,-20566,-24785,-732360,-118409,-4651,-59199,73481,-16392,2523,-17470,-1582852,-269086,-85637,-82292,-35201,-39457,-16931,-27627,-1768269,-266605,-87775,-91592,-36672,-37573,-23673,-27037,1
591415,16390,1573,1887,3010,-6876,6687,10220,-591415,-16390,-1572,-1887,-3010,6877,-6686,-10219,-284307,14574,-8816,-4285,-23191,-24838,-17157,-23811,-276284,194078,-10775,22128,-14327,-13401,-14361,-18393,-625325,-13939,-9377,592,-24245,-30755,-15811,-25397,-589750,89634,-1586,10157,-11516,-8323,-8714,-18001,-269776,10032,44097,20344,-6213,-18309,-11296,-21198,-622162,28556,21565,1687,-18172,-20264,-13043,-18346,1
409767,6395,-9902,5525,4705,-1772,135,1535,-409766,-6395,9903,-5525,-4704,1772,-134,-1534,-1078440,271117,-7747,-5480,3538,17208,-9155,-3463,-234108,16597,5702,18145,28378,-4191,123243,35390,-1215747,-5282,5966,-4216,-4307,27734,413299,-8987,1168044,572195,26327,50599,123483,71754,377104,112371,-498713,193945,87248,142333,40279,112431,291798,30053,-985665,549973,67552,197140,16440,182794,342518,59644,1
105762,96815,26941,11290,11709,17733,16652,7675,-105762,-96814,-26941,-11290,-11708,-17732,-16652,-7675,-255641,-109900,-31263,-9513,-11285,-17934,-16308,-9447,355297,86823,-10185,-6756,-6802,1191,-10271,-4305,256311,37143,-11655,440,23191,-17664,-16080,-4099,216793,9405,-28017,-1236,13363,-6323,-4115,-5896,583201,-7841,-2689,38002,16129,22842,26601,2206,-319432,-79917,-23534,-13120,4582,-23763,-17377,-9448,0
378418,53110,45804,32471,4958,22062,11538,9377,-378417,-53110,-45804,-32471,-4958,-22062,-11537,-9377,433188,429151,-8495,64976,32134,14904,1599,3462,409998,28725,-7996,11884,8276,-8329,-6472,-6512,-334448,-22260,-24154,-21332,-7569,-19738,-9392,-6525,136372,-20297,-37799,-22036,-9768,-17444,-10112,-8594,265065,-33207,-10021,-22974,11252,-11424,-4848,-1644,459911,-23663,-21392,-24843,-3089,-12919,-5611,-7206,1
