delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,state
-643518,-603665,-16128,-42448,-18547,-55579,-102899,-35328,-347866,-575896,31513,-16814,-10250,-44049,-83343,-17766,-291570,337275,72511,-12412,25649,40982,74877,33719,0
393544,16278,4352,1852,1628,2473,2667,4207,-472473,-10503,-15136,4156,7986,2245,4811,-1729,17146,70358,5148,3894,7620,11829,21039,-1577,0
51760,-130683,-76667,-17667,-21005,-26709,-23428,-16701,1805000,1468288,-83616,1874,22003,21978,14361,49859,-58349,-100103,-91412,-39382,-22540,-48311,-28223,-19344,0
-537090,-4289,-25773,-1171,-3685,-6566,-7754,-2000,-217682,168416,17408,25934,11122,12563,-3678,1220,-389292,-5227,-12244,34170,23231,37169,47259,15438,0
51721,-27648,7741,-1596,-1196,-653,410,-971,857075,1650798,18951,7040,20388,82218,25978,33346,-123113,-32719,2652,4548,9752,9150,1764,2458,1
-601149,-89070,-68856,-14127,-18674,-32824,-23311,-9160,994150,15140,-11825,-3228,-4560,80958,-1670,-2471,-692678,-120503,-65988,-10484,-11986,-4229,-17664,-545,1
-11854,11858,-15,4682,8411,15771,7202,11487,717586,390417,3513,2709,10663,92904,9767,574,538945,499198,110571,14047,29795,59098,31106,13185,0
-235498,2043,2546,-2188,1378,2289,-1711,-1663,2382586,161961,43026,33455,682,28881,24702,30292,-605532,-45791,-3888,-7168,-2977,-24593,-10635,-3981,1
-192201,-31933,-14302,-18145,-7832,-12018,-15713,-1938,1687525,633933,27784,-1189,15786,55642,81315,28856,-400258,-50919,-17115,-19200,-6734,-11052,-18570,-1367,0
-2050,-39359,-7876,-11326,-5640,-18461,-13756,-2545,464072,-17382,-26730,-11398,-6822,-34627,-23187,-9810,233201,-29984,-29668,-4577,-2501,15798,-9682,-901,0
37311,6588,2392,1451,183,3818,2461,3543,326357,425203,23928,33088,19189,37132,45474,15035,-131315,-2858,-1964,-358,240,-1760,4764,-1335,0
-110180,56000,15673,8096,14051,37124,32062,11188,557814,-3708,1584,-4560,-11309,-43714,-44893,-9359,727920,-36641,-20029,8320,32184,2127,-19918,2946,1
-1343774,-869040,-91741,-140575,-73256,-143247,-180189,-70672,-634539,-806898,-69260,-149244,-68703,-132140,-167917,-65240,-1580403,-875948,-96302,-155864,-73640,-141516,-181536,-79237,0
-375038,-65627,3041,-15624,-3231,574,-765,-9338,-285193,239043,-8694,-15438,10329,-5109,-6831,-5944,-395541,-83335,-9103,-22485,-5501,-17330,-11447,-13286,1
-639609,-108025,16064,-30539,-751,-3996,12320,-5291,227606,-104425,-8380,32925,110,83477,-17820,17231,-439134,4159,-3454,-46838,-12174,-39513,-49762,-10861,1
159187,36524,867,16390,8806,28196,10202,6679,-491168,-49244,-3711,-17236,-8742,-25794,-11450,-8052,-13100,-36524,9954,-15453,-1091,4171,12671,-2959,1
127153,81327,3633,10874,1871,19710,4261,9370,2241278,200368,44558,18146,21863,77427,52015,21549,1962305,507978,38884,18578,108724,60635,45253,47241,0
163172,13910,7567,9947,2086,8629,5238,3137,1508518,302349,35581,17480,23071,56622,42964,14567,1797898,451157,281784,14930,55021,136502,24134,2462,1
35978,29611,4791,-262,6573,32947,14215,6725,-249988,120119,24770,76181,6212,49589,2697,24616,-454955,35541,60747,10306,6517,8611,31805,16348,1
-90185,-124961,37070,5477,-8153,-10952,-6391,1758,-76909,16429,-31876,-15607,-9078,-11569,34580,3139,-514027,-130150,-34950,-34753,-24231,-28269,-16127,-8128,1
-40912,-69187,-14110,-2892,-2749,-2309,-1179,-3175,-407767,-42238,-4804,-1820,-7983,-10228,-5754,3154,1618981,465763,19995,43256,19586,17566,25245,-1125,0
-14474,-29635,-13476,-9664,-889,4299,-678,1016,183272,143592,12466,14352,37977,33106,41052,52821,-178555,-38993,-13297,-12957,-7247,-10393,-7445,-2270,1
246880,-50732,9131,1094,1137,4482,10459,3562,-22916,90731,-8400,2965,7218,6221,-6553,2189,-125011,-70796,30605,-6336,-1015,6533,-5559,2831,0
80317,26980,20938,39784,2616,7003,9992,3140,85636,-27677,47,-22501,2596,-2187,9795,8678,-105156,2308,-20528,-25731,-829,-3116,-5819,-2437,1
245,-68272,-5240,7826,1950,-6251,-3341,1734,334189,-61507,9434,5061,3525,31567,10491,18934,-48769,1151,-14657,7540,20611,15143,10184,11525,1
-24000,-2752,825,477,-268,970,-2117,405,-150155,59838,-3178,2376,4229,-1319,-4043,-367,717567,383727,81638,47597,37454,45010,31327,19350,0
61288,108963,18471,10550,3857,9386,2635,4141,1088602,-77192,8141,655,5471,55659,9063,4599,149434,-162858,-4403,-409,4859,4382,3904,2647,0
-20508,-31389,-1169,-17234,-6110,-9139,-3499,-3590,788656,69460,30425,7245,2949,2198,2617,362,2258389,49796,9916,-3441,5777,1288,-425,-1191,1
591178,-13000,1684,2406,1997,6989,5366,1048,591178,-13000,1684,2406,1997,6989,5366,1048,-536231,22363,2488,1291,8628,47898,9423,9531,1
-257843,-99453,-12535,-8166,-13094,-10789,-19502,-8057,1085747,130692,18257,4573,-4502,7812,-12231,-1463,-238724,-55144,-10857,-6570,-7958,-100,-12396,-4682,0
129651,5018,5175,1230,5797,-1237,5837,1543,860592,17232,12305,327,462,-8473,-1191,1361,521623,88614,66654,23414,21614,33170,6891,30462,0
-74152,-1062,3281,407,228,-1557,2238,1626,73594,23414,-864,11257,11648,18982,3265,4303,407952,40779,39415,-187,10175,10268,16412,-263,0
224253,2049,902,4195,2082,3681,7613,5583,-227087,-6911,4698,1003,-311,-1605,-8718,-3022,-166136,621,5672,8941,-287,4282,-3993,13983,0
147399,-23714,1609,1698,-989,1368,-2147,-580,-287207,-26233,-5884,-15523,910,-10141,-2855,-1522,-352771,27982,-1832,-12385,12927,1682,636,2022,1
278546,-35697,-7596,-3526,-21429,-22537,-32883,-13041,94706,44879,50440,-23531,-22203,28106,-29844,-8766,-324857,-33805,-6230,-25099,-26733,-29900,-43995,-20266,0
559352,-51288,-1185,19901,9903,2849,26963,-7610,195289,357097,20398,-756,-19470,5379,19020,-26958,1267381,300651,297983,-8560,-1974,45910,-4259,-16415,0
-1009,-49837,-21060,37244,475,10613,-3165,-11600,-287791,-250318,-60690,-87556,-23790,-78992,-85058,-22013,-564142,-244454,-64471,-87789,-24609,-77599,-83374,-21673,1
229435,118689,9507,18153,4340,13066,10183,4021,981991,633463,60157,64511,56798,145164,196407,53942,1428176,264756,18441,15284,29109,38142,80498,39098,0
221194,46927,-943,5189,3959,12401,6221,6890,1420956,444714,16673,3062,10565,76812,37725,23752,-221125,-37080,-5547,-7015,-4440,-11418,-8068,-7189,1
203274,178491,3755,4045,1858,26738,21074,5436,503857,61795,17110,40910,56173,-1087,14145,12026,594793,-168104,-16780,-12079,175,-26176,-22120,-11027,1
-659095,-233120,-18608,-37572,-12163,-23466,-34926,-17085,282714,-97973,24666,-56880,24750,109541,62734,27689,-571870,-178493,-31769,-73899,-5321,-23877,-39386,-17991,0
414255,224751,13300,16119,2482,22092,7844,11480,-368185,-273967,14259,17822,-9200,-11368,7052,1821,-631772,-233616,-31668,-8562,31,-22093,-22162,-8653,0
-240077,120678,-68339,30063,-17790,-44547,-11711,25220,-1259142,-189039,-136621,-43356,-59045,-81643,-27466,-42550,64718,1525,-94634,-23157,-28987,-53150,-6216,-34713,0
10511,58476,418,30637,23963,6928,15737,15355,-1043740,-33191,11572,-43251,-9025,4839,59,11791,-1616901,-102501,-2972,-44544,-2735,13265,6917,-6085,1
-322641,-54692,6964,-15081,-3092,-1259,8279,-1526,-1045625,-82500,-43809,-19266,-8148,7791,-8451,1755,-1085852,-53644,-33498,-12455,-7000,55726,22494,22280,0
-922836,-38241,-5564,-25061,-7966,-14306,-28898,-16709,626270,145020,55278,84146,-6252,24250,-10351,-6950,-603198,-21949,12378,-17835,-15139,-1265,-26928,-12755,0
-157945,-20596,-12251,-6588,-12983,-42840,-12570,-20454,-85116,48266,36224,15098,11433,-30328,-3950,-15528,988918,750634,21644,104418,52832,15313,89788,20562,0
113540,-8290,30179,49024,9273,7600,-10199,-820,-1343204,-257291,-83271,-80328,-20603,-17590,-13794,-2590,-1790950,-274528,-83928,-93684,-39279,-46022,-27788,-29700,1
-591415,-16390,-1572,-1887,-3010,6877,-6686,-10219,-284307,14574,-8816,-4285,-23191,-24838,-17157,-23811,-276284,194078,-10775,22128,-14327,-13401,-14361,-18393,1
-409766,-6395,9903,-5525,-4704,1772,-134,-1534,-1078440,271117,-7747,-5480,3538,17208,-9155,-3463,-234108,16597,5702,18145,28378,-4191,123243,35390,1
-105762,-96814,-26941,-11290,-11708,-17732,-16652,-7675,-255641,-109900,-31263,-9513,-11285,-17934,-16308,-9447,355297,86823,-10185,-6756,-6802,1191,-10271,-4305,0
-378417,-53110,-45804,-32471,-4958,-22062,-11537,-9377,433188,429151,-8495,64976,32134,14904,1599,3462,409998,28725,-7996,11884,8276,-8329,-6472,-6512,1
51180,36402,-21108,-4661,3075,2490,11456,1217,30571,-56814,36187,-5095,773,-3671,-4760,-3652,1181865,295553,50687,48057,16412,24311,19160,5576,0
-261480,-162766,-18856,-107,-6082,-16747,-18202,-7233,99269,-166337,68501,25719,8949,-6320,-13718,-6332,-191371,-191366,20660,-1394,4539,-12270,-17617,-7298,0
-137298,-52352,-413,-11540,-1810,-21120,-6695,-1731,524913,94389,124247,72123,51441,54170,75839,53119,-121985,-10725,-9277,6781,-4518,-15069,-4272,-430,1
429226,278992,8603,40374,9966,48554,18674,14130,-38079,-116556,31798,-723,3851,-11462,9572,12054,404280,-184647,8876,-16961,-6887,-32904,-21096,-11691,0
-730878,-355151,1585,-55130,-10365,-48203,-8652,-6003,-1893381,-343479,-36925,-72809,-11567,-51999,-3132,-14321,-1569693,-114223,-24378,-78627,6606,-39055,-7608,-8605,1
-368998,7195,30436,27375,11710,20322,9163,5201,-329622,183217,63253,85814,46217,-6849,65767,24962,-434348,434886,43340,-1723,27829,-1368,17559,8619,0
-292033,-100893,-20627,-31383,-14068,-18226,-10351,-6291,-268020,-74446,-7138,-2974,-13430,-12502,-7950,-3572,-108557,-62397,-3124,-30868,-11802,-15720,-7753,-5808,1
-199446,-58887,-2908,-10107,-10195,-4160,-661,-4677,492207,-84620,4531,-6307,-11407,-21188,-9574,-5505,2147433,131788,98225,12463,46023,13585,58,3846,1
-910648,-3957,-10281,13709,-4077,-1310,5828,1281,-1080372,-15112,-27365,-27356,-30753,-38075,-24280,-8347,-249055,-3507,-35588,-24424,-30945,-37173,-25331,-9665,0
-22765,11220,4885,7548,18282,6971,1849,2478,356023,189785,84142,28744,34497,55708,17825,875,342615,100342,11466,11024,-11561,-7400,-9975,-6182,1
-408244,-224845,-25572,-15261,-10422,-1066,-22287,-3315,54518,-75869,-49508,20592,29638,1919,-4831,6241,-565352,-275256,-47888,-31074,-12397,-13844,-35653,-3704,1
254206,-463925,-58360,-14196,-13072,-25217,-6902,-18258,65567,-470714,-119357,-49527,-17700,-7393,2246,-17572,-251173,-425045,-120966,-31420,-23661,-7524,-20029,-23731,1
-528562,-52487,-118949,-46161,-42328,-12483,-29710,-2410,1679994,132809,-63092,12678,-31480,9646,-11363,12661,-761034,-89826,-129471,-58768,-49782,-14850,-38566,-4607,0
