delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
6664,-330,829,129,87,-242,-915,-302,-6664,330,-829,-129,-86,242,915,303,141854,44214,4914,-580,-1185,507,-261,1828,-20340,3456,5534,-79,-689,-1138,261,763,-13748,2876,-1206,-2030,559,437,26,893,-45992,-11937,-1991,4448,-337,4771,474,3502,-21267,-1558,-3109,-2448,-1898,-588,-1504,43,0
258762,269295,39368,44923,13261,51417,51693,9558,-258761,-269295,-39368,-44922,-13261,-51417,-51692,-9558,-255487,-253244,-34890,-43038,-6097,-45882,-47643,-6812,-300247,-272869,-39557,-43328,-13275,-47962,-51076,-7243,-183224,-253862,-5756,-15217,-8158,-40821,-41349,-4597,-94678,-181945,-26377,-32467,-12417,-49408,-49967,-8352,533123,-187084,-33176,-31459,-1872,-43201,-40452,-4867,0
41958,1788,-3579,-8710,-1566,-2962,-135,-2634,-41957,-1787,3579,8710,1567,2962,135,2635,10826,2546,-4586,-9187,-2617,-3946,-383,-2412,-3702,2866,1825,-10930,-3964,-4549,-550,-2926,-12059,14502,-5216,-9045,-3011,-3725,-472,-2971,11643,7169,-7604,-9413,-4515,-3741,-1056,-2511,8339,-2125,10562,-6786,1431,2296,984,-1499,0
24453,2044,-2957,2250,-1124,-5391,-7407,-1073,-24452,-2044,2957,-2249,1124,5392,7407,1074,65867,45671,-4147,12907,2436,372,-29,2149,-15521,-6211,-6391,-1183,1988,-1766,-1406,2039,15637,18024,1016,-1654,2649,197,-2583,1440,-25638,-6101,-906,607,1450,-2806,-1818,1044,-25732,-9795,-3851,-5975,-3450,-6430,-7435,-2041,1
70450,-230,-5564,-3055,-731,155,194,-465,-70450,230,5565,3056,732,-154,-193,466,-189434,-15385,731,-2126,5646,4002,2811,2086,-153186,-8092,3622,-1378,356,-1259,-432,43,-162540,-4415,-6786,-2256,-1359,746,-518,-367,-192700,-20295,-221,-583,2002,7236,4351,1612,-167763,-2224,-3840,-4018,-1342,-302,-686,16,0
44527,1030,-2620,-3474,6134,-3825,-1960,-6252,-44527,-1030,2620,3474,-6134,3825,1960,6253,2369,13361,307,-3118,-8505,-8194,-1257,-6688,75564,9359,-2419,-6655,-9321,-9682,-3176,-6817,5967,3195,3864,-5479,-8369,-9791,-2770,-7710,27273,30436,-4488,-4570,-8810,-8720,-2725,-7870,2048889,400523,24382,937,13140,-5050,-30,-4329,0
-9436,8400,3039,4369,43,55,-502,-119,9437,-8400,-3039,-4368,-43,-55,502,120,500818,28548,1874,16962,11257,10113,4754,5168,500818,28548,1874,16962,11257,10113,4754,5168,-16434,-24845,-2368,9162,14570,3843,7600,5759,56383,-15824,-10101,-4238,3360,2218,517,-146,15225,-14277,-4762,-1272,525,1525,1246,-453,1
23415,-4642,-4211,-2664,-1033,-1552,-253,-64,-23414,4643,4212,2664,1033,1553,254,64,-71934,-16185,-2796,-2627,-2237,-1974,-367,-42,-37254,3026,11448,-678,-436,-1153,-273,-444,13763,-11641,-5289,-2701,-1215,-1699,-503,-277,52073,36713,274,3694,437,-1890,638,734,-17144,24946,9089,919,838,-1690,-223,126,0
192382,27014,11683,-3503,7951,5464,2730,1521,-192382,-27014,-11682,3504,-7950,-5463,-2729,-1521,-108302,-25771,-12614,-10895,-10059,-4373,-2426,-321,-191215,-12465,-11208,-8846,-9517,-3810,1016,-772,319032,100864,62702,-9504,-592,7350,9476,4669,-194976,-26019,-9317,-10122,-9160,-6773,-2247,-1160,-225770,19416,-9465,-12171,7947,3641,6088,7970,0
-25733,31934,1686,1473,6308,7938,8203,2825,25734,-31934,-1686,-1473,-6308,-7938,-8203,-2825,-183476,12936,13545,-1442,-10186,-8477,-7438,-3514,-230293,-21730,1635,4889,-5603,1681,1904,3126,-172079,-17620,6088,9027,-11966,-9229,-8048,-3749,-185631,-28780,-404,-916,-11263,-9510,-8103,-4068,-198120,-23567,2863,-1915,-12790,-9747,-9065,-3182,1
