delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
-369758,14855,14231,-27432,-4843,-19023,-18753,-10603,-388979,-12671,-8481,-19095,-4042,-21442,-14495,-9620,-356132,-2211,-7656,-32310,-8010,-28231,-17826,-11462,1
426470,12312,-5934,-13392,442,204,-2775,-1221,-37024,-7269,-8135,-13502,-155,-3771,-3429,-2283,10886,2497,-3749,-5714,12898,6663,13125,6319,1
-32326,-29572,-1351,652,2993,1094,3512,-1672,-7938,-8965,12777,1461,-4305,-3777,-1622,-3818,112355,-15409,2346,3802,855,-3997,-1260,-3972,0
-57578,-34072,-2415,-10026,-16698,3716,-544,-1949,-18418,-7865,-1355,-9496,-15321,-648,-3117,-4316,-32621,-5947,15908,-8178,-17063,-2635,-810,-3828,1
-83410,13619,272,21814,-14938,11304,7253,12218,-88351,6843,-6216,7946,-11754,6838,5202,1281,-54656,16029,-5567,-5720,-18852,-4754,-3428,-3432,0
-54795,-14402,1298,-5729,7706,5880,-8300,-5122,66448,-14661,275,-11288,-1370,-5970,-9366,-9029,-19496,8335,3171,-12166,4395,1941,3788,-5627,0
-238862,-22814,-2704,-15643,-1109,-5301,-7544,-4172,-240489,-7363,-2373,-23347,2551,-5681,-8008,-217,-212258,-18308,2601,-16170,2454,-4964,-9173,-966,0
-173459,-87190,-16878,-45180,-10245,-8571,-7843,-4636,397626,-57459,-21634,-40344,-4979,3699,-11173,-4000,-141853,-75306,-13402,-36234,1571,11702,9635,-4553,0
-24326,-16910,11943,2282,4385,3962,2251,4150,-484,-23590,-2362,-2705,-4005,-3621,-3340,-1874,114581,86475,14710,9435,1632,2286,19139,20608,0
14333,12221,2015,-9484,-11087,-2587,-6177,-2306,1294,-1841,-2908,-8797,-10294,5128,-3842,-902,-1523,-6521,625,1700,-8563,7279,-1372,5036,0
-45992,-11937,-1991,4448,-337,4771,474,3502,-21267,-1558,-3109,-2448,-1898,-588,-1504,43,-56001,-3749,4137,2471,-198,3312,1753,3421,0
-94678,-181945,-26377,-32467,-12417,-49408,-49967,-8352,533123,-187084,-33176,-31459,-1872,-43201,-40452,-4867,-195243,-240962,-31894,-34921,-9316,-42102,-46531,-4400,0
11643,7169,-7604,-9413,-4515,-3741,-1056,-2511,8339,-2125,10562,-6786,1431,2296,984,-1499,20376,-6200,-5049,-6849,-1040,-4282,-1868,-2116,0
-25638,-6101,-906,607,1450,-2806,-1818,1044,-25732,-9795,-3851,-5975,-3450,-6430,-7435,-2041,138968,49445,16492,-3733,1183,-2951,-4687,-6,1
-192700,-20295,-221,-583,2002,7236,4351,1612,-167763,-2224,-3840,-4018,-1342,-302,-686,16,-161724,-13377,1075,-3542,-248,-629,24,121,0
27273,30436,-4488,-4570,-8810,-8720,-2725,-7870,2048889,400523,24382,937,13140,-5050,-30,-4329,116140,43876,10841,2907,-4245,1285,-26,-6563,0
56383,-15824,-10101,-4238,3360,2218,517,-146,15225,-14277,-4762,-1272,525,1525,1246,-453,43013,44992,5909,2337,15081,5020,10074,4787,1
52073,36713,274,3694,437,-1890,638,734,-17144,24946,9089,919,838,-1690,-223,126,62148,-8333,-3151,-772,704,-763,19,118,0
