delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,state
367314,-30152,-10884,-23327,2077,-22626,-16839,-7553,-367314,30152,10885,23328,-2077,22627,16840,7554,-385162,-17024,12216,-26427,3824,-7902,2746,1592,-224750,-10445,1308,-25241,-4803,-14501,-15157,-9291,1
-25715,1594,6843,11550,2930,3480,3991,3780,25715,-1593,-6843,-11550,-2929,-3479,-3990,-3779,-34477,-1504,3427,-10307,1208,14009,7627,446,-25229,-2916,-5400,-6891,564,6769,2813,-790,1
-29413,-16929,-2346,406,5063,3421,1569,4253,29414,16930,2346,-406,-5063,-3420,-1568,-4252,-19078,-24238,7269,-2028,4482,3738,2328,52,-20832,-16845,-3519,-1857,-1267,823,4923,-1738,0
51351,-14844,-4938,-5169,-15986,-2262,-2646,-1431,-51351,14845,4939,5169,15987,2262,2647,1431,-38074,-18592,-855,-11047,-15718,-1217,-1843,-3270,-31392,-21507,-4589,-9043,-15975,-2416,-1709,-3460,1
42620,8520,6061,4193,14014,5149,3691,4412,-42620,-8520,-6060,-4193,-14014,-5149,-3690,-4411,-92606,-7058,-4900,-3874,-18745,-4267,-2716,-3189,-76427,-5541,-6996,-5383,-12258,-4972,-1578,-3672,0
58265,6078,-81,-12306,-2792,-4795,-8991,-9868,-58264,-6078,82,12307,2792,4795,8991,9869,-59835,-3188,-611,-6623,3468,434,8256,-7632,-59427,-6004,-492,2363,10217,1952,961,-8099,0
242590,10464,-1859,12113,2100,2550,-1409,355,-242589,-10463,1860,-12112,-2099,-2550,1409,-354,-232579,-12094,-3651,-24467,-416,-9456,-4404,-3138,-159471,-3217,-3114,-25578,-1957,-11467,-11949,-5662,0
63822,37684,20071,-4242,-682,-4939,2016,806,-63822,-37683,-20070,4242,682,4939,-2016,-805,-103128,-75696,2798,-28912,18299,910,-3122,2202,-87173,-80874,-23572,-48397,-12412,-13690,-16230,-8947,0
-18871,-16779,-82,-2069,-1945,-2690,-1514,-1361,18872,16779,82,2069,1945,2690,1515,1361,39804,-16648,13485,1291,-537,-2984,-2387,-2119,-35182,-13911,-621,-1180,-3801,-2266,-3024,-624,0
-25582,-4610,658,9812,11746,2610,4786,1940,25583,4610,-657,-9811,-11746,-2609,-4785,-1939,5544,32743,21651,14417,9674,3373,3382,1824,26931,34732,323,-9516,-8233,-1949,-5147,-872,0
6664,-330,829,129,87,-242,-915,-302,-6664,330,-829,-129,-86,242,915,303,141854,44214,4914,-580,-1185,507,-261,1828,-20340,3456,5534,-79,-689,-1138,261,763,0
258762,269295,39368,44923,13261,51417,51693,9558,-258761,-269295,-39368,-44922,-13261,-51417,-51692,-9558,-255487,-253244,-34890,-43038,-6097,-45882,-47643,-6812,-300247,-272869,-39557,-43328,-13275,-47962,-51076,-7243,0
41958,1788,-3579,-8710,-1566,-2962,-135,-2634,-41957,-1787,3579,8710,1567,2962,135,2635,10826,2546,-4586,-9187,-2617,-3946,-383,-2412,-3702,2866,1825,-10930,-3964,-4549,-550,-2926,0
24453,2044,-2957,2250,-1124,-5391,-7407,-1073,-24452,-2044,2957,-2249,1124,5392,7407,1074,65867,45671,-4147,12907,2436,372,-29,2149,-15521,-6211,-6391,-1183,1988,-1766,-1406,2039,1
70450,-230,-5564,-3055,-731,155,194,-465,-70450,230,5565,3056,732,-154,-193,466,-189434,-15385,731,-2126,5646,4002,2811,2086,-153186,-8092,3622,-1378,356,-1259,-432,43,0
