delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
-643518,-603665,-16128,-42448,-18547,-55579,-102899,-35328,-347866,-575896,31513,-16814,-10250,-44049,-83343,-17766,-291570,337275,72511,-12412,25649,40982,74877,33719,77238,-139989,1499,43966,10456,-14892,4992,-20575,0
393544,16278,4352,1852,1628,2473,2667,4207,-472473,-10503,-15136,4156,7986,2245,4811,-1729,17146,70358,5148,3894,7620,11829,21039,-1577,-393540,-18602,-21186,-3334,-1486,-9787,-3397,-8868,0
51760,-130683,-76667,-17667,-21005,-26709,-23428,-16701,1805000,1468288,-83616,1874,22003,21978,14361,49859,-58349,-100103,-91412,-39382,-22540,-48311,-28223,-19344,492301,-42560,-69326,13409,4937,75967,91550,19360,0
-537090,-4289,-25773,-1171,-3685,-6566,-7754,-2000,-217682,168416,17408,25934,11122,12563,-3678,1220,-389292,-5227,-12244,34170,23231,37169,47259,15438,-403677,63845,-15815,35501,29366,47361,8162,9400,0
51721,-27648,7741,-1596,-1196,-653,410,-971,857075,1650798,18951,7040,20388,82218,25978,33346,-123113,-32719,2652,4548,9752,9150,1764,2458,1881566,55497,27811,21512,25396,39964,42662,19669,1
-601149,-89070,-68856,-14127,-18674,-32824,-23311,-9160,994150,15140,-11825,-3228,-4560,80958,-1670,-2471,-692678,-120503,-65988,-10484,-11986,-4229,-17664,-545,-246561,-11960,-65484,-2505,2677,37558,27828,-3084,1
-11854,11858,-15,4682,8411,15771,7202,11487,717586,390417,3513,2709,10663,92904,9767,574,538945,499198,110571,14047,29795,59098,31106,13185,-15540,-23627,-3655,-3450,-4328,-4874,-4590,-5449,0
-235498,2043,2546,-2188,1378,2289,-1711,-1663,2382586,161961,43026,33455,682,28881,24702,30292,-605532,-45791,-3888,-7168,-2977,-24593,-10635,-3981,-575768,-29461,-3746,-5615,1872,-17019,-8822,-1368,1
-192201,-31933,-14302,-18145,-7832,-12018,-15713,-1938,1687525,633933,27784,-1189,15786,55642,81315,28856,-400258,-50919,-17115,-19200,-6734,-11052,-18570,-1367,-381589,105631,54672,39449,19296,39172,6533,11440,0
-2050,-39359,-7876,-11326,-5640,-18461,-13756,-2545,464072,-17382,-26730,-11398,-6822,-34627,-23187,-9810,233201,-29984,-29668,-4577,-2501,15798,-9682,-901,250300,-3864,-8121,17068,1294,-9044,-3235,-7113,0
37311,6588,2392,1451,183,3818,2461,3543,326357,425203,23928,33088,19189,37132,45474,15035,-131315,-2858,-1964,-358,240,-1760,4764,-1335,-218393,-17836,-60,-1512,-205,2796,-970,-2468,0
-110180,56000,15673,8096,14051,37124,32062,11188,557814,-3708,1584,-4560,-11309,-43714,-44893,-9359,727920,-36641,-20029,8320,32184,2127,-19918,2946,-560143,-11938,-12467,-15551,-19476,-38733,-59151,-19659,1
-1343774,-869040,-91741,-140575,-73256,-143247,-180189,-70672,-634539,-806898,-69260,-149244,-68703,-132140,-167917,-65240,-1580403,-875948,-96302,-155864,-73640,-141516,-181536,-79237,-565705,-849034,-71495,-151364,-71280,-127560,-157667,-67247,0
-375038,-65627,3041,-15624,-3231,574,-765,-9338,-285193,239043,-8694,-15438,10329,-5109,-6831,-5944,-395541,-83335,-9103,-22485,-5501,-17330,-11447,-13286,-501482,-73446,-13022,-22479,-8215,-19560,-11903,-13823,1
-639609,-108025,16064,-30539,-751,-3996,12320,-5291,227606,-104425,-8380,32925,110,83477,-17820,17231,-439134,4159,-3454,-46838,-12174,-39513,-49762,-10861,1618862,307896,-12561,52225,57707,22060,-25532,-736,1
159187,36524,867,16390,8806,28196,10202,6679,-491168,-49244,-3711,-17236,-8742,-25794,-11450,-8052,-13100,-36524,9954,-15453,-1091,4171,12671,-2959,-499414,-50370,-521,-14160,-10766,-13241,-5866,-5205,1
127153,81327,3633,10874,1871,19710,4261,9370,2241278,200368,44558,18146,21863,77427,52015,21549,1962305,507978,38884,18578,108724,60635,45253,47241,-134553,-78305,-6010,-6545,4009,-9917,-3062,-45,0
163172,13910,7567,9947,2086,8629,5238,3137,1508518,302349,35581,17480,23071,56622,42964,14567,1797898,451157,281784,14930,55021,136502,24134,2462,2009277,-15918,30311,48247,3686,132219,44481,7867,1
35978,29611,4791,-262,6573,32947,14215,6725,-249988,120119,24770,76181,6212,49589,2697,24616,-454955,35541,60747,10306,6517,8611,31805,16348,-823245,-96558,3955,1851,-5217,101324,19607,9892,1
-90185,-124961,37070,5477,-8153,-10952,-6391,1758,-76909,16429,-31876,-15607,-9078,-11569,34580,3139,-514027,-130150,-34950,-34753,-24231,-28269,-16127,-8128,635854,92005,114414,4688,6782,133680,20832,37441,1
-40912,-69187,-14110,-2892,-2749,-2309,-1179,-3175,-407767,-42238,-4804,-1820,-7983,-10228,-5754,3154,1618981,465763,19995,43256,19586,17566,25245,-1125,-698030,-65795,-12496,-2966,-1123,-16554,307,-3389,0
-14474,-29635,-13476,-9664,-889,4299,-678,1016,183272,143592,12466,14352,37977,33106,41052,52821,-178555,-38993,-13297,-12957,-7247,-10393,-7445,-2270,-259481,-66315,-2245,896,28800,12186,25709,33906,1
246880,-50732,9131,1094,1137,4482,10459,3562,-22916,90731,-8400,2965,7218,6221,-6553,2189,-125011,-70796,30605,-6336,-1015,6533,-5559,2831,30813,-54797,-19725,46024,82432,63748,-650,29156,0
80317,26980,20938,39784,2616,7003,9992,3140,85636,-27677,47,-22501,2596,-2187,9795,8678,-105156,2308,-20528,-25731,-829,-3116,-5819,-2437,-48901,-51705,-25906,-28888,-3854,-6716,-11948,-1309,1
245,-68272,-5240,7826,1950,-6251,-3341,1734,334189,-61507,9434,5061,3525,31567,10491,18934,-48769,1151,-14657,7540,20611,15143,10184,11525,912163,-95522,-14469,-7070,1378,5129,2219,-557,1
-24000,-2752,825,477,-268,970,-2117,405,-150155,59838,-3178,2376,4229,-1319,-4043,-367,717567,383727,81638,47597,37454,45010,31327,19350,392887,32506,7331,9052,7590,6733,-558,5430,0
61288,108963,18471,10550,3857,9386,2635,4141,1088602,-77192,8141,655,5471,55659,9063,4599,149434,-162858,-4403,-409,4859,4382,3904,2647,-495991,-205281,-20298,-20282,-5730,-11511,-15238,-6930,0
-20508,-31389,-1169,-17234,-6110,-9139,-3499,-3590,788656,69460,30425,7245,2949,2198,2617,362,2258389,49796,9916,-3441,5777,1288,-425,-1191,-30261,-35993,1933,-17640,-6141,-14313,-4755,-2914,1
591178,-13000,1684,2406,1997,6989,5366,1048,591178,-13000,1684,2406,1997,6989,5366,1048,-536231,22363,2488,1291,8628,47898,9423,9531,-243639,-3207,1910,14810,13644,35251,10238,14546,1
-257843,-99453,-12535,-8166,-13094,-10789,-19502,-8057,1085747,130692,18257,4573,-4502,7812,-12231,-1463,-238724,-55144,-10857,-6570,-7958,-100,-12396,-4682,1321428,171668,19534,3672,-7110,48118,29194,22195,0
129651,5018,5175,1230,5797,-1237,5837,1543,860592,17232,12305,327,462,-8473,-1191,1361,521623,88614,66654,23414,21614,33170,6891,30462,436589,153556,40138,58043,45037,18957,14527,12125,0
-74152,-1062,3281,407,228,-1557,2238,1626,73594,23414,-864,11257,11648,18982,3265,4303,407952,40779,39415,-187,10175,10268,16412,-263,-114550,-27711,1445,6281,22502,21001,30143,14385,0
224253,2049,902,4195,2082,3681,7613,5583,-227087,-6911,4698,1003,-311,-1605,-8718,-3022,-166136,621,5672,8941,-287,4282,-3993,13983,124999,418921,27069,32038,11556,41284,17407,14844,0
147399,-23714,1609,1698,-989,1368,-2147,-580,-287207,-26233,-5884,-15523,910,-10141,-2855,-1522,-352771,27982,-1832,-12385,12927,1682,636,2022,439806,54914,24606,-4863,3190,8679,1131,6884,1
278546,-35697,-7596,-3526,-21429,-22537,-32883,-13041,94706,44879,50440,-23531,-22203,28106,-29844,-8766,-324857,-33805,-6230,-25099,-26733,-29900,-43995,-20266,247565,-14341,6606,-25337,-9767,-8957,-42049,-10503,0
559352,-51288,-1185,19901,9903,2849,26963,-7610,195289,357097,20398,-756,-19470,5379,19020,-26958,1267381,300651,297983,-8560,-1974,45910,-4259,-16415,-566141,-135879,-42148,-48351,-23990,-43426,-86421,-34602,0
-1009,-49837,-21060,37244,475,10613,-3165,-11600,-287791,-250318,-60690,-87556,-23790,-78992,-85058,-22013,-564142,-244454,-64471,-87789,-24609,-77599,-83374,-21673,696279,5678,-51012,-78088,-17910,-53891,-83440,-12217,1
229435,118689,9507,18153,4340,13066,10183,4021,981991,633463,60157,64511,56798,145164,196407,53942,1428176,264756,18441,15284,29109,38142,80498,39098,184920,321763,41404,-2251,31660,19976,40139,10196,0
221194,46927,-943,5189,3959,12401,6221,6890,1420956,444714,16673,3062,10565,76812,37725,23752,-221125,-37080,-5547,-7015,-4440,-11418,-8068,-7189,-207538,-27107,3739,-3169,2565,-1814,3270,-1387,1
203274,178491,3755,4045,1858,26738,21074,5436,503857,61795,17110,40910,56173,-1087,14145,12026,594793,-168104,-16780,-12079,175,-26176,-22120,-11027,177987,-148931,-6907,-12198,-173,-22507,-25168,-9367,1
-659095,-233120,-18608,-37572,-12163,-23466,-34926,-17085,282714,-97973,24666,-56880,24750,109541,62734,27689,-571870,-178493,-31769,-73899,-5321,-23877,-39386,-17991,-1336590,-423034,-89892,-79939,-31270,-28259,-52764,-26578,0
414255,224751,13300,16119,2482,22092,7844,11480,-368185,-273967,14259,17822,-9200,-11368,7052,1821,-631772,-233616,-31668,-8562,31,-22093,-22162,-8653,352240,650941,244423,89880,60890,39641,57539,41752,0
-240077,120678,-68339,30063,-17790,-44547,-11711,25220,-1259142,-189039,-136621,-43356,-59045,-81643,-27466,-42550,64718,1525,-94634,-23157,-28987,-53150,-6216,-34713,-1134478,-343083,-143184,-39157,-60779,-85071,-19611,-37009,0
10511,58476,418,30637,23963,6928,15737,15355,-1043740,-33191,11572,-43251,-9025,4839,59,11791,-1616901,-102501,-2972,-44544,-2735,13265,6917,-6085,667174,2745,-2824,-24428,-9170,-885,8984,12877,1
-322641,-54692,6964,-15081,-3092,-1259,8279,-1526,-1045625,-82500,-43809,-19266,-8148,7791,-8451,1755,-1085852,-53644,-33498,-12455,-7000,55726,22494,22280,-1127212,-63935,-28983,-10651,-2115,13174,2413,11477,0
-922836,-38241,-5564,-25061,-7966,-14306,-28898,-16709,626270,145020,55278,84146,-6252,24250,-10351,-6950,-603198,-21949,12378,-17835,-15139,-1265,-26928,-12755,-716784,-67553,-1481,-26998,-21090,-9136,-36848,-18999,0
-157945,-20596,-12251,-6588,-12983,-42840,-12570,-20454,-85116,48266,36224,15098,11433,-30328,-3950,-15528,988918,750634,21644,104418,52832,15313,89788,20562,1130370,270806,11027,4490,16827,8892,16194,22748,0
113540,-8290,30179,49024,9273,7600,-10199,-820,-1343204,-257291,-83271,-80328,-20603,-17590,-13794,-2590,-1790950,-274528,-83928,-93684,-39279,-46022,-27788,-29700,-1181446,-260606,-72055,17585,13291,-28911,-20566,-24785,1
-591415,-16390,-1572,-1887,-3010,6877,-6686,-10219,-284307,14574,-8816,-4285,-23191,-24838,-17157,-23811,-276284,194078,-10775,22128,-14327,-13401,-14361,-18393,-625325,-13939,-9377,592,-24245,-30755,-15811,-25397,1
-409766,-6395,9903,-5525,-4704,1772,-134,-1534,-1078440,271117,-7747,-5480,3538,17208,-9155,-3463,-234108,16597,5702,18145,28378,-4191,123243,35390,-1215747,-5282,5966,-4216,-4307,27734,413299,-8987,1
