delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
-385162,-17024,12216,-26427,3824,-7902,2746,1592,-224750,-10445,1308,-25241,-4803,-14501,-15157,-9291,205717,19993,9573,-18639,8327,-8697,-17796,-5121,-369758,14855,14231,-27432,-4843,-19023,-18753,-10603,1
-34477,-1504,3427,-10307,1208,14009,7627,446,-25229,-2916,-5400,-6891,564,6769,2813,-790,443170,61787,83315,378,13100,21886,28858,13045,426470,12312,-5934,-13392,442,204,-2775,-1221,1
-19078,-24238,7269,-2028,4482,3738,2328,52,-20832,-16845,-3519,-1857,-1267,823,4923,-1738,18895,-4328,276,-195,-1864,-4004,-2346,-4028,-32326,-29572,-1351,652,2993,1094,3512,-1672,0
-38074,-18592,-855,-11047,-15718,-1217,-1843,-3270,-31392,-21507,-4589,-9043,-15975,-2416,-1709,-3460,-27903,-4637,4505,-11623,-17316,-2037,-1993,-3810,-57578,-34072,-2415,-10026,-16698,3716,-544,-1949,1
-92606,-7058,-4900,-3874,-18745,-4267,-2716,-3189,-76427,-5541,-6996,-5383,-12258,-4972,-1578,-3672,-87189,-4979,3398,-131,-10652,11232,2052,3148,-83410,13619,272,21814,-14938,11304,7253,12218,0
-59835,-3188,-611,-6623,3468,434,8256,-7632,-59427,-6004,-492,2363,10217,1952,961,-8099,-62855,-15976,5323,-6272,2843,-1222,-1727,-5117,-54795,-14402,1298,-5729,7706,5880,-8300,-5122,0
-232579,-12094,-3651,-24467,-416,-9456,-4404,-3138,-159471,-3217,-3114,-25578,-1957,-11467,-11949,-5662,-236064,-17624,3119,-20120,1606,-7895,-9711,-3114,-238862,-22814,-2704,-15643,-1109,-5301,-7544,-4172,0
-103128,-75696,2798,-28912,18299,910,-3122,2202,-87173,-80874,-23572,-48397,-12412,-13690,-16230,-8947,-7941,-59361,-17150,-44278,-4997,-10153,-15371,-8055,-173459,-87190,-16878,-45180,-10245,-8571,-7843,-4636,0
39804,-16648,13485,1291,-537,-2984,-2387,-2119,-35182,-13911,-621,-1180,-3801,-2266,-3024,-624,136398,-22440,963,-1738,-4389,-3594,-2925,-1588,-24326,-16910,11943,2282,4385,3962,2251,4150,0
5544,32743,21651,14417,9674,3373,3382,1824,26931,34732,323,-9516,-8233,-1949,-5147,-872,81920,11661,30303,1104,9933,7907,-149,6398,14333,12221,2015,-9484,-11087,-2587,-6177,-2306,0
141854,44214,4914,-580,-1185,507,-261,1828,-20340,3456,5534,-79,-689,-1138,261,763,-13748,2876,-1206,-2030,559,437,26,893,-45992,-11937,-1991,4448,-337,4771,474,3502,0
-255487,-253244,-34890,-43038,-6097,-45882,-47643,-6812,-300247,-272869,-39557,-43328,-13275,-47962,-51076,-7243,-183224,-253862,-5756,-15217,-8158,-40821,-41349,-4597,-94678,-181945,-26377,-32467,-12417,-49408,-49967,-8352,0
10826,2546,-4586,-9187,-2617,-3946,-383,-2412,-3702,2866,1825,-10930,-3964,-4549,-550,-2926,-12059,14502,-5216,-9045,-3011,-3725,-472,-2971,11643,7169,-7604,-9413,-4515,-3741,-1056,-2511,0
65867,45671,-4147,12907,2436,372,-29,2149,-15521,-6211,-6391,-1183,1988,-1766,-1406,2039,15637,18024,1016,-1654,2649,197,-2583,1440,-25638,-6101,-906,607,1450,-2806,-1818,1044,1
-189434,-15385,731,-2126,5646,4002,2811,2086,-153186,-8092,3622,-1378,356,-1259,-432,43,-162540,-4415,-6786,-2256,-1359,746,-518,-367,-192700,-20295,-221,-583,2002,7236,4351,1612,0
2369,13361,307,-3118,-8505,-8194,-1257,-6688,75564,9359,-2419,-6655,-9321,-9682,-3176,-6817,5967,3195,3864,-5479,-8369,-9791,-2770,-7710,27273,30436,-4488,-4570,-8810,-8720,-2725,-7870,0
500818,28548,1874,16962,11257,10113,4754,5168,500818,28548,1874,16962,11257,10113,4754,5168,-16434,-24845,-2368,9162,14570,3843,7600,5759,56383,-15824,-10101,-4238,3360,2218,517,-146,1
-71934,-16185,-2796,-2627,-2237,-1974,-367,-42,-37254,3026,11448,-678,-436,-1153,-273,-444,13763,-11641,-5289,-2701,-1215,-1699,-503,-277,52073,36713,274,3694,437,-1890,638,734,0
-108302,-25771,-12614,-10895,-10059,-4373,-2426,-321,-191215,-12465,-11208,-8846,-9517,-3810,1016,-772,319032,100864,62702,-9504,-592,7350,9476,4669,-194976,-26019,-9317,-10122,-9160,-6773,-2247,-1160,0
-183476,12936,13545,-1442,-10186,-8477,-7438,-3514,-230293,-21730,1635,4889,-5603,1681,1904,3126,-172079,-17620,6088,9027,-11966,-9229,-8048,-3749,-185631,-28780,-404,-916,-11263,-9510,-8103,-4068,1
-139350,10572,-3329,171,-7455,630,-809,-2093,-103284,18323,-143,7161,22612,15608,7108,-442,-217890,4849,-8109,1945,-8959,-1102,-2529,-3344,-228674,-1998,-6637,-1917,-3195,837,2427,1813,0
10881,3821,618,-3581,10741,2543,2985,2609,33950,9074,-1784,-5289,1727,-4376,-2562,-1090,118282,75728,3478,-1012,3555,-3154,-1986,-448,-1897,-2103,-1483,-3884,4973,10436,4928,1066,1
-41163,27128,5708,-7964,5929,4769,2621,2410,73603,18153,415,-6673,-2836,-1788,-1940,-2744,19917,21454,2402,-8833,-3888,-3373,-3069,-3564,-39111,-1160,2996,-8314,581,-846,-413,455,1
191203,-13495,-4273,-9300,-4458,-5759,-10748,-4305,-17726,-31446,-4608,-10037,-6099,-8525,-11589,-4896,66201,-19670,748,-9868,-5332,-6102,-11050,-3928,104071,-17863,-3531,-9824,-5672,-8169,-11546,-4864,1
-34071,13202,71,4122,-7013,-11944,-2694,2471,13403,28925,4,-6292,-7534,-19369,-7971,-4412,44801,6102,17270,7165,1482,-16870,-7064,1746,4148,7889,-3888,-6118,-10211,-21671,-9717,-5754,1
