delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
205717,19993,9573,-18639,8327,-8697,-17796,-5121,-369758,14855,14231,-27432,-4843,-19023,-18753,-10603,-388979,-12671,-8481,-19095,-4042,-21442,-14495,-9620,1
443170,61787,83315,378,13100,21886,28858,13045,426470,12312,-5934,-13392,442,204,-2775,-1221,-37024,-7269,-8135,-13502,-155,-3771,-3429,-2283,1
18895,-4328,276,-195,-1864,-4004,-2346,-4028,-32326,-29572,-1351,652,2993,1094,3512,-1672,-7938,-8965,12777,1461,-4305,-3777,-1622,-3818,0
-27903,-4637,4505,-11623,-17316,-2037,-1993,-3810,-57578,-34072,-2415,-10026,-16698,3716,-544,-1949,-18418,-7865,-1355,-9496,-15321,-648,-3117,-4316,1
-87189,-4979,3398,-131,-10652,11232,2052,3148,-83410,13619,272,21814,-14938,11304,7253,12218,-88351,6843,-6216,7946,-11754,6838,5202,1281,0
-62855,-15976,5323,-6272,2843,-1222,-1727,-5117,-54795,-14402,1298,-5729,7706,5880,-8300,-5122,66448,-14661,275,-11288,-1370,-5970,-9366,-9029,0
-236064,-17624,3119,-20120,1606,-7895,-9711,-3114,-238862,-22814,-2704,-15643,-1109,-5301,-7544,-4172,-240489,-7363,-2373,-23347,2551,-5681,-8008,-217,0
-7941,-59361,-17150,-44278,-4997,-10153,-15371,-8055,-173459,-87190,-16878,-45180,-10245,-8571,-7843,-4636,397626,-57459,-21634,-40344,-4979,3699,-11173,-4000,0
136398,-22440,963,-1738,-4389,-3594,-2925,-1588,-24326,-16910,11943,2282,4385,3962,2251,4150,-484,-23590,-2362,-2705,-4005,-3621,-3340,-1874,0
81920,11661,30303,1104,9933,7907,-149,6398,14333,12221,2015,-9484,-11087,-2587,-6177,-2306,1294,-1841,-2908,-8797,-10294,5128,-3842,-902,0
-13748,2876,-1206,-2030,559,437,26,893,-45992,-11937,-1991,4448,-337,4771,474,3502,-21267,-1558,-3109,-2448,-1898,-588,-1504,43,0
-183224,-253862,-5756,-15217,-8158,-40821,-41349,-4597,-94678,-181945,-26377,-32467,-12417,-49408,-49967,-8352,533123,-187084,-33176,-31459,-1872,-43201,-40452,-4867,0
-12059,14502,-5216,-9045,-3011,-3725,-472,-2971,11643,7169,-7604,-9413,-4515,-3741,-1056,-2511,8339,-2125,10562,-6786,1431,2296,984,-1499,0
15637,18024,1016,-1654,2649,197,-2583,1440,-25638,-6101,-906,607,1450,-2806,-1818,1044,-25732,-9795,-3851,-5975,-3450,-6430,-7435,-2041,1
-162540,-4415,-6786,-2256,-1359,746,-518,-367,-192700,-20295,-221,-583,2002,7236,4351,1612,-167763,-2224,-3840,-4018,-1342,-302,-686,16,0
5967,3195,3864,-5479,-8369,-9791,-2770,-7710,27273,30436,-4488,-4570,-8810,-8720,-2725,-7870,2048889,400523,24382,937,13140,-5050,-30,-4329,0
-16434,-24845,-2368,9162,14570,3843,7600,5759,56383,-15824,-10101,-4238,3360,2218,517,-146,15225,-14277,-4762,-1272,525,1525,1246,-453,1
13763,-11641,-5289,-2701,-1215,-1699,-503,-277,52073,36713,274,3694,437,-1890,638,734,-17144,24946,9089,919,838,-1690,-223,126,0
319032,100864,62702,-9504,-592,7350,9476,4669,-194976,-26019,-9317,-10122,-9160,-6773,-2247,-1160,-225770,19416,-9465,-12171,7947,3641,6088,7970,0
-172079,-17620,6088,9027,-11966,-9229,-8048,-3749,-185631,-28780,-404,-916,-11263,-9510,-8103,-4068,-198120,-23567,2863,-1915,-12790,-9747,-9065,-3182,1
-217890,4849,-8109,1945,-8959,-1102,-2529,-3344,-228674,-1998,-6637,-1917,-3195,837,2427,1813,-176334,14613,-3548,657,-8699,-1187,-2729,-1717,0
118282,75728,3478,-1012,3555,-3154,-1986,-448,-1897,-2103,-1483,-3884,4973,10436,4928,1066,144276,117911,18214,33167,23406,8280,3057,850,1
19917,21454,2402,-8833,-3888,-3373,-3069,-3564,-39111,-1160,2996,-8314,581,-846,-413,455,-26455,3162,3140,-6877,-4800,-1188,-2349,-2852,1
66201,-19670,748,-9868,-5332,-6102,-11050,-3928,104071,-17863,-3531,-9824,-5672,-8169,-11546,-4864,11545,-33982,-4659,-9929,-6059,-7944,-11611,-5034,1
44801,6102,17270,7165,1482,-16870,-7064,1746,4148,7889,-3888,-6118,-10211,-21671,-9717,-5754,3027,39238,8635,-1490,-7615,-19446,-8331,-3408,1
-141475,47080,14666,-11473,464,-2364,-4317,-3010,-214340,1209,6720,-9812,-3887,-6976,-5393,-3916,60040,37187,8172,-2037,-2710,9173,3521,1437,1
24867,26071,22111,-9884,-3876,-8989,-4932,-9531,215604,18522,62878,20250,17143,3890,-2222,-4421,130894,22992,867,-10905,-5774,-8529,-3928,-9674,0
-21537,-52375,-8007,-11413,-9186,-6182,-1177,-3132,-41426,-64575,-11395,-13468,-10290,-8480,-2256,-4242,-175860,-70076,-5577,-12558,-11585,-7490,-1984,-3223,1
-47693,22123,3054,9752,26329,11741,2080,-5256,90824,32792,12740,-5255,-4545,-3204,-4011,-7484,-43442,-4827,329,-6777,-5792,-4652,-2195,-8721,1
-64336,-11595,713,-1769,7649,1916,5915,131,14053,-18006,-2222,-4078,1351,-2524,105,-582,-58170,-16521,-1551,-5702,2795,1368,4915,2219,1
-85452,-4553,-13433,3555,2386,2411,5889,5075,-89975,-6936,-7391,1918,1885,4290,5170,1852,183189,-17286,-12479,4265,-267,-303,-63,158,0
-76282,-61643,-2107,3604,-4171,2829,-5665,-1380,-278075,-75632,-21301,-12930,2614,2992,-3727,-1377,-268963,-61066,-12435,-14721,-4297,-3120,-8136,-3020,1
477607,92226,8116,29440,146,10089,5611,1742,1151887,71344,6900,5198,2219,11115,10913,9259,167090,66667,14682,4685,-2418,9219,7367,5116,0
-40950,12543,4390,-227,-1889,430,1980,-1057,235468,-11928,7883,5353,3892,3117,5335,1048,-30620,-9116,-2350,-3276,-2392,-1543,-1205,-1322,0
932766,77271,21686,4498,6730,9500,8999,7619,-8334,-51171,-3740,1722,308,6442,5057,2977,-57281,-52409,-505,-1502,-2110,948,150,-638,0
-245424,-95189,-16723,-24618,-10360,-23173,-14658,-4253,-197006,-41205,-12868,-26164,-9225,-24718,-13075,-4680,-283839,-101113,-18726,-26237,-10286,-23424,-13608,-4331,1
40253,-20500,6050,4364,46,-1023,-1283,-1559,65964,2370,6853,31648,3497,7532,4648,2226,-20435,-23231,2231,178,1076,1720,3719,435,0
-11634,-17013,2363,1435,532,259,335,804,772962,51073,80764,141561,99688,28785,57962,19030,126858,-4641,14580,476,3694,5732,4913,3041,0
-16892,19891,1124,-925,604,-434,586,-369,-60128,-815,-465,-1212,-564,-1229,-168,-617,-25129,1633,2372,7437,-673,-477,790,366,0
-1695466,-59934,-15445,-5621,-6575,-56658,-96171,-30041,-1759493,-60955,-40706,-1652,-27452,-72924,-115078,-34539,-1701150,-12327,-24757,10382,-18522,-69242,-114408,-32096,1
400328,156351,2316,-2181,-82,-3906,-7007,210,-10689,2606,-416,-11453,-3267,-8435,-14116,-1651,4688,-12252,-6415,-9959,-4918,-8417,-13755,-1044,1
-236694,-13777,-4063,1623,-193,-231,-415,266,-237889,1311,3326,5221,5194,5952,2000,8260,-281610,-14616,-248,8877,2646,4323,9944,3890,0
-288985,-142743,6493,-13837,-10916,-12807,-15724,-8211,-299777,-161888,175,-12931,-12145,-11212,-16009,-8066,-270805,-147883,-1176,-14690,-12108,-12718,-14786,-7255,1
-924707,-116552,-33819,-11882,-27489,-7371,-5309,-12099,-849805,-94737,-41070,318,-18012,2847,7771,-12913,-890309,-75404,-41687,-11275,-27113,-9160,-5640,-14069,0
78748,61086,7711,-12971,1312,-1359,-1774,-1875,412962,17149,3771,-6446,206,1317,6190,3380,495412,149913,-1381,-9794,4121,10207,10075,-131,0
318215,-1579,4958,928,849,1615,753,764,167306,94149,12931,-604,4695,2633,-8,-465,26693,-9677,3289,-2389,2204,2257,-1021,507,1
220464,92968,17106,15710,7426,15303,3862,4429,24313,8679,-4818,-7133,-1260,-2403,-2517,-1089,-5450,29221,-4735,3753,12468,4487,1823,4840,0
1202031,137765,18656,21936,2258,8285,5026,342,-167327,14733,-5442,-2401,-4397,-6881,-2699,-1730,-189213,899,1868,1094,-1359,-8123,-1895,-999,1
-82529,-39848,-3071,-1235,4840,8237,3775,970,-34489,-39271,-9389,-8513,-637,-598,342,-637,-18703,-21262,-8561,-7368,-1424,-1497,19,-697,0
-411189,-14307,-14522,25809,-6913,9616,13903,6609,-472246,-70872,-22714,-31460,-15689,-10004,1304,-630,-350973,179128,23542,27160,9562,3340,13973,10887,0
627054,157108,-15915,-18571,-12485,4875,970,-1506,1553880,8038,1539,-12056,-12038,-1689,-1010,-2892,-216369,-56694,-24717,-27550,-23702,-10502,-5422,-6256,1
-5234,-76427,-9083,-4520,-6059,-2334,-6168,-4056,149877,-51293,21493,-1098,5285,3446,459,-987,1002232,-20176,9499,10765,4983,10188,776,4870,0
20312,212394,69278,12834,4150,6756,5778,3626,298051,22335,4399,1303,-147,1397,586,625,-32427,5619,7013,2929,-27,1056,1554,-105,0
-953567,-181896,-36866,-13393,-3799,-13103,-10495,-6987,-946140,-169432,-40423,-9017,4568,1810,-1043,-3241,-1108593,-163036,-39827,-15068,-1035,-9988,-10194,-7185,1
-332319,-40553,-10745,-8404,-4951,-15078,-7914,-13315,-979395,-141344,-28411,-16085,-8036,-19002,-9021,-13699,-819620,-52079,50811,14848,4242,-13601,-6460,-5657,0
-1051701,-101836,-28247,-23475,-18099,-41432,-25522,-16064,-992999,-96790,-27479,-20888,-16985,-41066,-25126,-15979,-922637,-88546,-32512,-18269,-8655,-38285,-22834,-13419,0
-13795,4792,7203,-10288,-4338,-6540,-3294,-1654,30479,18412,-354,-10555,-3920,-6119,-3609,-2359,139878,-128,-2347,-10332,300,-2748,-1182,1772,0
-300532,-162649,-71942,-18078,-46292,-34791,-36929,-15812,-319452,-156367,-74827,-14739,-42366,-31055,-33441,-8677,-252167,-167442,-69671,-18616,-46919,-36195,-37240,-14305,1
-263021,-121970,-11749,-5081,-4953,-7846,-6054,-4139,-537272,-140444,-9796,-4991,-6543,-694,9876,-2260,-476135,-127645,-13992,-8557,-6512,-8935,-5862,-3812,1
93189,31297,-8851,-5255,-4871,-143,358,-2692,-50638,-6923,-6683,-5676,-5019,4676,2899,1520,168987,-9111,-285,-2821,-4878,-734,492,-2996,1
180168,-33731,-7704,-1286,-1497,8259,1287,1491,-124176,-43722,-12022,-7087,-5128,-3561,-3101,-2589,-95282,-30822,-11270,3082,-4132,-2316,-714,-682,1
1255463,7672,-5400,-15556,-6768,1251,-2630,-3994,-159628,-31582,-5964,-17313,-10472,-872,-3136,-2821,-145418,-21952,-3930,-6500,284,7178,789,6200,0
-629081,-130680,-29828,-9299,-28111,-5786,-14068,-6685,-853315,-186295,-26496,-17054,-29241,-8360,-17272,-10655,-856666,-176992,-12666,-21069,-31535,-9364,-13990,-13003,0
-184730,-20383,-14987,-10746,-6987,-6743,-11856,-8513,1056815,24644,16461,1152,-4486,-4313,-3051,4073,-271988,-36181,-15008,-7494,-4794,-3052,7110,-783,0
-492810,-6781,-9975,-3374,-6268,2700,-6669,-602,-617649,-7318,-13495,-2300,-11053,-5796,-9641,350,-623787,-12017,-6301,-12583,-7756,-6695,-10611,-508,1
-30439,-37206,-5111,-3892,-2228,-3787,-4407,-1849,39854,66912,-2847,3591,5839,18073,-2529,3025,-40643,-26611,-2125,-3100,-1047,-2978,-3541,-683,0
-213455,-173071,-1859,-149,10084,-2934,481,-1188,-294051,-189288,21072,64097,-1673,-3691,2845,-933,-299202,-206070,-7771,-3291,-3217,-7147,-2067,-2680,1
-207437,-8159,2131,1722,1108,3218,6178,4154,-169408,-18169,1595,-1018,1093,-1457,-713,415,-140752,-1322,1545,-2211,-1048,-843,-990,639,1
413600,2227,29427,22292,3932,8686,5973,7128,19186,20140,-975,-3183,8612,4687,1134,2301,-16887,-10332,-2625,2619,2602,-1058,-308,2448,0
775424,-79241,35064,-56784,-50818,6443,-10021,951,1192876,186256,-61952,-62437,-31203,4724,11923,3557,-842567,-121481,-69106,-73103,-69747,-23219,-26979,-10199,1
55141,-95653,-64251,-52582,-6043,5080,12966,-1871,-60031,-106932,-54678,-63099,7940,2899,2545,6441,42844,-141572,-78705,-79262,-2186,-7440,-9595,-2679,0
-970364,-551600,-37448,-27481,-48006,-81375,-46694,-39476,805595,-379050,50525,-11053,-4978,-56268,-41904,-34447,-1073161,-576185,-63530,-38195,-48424,-82239,-55344,-40709,0
259354,22472,35149,46909,19427,4147,3609,7007,495625,74687,1399,-6236,212,-5779,554,786,-48888,-3493,1712,-5874,-6356,-3858,-760,1315,0
-94701,-20285,-4196,-3510,-2409,-1219,-100,-1262,380183,18578,-2157,489,4517,5570,2475,3195,1971287,307190,13853,6297,18594,21862,24972,11551,0
-438656,-102724,-12836,-18398,-5193,-3420,-6227,-2396,-392750,-86452,-16377,-19403,-4570,-5281,-6312,-2262,-419122,-78908,-15458,-20102,-5673,-5661,-6355,-2331,1
10989,18652,68563,-4591,33542,6506,2328,782,-12690,-17039,-475,-13892,-11,-1155,-673,-838,-3115,-14378,218,-14195,109,-1078,-577,-488,0
-29415,-30700,-4783,-1321,-1393,188,-489,-45,-23793,-37258,-3577,-894,-846,1011,62,685,-18400,-31979,-1592,4928,297,2452,-48,799,1
4760,-8904,9344,11051,353,-6455,-3273,-1036,-935,-6921,-8160,10753,-3920,-6128,-1527,-1400,62713,42988,3782,15417,552,-182,27,-1337,0
-257081,116321,2984,74526,4821,8902,9732,4974,-405471,-40139,-11320,-20825,-19654,-14842,-7448,-6347,-483323,-49825,-22770,-20181,-16918,-16790,-8121,-6814,0
37729,19421,3004,7404,3361,6553,-7030,-2828,-97707,-12031,-1944,21506,-6212,2025,-6996,-4108,-66173,-24557,-3198,-9442,-5299,-3535,-8413,-4658,0
-174327,189693,4201,10583,25300,4492,4802,1709,-148230,223637,58444,71381,-1431,448,4635,2124,-180632,214,-8329,12297,-2164,-2292,-36,517,1
-564795,-153000,-2078,-10170,5975,53460,50313,49688,-551497,-129993,-6659,74611,-5344,-3056,-5293,482,-92440,-108152,44236,-11870,2174,-1708,11111,19974,1
-416107,36452,-810,-1978,-1635,1885,-3176,-2064,-162931,35436,7639,-8763,-10397,-2399,-1817,-2643,-395728,-10648,3938,14934,13095,-1105,-3050,4745,0
-55233,-1072,-7287,-1070,-6240,-2876,-2024,-382,-105133,21460,243,2446,2758,7463,9570,2808,-174295,5700,-5816,6013,-5300,-1850,-909,-403,0
18025,-26715,-10647,-3219,-3780,16,-316,-460,-50513,-45681,-12348,-5662,-3212,-3795,-804,-1931,-18193,-38910,-7440,-7359,3027,3871,5720,44,0
1355239,162762,147032,51140,-7629,16716,67908,5236,21410,-9324,-6913,-6209,-18377,-17072,-3494,-5879,35276,50375,-7826,-6497,-17978,-15613,-3449,-6081,0
113901,166200,83784,3451,23061,15028,4018,2210,-620290,-110715,-10985,-5056,-35900,-33748,-20607,-33619,-696528,-88704,-19724,-15136,-23426,-26060,-18306,-32656,0
454711,123455,-103,-5679,3421,384,2225,-3064,1593348,183073,3851,21983,9134,8842,12649,1332,63035,-3644,-1851,-13053,-1403,-3244,-479,-4855,0
207714,74054,-13632,5252,-723,-15012,-6829,-4192,517084,-4605,-15607,-7909,-6204,-17934,-6775,-8059,1089423,289528,5163,70824,14011,-6148,21320,4552,1
-143853,-71180,-3161,-249,-4089,-3618,-1370,-1691,-133754,-38010,2871,2578,-1913,2060,3573,2921,-9446,-42511,7256,3270,-3119,-3837,-1050,-1786,1
100916,121298,-5133,6406,545,8500,-1216,3022,-73240,3422,-4374,-6995,-224,-10908,-5583,-1285,-64321,8395,16225,-5555,-1704,-7750,-6080,-1979,0
-120204,88358,13889,5033,814,397,2007,1432,603822,25809,1583,1103,-1094,-628,-389,1408,-235363,30381,-12112,-1268,-1830,-2928,1568,229,1
-716993,-22390,-24696,-5281,-6826,-11001,-5559,-3564,-508673,923,14752,1476,6932,-3860,3422,-1696,-659230,-50025,-29064,-8679,-7876,-14750,-8593,-4577,1
-421167,-44225,-3645,3230,-3825,-2981,-1543,-422,-410003,-37482,5410,-3922,-3618,-5075,-2843,-1186,-353895,-31510,-8561,-9839,-7661,-4534,-3433,-1493,1
-26531,28184,-965,14037,1032,5570,2244,1792,179616,23031,3294,11515,8737,13617,4565,4295,-34389,7660,4199,7079,1606,3487,4276,1178,0
1655487,1248862,57497,90519,113613,173791,103877,46238,930119,767951,108048,34906,34233,38815,7345,27814,67000,48807,-3323,-1260,-1513,909,-132,358,1
63504,-64286,-2197,5445,-9279,-2404,-1680,-5215,377833,-50147,10599,1872,-2940,1658,2043,-2356,381648,-48516,13598,-3039,-11147,-153,-1985,-3857,0
1640794,367143,136947,113713,70658,30187,48808,20848,71643,-7499,111043,17327,13575,25813,7513,5967,-153992,-58438,-4645,1719,-10985,-4175,-882,-2188,0
1690194,186572,17559,-5080,2328,-10357,-1465,-3289,274630,48238,43317,22937,7694,690,-2085,2430,-1021690,-59873,14637,-63461,-26155,-21321,-5044,-6106,0
