delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
1181527-1353571-682902-557514-54682-17835-2039969-236291,192716-219447-224298-419874-28207-33855-119209-289007,118063-187728-46607-137448-22617-51677-12568-19743,67383-68915-13867-80420-26994-10285-15764-82469,8955-71386-12330-77086-6371-14126-40385-36038,5462-29287-13059-24406-7476-10929-22153-19078,5667-23365-5184-17214-9825-9197-8726-9001,17831-12677-1882-24884-2938-2141-9786-5188,easy
1353571-682902-557514-54682-17835-2039969-236291-1648494,219447-224298-419874-28207-33855-119209-289007-412787,187728-46607-137448-22617-51677-12568-19743-79637,68915-13867-80420-26994-10285-15764-82469-23130,71386-12330-77086-6371-14126-40385-36038-17334,29287-13059-24406-7476-10929-22153-19078-24010,23365-5184-17214-9825-9197-8726-9001-8774,12677-1882-24884-2938-2141-9786-5188-8773,easy
682902-557514-54682-17835-2039969-236291-1648494-399565,224298-419874-28207-33855-119209-289007-412787-19336,46607-137448-22617-51677-12568-19743-79637-4257,13867-80420-26994-10285-15764-82469-23130-2142,12330-77086-6371-14126-40385-36038-17334-989,13059-24406-7476-10929-22153-19078-24010-1618,5184-17214-9825-9197-8726-9001-8774-608,1882-24884-2938-2141-9786-5188-8773-934,easy
557514-54682-17835-2039969-236291-1648494-399565-3347976,419874-28207-33855-119209-289007-412787-19336-439141,137448-22617-51677-12568-19743-79637-4257-77213,80420-26994-10285-15764-82469-23130-2142-55606,77086-6371-14126-40385-36038-17334-989-16151,24406-7476-10929-22153-19078-24010-1618-33235,17214-9825-9197-8726-9001-8774-608-35786,24884-2938-2141-9786-5188-8773-934-7826,easy
54682-17835-2039969-236291-1648494-399565-3347976-664690,28207-33855-119209-289007-412787-19336-439141-38119,22617-51677-12568-19743-79637-4257-77213-7776,26994-10285-15764-82469-23130-2142-55606-4529,6371-14126-40385-36038-17334-989-16151-4561,7476-10929-22153-19078-24010-1618-33235-3067,9825-9197-8726-9001-8774-608-35786-2143,2938-2141-9786-5188-8773-934-7826-939,easy
17835-2039969-236291-1648494-399565-3347976-664690-863701,33855-119209-289007-412787-19336-439141-38119-58676,51677-12568-19743-79637-4257-77213-7776-19118,10285-15764-82469-23130-2142-55606-4529-16926,14126-40385-36038-17334-989-16151-4561-9131,10929-22153-19078-24010-1618-33235-3067-18530,9197-8726-9001-8774-608-35786-2143-9365,2141-9786-5188-8773-934-7826-939-3033,easy
2039969-236291-1648494-399565-3347976-664690-863701-1216006,119209-289007-412787-19336-439141-38119-58676-105638,12568-19743-79637-4257-77213-7776-19118-186635,15764-82469-23130-2142-55606-4529-16926-28513,40385-36038-17334-989-16151-4561-9131-9302,22153-19078-24010-1618-33235-3067-18530-7427,8726-9001-8774-608-35786-2143-9365-14607,9786-5188-8773-934-7826-939-3033-2894,easy
236291-1648494-399565-3347976-664690-863701-1216006-168368,289007-412787-19336-439141-38119-58676-105638-108783,19743-79637-4257-77213-7776-19118-186635-49325,82469-23130-2142-55606-4529-16926-28513-7006,36038-17334-989-16151-4561-9131-9302-4882,19078-24010-1618-33235-3067-18530-7427-9849,9001-8774-608-35786-2143-9365-14607-13324,5188-8773-934-7826-939-3033-2894-2128,easy
1648494-399565-3347976-664690-863701-1216006-168368-276795,412787-19336-439141-38119-58676-105638-108783-32444,79637-4257-77213-7776-19118-186635-49325-8070,23130-2142-55606-4529-16926-28513-7006-6719,17334-989-16151-4561-9131-9302-4882-2219,24010-1618-33235-3067-18530-7427-9849-3912,8774-608-35786-2143-9365-14607-13324-2844,8773-934-7826-939-3033-2894-2128-568,hard
399565-3347976-664690-863701-1216006-168368-276795-1222402,19336-439141-38119-58676-105638-108783-32444-131667,4257-77213-7776-19118-186635-49325-8070-4089,2142-55606-4529-16926-28513-7006-6719-11023,989-16151-4561-9131-9302-4882-2219-8413,1618-33235-3067-18530-7427-9849-3912-13124,608-35786-2143-9365-14607-13324-2844-3199,934-7826-939-3033-2894-2128-568-4511,easy
